Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,37.07,71.51,20.08,6.07,19.55,10.26,14.17,0.02,21.6,53.45,,,,103.34,142.53,23.41,88.14,0.64,0.74,,,,,
2024-01-01 01:00:00,,,20.07,5.88,19.45,10.24,14.14,0.02,21.58,43.0,,,,83.14,114.64,23.14,88.85,0.62,0.73,,,,,
2024-01-01 02:00:00,39.0,75.15,20.01,5.34,19.12,10.05,14.2,2.51,21.46,40.52,,,,78.34,108.05,22.75,89.59,0.88,0.73,,,,,
2024-01-01 03:00:00,43.0,82.53,19.46,5.46,18.73,9.84,14.31,2.14,21.62,51.33,,,,99.24,136.88,22.48,90.23,0.92,0.73,,,,,
2024-01-01 04:00:00,34.03,65.9,18.98,5.66,18.44,9.72,14.27,0.03,21.46,84.89,,,,164.12,226.38,22.2,90.23,1.32,0.73,,,,,
2024-01-01 05:00:00,27.04,53.02,18.32,5.5,17.82,9.4,14.25,0.04,21.52,115.19,,,,222.71,307.18,21.84,90.52,1.5,0.73,,,,,
2024-01-01 06:00:00,28.0,54.79,17.99,5.8,17.71,9.18,14.26,0.03,21.55,94.94,,,,183.54,253.17,21.6,91.51,0.46,0.73,,,,,
2024-01-01 07:00:00,45.9,87.92,17.98,5.6,17.61,8.92,14.18,0.02,21.54,50.86,,,,98.32,135.61,22.08,86.3,1.43,0.73,,,,,
2024-01-01 08:00:00,73.84,139.76,17.68,5.24,17.16,8.83,14.28,0.03,21.43,94.84,,,,183.35,252.9,23.9,76.02,1.31,0.74,,,,,
2024-01-01 09:00:00,67.02,126.98,16.72,5.32,16.42,8.54,14.2,0.02,21.62,74.04,,,,143.16,197.46,26.55,62.4,1.95,0.75,,,,,
2024-01-01 10:00:00,51.04,97.35,19.44,6.76,19.4,10.16,14.27,0.03,21.6,98.37,,,,190.18,262.32,28.61,54.08,2.04,0.75,,,,,
2024-01-01 11:00:00,50.0,95.5,17.32,6.39,17.49,8.98,14.28,0.03,21.5,89.13,,,,172.32,237.68,30.1,48.93,2.17,0.76,,,,,
2024-01-01 12:00:00,49.0,93.65,17.85,5.84,17.62,9.3,14.27,0.03,21.74,87.25,,,,168.69,232.68,32.16,43.69,1.18,0.76,,,,,
2024-01-01 13:00:00,43.03,82.61,19.09,6.35,18.89,10.16,14.25,0.02,21.8,71.22,,,,137.7,189.93,33.93,42.45,1.02,0.77,,,,,
2024-01-01 14:00:00,42.0,80.71,21.02,6.88,20.74,10.95,14.29,0.03,21.52,86.01,,,,166.29,229.36,32.44,47.66,1.71,0.76,,,,,
2024-01-01 15:00:00,45.99,88.06,22.39,7.66,22.28,11.74,14.32,0.03,21.72,93.72,,,,181.06,249.74,31.67,47.84,1.87,0.76,,,,,
2024-01-01 16:00:00,42.02,80.74,24.28,8.47,24.25,12.85,14.35,0.02,21.77,50.66,,,,97.94,135.08,31.3,50.33,1.56,0.76,,,,,
2024-01-01 17:00:00,43.0,82.54,24.78,7.87,24.32,13.12,14.2,1.12,21.7,42.65,,,,82.46,113.74,29.31,57.52,1.28,0.75,,,,,
2024-01-01 18:00:00,51.95,99.16,21.82,6.77,21.34,11.34,14.35,2.41,21.75,48.89,,,,94.52,130.38,28.02,63.22,0.84,0.75,,,,,
2024-01-01 19:00:00,60.98,115.76,18.19,5.6,17.76,9.03,14.36,2.17,21.8,60.1,,,,116.2,160.27,26.72,71.11,0.32,0.74,,,,,
2024-01-01 20:00:00,69.95,132.45,18.34,6.31,18.26,9.1,14.28,0.02,21.65,66.6,,,,128.76,177.59,25.4,77.62,0.27,0.74,,,,,
2024-01-01 21:00:00,56.08,106.67,19.58,6.46,19.36,9.96,14.22,0.02,21.7,65.36,,,,126.36,174.28,24.63,79.93,0.5,0.74,,,,,
2024-01-01 22:00:00,43.0,82.68,19.84,6.32,19.49,10.21,14.12,4.93,21.76,25.05,,,,48.43,66.8,24.1,82.36,0.53,0.74,,,,,
2024-01-01 23:00:00,44.0,84.39,20.07,6.08,19.55,10.07,14.21,0.02,21.6,52.76,,,,101.99,140.67,23.67,84.33,0.88,0.74,,,,,
2024-01-02 00:00:00,46.98,89.94,19.78,5.7,19.12,10.09,14.13,0.03,21.72,82.67,,,,159.83,220.46,23.22,86.64,0.93,0.74,,,,,
2024-01-02 01:00:00,,,19.4,5.89,18.9,9.86,14.26,5.33,21.69,34.25,,,,66.21,91.32,22.89,87.88,0.7,0.73,,,,,
2024-01-02 02:00:00,39.0,75.15,19.2,5.87,18.73,9.82,14.25,0.04,21.82,131.92,,,,255.03,351.77,22.65,89.12,0.35,0.74,,,,,
2024-01-02 03:00:00,37.01,71.46,19.1,5.78,18.61,9.48,14.28,0.04,21.8,118.05,,,,228.22,314.79,22.6,88.73,0.91,0.73,,,,,
2024-01-02 04:00:00,43.98,84.4,18.9,5.48,18.3,9.43,14.34,0.04,21.75,108.47,,,,209.71,289.26,22.33,89.63,0.86,0.73,,,,,
2024-01-02 05:00:00,38.02,73.33,17.83,4.72,17.0,8.89,14.33,0.02,21.78,54.55,,,,105.46,145.46,22.06,90.99,0.29,0.76,,,,,
2024-01-02 06:00:00,34.0,65.92,10.9,3.12,10.51,5.04,14.46,0.03,21.84,96.67,,,,186.9,257.78,21.88,91.44,0.28,0.76,,,,,
2024-01-02 07:00:00,50.95,97.26,4.22,0.76,3.68,1.49,14.6,0.03,21.8,84.1,,,,162.59,224.26,21.88,90.52,1.07,0.76,,,,,
2024-01-02 08:00:00,100.86,189.59,0.72,0.01,0.3,,14.77,0.04,21.66,116.82,,,,225.86,311.52,24.18,82.17,1.3,0.76,,,,,
2024-01-02 09:00:00,96.02,180.62,0.17,0.08,0.05,0.08,14.85,0.05,21.6,145.32,,,,280.95,387.52,27.33,64.72,1.62,0.76,,,,,
