Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,,,41.47,3.06,43.52,11.78,18.06,0.83,30.84,0.65,,,,1.74,0.74,28.94,75.06,0.94,271.59,,,,,
2024-01-01 01:00:00,,,41.04,3.05,43.1,11.75,18.16,0.86,30.9,0.59,,,,1.64,0.7,28.94,75.08,0.95,283.36,,,,,
2024-01-01 02:00:00,,,41.44,2.92,43.34,12.17,18.57,0.87,31.05,0.59,,,,1.64,0.71,28.94,75.08,0.99,288.44,,,,,
2024-01-01 03:00:00,42.18,49.12,42.9,3.18,45.08,12.47,19.04,0.8,30.66,0.6,,,,1.7,0.73,28.94,75.68,1.0,287.5,,,,,
2024-01-01 04:00:00,45.15,55.76,44.32,2.91,46.23,13.1,19.33,0.81,31.5,0.61,,,,1.74,0.76,28.94,76.08,1.01,288.16,,,,,
2024-01-01 05:00:00,39.89,44.62,46.54,3.07,48.6,13.46,19.75,0.85,31.42,0.64,,,,1.83,0.78,28.94,76.08,0.99,272.79,,,,,
2024-01-01 06:00:00,35.51,50.25,47.44,2.85,49.29,13.17,19.23,0.86,30.74,0.77,,,,1.79,0.76,28.94,76.08,0.94,282.42,,,,,
2024-01-01 07:00:00,36.74,50.34,45.88,3.35,48.24,12.74,18.87,0.83,30.88,0.71,,,,1.54,0.68,28.94,75.18,0.94,284.59,,,,,
2024-01-01 08:00:00,43.1,46.7,44.53,2.92,46.45,12.54,18.62,0.83,30.96,0.65,,,,1.45,0.63,28.94,72.9,0.94,271.74,,,,,
2024-01-01 09:00:00,39.65,47.65,43.18,2.62,44.8,12.12,18.18,0.84,30.78,0.65,,,,1.39,0.61,28.94,69.98,0.93,281.22,,,,,
2024-01-01 10:00:00,43.35,47.18,37.76,3.97,40.74,11.55,17.89,0.89,31.68,0.63,,,,1.0,0.48,28.94,67.06,0.93,267.28,,,,,
2024-01-01 11:00:00,34.44,42.88,31.74,4.84,35.58,9.98,17.46,0.92,31.4,0.62,,,,1.33,0.6,28.94,63.87,0.97,262.95,,,,,
2024-01-01 12:00:00,30.38,43.65,27.06,5.16,31.22,8.99,17.09,0.92,31.01,0.6,,,,1.46,0.64,28.94,61.14,0.94,155.73,,,,,
2024-01-01 13:00:00,22.15,42.35,17.68,6.75,23.42,6.64,15.75,0.93,31.2,0.61,,,,1.43,0.63,28.94,61.27,0.98,167.82,,,,,
2024-01-01 14:00:00,27.08,44.48,13.18,7.15,19.34,4.95,14.68,0.96,31.24,0.57,,,,1.14,0.51,28.94,64.61,0.92,132.47,,,,,
