Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,17.13,88.0,42.24,17.76,60.0,1.27,49.91,2.2,118.43,0.94,,,,1.42,0.49,20.24,62.98,0.28,1.46,,,,,
2024-01-01 01:00:00,19.07,,37.32,14.53,51.85,4.4,48.99,2.05,73.01,0.94,,,,1.42,0.49,19.6,65.34,0.27,1.34,,,,,
2024-01-01 02:00:00,19.67,84.49,33.52,14.66,48.18,6.21,48.11,1.94,69.35,0.94,,,,1.42,0.49,18.92,68.12,0.27,1.28,,,,,
2024-01-01 03:00:00,15.0,77.0,31.09,14.78,45.86,5.92,49.74,1.88,64.02,0.94,,,,1.42,0.49,19.04,71.46,0.27,1.32,,,,,
2024-01-01 04:00:00,14.81,77.19,32.38,13.63,46.01,5.31,49.34,1.84,63.8,0.94,,,,1.42,0.49,19.13,74.68,0.27,1.08,,,,,
2024-01-01 05:00:00,12.27,81.09,35.99,14.57,50.56,3.92,49.26,1.82,74.88,0.94,,,,1.42,0.49,18.25,79.21,0.27,1.03,,,,,
2024-01-01 06:00:00,16.2,98.28,40.03,11.76,51.8,3.33,48.8,1.82,56.54,0.94,,,,1.42,0.49,17.63,82.02,0.27,0.99,,,,,
2024-01-01 07:00:00,19.07,118.08,44.42,11.11,55.52,2.45,48.48,1.88,166.4,0.94,,,,1.42,0.49,17.6,82.72,0.27,1.06,,,,,
2024-01-01 08:00:00,20.32,134.0,40.75,12.77,53.52,6.48,47.02,1.88,59.66,0.94,,,,1.42,0.49,19.91,75.59,0.27,1.25,,,,,
2024-01-01 09:00:00,24.6,133.36,35.67,14.38,50.04,7.54,47.28,1.89,24.02,0.94,,,,1.42,0.49,22.13,63.31,0.27,1.32,,,,,
2024-01-01 10:00:00,18.93,124.0,33.06,19.49,52.55,6.05,48.35,1.96,89.7,0.94,,,,1.42,0.49,23.96,54.69,0.27,1.39,,,,,
2024-01-01 11:00:00,17.6,122.6,32.51,22.98,55.5,3.74,51.28,2.02,32.75,0.94,,,,1.42,0.49,25.03,48.44,0.28,1.32,,,,,
2024-01-01 12:00:00,12.13,103.51,31.98,24.2,56.19,2.76,53.76,2.07,54.16,0.94,,,,1.42,0.49,26.96,41.53,0.27,1.18,,,,,
2024-01-01 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01 14:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01 15:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01 17:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02 01:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02 02:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02 04:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02 05:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02 07:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02 08:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02 09:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02 12:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02 14:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02 15:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02 17:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-03 00:00:00,18.8,102.0,42.61,18.69,61.3,0.67,49.77,2.36,3.12,0.94,,,,1.42,0.49,20.91,66.63,0.28,1.37,,,,,
2024-01-03 01:00:00,16.6,,44.22,18.15,62.36,0.45,47.77,2.18,6.37,0.94,,,,1.42,0.49,20.46,68.13,0.28,1.46,,,,,
2024-01-03 02:00:00,24.73,108.74,44.42,17.84,62.28,0.14,47.76,2.03,11.07,0.94,,,,1.42,0.49,19.76,71.86,0.27,1.2,,,,,
2024-01-03 03:00:00,20.94,104.87,47.68,15.22,62.9,0.62,48.36,1.96,1.75,0.94,,,,1.42,0.49,19.46,74.33,0.27,1.1,,,,,
2024-01-03 04:00:00,19.74,103.13,49.37,15.66,65.04,0.21,48.27,1.92,8.19,0.94,,,,1.42,0.49,19.43,74.9,0.27,1.15,,,,,
2024-01-03 05:00:00,16.53,105.83,49.7,16.3,66.01,0.86,46.33,1.84,4.64,0.94,,,,1.42,0.49,19.21,75.64,0.27,1.22,,,,,
2024-01-03 06:00:00,24.53,119.85,47.6,16.32,63.92,3.13,45.88,1.84,7.82,0.94,,,,1.42,0.49,18.64,77.14,0.27,1.05,,,,,
2024-01-03 07:00:00,31.6,146.2,44.46,13.98,58.44,5.06,46.02,1.86,9.94,0.94,,,,1.42,0.49,18.48,79.5,0.27,1.18,,,,,
2024-01-03 08:00:00,26.13,135.77,41.24,16.23,57.46,6.93,47.67,1.91,2.76,0.94,,,,1.42,0.49,19.32,73.71,0.27,1.3,,,,,
2024-01-03 09:00:00,27.33,146.94,42.97,21.0,63.98,1.27,49.6,2.02,6.58,0.94,,,,1.42,0.49,21.98,62.06,0.28,1.36,,,,,
2024-01-03 10:00:00,18.0,145.49,41.04,25.64,66.69,0.81,50.63,2.1,6.34,0.94,,,,1.42,0.49,23.83,55.76,0.28,1.38,,,,,
2024-01-03 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-03 12:00:00,,,37.23,28.74,65.96,1.54,49.88,2.4,4.54,0.94,,,,1.42,0.49,26.99,45.37,0.28,1.3,,,,,
2024-01-03 13:00:00,17.21,,38.68,30.51,69.19,0.5,52.28,2.45,5.27,0.94,,,,1.42,0.49,27.84,41.76,0.28,1.36,,,,,
2024-01-03 14:00:00,20.0,119.0,40.15,31.68,71.82,0.05,56.89,2.47,7.92,0.94,,,,1.42,0.49,28.89,39.54,0.27,1.17,,,,,
2024-01-03 15:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-03 16:00:00,,,55.77,29.19,84.96,,65.62,2.45,3.62,0.94,,,,1.42,0.49,28.14,39.61,0.27,1.23,,,,,
2024-01-03 17:00:00,23.33,,68.38,32.79,101.18,,70.26,2.58,5.43,0.94,,,,1.42,0.49,26.96,42.45,0.27,1.2,,,,,
2024-01-03 18:00:00,27.87,149.6,79.68,31.26,110.94,,69.42,2.76,5.7,0.94,,,,1.42,0.49,25.96,46.4,0.27,0.94,,,,,
2024-01-03 19:00:00,26.67,173.51,83.44,32.97,116.4,,75.7,3.02,8.6,0.94,,,,1.42,0.49,24.98,48.88,0.27,1.06,,,,,
2024-01-03 20:00:00,36.13,179.6,80.33,28.78,109.11,,64.11,2.98,5.72,0.94,,,,1.42,0.49,24.1,50.91,0.27,1.22,,,,,
2024-01-03 21:00:00,38.0,157.28,73.59,26.66,100.25,,59.24,2.85,3.27,0.94,,,,1.42,0.49,23.52,54.8,0.27,1.27,,,,,
2024-01-03 22:00:00,37.4,132.57,66.44,20.57,87.01,,57.04,2.72,10.46,0.94,,,,1.42,0.49,22.41,59.32,0.27,1.2,,,,,
2024-01-03 23:00:00,28.93,140.62,60.13,18.36,78.48,,55.53,2.58,3.09,0.94,,,,1.42,0.49,22.02,64.74,0.27,1.27,,,,,
2024-01-04 00:00:00,27.8,135.0,53.24,16.38,69.61,0.49,52.63,2.43,9.93,0.94,,,,1.42,0.49,21.28,67.63,0.27,1.43,,,,,
2024-01-04 01:00:00,25.2,,46.32,15.49,61.8,1.48,51.19,2.3,7.51,0.94,,,,1.42,0.49,21.52,69.82,0.27,1.21,,,,,
2024-01-04 02:00:00,28.13,124.81,40.76,13.32,54.08,4.22,50.35,2.21,4.2,0.94,,,,1.42,0.49,20.89,72.76,0.27,1.14,,,,,
2024-01-04 03:00:00,29.47,121.94,36.94,13.84,50.78,5.82,49.51,2.11,3.84,0.94,,,,1.42,0.49,20.48,74.45,0.27,1.16,,,,,
2024-01-04 04:00:00,22.07,121.13,35.01,14.36,49.36,5.51,51.61,2.06,3.18,0.94,,,,1.42,0.49,20.34,74.76,0.27,1.22,,,,,
2024-01-04 05:00:00,23.33,123.13,36.66,14.34,51.0,3.8,50.93,2.02,2.82,0.94,,,,1.42,0.49,20.44,75.9,0.27,1.16,,,,,
2024-01-04 06:00:00,28.33,127.17,40.56,15.87,56.44,2.84,50.43,1.98,4.73,0.94,,,,1.42,0.49,19.31,77.11,0.27,0.97,,,,,
