latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
8.471002,76.93298,12.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_speed_100m (km/h),wind_direction_100m (°)
2024-01-01T00:00,24.5,84,0.00,1009.8,6.2,36,6.3,59
2024-01-01T01:00,24.6,82,0.00,1010.6,5.1,94,9.9,100
2024-01-01T02:00,25.2,81,0.00,1011.8,9.0,119,15.5,115
2024-01-01T03:00,27.1,72,0.00,1012.7,7.8,112,11.3,112
2024-01-01T04:00,29.1,62,0.00,1012.8,6.7,106,9.3,103
2024-01-01T05:00,30.3,55,0.00,1012.4,5.6,135,7.6,121
2024-01-01T06:00,31.1,53,0.00,1011.5,4.8,193,5.4,176
2024-01-01T07:00,30.7,58,0.00,1010.7,8.7,218,10.1,215
2024-01-01T08:00,29.9,67,0.00,1009.6,11.5,229,14.3,227
2024-01-01T09:00,29.6,66,0.00,1008.7,12.1,233,15.2,234
2024-01-01T10:00,29.2,67,0.00,1008.3,10.5,232,13.3,232
2024-01-01T11:00,29.0,68,0.00,1008.1,7.4,231,9.4,230
2024-01-01T12:00,28.4,70,0.00,1008.3,5.4,228,6.6,229
2024-01-01T13:00,27.0,86,0.00,1009.5,4.0,85,5.9,76
2024-01-01T14:00,27.3,76,0.00,1010.1,7.6,115,13.2,107
2024-01-01T15:00,27.3,70,0.00,1010.8,7.9,120,13.8,118
2024-01-01T16:00,27.2,70,0.00,1011.1,6.9,137,12.5,141
2024-01-01T17:00,27.0,73,0.00,1011.1,5.4,138,10.4,146
2024-01-01T18:00,26.1,77,0.00,1010.7,6.8,72,7.9,90
2024-01-01T19:00,25.2,78,0.00,1010.0,8.9,43,12.7,25
2024-01-01T20:00,24.8,78,0.00,1009.2,8.5,36,14.6,9
2024-01-01T21:00,24.1,81,0.00,1008.4,7.4,43,11.5,14
2024-01-01T22:00,24.2,81,0.00,1008.2,4.7,86,5.2,65
2024-01-01T23:00,24.6,79,0.00,1008.6,5.4,82,5.8,97
2024-01-02T00:00,24.9,77,0.00,1009.0,7.4,104,9.0,119
2024-01-02T01:00,24.7,84,0.00,1008.9,2.9,120,4.3,138
2024-01-02T02:00,25.7,79,0.00,1009.6,2.9,97,3.3,139
2024-01-02T03:00,27.6,69,0.00,1010.4,4.7,113,6.1,118
2024-01-02T04:00,29.5,60,0.00,1011.0,4.6,129,5.9,128
2024-01-02T05:00,31.1,54,0.00,1010.7,4.1,165,5.2,155
