latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
22.741652,75.858475,556.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,16.2,88,0.00,950.7,8.3,12.7,92,133
2024-01-01T01:00,15.5,90,0.00,951.5,6.5,13.6,90,130
2024-01-01T02:00,15.6,90,0.00,951.9,5.4,14.0,98,134
2024-01-01T03:00,18.8,77,0.00,953.2,6.7,13.8,106,139
2024-01-01T04:00,22.2,64,0.00,954.5,5.7,9.7,125,138
2024-01-01T05:00,24.8,54,0.00,954.7,9.8,12.4,156,158
2024-01-01T06:00,26.2,48,0.00,954.1,11.6,14.4,175,176
2024-01-01T07:00,26.9,44,0.00,953.0,11.4,14.2,198,201
2024-01-01T08:00,27.5,41,0.00,951.9,11.6,14.4,210,212
2024-01-01T09:00,27.8,38,0.00,951.2,12.0,15.3,221,223
2024-01-01T10:00,27.6,35,0.00,950.9,12.3,15.9,232,232
2024-01-01T11:00,26.8,38,0.00,950.7,11.5,15.2,238,239
2024-01-01T12:00,24.7,48,0.00,950.5,6.4,14.7,232,234
2024-01-01T13:00,21.6,66,0.00,951.0,7.1,12.2,240,246
2024-01-01T14:00,20.7,71,0.00,951.6,8.2,10.0,232,257
2024-01-01T15:00,21.6,65,0.00,952.2,3.6,5.0,180,270
2024-01-01T16:00,19.1,77,0.00,952.1,7.1,9.6,45,20
2024-01-01T17:00,18.6,80,0.00,952.4,13.9,26.3,37,42
2024-01-01T18:00,17.9,86,0.00,952.3,11.3,23.1,53,56
2024-01-01T19:00,17.3,90,0.00,951.9,10.2,21.4,48,54
2024-01-01T20:00,16.6,94,0.00,951.5,10.2,20.6,48,54
2024-01-01T21:00,16.2,95,0.00,950.9,10.0,20.6,52,57
2024-01-01T22:00,15.9,96,0.00,950.5,8.8,18.7,55,62
2024-01-01T23:00,15.7,97,0.00,950.3,7.4,17.2,67,74
2024-01-02T00:00,15.4,97,0.00,950.4,7.2,16.2,72,86
2024-01-02T01:00,15.3,97,0.00,951.2,7.6,18.3,85,100
2024-01-02T02:00,15.4,96,0.00,951.8,6.9,17.3,81,102
2024-01-02T03:00,17.8,86,0.00,952.6,7.7,15.5,62,93
2024-01-02T04:00,20.6,74,0.00,953.6,6.9,10.1,81,90
2024-01-02T05:00,23.4,63,0.00,953.8,9.6,12.4,124,126
2024-01-02T06:00,25.2,54,0.00,953.2,13.8,17.9,152,152
2024-01-02T07:00,26.0,50,0.00,952.1,15.0,19.3,170,171
2024-01-02T08:00,26.2,47,0.00,951.0,14.8,18.8,184,184
2024-01-02T09:00,26.7,43,0.00,950.3,13.4,17.1,194,195
2024-01-02T10:00,26.7,42,0.00,949.8,12.6,16.3,200,202
2024-01-02T11:00,26.0,43,0.00,949.9,11.3,15.1,207,208
2024-01-02T12:00,23.8,54,0.00,949.9,5.4,12.7,200,209
2024-01-02T13:00,20.2,75,0.00,949.9,7.8,9.0,167,178
2024-01-02T14:00,19.3,81,0.00,950.6,8.0,9.2,144,154
2024-01-02T15:00,18.7,85,0.00,950.9,6.3,6.1,114,135
2024-01-02T16:00,18.5,85,0.00,951.1,5.3,7.8,118,124
2024-01-02T17:00,17.9,86,0.00,951.3,6.3,6.2,66,97
2024-01-02T18:00,17.6,88,0.00,951.2,9.3,17.2,13,26
2024-01-02T19:00,16.6,94,0.00,950.8,8.2,17.4,49,52
2024-01-02T20:00,16.2,95,0.00,950.6,9.4,18.9,67,69
2024-01-02T21:00,16.0,96,0.00,950.1,9.9,20.2,80,90
2024-01-02T22:00,15.6,96,0.00,949.5,5.9,16.9,101,128
2024-01-02T23:00,15.8,93,0.00,949.5,7.1,19.1,120,136
2024-01-03T00:00,15.6,93,0.00,949.7,6.2,16.6,111,129
2024-01-03T01:00,16.2,92,0.00,950.6,6.6,15.1,99,118
2024-01-03T02:00,16.5,91,0.00,951.1,9.4,20.9,133,136
2024-01-03T03:00,18.7,81,0.00,952.3,11.7,22.4,133,132
2024-01-03T04:00,20.8,72,0.00,953.2,11.5,15.9,129,129
2024-01-03T05:00,22.4,64,0.00,953.4,13.3,17.5,147,148
2024-01-03T06:00,23.8,57,0.00,952.8,12.5,16.1,162,164
2024-01-03T07:00,24.8,53,0.10,951.7,12.1,15.0,197,197
2024-01-03T08:00,25.1,51,0.30,950.6,13.3,16.9,213,214
2024-01-03T09:00,25.0,50,0.30,949.8,13.8,17.9,219,220
2024-01-03T10:00,24.5,52,0.40,949.7,12.5,16.6,226,228
2024-01-03T11:00,24.2,52,0.00,949.5,9.7,13.0,228,228
2024-01-03T12:00,22.6,61,0.00,949.5,5.1,10.7,225,225
2024-01-03T13:00,20.0,82,0.00,949.5,9.7,17.3,15,12
2024-01-03T14:00,18.8,85,0.10,951.1,3.9,10.8,56,53
2024-01-03T15:00,18.4,87,0.40,951.2,8.9,15.4,76,79
2024-01-03T16:00,17.3,92,0.00,951.5,6.7,15.5,36,42
2024-01-03T17:00,17.1,92,0.00,951.6,10.2,20.6,42,46
2024-01-03T18:00,16.5,95,0.00,951.1,11.3,22.2,37,43
2024-01-03T19:00,15.9,96,0.00,950.7,10.9,21.9,34,42
2024-01-03T20:00,15.6,96,0.00,950.4,9.9,20.0,33,39
2024-01-03T21:00,14.6,98,0.00,950.0,5.2,14.5,65,63
2024-01-03T22:00,14.6,98,0.00,950.3,8.0,17.2,27,37
2024-01-03T23:00,15.0,98,0.00,950.5,8.7,14.8,42,49
2024-01-04T00:00,15.3,98,0.00,950.7,10.5,15.8,49,55
2024-01-04T01:00,16.0,95,0.00,952.2,10.0,13.7,60,67
2024-01-04T02:00,16.3,95,0.00,952.6,9.0,12.0,67,74
