latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
22.601053,75.700935,594.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,17.0,85,0.00,946.4,7.4,16.9,133,146
2024-01-01T01:00,16.3,87,0.00,947.1,8.9,18.7,133,150
2024-01-01T02:00,16.4,87,0.00,947.6,7.7,16.8,131,152
2024-01-01T03:00,19.8,72,0.00,948.9,6.9,13.9,129,155
2024-01-01T04:00,23.0,61,0.00,950.2,4.1,7.6,142,155
2024-01-01T05:00,25.1,53,0.00,950.4,6.9,9.0,174,175
2024-01-01T06:00,26.2,47,0.00,949.9,9.6,12.2,193,194
2024-01-01T07:00,26.8,44,0.00,948.8,12.7,16.3,205,205
2024-01-01T08:00,27.1,42,0.00,947.8,13.9,17.9,211,210
2024-01-01T09:00,27.2,40,0.00,947.2,13.8,17.8,223,222
2024-01-01T10:00,26.8,40,0.00,946.9,12.8,16.8,230,228
2024-01-01T11:00,26.0,44,0.00,946.6,10.7,14.6,230,230
2024-01-01T12:00,23.6,56,0.00,946.3,5.6,12.0,220,224
2024-01-01T13:00,21.2,71,0.00,946.8,6.6,7.9,225,231
2024-01-01T14:00,22.3,64,0.00,947.8,0.8,1.8,153,259
2024-01-01T15:00,20.1,74,0.00,947.6,6.2,6.4,69,27
2024-01-01T16:00,19.5,75,0.00,947.8,7.2,7.7,96,49
2024-01-01T17:00,18.5,79,0.00,947.8,8.5,14.5,62,42
2024-01-01T18:00,17.8,84,0.00,947.9,12.0,24.0,44,49
2024-01-01T19:00,17.1,89,0.00,947.5,9.7,21.4,63,61
2024-01-01T20:00,16.6,93,0.00,947.1,8.9,19.7,58,59
2024-01-01T21:00,16.2,95,0.00,946.5,8.2,18.7,67,65
2024-01-01T22:00,15.9,96,0.00,946.1,8.0,17.8,72,72
2024-01-01T23:00,15.6,97,0.00,945.9,7.7,16.6,79,86
2024-01-02T00:00,15.4,97,0.00,946.0,7.2,17.2,90,100
2024-01-02T01:00,15.8,94,0.00,946.9,8.5,20.7,102,110
2024-01-02T02:00,16.1,92,0.00,947.4,8.4,20.6,100,109
2024-01-02T03:00,18.4,83,0.00,948.3,9.0,18.9,85,108
2024-01-02T04:00,21.3,72,0.00,949.3,7.6,11.6,98,106
2024-01-02T05:00,23.7,60,0.00,949.6,11.8,15.5,130,132
2024-01-02T06:00,25.0,55,0.00,949.0,13.0,16.9,156,156
2024-01-02T07:00,25.8,50,0.00,947.9,14.1,18.4,176,176
2024-01-02T08:00,26.2,47,0.00,946.8,13.4,17.5,188,188
2024-01-02T09:00,26.4,45,0.00,946.1,14.2,18.8,196,197
2024-01-02T10:00,26.1,45,0.00,945.6,12.7,16.4,209,209
2024-01-02T11:00,25.5,47,0.00,945.7,10.1,13.3,215,213
2024-01-02T12:00,23.1,63,0.00,945.6,6.4,11.0,223,218
2024-01-02T13:00,20.5,75,0.00,945.7,5.8,7.3,176,189
2024-01-02T14:00,18.9,82,0.00,946.2,5.6,6.3,117,114
2024-01-02T15:00,18.1,86,0.00,946.5,6.0,8.7,123,114
2024-01-02T16:00,17.9,86,0.00,946.8,5.3,5.7,118,108
2024-01-02T17:00,17.6,81,0.00,946.8,4.8,7.9,132,129
2024-01-02T18:00,17.1,82,0.00,946.5,7.3,10.3,70,78
2024-01-02T19:00,16.9,86,0.00,946.4,8.5,17.6,54,59
2024-01-02T20:00,16.1,94,0.00,946.0,9.3,19.3,62,69
2024-01-02T21:00,15.9,95,0.00,945.7,8.6,20.4,92,98
2024-01-02T22:00,16.1,93,0.00,945.3,7.8,20.7,112,125
2024-01-02T23:00,16.6,88,0.00,945.2,10.0,23.2,128,136
2024-01-03T00:00,16.0,91,0.00,945.5,5.9,15.3,133,139
2024-01-03T01:00,15.9,93,0.00,946.2,7.1,13.6,114,122
2024-01-03T02:00,16.1,92,0.00,946.9,11.2,23.4,123,124
2024-01-03T03:00,18.2,82,0.00,948.0,12.9,27.4,120,120
2024-01-03T04:00,20.4,74,0.00,948.8,11.9,17.6,119,121
2024-01-03T05:00,22.4,65,0.00,949.1,11.8,15.4,140,143
2024-01-03T06:00,24.0,56,0.00,948.5,10.1,13.3,174,177
2024-01-03T07:00,24.9,51,0.10,947.4,12.9,16.6,207,204
2024-01-03T08:00,24.8,52,0.10,946.3,14.3,18.5,214,213
2024-01-03T09:00,24.5,52,0.10,945.6,12.6,16.3,217,215
2024-01-03T10:00,24.1,53,0.20,945.5,10.2,13.0,231,228
2024-01-03T11:00,23.4,55,0.30,945.3,8.0,10.6,234,235
2024-01-03T12:00,22.0,71,0.00,945.3,4.2,5.9,211,218
2024-01-03T13:00,19.3,80,0.20,945.3,4.7,12.3,302,322
2024-01-03T14:00,19.4,80,0.20,946.9,9.7,15.6,329,341
2024-01-03T15:00,17.7,87,0.00,946.7,6.1,14.8,28,41
2024-01-03T16:00,17.5,89,0.00,947.2,9.5,18.6,37,43
2024-01-03T17:00,16.9,92,0.00,947.0,10.5,22.3,52,51
2024-01-03T18:00,16.2,95,0.00,946.8,9.7,21.2,48,50
2024-01-03T19:00,15.9,96,0.00,946.3,10.7,21.6,42,46
2024-01-03T20:00,15.5,97,0.00,946.2,6.9,16.7,51,53
2024-01-03T21:00,15.0,98,0.00,945.8,7.1,16.2,75,69
2024-01-03T22:00,14.7,98,0.00,946.0,6.6,15.9,49,57
2024-01-03T23:00,14.4,99,0.00,945.9,9.4,19.1,47,54
2024-01-04T00:00,14.8,99,0.00,946.3,11.8,18.9,52,59
2024-01-04T01:00,15.8,97,0.00,947.7,9.5,14.6,61,70
2024-01-04T02:00,16.1,96,0.00,948.3,9.6,12.2,70,76
2024-01-04T03:00,17.2,91,0.10,949.2,8.0,10.5,100,117
2024-01-04T04:00,18.3,85,0.10,950.2,4.0,6.2,185,187
2024-01-04T05:00,19.8,77,0.60,950.2,6.6,9.0,158,164
2024-01-04T06:00,21.1,75,0.20,949.1,2.9,3.6,83,90
2024-01-04T07:00,22.4,68,0.00,948.0,1.6,2.3,117,129
2024-01-04T08:00,22.9,66,0.00,946.9,2.2,2.5,90,98
2024-01-04T09:00,23.3,64,0.00,946.0,1.8,1.9,53,68
2024-01-04T10:00,23.1,62,0.10,945.5,2.4,2.9,27,30
2024-01-04T11:00,22.1,67,0.50,945.4,0.8,0.8,63,63
2024-01-04T12:00,20.8,72,0.10,945.7,2.2,4.0,81,95
2024-01-04T13:00,18.2,90,0.00,945.5,6.6,8.1,61,69
2024-01-04T14:00,17.7,92,0.00,946.4,6.2,15.5,21,22
2024-01-04T15:00,17.5,91,0.00,947.1,10.4,21.2,34,35
2024-01-04T16:00,16.9,94,0.00,947.6,7.9,18.2,47,51
2024-01-04T17:00,16.6,95,0.00,947.4,8.3,18.8,56,58
2024-01-04T18:00,16.3,96,0.00,947.1,8.4,18.5,59,61
2024-01-04T19:00,15.9,97,0.00,946.7,7.8,16.9,56,61
2024-01-04T20:00,15.3,98,0.00,946.3,7.4,16.9,67,70
2024-01-04T21:00,14.9,99,0.00,945.6,8.2,18.0,67,70
2024-01-04T22:00,14.2,100,0.00,945.2,5.0,14.0,69,67
2024-01-04T23:00,13.5,100,0.00,945.3,5.8,11.3,97,97
2024-01-05T00:00,14.5,100,0.00,945.9,5.2,11.2,65,88
2024-01-05T01:00,15.0,100,0.00,947.2,8.8,13.1,71,81
2024-01-05T02:00,15.2,99,0.00,947.4,9.8,13.8,62,70
2024-01-05T03:00,15.5,98,0.00,948.0,10.2,12.3,48,50
2024-01-05T04:00,16.8,92,0.00,949.0,8.7,9.5,48,53
2024-01-05T05:00,18.7,84,0.00,949.3,8.1,10.2,69,72
2024-01-05T06:00,21.0,73,0.00,948.6,4.1,5.1,38,45
2024-01-05T07:00,21.9,68,0.30,947.9,0.7,1.4,180,180
2024-01-05T08:00,22.1,67,0.20,946.9,1.8,2.3,307,288
2024-01-05T09:00,22.5,65,0.10,946.2,5.9,6.7,313,306
2024-01-05T10:00,22.1,65,0.10,945.8,7.9,9.7,321,318
2024-01-05T11:00,22.1,62,0.00,946.2,7.5,9.8,325,324
2024-01-05T12:00,20.6,70,0.00,946.5,4.4,10.2,351,342
2024-01-05T13:00,18.3,83,0.00,946.9,7.2,17.3,360,360
2024-01-05T14:00,17.1,89,0.00,947.0,6.0,15.7,25,20
2024-01-05T15:00,16.5,91,0.00,948.1,10.0,22.4,26,24
2024-01-05T16:00,15.8,93,0.00,948.2,9.2,21.3,42,39
