Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,86.75,141.5,8.2,12.3,13.2,19.82,9.62,1.15,30.0,,,,,,,13.9,93.0,0.75,99.25,0.0,0.0,8.75,727.0,
2024-01-01 01:00:00,95.0,143.75,6.55,13.98,12.78,21.3,8.95,0.85,32.5,,,,,,,13.38,92.5,0.55,74.0,0.0,0.0,6.75,726.75,
2024-01-01 02:00:00,66.25,107.5,5.03,14.68,11.88,23.28,8.57,0.8,38.8,,,,,,,13.18,93.0,0.6,89.75,0.0,0.0,9.25,726.0,
2024-01-01 03:00:00,60.0,100.5,6.05,11.78,11.2,24.72,7.8,0.82,39.38,,,,,,,13.35,93.5,0.8,101.75,0.0,0.0,6.0,726.5,
2024-01-01 04:00:00,56.5,101.5,4.4,16.65,12.42,22.8,7.52,0.8,43.85,,,,,,,12.98,94.0,0.7,104.5,0.0,0.0,10.5,727.0,
2024-01-01 05:00:00,54.0,100.25,6.75,12.85,12.28,20.0,7.08,0.87,42.75,,,,,,,12.78,93.75,0.68,99.0,0.0,0.0,12.5,727.0,
2024-01-01 06:00:00,51.5,100.25,5.88,14.4,12.42,18.62,8.12,0.96,35.5,,,,,,,12.72,93.0,0.32,124.0,0.0,0.0,10.5,727.75,
2024-01-01 07:00:00,51.5,94.5,8.3,9.93,12.05,18.82,7.52,1.08,33.95,,,,,,,12.85,94.0,0.5,108.75,0.0,0.0,37.75,728.5,
2024-01-01 08:00:00,47.75,85.5,5.88,8.45,9.32,19.62,6.9,1.04,33.2,,,,,,,13.05,94.0,0.95,105.75,0.0,0.0,191.5,729.0,
2024-01-01 09:00:00,52.5,90.5,7.3,11.65,12.12,20.0,8.78,0.9,41.0,,,,,,,14.62,92.0,1.12,107.25,0.0,0.0,564.25,729.0,
2024-01-01 10:00:00,63.0,94.5,5.72,14.88,12.55,22.95,9.27,0.87,54.38,,,,,,,17.82,80.25,1.32,120.0,0.0,0.0,690.25,728.75,
