Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,90.25,198.5,14.32,110.22,70.28,12.52,50.4,1.4,16.6,0.32,0.52,,,0.32,,19.1,78.0,0.85,256.25,0.0,0.0,11.0,,
2024-01-01 01:00:00,87.75,199.25,2.68,81.25,45.38,21.08,34.35,0.9,25.4,0.12,0.22,,,0.25,,19.05,76.0,1.3,282.75,0.0,0.0,11.0,,
2024-01-01 02:00:00,88.75,206.25,3.35,95.05,53.3,18.23,52.25,1.02,17.05,0.2,0.45,,,0.2,,18.35,79.5,0.9,269.5,0.0,0.0,10.75,,
2024-01-01 03:00:00,116.0,292.0,6.05,108.25,62.5,16.3,54.25,1.0,15.15,0.25,0.55,,,0.12,,18.02,82.25,0.65,268.0,0.0,0.0,11.0,,
2024-01-01 04:00:00,110.75,253.75,6.45,103.05,60.05,17.48,43.62,1.02,18.0,0.3,0.7,,,0.28,,17.85,83.5,0.85,266.75,0.0,0.0,11.0,,
2024-01-01 05:00:00,122.0,291.75,2.75,73.2,41.18,21.7,19.8,0.89,17.55,0.15,0.28,,,0.3,,17.65,85.0,0.95,261.5,0.0,0.0,11.0,,
2024-01-01 06:00:00,73.0,149.5,14.1,71.55,49.52,20.55,17.0,1.18,13.3,0.28,0.5,,,0.5,,17.02,86.0,0.38,138.5,0.0,0.0,10.75,,
2024-01-01 07:00:00,88.5,211.25,29.9,63.75,58.25,20.23,54.48,1.71,19.1,0.48,0.85,,,0.6,,16.7,86.25,0.45,106.25,0.0,0.0,19.5,,
2024-01-01 08:00:00,105.0,263.0,27.37,98.5,74.63,13.33,76.53,1.69,18.9,0.6,0.9,,,0.57,,18.3,81.67,0.57,219.67,0.0,0.0,49.0,,
2024-01-01 09:00:00,131.0,341.0,12.38,106.02,66.47,16.55,126.65,1.33,19.9,0.35,0.98,,,0.48,,19.8,70.75,1.08,295.0,0.0,0.0,82.0,,
2024-01-01 10:00:00,119.0,269.0,9.2,101.45,61.45,15.6,150.15,,24.75,0.25,0.8,,,0.1,,20.9,63.0,1.65,205.0,0.0,0.0,105.0,,
2024-01-01 11:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 12:00:00,64.0,152.0,,,,,79.6,0.54,41.3,0.1,0.1,,,,,24.35,55.0,2.25,106.0,0.0,0.0,208.0,,
2024-01-01 13:00:00,84.67,177.67,3.33,50.53,29.53,27.3,60.27,0.55,47.9,0.1,0.03,,,,,23.67,43.0,1.83,79.0,0.0,0.0,124.0,,
2024-01-01 14:00:00,70.0,115.0,1.23,42.5,23.6,28.87,48.43,0.51,47.57,0.03,0.03,,,0.1,,23.87,41.33,1.87,77.0,0.0,0.0,111.0,,
2024-01-01 15:00:00,59.5,121.0,1.38,38.33,21.45,29.72,41.9,0.5,48.38,0.08,0.0,,,,,24.02,40.75,1.33,76.25,0.0,0.0,62.75,,
2024-01-01 16:00:00,60.0,119.25,1.7,44.82,25.22,29.5,57.15,0.51,44.62,0.05,0.0,,,,,23.5,42.5,1.52,82.25,0.0,0.0,35.5,,
2024-01-01 17:00:00,74.5,185.25,2.5,73.5,41.1,22.38,132.33,1.41,33.88,0.12,0.18,,,0.1,,22.22,58.5,2.15,209.5,0.0,0.0,15.0,,
2024-01-01 18:00:00,75.0,178.5,2.58,81.15,45.28,19.9,187.55,1.88,26.0,0.15,0.22,,,0.5,,20.78,69.0,2.78,231.25,0.0,0.0,11.0,,
2024-01-01 19:00:00,78.25,167.75,3.75,83.48,47.48,18.08,183.2,1.88,22.4,0.2,0.28,,,,,19.92,74.25,2.82,230.0,0.0,0.0,11.0,,
2024-01-01 20:00:00,70.5,176.5,4.12,80.55,46.2,18.77,,1.98,21.9,0.18,0.25,,,0.1,,19.38,77.0,2.43,236.25,0.0,0.0,11.0,,
2024-01-01 21:00:00,73.25,177.0,4.22,80.12,46.05,18.95,,1.97,20.9,0.15,0.2,,,0.1,,18.9,79.25,2.68,233.75,0.0,0.0,11.0,,
2024-01-01 22:00:00,76.25,172.0,4.18,80.47,46.2,18.7,,1.89,19.12,0.2,0.22,,,,,18.68,80.5,2.2,234.75,0.0,0.0,11.0,,
2024-01-01 23:00:00,71.5,160.5,2.72,65.97,37.33,22.83,96.0,1.25,17.5,0.15,0.22,,,0.1,,18.27,82.75,1.62,250.0,0.0,0.0,11.0,,
2024-01-02 00:00:00,63.5,143.5,2.88,63.42,36.1,23.92,75.25,1.32,15.2,0.15,0.2,,,0.22,,17.95,84.75,1.08,266.0,0.0,0.0,11.0,,
2024-01-02 01:00:00,67.75,160.0,2.33,64.4,36.12,24.15,66.93,1.52,12.98,0.2,0.2,,,0.1,,17.77,86.0,0.75,241.25,0.0,0.0,11.0,,
2024-01-02 02:00:00,80.5,199.25,3.92,62.82,36.6,24.0,140.02,1.79,12.32,0.2,0.25,,,0.13,,17.38,86.5,1.42,248.75,0.0,0.0,10.75,,
2024-01-02 03:00:00,66.0,156.0,5.03,56.52,34.15,25.45,62.3,2.17,10.78,0.2,0.2,,,0.1,,16.95,88.0,1.4,249.5,0.0,0.0,11.0,,
2024-01-02 04:00:00,62.0,146.75,4.92,53.32,32.38,26.42,152.5,1.84,9.4,0.2,0.2,,,0.1,,16.38,89.5,2.05,244.5,0.0,0.0,11.0,,
2024-01-02 05:00:00,56.0,102.0,3.12,37.6,22.52,31.83,97.9,1.56,8.93,0.2,0.2,,,0.1,,16.18,92.0,1.4,252.5,0.0,0.0,11.0,,
2024-01-02 06:00:00,49.5,88.75,3.32,37.67,22.7,31.83,87.22,1.55,9.43,0.2,0.25,,,0.17,,16.23,92.0,0.78,258.75,0.0,0.0,11.0,,
2024-01-02 07:00:00,56.5,119.0,6.15,44.95,28.9,29.62,104.65,1.82,9.88,0.2,0.25,,,0.1,,16.32,92.25,1.08,238.75,0.0,0.0,14.0,,
2024-01-02 08:00:00,54.25,115.5,7.55,47.1,31.22,28.45,123.4,1.82,10.4,0.2,0.25,,,0.33,,16.35,93.0,1.27,232.75,0.0,0.0,24.0,,
2024-01-02 09:00:00,51.75,120.75,6.0,41.6,27.0,30.65,86.42,1.18,12.35,0.2,0.3,,,0.52,,16.52,93.0,1.4,259.75,0.0,0.0,38.0,,
2024-01-02 10:00:00,51.0,114.0,6.6,38.5,25.8,30.8,43.7,,12.5,0.2,0.2,,,0.3,,16.7,93.0,1.4,272.0,0.0,0.0,44.0,,
2024-01-02 11:00:00,47.0,112.0,3.1,41.5,24.6,29.7,75.1,1.16,21.3,0.2,0.2,,,0.1,,19.0,89.0,1.0,274.0,0.0,0.0,129.0,,
2024-01-02 12:00:00,74.0,180.0,3.5,46.35,27.5,29.15,42.65,1.12,27.6,0.2,0.2,,,0.15,,21.3,64.5,1.25,244.0,0.0,0.0,134.0,,
2024-01-02 13:00:00,77.25,185.5,4.3,54.05,32.22,26.85,53.32,0.92,32.52,0.2,0.25,,,0.15,,22.45,57.0,1.32,196.75,0.0,0.0,127.0,,
2024-01-02 14:00:00,68.5,166.0,2.92,54.82,31.55,26.62,68.12,0.74,38.9,0.1,0.2,,,0.1,,23.4,50.25,1.05,150.0,0.0,0.0,110.0,,
2024-01-02 15:00:00,68.5,159.25,1.75,57.65,32.1,25.95,62.72,0.78,40.72,0.1,0.25,,,0.15,,23.58,49.75,1.12,185.75,0.0,0.0,65.5,,
2024-01-02 16:00:00,70.5,164.5,2.28,59.55,33.5,25.6,72.75,0.82,40.3,0.1,0.78,,,0.18,,23.0,52.5,1.08,190.0,0.0,0.0,41.5,,
2024-01-02 17:00:00,68.0,160.67,2.8,69.87,39.4,23.57,52.05,1.38,28.07,0.17,0.47,,,0.97,,21.43,65.67,2.17,238.67,0.0,0.0,13.33,,
2024-01-02 18:00:00,77.75,173.5,4.25,79.4,45.68,21.22,,2.12,23.7,0.15,0.3,,,0.18,,20.35,72.0,3.15,226.75,0.0,0.0,11.0,,
2024-01-02 19:00:00,81.75,223.5,5.32,76.55,45.03,20.38,,2.08,20.3,0.2,0.32,,,0.13,,19.3,77.75,3.38,228.75,0.0,0.0,11.0,,
2024-01-02 20:00:00,90.0,245.5,4.78,68.12,40.1,23.18,,1.98,16.68,0.2,0.2,,,,,18.58,81.75,2.1,232.0,0.0,0.0,11.0,,
2024-01-02 21:00:00,66.67,165.33,4.77,59.67,35.63,25.13,,2.11,15.1,0.2,0.23,,,0.57,,17.9,84.67,1.97,240.0,0.0,0.0,11.0,,
2024-01-02 22:00:00,58.0,146.5,3.68,52.48,30.92,26.98,144.23,1.68,14.42,0.2,0.22,,,0.1,,17.5,86.5,1.78,247.5,0.0,0.0,11.0,,
2024-01-02 23:00:00,65.0,136.75,3.25,46.58,27.42,29.18,55.63,1.21,13.5,0.2,0.22,,,0.1,,17.25,88.0,1.62,253.5,0.0,0.0,11.0,,
2024-01-03 00:00:00,65.5,154.5,3.3,45.62,26.95,29.4,40.12,1.13,12.25,0.2,0.2,,,0.1,,17.02,88.75,1.5,252.75,0.0,0.0,10.75,,
2024-01-03 01:00:00,58.25,149.75,2.82,43.98,25.68,30.18,37.08,1.12,11.4,0.2,0.2,,,0.1,,16.77,90.25,1.23,259.0,0.0,0.0,11.0,,
2024-01-03 02:00:00,63.75,160.75,3.65,40.6,24.58,31.45,17.48,1.03,11.35,0.2,0.2,,,0.15,,16.73,91.0,0.7,265.75,0.0,0.0,11.0,,
2024-01-03 03:00:00,75.0,159.25,3.3,46.7,27.52,30.35,58.25,1.06,10.07,0.2,0.22,,,0.12,,16.8,91.5,1.3,200.25,0.0,0.0,11.0,,
2024-01-03 04:00:00,62.5,123.0,3.22,48.0,28.15,29.12,101.93,1.46,12.18,0.2,0.22,,,0.1,,16.85,92.0,1.23,193.5,0.0,0.0,11.0,,
2024-01-03 05:00:00,53.25,111.0,1.8,41.32,23.45,30.68,36.83,0.96,13.88,0.2,0.2,,,,,17.0,93.0,1.75,195.5,0.0,0.0,11.0,,
2024-01-03 06:00:00,62.0,144.0,3.77,53.62,31.6,26.55,97.4,1.52,15.08,0.2,0.2,,,,,17.1,92.25,2.22,226.5,0.0,0.0,11.0,,
2024-01-03 07:00:00,74.5,159.5,3.92,51.75,30.7,27.1,141.93,1.36,15.42,0.2,0.2,,,0.15,,17.08,92.0,1.35,236.25,0.0,0.0,12.5,,
2024-01-03 08:00:00,68.25,157.25,5.0,54.65,33.12,27.52,104.72,1.31,14.13,0.2,0.3,,,0.32,,17.2,92.0,1.23,232.25,0.0,0.0,15.0,,
2024-01-03 09:00:00,72.0,177.0,7.65,53.98,34.93,25.55,115.42,1.28,15.55,0.2,0.3,,,0.22,,17.3,92.0,1.62,215.75,0.0,0.0,17.25,,
2024-01-03 10:00:00,72.0,189.0,6.7,54.7,34.5,27.6,,,16.3,0.2,0.4,,,0.1,,17.5,91.0,2.0,226.0,0.0,0.0,27.0,,
2024-01-03 11:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-03 12:00:00,66.5,167.75,3.85,44.6,26.85,29.4,62.02,0.98,20.23,0.2,0.28,,,0.28,,19.08,79.25,1.82,274.25,0.0,0.0,130.75,,
2024-01-03 13:00:00,68.5,180.0,4.35,52.55,31.55,26.9,53.1,0.97,26.75,0.2,0.25,,,0.9,,20.8,68.0,1.3,247.0,0.0,0.0,130.0,,
2024-01-03 14:00:00,72.0,185.0,4.0,59.05,34.7,26.1,44.4,0.9,32.45,0.15,0.45,,,0.25,,21.3,64.5,1.0,241.5,0.0,0.0,74.5,,
