latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
19.086115,74.71866,660.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,17.1,80,0.00,938.9,8.9,17.7,117,110
2024-01-01T01:00,17.7,73,0.00,940.4,12.0,25.0,136,134
2024-01-01T02:00,17.3,75,0.00,941.2,14.2,26.8,150,147
2024-01-01T03:00,19.2,68,0.00,942.4,14.8,29.0,151,145
2024-01-01T04:00,21.5,59,0.00,943.7,16.9,23.4,151,151
2024-01-01T05:00,23.8,52,0.00,943.8,17.3,22.7,157,157
2024-01-01T06:00,25.9,46,0.00,943.4,17.0,21.7,159,159
2024-01-01T07:00,27.4,38,0.00,942.4,14.2,17.7,164,163
2024-01-01T08:00,28.2,34,0.00,941.2,10.2,12.4,172,172
2024-01-01T09:00,28.5,33,0.00,940.3,7.6,9.0,180,180
2024-01-01T10:00,28.4,33,0.00,939.9,5.9,6.9,191,189
2024-01-01T11:00,28.0,33,0.00,939.6,4.7,5.4,203,200
2024-01-01T12:00,26.3,51,0.00,939.3,4.3,5.1,228,219
2024-01-01T13:00,23.1,49,0.00,939.4,10.9,11.9,262,265
2024-01-01T14:00,23.1,47,0.00,940.3,8.9,13.1,243,261
2024-01-01T15:00,21.4,53,0.00,940.5,4.7,4.3,113,185
2024-01-01T16:00,20.6,58,0.00,940.8,5.4,9.4,110,137
2024-01-01T17:00,19.8,60,0.00,940.4,6.9,13.4,129,144
2024-01-01T18:00,18.8,62,0.00,939.8,9.4,13.5,130,151
2024-01-01T19:00,18.2,64,0.00,939.1,9.2,16.3,116,133
2024-01-01T20:00,18.4,63,0.00,938.9,7.8,17.4,112,120
2024-01-01T21:00,18.3,65,0.00,938.5,7.6,18.5,121,127
2024-01-01T22:00,17.5,69,0.00,938.2,4.2,6.1,239,177
2024-01-01T23:00,16.1,74,0.00,938.1,7.9,7.4,300,284
2024-01-02T00:00,15.8,74,0.00,938.2,8.7,7.3,355,327
2024-01-02T01:00,17.5,69,0.00,939.8,3.6,1.1,37,72
2024-01-02T02:00,15.3,82,0.00,939.8,5.5,6.6,148,151
2024-01-02T03:00,19.0,65,0.00,941.6,9.6,16.3,146,145
2024-01-02T04:00,21.4,59,0.00,942.6,15.1,20.5,152,152
2024-01-02T05:00,23.7,53,0.00,942.8,16.9,22.1,156,156
2024-01-02T06:00,25.7,48,0.00,942.1,17.2,22.2,160,160
2024-01-02T07:00,27.2,42,0.00,941.1,15.9,20.3,162,160
2024-01-02T08:00,28.2,37,0.00,940.0,13.2,16.6,163,162
2024-01-02T09:00,28.7,35,0.00,939.3,11.7,14.3,169,168
2024-01-02T10:00,28.7,34,0.00,938.5,10.1,12.6,180,178
2024-01-02T11:00,28.3,35,0.00,938.6,8.7,10.8,197,195
2024-01-02T12:00,26.7,39,0.00,938.5,6.4,12.5,227,226
2024-01-02T13:00,23.5,43,0.00,938.8,7.3,16.9,259,258
2024-01-02T14:00,23.0,47,0.00,939.6,8.9,12.3,243,249
2024-01-02T15:00,19.8,60,0.00,939.5,5.4,3.7,98,151
