latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
20.702986,77.0,285.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,15.1,94,0.00,981.1,6.5,10.2,71,100
2024-01-01T01:00,15.1,93,0.00,982.3,5.2,13.0,102,124
2024-01-01T02:00,16.0,89,0.00,982.9,6.6,14.0,112,136
2024-01-01T03:00,19.4,77,0.00,984.0,6.0,12.6,123,156
2024-01-01T04:00,22.5,68,0.00,984.8,2.3,5.2,141,164
2024-01-01T05:00,24.8,62,0.00,984.8,1.8,1.6,37,63
2024-01-01T06:00,26.8,57,0.00,984.0,3.7,4.3,79,95
2024-01-01T07:00,28.2,51,0.00,982.6,4.7,5.9,90,101
2024-01-01T08:00,29.1,45,0.00,981.3,4.3,5.4,85,98
2024-01-01T09:00,29.5,42,0.00,980.4,3.9,4.4,68,81
2024-01-01T10:00,29.4,42,0.00,979.9,3.9,4.8,56,63
2024-01-01T11:00,28.4,49,0.00,979.6,3.8,7.0,49,55
2024-01-01T12:00,25.3,57,0.00,979.6,6.9,15.8,47,49
2024-01-01T13:00,23.5,63,0.00,980.2,7.4,18.7,61,50
2024-01-01T14:00,22.2,67,0.00,980.8,8.1,18.4,69,55
2024-01-01T15:00,21.8,68,0.00,981.5,6.8,18.9,87,69
2024-01-01T16:00,22.2,65,0.00,982.2,7.1,20.2,114,101
2024-01-01T17:00,20.5,74,0.00,982.2,6.4,13.5,142,134
2024-01-01T18:00,19.8,81,0.00,981.9,6.1,12.7,130,151
2024-01-01T19:00,20.3,78,0.00,981.3,7.9,17.2,120,143
2024-01-01T20:00,20.5,76,0.00,980.8,8.6,18.6,123,137
2024-01-01T21:00,19.8,78,0.00,980.2,6.4,16.6,106,117
2024-01-01T22:00,18.5,85,0.00,979.9,9.0,14.9,127,122
2024-01-01T23:00,17.6,88,0.00,979.9,6.7,13.4,74,95
2024-01-02T00:00,17.1,89,0.00,980.5,5.9,15.6,104,105
2024-01-02T01:00,16.7,93,0.00,981.8,5.9,14.2,104,114
2024-01-02T02:00,16.9,91,0.00,982.4,7.7,13.7,101,120
2024-01-02T03:00,19.4,82,0.00,983.2,5.4,10.6,86,118
2024-01-02T04:00,22.0,74,0.00,983.9,4.2,5.8,110,120
2024-01-02T05:00,24.4,66,0.00,983.7,3.3,4.0,84,95
2024-01-02T06:00,26.5,59,0.00,982.8,4.0,5.2,95,106
2024-01-02T07:00,28.0,51,0.00,981.4,5.9,7.6,101,109
2024-01-02T08:00,28.8,44,0.00,980.3,5.1,6.3,98,103
2024-01-02T09:00,29.2,40,0.00,979.5,3.0,3.8,104,107
2024-01-02T10:00,29.1,40,0.00,978.9,2.2,2.9,81,90
2024-01-02T11:00,28.8,44,0.00,979.1,2.4,4.1,27,38
2024-01-02T12:00,25.4,55,0.00,979.0,6.2,13.5,21,29
2024-01-02T13:00,22.5,65,0.00,979.5,10.8,14.0,21,26
2024-01-02T14:00,22.2,64,0.00,980.2,7.7,9.3,49,36
2024-01-02T15:00,21.2,66,0.00,981.0,6.7,16.3,74,62
2024-01-02T16:00,20.7,71,0.00,981.4,6.5,17.9,109,109
2024-01-02T17:00,20.6,73,0.00,981.4,7.2,17.1,117,131
2024-01-02T18:00,19.7,78,0.00,980.9,7.2,17.1,127,131
2024-01-02T19:00,18.8,82,0.00,980.6,5.9,16.4,142,140
2024-01-02T20:00,18.1,83,0.00,980.1,6.9,17.4,129,142
2024-01-02T21:00,18.5,77,0.00,979.7,7.1,19.7,114,130
2024-01-02T22:00,17.7,78,0.00,979.4,6.6,17.3,112,133
2024-01-02T23:00,17.2,80,0.00,979.4,7.6,12.3,95,142
2024-01-03T00:00,16.6,84,0.00,979.6,6.0,7.9,65,137
2024-01-03T01:00,17.0,86,0.00,980.9,2.2,3.7,9,169
2024-01-03T02:00,17.5,84,0.00,981.7,5.0,6.6,60,103
2024-01-03T03:00,20.0,79,0.00,982.6,5.8,11.1,83,103
2024-01-03T04:00,22.5,71,0.00,983.3,5.2,7.0,115,125
2024-01-03T05:00,24.4,65,0.00,983.3,3.3,4.2,96,110
2024-01-03T06:00,26.1,60,0.00,982.4,3.6,4.9,96,107
2024-01-03T07:00,27.2,54,0.10,981.0,3.9,5.0,146,150
2024-01-03T08:00,27.9,49,0.00,979.7,3.3,4.7,186,180
2024-01-03T09:00,28.3,46,0.00,978.9,2.3,3.3,231,221
2024-01-03T10:00,28.4,45,0.00,978.7,1.0,1.4,315,270
2024-01-03T11:00,28.0,49,0.00,978.5,2.3,2.7,18,23
2024-01-03T12:00,25.4,56,0.00,978.6,7.6,15.5,31,36
2024-01-03T13:00,23.4,67,0.00,978.6,7.7,15.3,49,51
2024-01-03T14:00,22.3,71,0.00,979.1,7.6,19.8,71,65
2024-01-03T15:00,21.5,74,0.00,979.6,6.6,18.9,77,69
2024-01-03T16:00,20.0,83,0.00,980.3,9.0,14.8,106,84
2024-01-03T17:00,20.1,79,0.00,980.2,5.8,13.8,158,123
2024-01-03T18:00,19.1,85,0.00,979.9,6.5,10.5,124,121
2024-01-03T19:00,18.9,84,0.00,979.3,6.8,18.3,90,100
2024-01-03T20:00,18.9,84,0.00,979.2,7.6,20.3,109,107
2024-01-03T21:00,19.0,85,0.00,979.4,7.3,18.6,147,137
2024-01-03T22:00,18.5,88,0.00,979.7,9.2,12.8,339,349
2024-01-03T23:00,17.6,95,0.00,980.1,5.1,8.3,315,360
2024-01-04T00:00,17.6,95,0.00,980.0,5.3,12.5,62,44
2024-01-04T01:00,17.4,96,0.00,981.6,4.4,8.5,35,28
2024-01-04T02:00,17.9,94,0.00,982.0,5.4,6.6,90,68
2024-01-04T03:00,20.1,88,0.00,983.3,4.1,5.7,135,125
2024-01-04T04:00,22.5,75,0.00,984.2,4.3,5.7,95,108
2024-01-04T05:00,24.4,64,0.00,983.8,4.9,6.4,107,117
2024-01-04T06:00,26.0,60,0.00,982.8,5.9,7.6,128,135
2024-01-04T07:00,27.2,54,0.00,981.4,9.0,12.3,175,177
2024-01-04T08:00,27.6,48,0.10,980.1,10.7,14.3,192,190
2024-01-04T09:00,28.2,45,0.00,979.0,8.8,12.1,192,192
2024-01-04T10:00,28.1,45,0.00,978.6,7.6,10.6,205,204
2024-01-04T11:00,27.3,51,0.00,978.3,4.3,8.4,204,200
