latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
20.913883,74.77204,269.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,20.7,74,0.00,982.8,4.0,5.7,333,35
2024-01-01T01:00,17.8,88,0.00,983.4,3.9,3.7,202,191
2024-01-01T02:00,18.0,88,0.00,984.0,5.8,12.8,202,212
2024-01-01T03:00,21.1,72,0.00,985.0,9.3,20.3,208,213
2024-01-01T04:00,24.5,55,0.00,986.1,9.4,14.0,198,198
2024-01-01T05:00,26.8,47,0.00,986.0,9.5,12.5,169,168
2024-01-01T06:00,28.4,42,0.00,985.2,9.4,12.0,157,159
2024-01-01T07:00,29.8,38,0.00,984.0,9.9,13.1,161,164
2024-01-01T08:00,30.9,35,0.00,982.6,9.8,12.6,172,175
2024-01-01T09:00,31.5,32,0.00,981.7,7.9,10.5,183,186
2024-01-01T10:00,31.6,30,0.00,981.1,7.1,9.3,195,196
2024-01-01T11:00,31.0,31,0.00,980.9,7.0,9.3,192,196
2024-01-01T12:00,28.5,40,0.00,980.6,5.0,11.4,150,169
2024-01-01T13:00,26.2,46,0.00,981.2,7.9,15.7,133,143
2024-01-01T14:00,24.3,54,0.00,982.0,5.2,15.0,164,145
2024-01-01T15:00,23.3,57,0.00,982.9,4.9,9.3,287,306
2024-01-01T16:00,22.4,62,0.00,983.3,7.1,13.4,15,20
2024-01-01T17:00,21.8,67,0.00,983.5,6.6,9.4,338,7
2024-01-01T18:00,20.7,73,0.00,983.2,6.8,9.1,302,7
2024-01-01T19:00,20.5,73,0.00,982.7,4.7,6.9,279,351
2024-01-01T20:00,20.7,71,0.00,982.5,6.2,11.6,291,334
2024-01-01T21:00,19.6,76,0.00,982.1,7.0,12.6,305,340
2024-01-01T22:00,18.8,80,0.00,981.5,7.5,9.7,287,338
2024-01-01T23:00,20.5,72,0.00,981.8,3.2,6.6,270,9
2024-01-02T00:00,18.2,85,0.00,981.9,5.1,5.0,278,360
2024-01-02T01:00,17.9,89,0.00,982.9,3.4,2.3,288,18
2024-01-02T02:00,18.9,84,0.00,983.6,1.5,1.1,284,90
2024-01-02T03:00,20.9,77,0.00,984.2,1.1,2.9,180,150
2024-01-02T04:00,23.7,66,0.00,984.8,3.5,4.9,156,163
2024-01-02T05:00,26.3,55,0.00,984.8,5.9,8.1,142,148
2024-01-02T06:00,28.2,46,0.00,983.9,8.4,10.8,140,143
2024-01-02T07:00,29.7,40,0.00,982.6,9.3,11.8,144,149
2024-01-02T08:00,30.7,34,0.00,981.4,9.4,12.1,162,168
2024-01-02T09:00,31.5,31,0.00,980.5,8.7,11.5,173,176
2024-01-02T10:00,31.5,29,0.00,979.8,9.5,12.5,189,192
2024-01-02T11:00,31.0,29,0.00,980.0,8.7,12.2,197,199
2024-01-02T12:00,28.4,39,0.00,980.0,5.2,11.9,155,175
2024-01-02T13:00,26.4,43,0.00,980.4,9.0,19.6,157,167
2024-01-02T14:00,25.3,47,0.00,981.5,4.9,6.6,234,221
2024-01-02T15:00,24.1,52,0.00,982.3,8.2,18.5,345,353
2024-01-02T16:00,23.3,58,0.00,982.8,6.8,18.0,357,2
2024-01-02T17:00,21.6,65,0.00,982.9,6.3,14.4,301,328
2024-01-02T18:00,21.5,66,0.00,982.7,7.1,16.1,300,318
2024-01-02T19:00,20.9,71,0.00,982.4,6.9,16.8,298,318
2024-01-02T20:00,20.3,76,0.00,982.1,6.9,16.9,298,308
2024-01-02T21:00,19.9,82,0.00,981.7,7.6,16.6,278,304
2024-01-02T22:00,18.9,88,0.00,981.4,5.4,11.7,278,315
2024-01-02T23:00,18.6,90,0.00,981.4,5.6,11.4,285,325
2024-01-03T00:00,18.1,92,0.00,981.5,5.8,10.1,274,325
2024-01-03T01:00,18.3,95,0.00,982.3,7.1,9.0,315,344
2024-01-03T02:00,19.2,91,0.00,983.1,3.2,4.8,297,13
2024-01-03T03:00,20.5,85,0.00,983.7,1.3,3.1,34,54
2024-01-03T04:00,22.8,72,0.00,984.4,1.8,2.2,79,90
2024-01-03T05:00,25.1,61,0.00,984.7,3.7,4.6,101,108
2024-01-03T06:00,26.9,53,0.00,983.7,5.9,7.7,128,131
2024-01-03T07:00,28.2,49,0.00,982.3,8.1,10.2,159,162
2024-01-03T08:00,28.8,45,0.10,981.0,8.3,10.9,182,186
2024-01-03T09:00,29.9,39,0.00,980.0,6.6,9.0,202,203
2024-01-03T10:00,30.4,34,0.00,979.5,6.6,8.9,221,220
2024-01-03T11:00,30.3,33,0.00,979.3,3.5,5.2,246,236
2024-01-03T12:00,28.0,41,0.00,979.5,7.6,14.7,31,28
2024-01-03T13:00,24.9,58,0.00,980.1,5.9,14.9,11,20
2024-01-03T14:00,24.1,62,0.00,981.2,9.7,20.3,333,340
2024-01-03T15:00,22.8,69,0.00,982.0,5.2,15.5,335,342
2024-01-03T16:00,21.6,77,0.00,982.0,6.5,9.4,56,23
2024-01-03T17:00,21.3,77,0.00,982.4,5.9,15.3,47,43
2024-01-03T18:00,20.3,82,0.00,982.2,4.8,13.7,48,45
2024-01-03T19:00,19.4,86,0.00,981.7,4.7,12.7,4,25
2024-01-03T20:00,18.9,90,0.00,981.7,5.6,8.9,333,14
2024-01-03T21:00,19.2,88,0.00,981.7,3.0,4.8,284,13
2024-01-03T22:00,19.4,87,0.00,981.4,0.8,3.3,243,49
2024-01-03T23:00,18.1,93,0.00,981.2,1.8,3.3,270,49
2024-01-04T00:00,18.4,92,0.00,982.0,3.7,6.4,169,106
2024-01-04T01:00,19.4,91,0.00,982.9,7.2,17.0,72,85
2024-01-04T02:00,18.9,93,0.00,983.5,4.3,12.7,95,97
2024-01-04T03:00,20.5,85,0.00,984.5,5.2,9.0,102,106
2024-01-04T04:00,22.5,76,0.00,985.1,5.2,6.8,78,87
2024-01-04T05:00,24.4,65,0.10,985.3,6.8,8.7,93,97
2024-01-04T06:00,25.8,59,0.00,984.2,5.7,7.4,108,113
2024-01-04T07:00,27.0,55,0.00,982.7,4.9,6.2,126,126
2024-01-04T08:00,27.5,51,0.20,981.3,3.3,4.5,167,166
2024-01-04T09:00,28.3,46,0.00,980.4,1.1,2.2,162,189
2024-01-04T10:00,28.8,42,0.00,979.7,1.9,1.8,68,90
2024-01-04T11:00,28.7,40,0.00,979.4,6.0,6.5,65,71
2024-01-04T12:00,26.8,50,0.00,979.8,12.5,21.2,49,48
2024-01-04T13:00,24.3,61,0.00,980.6,8.6,18.0,358,358
2024-01-04T14:00,23.4,67,0.00,981.5,11.6,23.0,355,359
2024-01-04T15:00,22.7,72,0.00,982.2,8.0,19.2,5,8
2024-01-04T16:00,21.7,76,0.00,982.9,6.2,15.7,7,16
2024-01-04T17:00,21.0,80,0.00,982.8,7.0,15.6,348,7
2024-01-04T18:00,20.5,82,0.00,982.5,8.8,18.8,341,356
2024-01-04T19:00,19.3,89,0.00,982.3,5.8,14.2,360,9
2024-01-04T20:00,18.7,92,0.00,982.3,6.7,11.0,344,11
2024-01-04T21:00,18.8,91,0.00,981.9,4.6,10.8,321,358
2024-01-04T22:00,18.4,93,0.00,981.4,5.9,12.9,317,342
2024-01-04T23:00,18.2,94,0.00,981.4,4.3,7.6,336,8
2024-01-05T00:00,17.1,97,0.00,981.7,4.3,4.5,275,346
2024-01-05T01:00,18.3,99,0.00,982.9,2.9,3.8,263,287
2024-01-05T02:00,19.4,94,0.00,983.5,5.4,6.3,290,294
2024-01-05T03:00,20.3,89,0.00,984.3,3.7,4.0,281,270
2024-01-05T04:00,21.8,81,0.00,985.1,2.4,2.7,297,293
2024-01-05T05:00,23.8,70,0.00,985.1,2.0,2.3,45,51
2024-01-05T06:00,25.2,63,0.10,984.2,3.6,4.4,53,55
2024-01-05T07:00,26.2,58,0.10,983.1,4.3,4.8,48,48
2024-01-05T08:00,27.4,50,0.00,981.8,3.1,3.3,45,41
2024-01-05T09:00,28.3,43,0.00,980.8,2.3,2.5,51,45
2024-01-05T10:00,28.6,40,0.00,980.4,4.5,4.5,61,61
2024-01-05T11:00,28.2,41,0.00,980.4,9.4,11.3,67,68
2024-01-05T12:00,26.3,50,0.00,980.9,14.3,23.2,65,64
2024-01-05T13:00,23.4,70,0.00,982.0,10.2,18.9,42,40
2024-01-05T14:00,22.1,77,0.10,983.0,6.2,12.3,7,15
2024-01-05T15:00,21.8,77,0.00,983.6,5.5,13.0,23,24
2024-01-05T16:00,21.6,78,0.00,983.5,8.0,17.2,18,29
2024-01-05T17:00,20.8,81,0.00,984.0,9.5,20.7,9,17
2024-01-05T18:00,20.1,84,0.00,983.8,6.5,17.1,19,28
2024-01-05T19:00,18.9,90,0.00,983.6,7.1,13.0,30,42
2024-01-05T20:00,18.8,90,0.00,983.4,6.6,10.6,49,62
2024-01-05T21:00,19.0,88,0.00,983.1,5.6,8.9,45,76
2024-01-05T22:00,17.8,94,0.00,982.6,5.9,8.6,14,68
2024-01-05T23:00,18.8,89,0.00,982.6,4.6,8.3,45,90
2024-01-06T00:00,17.6,94,0.00,982.9,6.6,10.6,119,108
2024-01-06T01:00,18.2,93,0.00,983.3,5.4,9.0,127,106
2024-01-06T02:00,17.7,96,0.00,983.8,1.8,2.6,270,124
2024-01-06T03:00,20.2,86,0.00,985.2,2.3,5.7,219,145
2024-01-06T04:00,22.4,75,0.00,985.8,3.6,5.1,37,51
2024-01-06T05:00,24.6,64,0.00,985.6,6.1,8.0,50,54
2024-01-06T06:00,26.2,57,0.00,984.6,6.6,8.4,77,80
2024-01-06T07:00,27.0,54,0.00,983.5,8.7,11.2,95,96
2024-01-06T08:00,27.7,49,0.00,982.4,9.0,11.5,85,86
2024-01-06T09:00,28.3,46,0.00,981.7,9.1,11.6,81,83
2024-01-06T10:00,28.2,46,0.00,981.4,8.8,11.3,78,81
2024-01-06T11:00,27.8,47,0.00,981.4,9.2,12.5,69,72
2024-01-06T12:00,26.5,51,0.00,981.9,5.7,12.1,55,63
2024-01-06T13:00,22.7,63,0.00,983.2,6.0,13.7,57,67
2024-01-06T14:00,22.6,64,0.00,983.9,6.5,16.1,56,66
2024-01-06T15:00,21.5,69,0.00,984.4,6.4,16.4,52,61
2024-01-06T16:00,20.9,72,0.00,984.9,6.4,16.1,52,61
2024-01-06T17:00,20.5,75,0.00,985.0,6.6,16.7,68,71
2024-01-06T18:00,20.0,79,0.00,984.7,6.5,16.9,90,89
2024-01-06T19:00,19.8,82,0.00,984.3,6.5,16.9,93,92
2024-01-06T20:00,19.4,85,0.00,983.8,5.5,16.0,101,98
2024-01-06T21:00,18.9,88,0.20,983.5,4.6,13.8,72,83
2024-01-06T22:00,18.6,89,0.00,983.2,5.4,14.8,82,84
2024-01-06T23:00,18.0,92,0.00,983.2,5.8,16.2,97,93
2024-01-07T00:00,17.9,91,0.00,983.5,7.4,18.4,104,96
2024-01-07T01:00,18.2,92,0.00,984.4,5.0,10.8,21,53
2024-01-07T02:00,18.1,92,0.00,985.2,5.4,11.9,4,29
2024-01-07T03:00,19.6,84,0.00,986.1,5.7,9.2,72,69
2024-01-07T04:00,21.4,77,0.00,986.6,9.0,12.3,92,95
2024-01-07T05:00,23.3,69,0.00,986.8,7.2,9.7,84,88
2024-01-07T06:00,25.2,59,0.00,985.9,6.8,8.6,87,90
2024-01-07T07:00,26.4,54,0.00,984.6,6.2,7.9,83,87
2024-01-07T08:00,27.4,51,0.00,983.4,6.9,8.6,81,88
2024-01-07T09:00,28.1,49,0.00,982.4,5.9,7.3,104,110
2024-01-07T10:00,28.3,48,0.00,981.8,5.1,6.4,98,106
2024-01-07T11:00,27.9,49,0.00,981.8,5.9,7.2,79,84
2024-01-07T12:00,26.6,56,0.00,981.8,4.0,8.6,90,88
2024-01-07T13:00,23.8,67,0.00,982.5,6.2,13.7,69,72
2024-01-07T14:00,23.0,72,0.10,983.1,5.9,14.6,43,50
2024-01-07T15:00,22.4,74,0.00,983.9,7.0,16.6,35,41
2024-01-07T16:00,22.2,75,0.00,984.4,7.0,16.8,35,48
2024-01-07T17:00,21.5,79,0.10,984.7,10.0,20.1,38,47
2024-01-07T18:00,20.6,83,0.00,984.4,5.9,15.3,43,56
2024-01-07T19:00,19.9,87,0.00,984.1,4.7,13.9,58,80
2024-01-07T20:00,19.3,90,0.00,983.8,7.0,13.7,78,92
2024-01-07T21:00,18.9,92,0.00,983.6,7.2,12.6,72,87
2024-01-07T22:00,19.2,90,0.00,983.5,5.8,15.5,86,86
2024-01-07T23:00,18.8,92,0.00,983.6,6.9,17.0,99,95
2024-01-08T00:00,18.2,94,0.00,983.8,5.4,14.8,86,91
2024-01-08T01:00,17.7,96,0.00,984.5,4.5,10.3,29,65
2024-01-08T02:00,17.4,97,0.00,985.2,5.6,9.7,40,68
2024-01-08T03:00,19.7,88,0.00,986.4,4.2,8.8,70,81
2024-01-08T04:00,21.7,79,0.00,986.9,4.0,5.4,95,98
2024-01-08T05:00,23.9,69,0.00,987.0,4.7,5.8,113,120
2024-01-08T06:00,25.9,58,0.00,985.9,4.6,6.1,129,135
2024-01-08T07:00,27.3,53,0.00,984.4,6.3,7.9,121,129
2024-01-08T08:00,28.6,49,0.00,983.3,8.1,10.0,122,128
2024-01-08T09:00,29.4,46,0.00,982.2,8.9,11.5,117,122
2024-01-08T10:00,29.4,45,0.00,981.7,10.5,13.7,112,117
2024-01-08T11:00,28.8,47,0.00,981.7,10.5,14.0,98,102
2024-01-08T12:00,27.2,52,0.00,981.7,7.5,15.6,55,61
2024-01-08T13:00,23.6,67,0.00,982.4,8.6,10.2,22,45
2024-01-08T14:00,23.8,64,0.00,983.2,9.7,21.3,31,34
2024-01-08T15:00,23.3,67,0.00,983.9,9.9,23.2,44,46
2024-01-08T16:00,22.2,73,0.00,984.3,7.6,18.9,59,66
2024-01-08T17:00,21.3,77,0.00,984.5,7.6,18.3,71,80
2024-01-08T18:00,20.6,81,0.00,984.0,6.6,16.6,77,85
2024-01-08T19:00,19.9,84,0.00,983.5,6.1,16.6,90,94
2024-01-08T20:00,19.4,87,0.00,983.3,6.0,16.1,107,106
2024-01-08T21:00,19.5,86,0.00,982.9,5.9,17.4,101,103
2024-01-08T22:00,19.2,87,0.00,982.5,6.5,18.0,84,92
2024-01-08T23:00,18.3,91,0.00,982.4,6.5,15.9,93,95
2024-01-09T00:00,19.3,85,0.00,983.0,4.8,9.4,77,97
2024-01-09T01:00,18.2,86,0.00,983.9,5.4,8.7,176,138
2024-01-09T02:00,18.0,87,0.00,983.9,5.2,8.1,146,135
2024-01-09T03:00,20.4,75,0.00,984.8,2.3,6.5,141,186
2024-01-09T04:00,22.8,63,0.00,985.8,1.4,2.9,90,173
2024-01-09T05:00,24.8,56,0.00,986.0,3.3,4.7,167,184
2024-01-09T06:00,25.6,54,0.00,985.4,2.3,3.3,141,167
2024-01-09T07:00,27.1,52,0.00,984.2,1.1,1.1,72,108
2024-01-09T08:00,28.1,51,0.00,983.2,2.3,2.4,51,63
2024-01-09T09:00,29.0,49,0.00,982.5,5.9,6.6,47,49
2024-01-09T10:00,28.7,49,0.00,982.4,9.2,11.4,59,62
2024-01-09T11:00,28.0,51,0.00,982.2,8.2,11.3,61,63
2024-01-09T12:00,26.9,56,0.00,982.5,5.2,11.6,56,64
2024-01-09T13:00,24.6,71,0.00,983.4,5.7,7.2,35,72
2024-01-09T14:00,23.7,72,0.00,984.1,8.0,11.4,54,77
2024-01-09T15:00,24.1,67,0.00,984.9,6.9,17.4,118,117
2024-01-09T16:00,24.1,59,0.00,985.5,12.0,23.3,139,141
2024-01-09T17:00,23.7,61,0.00,985.3,6.8,15.6,155,157
2024-01-09T18:00,22.9,67,0.00,985.0,8.0,16.9,172,179
2024-01-09T19:00,22.5,72,0.00,984.6,7.6,17.3,172,178
2024-01-09T20:00,21.8,75,0.00,984.3,5.6,14.4,165,176
2024-01-09T21:00,21.0,80,0.00,983.9,5.0,11.6,159,175
