latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
18.383127,76.53959,639.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,15.0,85,0.00,941.5,6.1,15.3,140,141
2024-01-01T01:00,15.1,84,0.00,943.1,7.3,19.0,147,147
2024-01-01T02:00,15.8,84,0.00,943.8,8.4,19.0,149,151
2024-01-01T03:00,18.7,76,0.00,945.1,6.4,17.3,153,157
2024-01-01T04:00,21.6,69,0.00,946.3,7.4,10.5,151,153
2024-01-01T05:00,24.3,58,0.00,946.3,8.6,11.0,147,148
2024-01-01T06:00,26.1,47,0.00,945.7,7.6,9.7,135,135
2024-01-01T07:00,27.2,41,0.00,944.6,5.4,6.5,110,109
2024-01-01T08:00,27.7,38,0.00,943.3,4.0,5.1,85,86
2024-01-01T09:00,28.0,36,0.00,942.5,4.0,4.8,63,63
2024-01-01T10:00,28.0,34,0.00,942.1,3.9,4.7,56,58
2024-01-01T11:00,27.4,35,0.00,941.8,3.3,4.1,49,52
2024-01-01T12:00,26.5,38,0.00,941.9,1.3,2.0,326,45
2024-01-01T13:00,26.0,43,0.00,942.5,2.5,2.3,8,18
2024-01-01T14:00,22.5,55,0.00,942.7,5.6,8.9,40,47
2024-01-01T15:00,22.3,58,0.00,943.1,8.9,18.4,58,73
2024-01-01T16:00,21.5,61,0.00,943.6,5.9,16.6,128,112
2024-01-01T17:00,21.2,61,0.00,943.7,7.0,16.8,145,133
2024-01-01T18:00,21.4,60,0.00,943.4,8.2,19.2,142,140
2024-01-01T19:00,20.9,61,0.00,942.7,6.5,15.8,109,120
2024-01-01T20:00,18.4,71,0.00,941.6,6.0,15.4,107,111
2024-01-01T21:00,17.9,72,0.00,941.4,8.1,19.6,135,134
2024-01-01T22:00,17.1,75,0.00,940.9,7.8,19.4,146,149
2024-01-01T23:00,16.6,80,0.00,940.7,6.3,18.0,149,151
2024-01-02T00:00,16.5,83,0.00,941.1,7.9,20.0,150,152
2024-01-02T01:00,15.4,91,0.00,942.0,6.2,16.5,144,148
2024-01-02T02:00,16.2,89,0.00,942.8,6.3,15.9,149,152
2024-01-02T03:00,19.1,78,0.00,944.3,5.7,14.7,145,155
2024-01-02T04:00,22.0,66,0.00,945.1,6.9,9.6,141,146
2024-01-02T05:00,24.5,56,0.00,945.1,8.2,10.7,139,140
2024-01-02T06:00,26.2,48,0.00,944.5,7.9,10.5,129,131
2024-01-02T07:00,27.2,42,0.00,943.3,6.8,8.9,115,117
2024-01-02T08:00,27.7,40,0.00,942.2,6.4,8.0,106,108
2024-01-02T09:00,28.0,38,0.00,941.4,5.8,7.3,94,99
2024-01-02T10:00,27.9,37,0.00,940.8,4.8,6.2,77,80
2024-01-02T11:00,27.4,37,0.00,940.9,4.3,5.4,66,70
