latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
20.56239,74.576614,433.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,16.3,95,0.00,963.8,5.8,10.9,263,253
2024-01-01T01:00,16.1,90,0.00,964.9,5.8,15.9,210,198
2024-01-01T02:00,16.6,84,0.00,965.7,6.0,16.9,205,191
2024-01-01T03:00,19.9,69,0.00,967.0,7.6,16.3,199,185
2024-01-01T04:00,22.6,58,0.00,968.0,7.9,11.5,183,180
2024-01-01T05:00,25.0,51,0.00,968.0,7.9,10.4,177,178
2024-01-01T06:00,27.5,43,0.00,967.3,10.9,14.6,171,171
2024-01-01T07:00,29.2,36,0.00,966.1,12.3,16.3,173,174
2024-01-01T08:00,30.0,33,0.00,964.9,10.5,13.4,186,186
2024-01-01T09:00,30.3,32,0.00,964.1,8.4,10.7,200,200
2024-01-01T10:00,30.2,32,0.00,963.6,7.0,9.1,215,214
2024-01-01T11:00,29.6,33,0.00,963.3,5.4,7.4,222,223
2024-01-01T12:00,27.6,49,0.00,963.1,3.8,4.9,163,197
2024-01-01T13:00,24.8,51,0.00,963.3,5.4,5.5,86,113
2024-01-01T14:00,23.9,53,0.00,964.0,6.5,7.0,84,102
2024-01-01T15:00,21.8,60,0.00,964.4,8.1,8.3,339,5
2024-01-01T16:00,22.9,54,0.00,965.5,12.1,27.0,348,351
2024-01-01T17:00,21.7,60,0.00,965.4,7.7,20.2,323,338
2024-01-01T18:00,21.2,61,0.00,965.0,7.9,21.6,321,336
2024-01-01T19:00,19.4,70,0.00,964.5,7.3,12.1,261,307
2024-01-01T20:00,19.4,73,0.00,964.2,6.5,13.9,273,307
2024-01-01T21:00,18.0,82,0.00,963.4,8.7,12.7,312,345
2024-01-01T22:00,19.5,74,0.00,963.5,0.8,5.2,207,16
2024-01-01T23:00,17.1,87,0.00,963.1,5.2,5.0,245,339
2024-01-02T00:00,16.5,91,0.00,963.3,5.8,5.9,277,346
2024-01-02T01:00,16.0,94,0.00,964.2,4.0,2.6,270,254
2024-01-02T02:00,16.1,94,0.00,964.7,2.9,2.8,277,220
2024-01-02T03:00,19.3,80,0.00,965.7,3.5,7.2,246,186
2024-01-02T04:00,23.2,60,0.00,966.8,6.5,10.2,174,170
2024-01-02T05:00,25.6,50,0.00,966.8,10.6,14.0,156,157
2024-01-02T06:00,27.8,43,0.00,966.0,12.0,16.1,159,160
2024-01-02T07:00,29.5,35,0.00,964.7,12.5,16.1,168,170
2024-01-02T08:00,30.1,32,0.00,963.7,11.5,15.1,180,181
2024-01-02T09:00,30.4,31,0.00,962.8,11.2,14.2,195,196
2024-01-02T10:00,30.2,30,0.00,962.3,11.2,14.6,213,213
2024-01-02T11:00,29.5,29,0.00,962.5,9.8,13.1,216,217
2024-01-02T12:00,26.8,52,0.00,962.3,7.1,9.4,165,187
2024-01-02T13:00,23.7,50,0.00,962.5,6.8,5.9,115,142
2024-01-02T14:00,25.5,42,0.00,963.6,3.9,4.1,68,135
2024-01-02T15:00,23.2,51,0.00,964.5,12.4,25.1,324,331
2024-01-02T16:00,22.6,57,0.00,964.8,6.3,18.3,336,345
2024-01-02T17:00,21.4,65,0.00,964.8,7.9,19.6,300,319
2024-01-02T18:00,20.3,72,0.00,964.4,7.0,17.6,291,313
2024-01-02T19:00,19.8,77,0.00,964.0,7.2,18.7,297,308
2024-01-02T20:00,18.2,86,0.00,963.6,7.7,11.2,281,318
2024-01-02T21:00,17.7,89,0.00,963.3,6.4,7.7,254,298
2024-01-02T22:00,17.1,92,0.00,962.9,6.5,6.6,276,315
2024-01-02T23:00,16.6,94,0.00,962.7,5.8,6.4,277,317
2024-01-03T00:00,16.2,95,0.00,962.9,5.4,4.8,262,333
2024-01-03T01:00,16.6,98,0.00,963.8,2.9,2.2,263,360
2024-01-03T02:00,16.8,98,0.00,964.4,1.5,1.0,225,135
2024-01-03T03:00,19.7,85,0.00,965.2,1.1,1.9,252,112
2024-01-03T04:00,22.3,73,0.00,966.2,2.8,3.6,140,135
2024-01-03T05:00,24.5,60,0.00,966.5,5.5,7.1,148,150
2024-01-03T06:00,26.2,54,0.00,965.7,7.8,10.0,158,159
2024-01-03T07:00,27.8,46,0.00,964.3,9.5,12.4,189,188
2024-01-03T08:00,29.0,38,0.00,963.0,10.9,14.2,207,207
2024-01-03T09:00,29.6,32,0.00,962.1,12.3,16.1,212,214
2024-01-03T10:00,29.7,30,0.00,961.7,11.0,14.5,221,222
2024-01-03T11:00,29.3,31,0.00,961.4,6.4,8.9,227,227
2024-01-03T12:00,26.9,53,0.00,961.4,5.2,6.3,344,301
2024-01-03T13:00,26.3,43,0.00,961.7,2.6,2.7,16,337
2024-01-03T14:00,23.4,55,0.00,963.0,15.2,27.4,355,358
2024-01-03T15:00,22.9,62,0.00,963.8,10.9,21.4,8,8
2024-01-03T16:00,21.7,67,0.00,963.8,6.1,17.3,360,1
2024-01-03T17:00,20.3,73,0.00,963.9,6.4,17.7,16,20
2024-01-03T18:00,20.0,76,0.00,963.9,7.2,18.6,3,10
2024-01-03T19:00,18.7,84,0.00,963.2,6.8,15.9,360,13
2024-01-03T20:00,18.0,89,0.00,963.2,8.9,13.6,14,17
2024-01-03T21:00,18.1,89,0.00,963.3,6.2,10.3,54,29
2024-01-03T22:00,17.9,91,0.00,962.9,5.4,9.2,48,31
2024-01-03T23:00,17.8,92,0.00,962.7,4.4,7.2,35,37
2024-01-04T00:00,17.0,95,0.00,963.6,5.6,8.6,50,57
2024-01-04T01:00,18.4,92,0.00,964.5,4.9,9.4,73,72
2024-01-04T02:00,18.4,93,0.00,965.0,3.3,7.2,84,90
2024-01-04T03:00,19.7,87,0.00,966.0,2.9,5.5,30,58
2024-01-04T04:00,21.8,78,0.00,966.8,4.3,5.8,114,112
2024-01-04T05:00,23.9,65,0.00,967.0,4.3,5.6,132,130
2024-01-04T06:00,25.7,57,0.00,966.0,4.7,6.0,148,147
2024-01-04T07:00,26.8,51,0.00,964.6,7.2,9.0,180,180
2024-01-04T08:00,27.9,44,0.00,963.2,5.6,7.7,207,208
2024-01-04T09:00,28.9,37,0.00,962.3,5.4,7.4,233,231
2024-01-04T10:00,29.1,34,0.00,961.7,4.5,6.2,241,234
2024-01-04T11:00,28.7,33,0.00,961.3,2.2,3.4,261,238
2024-01-04T12:00,26.7,43,0.00,961.6,4.0,7.6,10,5
2024-01-04T13:00,24.2,48,0.00,962.2,9.8,21.1,354,351
2024-01-04T14:00,22.4,64,0.00,963.3,13.1,25.2,9,10
2024-01-04T15:00,21.2,72,0.00,964.0,7.3,18.7,9,16
2024-01-04T16:00,20.6,77,0.00,964.5,6.1,17.1,360,8
2024-01-04T17:00,20.1,81,0.00,964.4,8.0,19.1,350,2
2024-01-04T18:00,19.8,83,0.00,964.0,9.4,21.0,360,6
2024-01-04T19:00,18.8,88,0.00,963.9,6.2,16.9,7,12
2024-01-04T20:00,18.5,90,0.00,963.8,6.0,16.4,25,26
