latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
19.999998,73.8,584.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,16.1,87,0.00,947.1,5.2,12.2,34,90
2024-01-01T01:00,16.1,86,0.00,948.2,8.1,16.6,45,85
2024-01-01T02:00,16.2,84,0.00,948.9,8.2,16.9,52,89
2024-01-01T03:00,18.5,76,0.00,950.1,8.6,16.2,57,93
2024-01-01T04:00,21.7,64,0.00,951.3,6.3,10.4,77,88
2024-01-01T05:00,24.5,54,0.00,951.5,6.2,8.1,100,103
2024-01-01T06:00,26.8,46,0.00,950.9,5.5,7.3,122,123
2024-01-01T07:00,28.2,39,0.00,950.0,4.5,5.9,166,169
2024-01-01T08:00,28.7,35,0.00,948.8,5.5,7.0,212,215
2024-01-01T09:00,28.8,34,0.00,948.1,5.6,6.9,220,223
2024-01-01T10:00,28.7,33,0.00,947.7,4.0,5.1,180,188
2024-01-01T11:00,28.4,33,0.00,947.2,5.7,6.9,145,152
2024-01-01T12:00,26.5,46,0.00,946.9,4.3,9.1,138,146
2024-01-01T13:00,24.0,48,0.00,947.4,7.1,14.8,300,304
2024-01-01T14:00,22.9,49,0.00,948.1,10.0,21.0,308,309
2024-01-01T15:00,22.1,58,0.00,948.9,14.3,27.8,315,317
2024-01-01T16:00,21.2,67,0.00,949.3,13.0,26.1,321,322
2024-01-01T17:00,20.5,72,0.00,949.2,10.8,23.7,334,338
2024-01-01T18:00,18.6,82,0.00,948.7,7.3,11.8,281,329
2024-01-01T19:00,19.3,78,0.00,948.4,2.6,5.0,304,360
2024-01-01T20:00,17.3,89,0.00,947.7,4.7,9.4,337,356
2024-01-01T21:00,16.0,94,0.00,946.7,5.9,9.5,349,25
2024-01-01T22:00,16.1,92,0.00,946.3,4.4,9.2,351,39
2024-01-01T23:00,16.4,89,0.00,946.5,4.3,6.6,360,61
2024-01-02T00:00,16.8,87,0.00,946.9,3.4,6.9,18,99
2024-01-02T01:00,15.7,89,0.00,947.5,6.1,15.5,62,91
2024-01-02T02:00,16.0,86,0.00,948.0,6.3,16.3,66,95
2024-01-02T03:00,18.6,75,0.00,949.2,7.6,15.5,65,90
2024-01-02T04:00,21.4,64,0.00,950.2,6.3,9.8,77,82
2024-01-02T05:00,24.3,54,0.00,950.4,6.5,8.3,93,95
2024-01-02T06:00,26.7,45,0.00,949.8,7.4,9.7,119,121
2024-01-02T07:00,28.2,37,0.00,948.6,7.4,9.2,166,169
2024-01-02T08:00,28.8,34,0.00,947.7,6.4,8.0,196,198
2024-01-02T09:00,29.1,33,0.00,946.9,5.0,6.3,201,204
2024-01-02T10:00,29.1,32,0.00,946.2,5.0,6.4,201,207
2024-01-02T11:00,28.6,31,0.00,946.3,7.9,10.7,210,213
2024-01-02T12:00,26.6,34,0.00,946.3,9.5,19.5,209,214
2024-01-02T13:00,23.6,41,0.00,946.7,7.2,16.5,252,238
2024-01-02T14:00,22.3,52,0.00,947.7,14.6,26.6,303,303
2024-01-02T15:00,21.2,69,0.00,948.2,12.5,25.5,316,315
2024-01-02T16:00,20.2,77,0.00,948.6,12.1,24.8,330,330
2024-01-02T17:00,18.8,84,0.00,948.6,6.2,17.1,306,321
2024-01-02T18:00,17.5,90,0.00,948.1,7.3,10.5,290,322
2024-01-02T19:00,17.3,90,0.00,947.7,4.8,11.1,312,331
2024-01-02T20:00,15.9,95,0.00,947.1,6.5,8.7,6,17
2024-01-02T21:00,16.0,94,0.00,946.7,3.9,8.3,326,358
2024-01-02T22:00,15.4,96,0.00,946.0,4.9,5.1,306,8
2024-01-02T23:00,16.5,91,0.00,946.2,2.1,4.3,329,66
2024-01-03T00:00,15.1,95,0.00,945.9,5.0,6.1,360,50
2024-01-03T01:00,16.6,96,0.00,947.0,6.6,13.5,45,81
2024-01-03T02:00,16.6,95,0.00,947.6,6.7,15.1,54,89
2024-01-03T03:00,18.8,84,0.00,948.6,7.3,15.5,57,87
2024-01-03T04:00,21.4,69,0.00,949.7,7.2,10.4,84,90
2024-01-03T05:00,23.9,58,0.00,950.0,6.6,8.6,103,105
2024-01-03T06:00,26.2,49,0.00,949.3,5.8,7.7,150,152
2024-01-03T07:00,27.4,39,0.00,948.1,8.4,11.0,211,212
2024-01-03T08:00,28.2,34,0.00,946.8,10.2,13.0,225,226
2024-01-03T09:00,28.6,30,0.00,946.1,12.5,16.1,221,222
2024-01-03T10:00,28.3,30,0.00,945.7,13.5,17.5,214,217
2024-01-03T11:00,27.6,33,0.00,945.6,11.1,15.2,209,211
2024-01-03T12:00,26.0,40,0.00,945.7,6.5,13.9,199,201
2024-01-03T13:00,23.2,50,0.00,945.7,6.4,15.0,254,246
2024-01-03T14:00,21.8,61,0.00,946.6,13.2,25.2,313,316
2024-01-03T15:00,20.9,69,0.00,947.2,11.6,23.5,324,324
2024-01-03T16:00,19.7,76,0.00,947.4,8.9,19.5,339,344
2024-01-03T17:00,17.7,88,0.00,946.9,7.6,12.7,335,345
2024-01-03T18:00,17.1,92,0.00,947.0,4.9,12.3,36,38
2024-01-03T19:00,16.2,95,0.00,946.3,6.1,12.1,3,37
2024-01-03T20:00,15.9,96,0.00,946.3,5.2,8.9,335,32
2024-01-03T21:00,15.6,96,0.00,946.1,6.6,9.7,9,51
2024-01-03T22:00,15.7,96,0.00,945.8,5.9,11.1,38,65
2024-01-03T23:00,15.8,94,0.00,945.7,6.2,10.1,54,86
2024-01-04T00:00,15.4,95,0.00,946.3,6.0,9.8,25,82
2024-01-04T01:00,15.4,96,0.00,947.0,7.7,12.0,37,74
2024-01-04T02:00,15.8,96,0.00,947.7,5.6,14.0,50,78
2024-01-04T03:00,18.5,88,0.00,949.2,7.1,14.6,66,80
2024-01-04T04:00,21.1,76,0.00,950.3,7.6,10.4,90,88
2024-01-04T05:00,23.6,64,0.00,950.4,6.6,8.5,103,102
2024-01-04T06:00,25.6,52,0.00,949.6,4.5,5.8,151,158
2024-01-04T07:00,26.8,42,0.00,948.4,8.4,11.2,211,213
2024-01-04T08:00,27.6,34,0.00,947.1,10.0,12.8,218,220
2024-01-04T09:00,28.4,27,0.00,946.2,11.6,15.3,216,219
2024-01-04T10:00,28.1,25,0.00,945.7,12.7,16.4,215,218
2024-01-04T11:00,27.3,25,0.00,945.5,11.3,15.3,211,214
2024-01-04T12:00,25.2,33,0.00,945.6,6.6,14.7,202,205
2024-01-04T13:00,20.2,52,0.00,945.7,8.5,12.0,298,303
2024-01-04T14:00,19.9,54,0.00,946.6,7.6,16.8,301,305
2024-01-04T15:00,19.2,55,0.00,947.3,8.7,19.5,318,321
2024-01-04T16:00,18.6,59,0.00,947.6,9.0,19.9,323,328
2024-01-04T17:00,17.8,65,0.00,947.4,9.6,21.3,326,334
2024-01-04T18:00,16.0,79,0.00,946.9,7.2,15.2,354,353
2024-01-04T19:00,14.7,89,0.00,946.6,7.5,11.1,17,36
2024-01-04T20:00,14.8,91,0.00,946.4,5.1,12.2,356,34
2024-01-04T21:00,14.4,93,0.00,946.2,6.3,12.8,24,50
2024-01-04T22:00,14.1,94,0.00,945.8,5.7,12.2,35,66
2024-01-04T23:00,13.8,96,0.00,945.5,5.1,10.1,8,55
2024-01-05T00:00,13.5,97,0.00,945.8,6.2,10.0,7,52
2024-01-05T01:00,14.9,97,0.00,947.2,1.5,3.7,315,101
2024-01-05T02:00,15.5,97,0.00,947.8,4.3,7.6,42,95
2024-01-05T03:00,17.2,91,0.00,948.9,5.2,11.2,56,88
2024-01-05T04:00,20.3,80,0.00,950.2,7.0,9.8,78,82
2024-01-05T05:00,22.5,69,0.00,950.4,6.2,7.6,69,71
2024-01-05T06:00,24.9,47,0.00,949.6,4.0,4.8,95,103
2024-01-05T07:00,26.4,35,0.00,948.6,6.2,7.9,190,196
2024-01-05T08:00,27.3,33,0.00,947.6,10.2,13.1,212,217
2024-01-05T09:00,27.9,31,0.00,946.7,13.8,18.4,219,222
2024-01-05T10:00,27.6,30,0.00,946.3,15.8,21.2,227,228
2024-01-05T11:00,27.1,29,0.00,946.4,12.8,17.6,238,239
2024-01-05T12:00,25.4,33,0.00,946.8,8.9,17.5,256,256
