latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
19.29701,76.81188,421.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,17.2,81,0.00,965.9,6.9,18.4,118,129
2024-01-01T01:00,16.5,81,0.00,967.2,7.5,19.5,145,150
2024-01-01T02:00,16.6,82,0.00,967.8,7.2,17.3,153,159
2024-01-01T03:00,19.0,75,0.00,968.9,5.8,15.1,150,162
2024-01-01T04:00,21.8,67,0.00,969.9,6.0,9.0,155,157
2024-01-01T05:00,24.4,58,0.00,969.8,7.6,10.2,161,162
2024-01-01T06:00,26.5,49,0.00,969.2,10.1,13.0,153,152
2024-01-01T07:00,27.8,45,0.00,967.8,9.0,11.4,151,152
2024-01-01T08:00,28.6,39,0.00,966.6,5.6,6.8,153,155
2024-01-01T09:00,28.9,36,0.00,965.7,2.1,2.6,149,146
2024-01-01T10:00,28.8,36,0.00,965.2,1.6,1.9,117,112
2024-01-01T11:00,28.3,40,0.00,965.1,1.9,2.6,112,106
2024-01-01T12:00,26.9,44,0.00,965.0,4.1,4.3,142,114
2024-01-01T13:00,25.3,51,0.00,965.6,5.6,6.0,63,73
2024-01-01T14:00,22.2,65,0.00,966.1,8.0,10.1,72,73
2024-01-01T15:00,20.7,73,0.00,966.4,8.2,12.3,75,83
2024-01-01T16:00,19.8,77,0.00,966.7,8.6,14.8,75,90
2024-01-01T17:00,20.2,72,0.00,966.7,7.6,20.3,95,102
2024-01-01T18:00,19.8,73,0.00,966.6,7.6,20.3,95,103
2024-01-01T19:00,19.2,76,0.00,966.1,7.1,19.3,114,111
2024-01-01T20:00,18.7,78,0.00,965.7,6.8,18.8,122,122
2024-01-01T21:00,18.2,79,0.00,965.2,7.3,19.1,123,133
2024-01-01T22:00,17.8,80,0.00,964.8,6.5,17.8,124,135
2024-01-01T23:00,17.3,82,0.00,964.8,6.1,16.6,118,132
2024-01-02T00:00,17.1,84,0.00,965.2,6.3,16.3,121,133
2024-01-02T01:00,16.5,89,0.00,966.4,6.4,16.9,128,140
2024-01-02T02:00,17.0,88,0.00,967.0,7.2,16.1,127,140
2024-01-02T03:00,19.5,79,0.00,968.0,6.9,15.6,133,142
2024-01-02T04:00,22.2,70,0.00,968.7,6.6,9.5,139,143
2024-01-02T05:00,24.7,61,0.00,968.6,8.0,10.1,144,145
2024-01-02T06:00,26.6,52,0.00,967.9,9.8,12.6,144,143
2024-01-02T07:00,27.8,46,0.00,966.6,8.2,10.7,139,138
2024-01-02T08:00,28.5,41,0.00,965.5,5.9,7.2,128,127
2024-01-02T09:00,28.7,40,0.00,964.6,5.2,6.3,115,114
2024-01-02T10:00,28.6,39,0.00,964.1,4.6,5.7,108,108
2024-01-02T11:00,28.1,42,0.00,964.2,3.7,5.5,101,101
2024-01-02T12:00,25.9,59,0.00,964.1,5.5,6.8,79,87
2024-01-02T13:00,23.0,64,0.00,964.6,7.9,12.8,43,50
2024-01-02T14:00,22.3,65,0.00,965.6,7.0,16.4,55,57
2024-01-02T15:00,21.5,68,0.00,966.1,6.7,16.6,74,68
2024-01-02T16:00,21.2,70,0.00,966.4,9.1,20.9,83,86
2024-01-02T17:00,20.7,70,0.00,966.4,8.6,20.9,88,90
2024-01-02T18:00,20.3,70,0.00,965.9,6.8,19.1,87,90
2024-01-02T19:00,20.0,70,0.00,966.1,7.9,19.1,129,122
2024-01-02T20:00,20.1,70,0.00,965.9,5.0,10.0,159,142
2024-01-02T21:00,18.4,79,0.00,964.9,6.0,10.8,73,116
2024-01-02T22:00,18.3,76,0.00,964.4,7.6,17.2,98,116
2024-01-02T23:00,18.0,75,0.00,964.4,8.9,20.5,122,129
2024-01-03T00:00,17.9,76,0.00,964.6,9.2,21.4,135,139
2024-01-03T01:00,17.6,83,0.00,965.7,9.2,21.2,132,140
2024-01-03T02:00,17.8,84,0.00,966.4,10.2,21.3,135,141
2024-01-03T03:00,20.0,78,0.00,967.4,9.2,19.9,141,145
2024-01-03T04:00,22.2,71,0.00,968.1,10.5,14.3,153,155
2024-01-03T05:00,24.5,65,0.00,968.1,9.8,12.9,156,157
2024-01-03T06:00,26.4,56,0.00,967.4,10.2,13.2,157,158
2024-01-03T07:00,27.8,49,0.00,966.0,8.0,10.2,162,162
2024-01-03T08:00,28.5,44,0.00,964.8,5.8,7.3,158,160
2024-01-03T09:00,29.0,40,0.00,963.9,4.4,5.1,171,172
2024-01-03T10:00,29.1,39,0.00,963.7,5.1,6.2,188,187
2024-01-03T11:00,28.4,42,0.00,963.5,4.1,5.9,195,194
2024-01-03T12:00,26.4,60,0.00,963.5,4.9,5.6,216,207
2024-01-03T13:00,24.7,58,0.00,963.8,5.4,6.0,110,123
2024-01-03T14:00,22.9,63,0.00,964.1,6.5,14.8,96,103
2024-01-03T15:00,22.6,62,0.00,964.3,8.4,21.9,100,99
2024-01-03T16:00,22.0,63,0.00,965.2,7.6,20.7,98,97
2024-01-03T17:00,21.6,66,0.00,965.5,6.6,18.8,112,107
2024-01-03T18:00,21.2,68,0.00,965.0,7.7,20.2,131,121
2024-01-03T19:00,21.7,64,0.00,964.3,13.3,27.4,123,123
2024-01-03T20:00,21.0,64,0.00,964.4,8.2,21.4,119,123
2024-01-03T21:00,20.6,63,0.00,964.0,10.4,23.2,124,131
