latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
19.226713,72.99703,24.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,20.1,91,0.00,1009.2,5.1,13.2,39,45
2024-01-01T01:00,20.0,89,0.00,1010.3,5.6,13.4,50,63
2024-01-01T02:00,19.9,89,0.00,1010.9,5.6,12.2,50,66
2024-01-01T03:00,22.1,77,0.00,1011.6,6.3,11.5,31,49
2024-01-01T04:00,25.4,61,0.00,1012.2,5.6,9.2,50,51
2024-01-01T05:00,28.6,48,0.00,1012.0,6.0,7.6,65,65
2024-01-01T06:00,31.1,36,0.00,1011.3,5.8,6.9,83,84
2024-01-01T07:00,32.8,31,0.00,1010.1,5.2,6.2,106,111
2024-01-01T08:00,33.8,29,0.00,1008.7,3.7,4.9,119,126
2024-01-01T09:00,34.2,26,0.00,1007.9,1.8,2.1,217,211
2024-01-01T10:00,33.7,29,0.00,1007.4,9.0,10.9,275,276
2024-01-01T11:00,31.7,41,0.00,1007.3,14.5,19.1,284,286
2024-01-01T12:00,29.4,49,0.00,1007.6,13.4,20.3,297,300
2024-01-01T13:00,27.5,55,0.00,1008.6,9.5,18.9,299,310
2024-01-01T14:00,25.9,63,0.00,1009.6,10.5,21.0,308,321
2024-01-01T15:00,24.9,67,0.00,1010.3,8.7,19.6,322,328
2024-01-01T16:00,23.8,70,0.00,1011.1,6.5,16.6,357,355
2024-01-01T17:00,22.3,78,0.00,1011.3,7.5,12.6,35,13
2024-01-01T18:00,21.7,81,0.00,1010.9,6.7,11.3,54,31
2024-01-01T19:00,21.7,78,0.00,1010.2,5.8,15.9,356,6
2024-01-01T20:00,21.1,78,0.00,1009.7,6.5,15.6,354,7
2024-01-01T21:00,20.4,81,0.00,1009.2,6.5,14.2,354,9
2024-01-01T22:00,19.5,88,0.00,1008.8,7.0,11.4,12,18
2024-01-01T23:00,19.0,92,0.00,1009.0,5.4,9.8,8,24
2024-01-02T00:00,18.9,94,0.00,1009.1,4.3,11.0,5,19
2024-01-02T01:00,19.3,94,0.00,1009.9,4.1,10.2,45,51
2024-01-02T02:00,19.4,94,0.00,1010.2,4.3,10.5,24,41
2024-01-02T03:00,21.8,80,0.00,1010.8,5.6,10.9,40,46
2024-01-02T04:00,25.0,65,0.00,1011.2,4.6,7.4,45,43
2024-01-02T05:00,28.0,52,0.00,1011.0,4.8,6.1,48,45
2024-01-02T06:00,30.5,43,0.00,1010.2,4.5,5.5,61,58
2024-01-02T07:00,32.4,34,0.00,1008.8,3.6,4.0,96,100
2024-01-02T08:00,33.4,31,0.00,1007.6,2.9,3.6,180,180
2024-01-02T09:00,33.7,30,0.00,1006.9,7.1,8.4,246,245
2024-01-02T10:00,32.5,37,0.00,1006.4,12.2,15.1,268,270
2024-01-02T11:00,31.1,43,0.00,1006.7,13.5,17.8,286,288
2024-01-02T12:00,29.2,47,0.00,1007.1,14.6,21.2,303,305
2024-01-02T13:00,26.7,59,0.00,1008.0,13.0,24.0,314,319
2024-01-02T14:00,25.2,64,0.00,1009.1,13.5,25.5,316,324
2024-01-02T15:00,24.3,66,0.00,1009.9,10.8,22.9,330,334
2024-01-02T16:00,23.4,65,0.00,1010.6,6.9,18.2,351,351
2024-01-02T17:00,21.6,73,0.00,1011.0,6.0,11.0,65,32
2024-01-02T18:00,21.0,78,0.00,1010.7,6.3,12.1,13,23
2024-01-02T19:00,20.3,80,0.00,1010.1,6.2,12.8,350,10
2024-01-02T20:00,19.8,78,0.00,1009.8,5.4,13.3,323,358
2024-01-02T21:00,19.6,75,0.00,1009.2,5.2,14.4,326,360
2024-01-02T22:00,19.2,78,0.00,1008.6,5.4,14.4,352,13
2024-01-02T23:00,19.1,80,0.00,1008.4,5.4,15.0,8,17
2024-01-03T00:00,18.7,85,0.00,1008.5,5.3,14.5,28,30
2024-01-03T01:00,19.0,91,0.00,1009.2,4.5,10.6,14,35
2024-01-03T02:00,19.2,91,0.00,1009.7,4.7,9.4,351,18
2024-01-03T03:00,21.5,79,0.00,1010.3,4.2,8.8,20,19
2024-01-03T04:00,24.6,67,0.00,1011.0,3.6,5.2,37,25
2024-01-03T05:00,27.5,56,0.00,1011.0,4.0,5.4,27,20
2024-01-03T06:00,29.7,46,0.00,1010.2,3.6,4.3,45,42
2024-01-03T07:00,31.4,40,0.00,1008.6,2.2,2.2,90,90
