Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 01:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 02:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 03:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 04:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 05:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 06:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 07:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 08:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 09:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 10:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 11:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 12:00:00,40.38,82.59,10.04,27.81,19.02,,,0.41,91.43,0.0,0.0,,,,,29.47,44.59,1.42,209.08,0.0,0.0,482.15,,
2024-01-01 13:00:00,40.67,88.41,7.74,25.28,15.85,18.26,64.65,0.36,111.98,4.39,25.21,,,1.44,6.3,29.79,42.65,1.18,200.97,0.0,0.0,445.85,,
2024-01-01 14:00:00,43.09,94.48,7.39,28.45,17.23,18.11,77.88,0.56,113.42,3.54,22.62,,,0.91,5.45,29.38,41.99,0.85,224.28,0.0,0.0,336.12,,
2024-01-01 15:00:00,54.27,101.76,5.78,23.53,13.37,18.03,12.78,0.56,113.28,3.56,20.99,,,0.88,5.47,28.22,42.83,0.27,153.49,0.0,0.0,45.0,,
2024-01-01 16:00:00,68.77,99.67,5.43,33.88,18.49,15.14,12.94,0.62,100.99,3.44,20.96,,,0.9,5.41,27.08,44.9,0.69,207.47,0.0,0.0,2.85,,
2024-01-01 17:00:00,60.7,96.75,5.78,66.36,35.75,14.72,12.0,1.06,57.78,5.04,24.78,,,1.62,8.43,25.48,49.13,1.23,96.62,0.0,0.0,0.0,,
2024-01-01 18:00:00,53.81,120.76,9.08,87.82,49.61,15.82,12.14,0.9,31.33,10.12,35.71,,,3.82,15.53,23.52,54.39,1.52,56.81,0.0,0.0,0.0,,
2024-01-01 19:00:00,55.08,160.15,40.33,106.06,84.19,18.5,11.17,1.67,11.7,19.52,52.92,,,7.4,26.06,22.41,58.12,1.29,70.82,0.0,0.0,0.0,,
2024-01-01 20:00:00,64.16,219.52,35.34,93.78,73.77,19.85,12.77,1.46,11.03,18.8,57.39,,,7.8,29.72,21.58,60.82,1.49,51.69,0.0,0.0,0.0,,
2024-01-01 21:00:00,85.47,257.78,34.69,83.83,68.06,23.05,13.36,1.66,14.82,16.82,48.08,,,5.95,21.94,20.71,63.47,1.53,68.62,0.0,0.0,0.0,,
2024-01-01 22:00:00,91.51,259.14,56.74,89.96,88.94,21.95,12.24,1.85,8.43,19.5,59.53,,,10.23,30.47,19.83,66.31,1.25,91.66,0.0,0.0,0.0,,
2024-01-01 23:00:00,98.61,278.89,35.51,82.9,68.23,20.01,14.65,1.14,6.75,19.23,58.82,,,9.1,29.54,19.2,67.73,1.5,65.67,0.0,0.0,0.0,,
2024-01-02 00:00:00,97.79,264.8,16.68,74.47,48.72,26.87,10.75,1.9,8.15,14.28,46.17,,,6.03,18.95,18.7,68.67,1.36,94.85,0.0,0.0,0.0,,
2024-01-02 01:00:00,96.64,210.57,36.89,64.16,59.54,27.48,10.68,1.84,6.11,15.26,46.4,,,5.2,17.86,18.51,70.93,0.56,236.1,0.0,0.0,0.0,,
2024-01-02 02:00:00,95.49,192.73,6.73,36.27,20.79,26.92,10.26,0.82,32.59,10.63,35.18,,,2.6,9.33,18.94,67.92,0.96,178.76,0.0,0.0,0.0,,
2024-01-02 03:00:00,83.64,164.94,5.14,26.77,14.55,25.27,11.72,0.9,41.61,9.69,29.43,,,1.51,4.85,18.6,68.21,1.09,58.71,0.0,0.0,0.0,,
2024-01-02 04:00:00,78.52,155.67,5.6,35.8,19.63,24.72,10.58,1.09,25.14,15.45,31.61,,,2.01,5.11,17.8,70.35,1.53,67.0,0.0,0.0,0.0,,
2024-01-02 05:00:00,81.69,152.14,8.06,43.08,25.42,24.99,10.99,0.87,18.3,14.2,31.04,,,1.99,5.75,17.18,72.88,1.36,57.94,0.0,0.0,0.0,,
2024-01-02 06:00:00,78.43,132.18,24.3,51.03,42.59,27.94,9.32,1.27,11.54,9.62,30.41,,,1.63,5.92,17.19,73.74,0.97,82.66,0.0,0.0,0.0,,
