Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 01:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 02:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 03:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 04:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 05:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 06:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 07:00:00,67.21,163.46,73.1,40.74,103.2,141.9,4.45,1.25,0.95,5.95,17.22,,,4.69,6.17,23.29,85.52,1.94,265.08,0.0,0.0,7.5,,
2024-01-01 08:00:00,68.5,167.48,35.5,42.44,74.9,135.64,4.9,1.27,2.58,6.06,17.4,,,4.73,6.18,25.24,77.91,1.92,248.62,0.0,0.0,72.55,,
2024-01-01 09:00:00,70.94,172.4,15.1,37.3,52.91,122.11,4.99,1.29,28.35,6.33,17.43,,,4.7,6.13,29.31,58.96,1.02,84.71,0.0,0.0,217.05,,
2024-01-01 10:00:00,68.45,169.21,9.24,40.38,51.58,110.49,7.01,1.23,55.48,6.3,16.89,,,4.52,5.9,31.02,50.93,1.7,103.53,0.0,0.0,249.58,,
2024-01-01 11:00:00,63.16,163.83,9.2,40.07,51.22,102.86,7.33,1.2,73.59,6.09,16.14,,,4.28,5.64,32.63,43.92,1.96,85.61,0.0,0.0,343.88,,
2024-01-01 12:00:00,60.77,153.93,3.16,28.92,34.17,80.0,6.32,1.11,107.72,5.68,15.09,,,3.94,5.22,34.2,37.44,1.27,146.93,0.0,0.0,416.48,,
2024-01-01 13:00:00,54.74,143.57,1.84,16.81,19.87,64.53,5.04,1.0,113.81,5.2,14.18,,,3.66,4.88,35.11,31.69,0.91,151.51,0.0,0.0,541.35,,
2024-01-01 14:00:00,48.79,130.07,2.2,32.96,37.82,61.59,4.2,0.91,97.6,4.68,13.37,,,3.39,4.66,35.14,34.78,0.95,232.99,0.0,0.0,381.0,,
2024-01-01 15:00:00,47.39,119.15,1.34,25.4,28.87,55.92,4.42,0.87,128.43,4.33,12.9,,,3.22,4.57,34.51,39.24,1.63,256.67,0.0,0.0,255.3,,
2024-01-01 16:00:00,48.76,117.3,1.18,35.0,39.24,55.84,5.78,0.86,176.19,4.08,12.45,,,3.05,4.39,32.18,51.71,1.61,267.02,0.0,0.0,43.95,,
2024-01-01 17:00:00,53.8,135.3,1.78,39.63,44.78,62.24,6.18,0.9,149.65,4.28,12.7,,,3.04,4.3,28.55,68.35,1.62,267.14,0.6,0.6,8.15,,
2024-01-01 18:00:00,59.2,148.66,1.3,50.31,56.08,71.28,5.22,0.97,89.52,4.5,13.32,,,3.19,4.43,27.34,71.09,1.67,272.39,0.05,0.05,0.0,,
2024-01-01 19:00:00,57.12,151.45,1.3,35.09,39.44,63.06,5.29,1.0,83.25,4.62,13.86,,,3.38,4.7,28.4,62.79,1.95,252.04,0.0,0.0,0.0,,
2024-01-01 20:00:00,52.95,142.96,1.58,38.19,43.05,61.07,5.4,1.0,53.26,4.55,14.05,,,3.58,4.89,27.56,67.89,1.96,252.99,0.0,0.0,0.0,,
2024-01-01 21:00:00,52.82,139.48,1.34,30.72,34.69,58.1,4.97,1.03,47.3,4.58,14.24,,,3.79,5.16,26.47,70.98,1.86,260.22,0.0,0.0,0.0,,
2024-01-01 22:00:00,53.16,141.83,1.44,30.6,34.64,60.28,4.74,1.05,46.29,4.68,14.42,,,3.88,5.3,26.33,70.04,1.87,260.09,0.0,0.0,0.0,,
2024-01-01 23:00:00,55.46,140.77,4.88,44.08,52.14,65.74,4.72,1.06,41.29,4.82,14.76,,,3.97,5.41,25.99,68.96,1.61,258.94,0.0,0.0,0.0,,
2024-01-02 00:00:00,54.0,130.88,4.68,42.5,50.26,68.84,3.38,1.02,47.15,4.72,14.43,,,3.77,5.18,25.89,69.6,1.63,253.66,0.0,0.0,0.0,,
2024-01-02 01:00:00,57.77,138.4,1.36,34.01,38.3,68.43,4.56,1.02,40.09,4.71,14.2,,,3.63,5.0,24.61,76.66,1.87,266.11,0.0,0.0,0.0,,
2024-01-02 02:00:00,59.14,143.67,12.97,43.02,57.47,74.26,4.64,0.99,28.62,4.94,14.5,,,3.63,4.96,24.24,78.33,1.92,264.08,0.0,0.0,0.0,,
2024-01-02 03:00:00,62.72,145.46,29.16,55.11,83.68,86.36,4.58,1.0,6.04,5.2,14.73,,,3.6,4.85,23.96,80.0,1.72,257.0,0.0,0.0,0.0,,
