Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,104.16,286.67,9.69,81.4,50.3,17.21,5.25,1.6,14.27,11.42,27.38,,,7.53,14.42,23.58,66.48,1.3,302.11,0.0,0.0,0.0,,
2024-01-01 01:00:00,117.93,268.63,6.5,75.75,44.79,16.18,6.52,1.52,14.77,11.9,27.16,,,6.11,10.01,22.44,65.28,1.29,272.37,0.0,0.0,0.0,,
2024-01-01 02:00:00,117.66,242.27,5.44,70.1,40.98,15.66,6.69,1.45,19.62,9.96,27.53,,,4.71,7.99,22.6,65.57,1.07,318.62,0.0,0.0,0.0,,
2024-01-01 03:00:00,111.52,214.07,4.35,63.31,36.56,15.28,7.22,1.24,21.71,7.92,27.72,,,3.22,5.72,21.15,68.66,1.47,162.46,0.0,0.0,0.0,,
2024-01-01 04:00:00,113.76,215.05,8.01,83.92,50.27,16.67,11.1,1.3,14.04,8.01,27.96,,,4.18,5.64,21.18,71.1,1.61,230.82,0.0,0.0,0.0,,
2024-01-01 05:00:00,124.45,232.96,6.04,72.26,42.6,16.41,12.63,1.32,16.27,8.51,28.17,,,5.2,6.09,21.64,73.0,0.84,238.34,0.0,0.0,0.0,,
2024-01-01 06:00:00,135.22,266.4,4.18,57.19,33.23,15.62,7.65,1.18,17.28,9.44,27.9,,,5.6,6.73,21.64,74.15,1.58,280.47,0.0,0.0,0.0,,
2024-01-01 07:00:00,149.44,271.3,15.6,65.82,46.9,17.27,8.82,1.28,11.5,8.59,26.88,,,4.54,5.72,20.94,75.95,1.11,330.91,0.0,0.0,7.58,,
2024-01-01 08:00:00,155.83,275.67,14.58,64.07,45.17,17.1,10.06,1.16,15.9,8.06,26.54,,,3.6,4.86,22.08,73.16,1.4,328.06,0.0,0.0,48.25,,
2024-01-01 09:00:00,157.81,284.12,19.36,67.13,50.56,18.68,11.1,1.14,20.28,7.46,26.11,,,3.44,4.8,25.28,65.34,1.07,101.58,0.0,0.0,113.05,,
2024-01-01 10:00:00,154.07,277.19,9.16,50.86,33.92,15.55,18.9,0.89,42.02,6.37,25.46,,,5.52,5.96,28.28,47.9,1.14,111.46,0.0,0.0,192.2,,
2024-01-01 11:00:00,134.69,248.67,4.14,38.28,23.32,12.28,11.94,0.64,58.45,4.7,25.68,,,2.63,5.03,31.34,35.97,1.1,143.13,0.0,0.0,307.92,,
2024-01-01 12:00:00,99.76,203.03,2.12,35.03,20.01,11.42,7.74,0.57,65.74,3.66,27.2,,,2.27,4.05,33.47,31.64,1.46,89.21,0.0,0.0,375.9,,
2024-01-01 13:00:00,87.11,157.84,1.83,35.22,19.87,11.75,7.85,0.53,77.35,3.24,28.13,,,1.79,4.2,35.0,28.34,1.24,165.59,0.0,0.0,343.98,,
2024-01-01 14:00:00,75.06,136.91,1.28,33.58,18.58,11.66,8.1,0.5,88.49,3.12,29.83,,,1.87,4.18,35.42,27.97,1.25,168.7,0.0,0.0,283.02,,
2024-01-01 15:00:00,62.54,131.52,1.09,29.86,16.48,11.85,6.67,0.44,85.6,2.66,30.72,,,1.4,3.16,35.34,29.02,1.13,221.52,0.0,0.0,219.75,,
2024-01-01 16:00:00,64.99,126.86,1.31,32.49,18.02,13.57,6.48,0.66,86.84,3.5,31.17,,,1.68,3.31,31.96,41.66,1.02,114.69,0.0,0.0,113.8,,
2024-01-01 17:00:00,65.15,138.95,1.14,32.86,18.08,13.6,6.32,0.69,76.41,4.32,29.97,,,2.72,4.77,29.51,45.78,1.46,133.34,0.0,0.0,18.3,,
2024-01-01 18:00:00,58.94,151.73,1.04,35.35,19.31,13.39,4.64,0.78,69.0,5.46,28.4,,,3.94,8.4,27.42,49.46,1.89,131.11,0.0,0.0,0.0,,
2024-01-01 19:00:00,62.46,157.14,1.37,38.64,21.28,13.78,4.7,0.95,63.65,6.45,27.36,,,2.84,6.92,25.28,54.63,1.66,133.98,0.0,0.0,0.0,,
2024-01-01 20:00:00,67.7,154.33,1.59,41.29,22.85,14.07,5.16,0.86,62.6,7.1,26.62,,,2.58,6.52,25.0,58.14,0.83,191.32,0.0,0.0,0.0,,
2024-01-01 21:00:00,86.47,159.67,1.98,52.66,29.1,14.45,4.93,1.18,39.55,6.37,26.55,,,2.82,6.88,24.48,63.05,1.45,222.33,0.0,0.0,0.0,,
2024-01-01 22:00:00,98.77,175.7,5.66,74.37,43.4,15.81,5.38,1.74,15.91,9.32,27.56,,,6.28,10.62,24.63,66.74,1.22,216.04,0.0,0.0,0.0,,
2024-01-01 23:00:00,104.6,207.9,7.77,74.71,45.27,13.26,5.84,1.89,19.57,11.56,29.24,,,7.12,15.94,23.98,67.83,1.12,261.4,0.0,0.0,0.0,,
2024-01-02 00:00:00,99.16,222.88,4.16,68.15,38.94,12.82,5.54,1.3,41.88,11.64,29.21,,,6.2,12.65,23.75,67.91,1.47,193.92,0.0,0.0,0.0,,
2024-01-02 01:00:00,107.48,230.58,3.14,63.65,35.77,12.65,10.02,1.19,43.38,11.86,28.94,,,4.22,7.32,21.77,68.27,1.05,180.17,0.0,0.0,0.0,,
2024-01-02 02:00:00,113.99,230.19,2.68,55.89,31.34,12.45,10.25,1.14,38.16,8.45,29.08,,,3.73,5.88,23.05,69.36,0.88,146.29,0.0,0.0,0.0,,
2024-01-02 03:00:00,116.72,230.08,2.99,62.8,35.21,12.62,9.44,1.08,26.33,9.6,27.93,,,4.14,6.16,23.18,70.49,1.15,296.34,0.0,0.0,0.0,,
2024-01-02 04:00:00,126.64,230.63,3.91,67.13,38.21,13.06,12.54,1.13,23.09,7.78,27.02,,,4.42,6.0,21.75,71.71,1.46,342.35,0.0,0.0,0.0,,
2024-01-02 05:00:00,126.89,234.3,4.44,69.59,39.92,13.24,14.32,1.15,16.95,7.14,27.64,,,3.44,4.8,20.58,72.61,1.17,106.67,0.0,0.0,0.0,,
2024-01-02 06:00:00,136.66,264.79,4.57,60.74,35.39,12.54,11.18,1.18,19.23,7.52,26.8,,,3.84,5.27,20.68,74.87,1.4,322.79,0.0,0.0,0.0,,
2024-01-02 07:00:00,159.78,285.76,11.46,76.76,49.3,13.57,13.46,1.34,12.89,9.07,26.0,,,3.98,5.96,21.65,75.78,1.54,336.36,0.0,0.0,7.48,,
2024-01-02 08:00:00,178.68,296.57,20.2,79.66,57.82,14.64,17.87,1.41,13.74,9.14,25.86,,,4.41,5.54,21.84,74.94,1.5,273.06,0.0,0.0,49.48,,
2024-01-02 09:00:00,172.51,299.68,11.21,63.07,41.94,13.1,14.09,1.18,22.59,7.63,26.36,,,5.06,6.24,23.94,68.52,1.52,26.39,0.0,0.0,113.72,,
2024-01-02 10:00:00,157.67,275.44,4.94,44.17,27.04,11.71,15.44,0.94,45.87,5.87,27.34,,,3.5,4.78,27.77,58.12,1.04,189.23,0.0,0.0,189.2,,
2024-01-02 11:00:00,132.16,237.78,3.18,41.18,24.06,11.27,15.28,0.86,57.91,4.93,28.49,,,3.04,3.88,31.4,49.36,0.79,111.02,0.0,0.0,296.23,,
2024-01-02 12:00:00,100.9,226.15,1.76,29.31,16.73,11.35,6.98,0.8,75.74,5.37,29.05,,,2.79,3.47,34.81,37.9,0.47,175.88,0.0,0.0,345.67,,
2024-01-02 13:00:00,75.37,194.41,3.99,34.44,21.19,12.07,7.19,0.81,88.74,3.62,43.56,,,6.88,4.51,34.2,32.01,1.32,157.75,0.0,0.0,314.13,,
2024-01-02 14:00:00,71.89,169.69,3.37,42.87,25.1,11.81,5.76,0.84,99.01,2.94,42.24,,,6.5,4.54,33.16,31.7,1.35,158.44,0.0,0.0,245.38,,
