Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,54.28,112.01,,,,29.93,,0.4,30.83,4.04,35.62,,,3.48,2.6,22.32,65.91,0.78,148.09,0.0,0.0,0.0,,
2024-01-01 01:00:00,52.43,101.1,,,,26.51,11.96,0.41,11.5,4.01,35.82,,,3.6,2.56,20.94,72.17,0.22,162.45,0.0,0.0,0.0,,
2024-01-01 02:00:00,90.3,134.83,,,,28.7,10.6,0.42,6.84,3.88,38.88,,,4.0,2.7,19.86,76.95,0.36,118.29,0.0,0.0,0.0,,
2024-01-01 03:00:00,68.26,136.55,,,,26.81,10.25,0.43,11.07,3.81,42.16,,,4.24,2.84,20.51,73.1,0.74,90.15,0.0,0.0,0.0,,
2024-01-01 04:00:00,71.13,128.83,,,,29.28,9.37,0.41,11.43,3.78,42.87,,,4.18,2.74,20.22,74.7,0.63,86.14,0.0,0.0,0.0,,
2024-01-01 05:00:00,65.82,123.31,,,,29.11,9.94,0.4,10.3,3.94,40.75,,,4.1,2.52,19.7,78.1,0.5,78.84,0.0,0.0,0.0,,
2024-01-01 06:00:00,80.41,119.82,,,,26.26,10.23,0.39,10.27,3.72,38.68,,,4.28,2.41,19.39,80.07,0.48,65.31,0.0,0.0,0.02,,
2024-01-01 07:00:00,86.24,128.25,,,,25.79,8.84,0.41,8.97,3.56,39.49,,,4.29,2.45,19.58,80.16,0.6,79.28,0.0,0.0,30.75,,
2024-01-01 08:00:00,81.25,143.5,4.08,44.38,29.76,28.28,9.52,0.43,20.36,3.53,39.96,,,4.31,2.46,21.51,75.53,0.79,95.4,0.0,0.0,149.38,,
2024-01-01 09:00:00,75.89,149.67,3.66,43.56,25.69,24.86,10.3,0.46,42.07,3.68,37.98,,,3.98,2.48,23.53,69.5,0.65,127.44,0.0,0.0,304.23,,
2024-01-01 10:00:00,90.92,151.69,,,,28.86,11.34,0.48,69.9,3.68,32.41,,,3.43,2.48,25.36,63.44,0.66,148.38,0.0,0.0,441.42,,
2024-01-01 11:00:00,92.44,162.36,,,,30.5,12.14,0.49,72.07,3.41,27.89,,,2.65,2.32,27.08,58.6,0.7,143.91,0.0,0.0,525.83,,
2024-01-01 12:00:00,76.15,162.12,3.79,30.34,18.89,28.64,10.26,0.48,80.59,3.86,25.62,,,2.26,2.28,28.25,54.26,0.72,148.72,0.0,0.0,563.28,,
2024-01-01 13:00:00,70.43,161.08,3.48,26.92,16.86,27.98,12.18,0.44,88.56,4.62,25.13,,,2.17,2.3,29.18,51.46,0.73,132.57,0.0,0.0,542.6,,
2024-01-01 14:00:00,69.55,170.13,2.71,20.34,12.8,28.36,13.03,0.39,101.52,3.22,18.04,,,1.0,1.0,29.52,49.55,0.79,112.7,0.0,0.0,454.28,,
2024-01-01 15:00:00,62.07,149.83,2.89,22.11,13.87,30.82,12.76,0.37,76.24,4.16,18.25,,,1.06,1.5,29.55,48.65,0.69,110.43,0.0,0.0,303.5,,
2024-01-01 16:00:00,58.83,143.13,2.89,19.96,12.75,30.6,13.88,0.35,111.96,4.5,17.79,,,0.99,1.25,29.5,48.7,0.52,115.19,0.0,0.0,164.88,,
2024-01-01 17:00:00,54.95,139.31,4.15,27.42,17.65,28.18,13.77,0.42,43.6,5.02,18.66,,,1.46,1.67,27.74,55.16,0.52,94.94,0.0,0.0,36.55,,
2024-01-01 18:00:00,63.63,189.15,3.84,35.36,21.56,26.36,13.82,0.52,16.01,6.28,23.27,,,2.47,2.89,25.14,64.66,0.53,75.95,0.0,0.0,0.02,,
2024-01-01 19:00:00,63.07,205.79,3.87,34.13,20.94,28.46,12.66,0.54,11.82,6.23,25.61,,,2.59,3.48,24.08,67.94,0.6,78.58,0.0,0.0,0.0,,
2024-01-01 20:00:00,69.54,192.67,3.77,34.1,20.84,31.44,12.02,0.54,16.11,6.01,26.06,,,2.82,3.54,24.12,65.74,0.82,94.09,0.0,0.0,0.0,,
2024-01-01 21:00:00,69.9,169.39,3.88,37.36,22.64,28.74,12.93,0.56,16.68,5.64,25.88,,,2.7,3.34,23.7,67.31,0.73,88.56,0.0,0.0,0.0,,
2024-01-01 22:00:00,78.65,155.43,,,,27.35,11.81,0.57,9.95,5.06,28.18,,,3.41,3.4,22.94,69.88,0.44,82.49,0.0,0.0,0.0,,
2024-01-01 23:00:00,71.98,168.43,,,,27.62,10.56,0.58,7.18,5.05,31.31,,,3.87,3.62,21.83,74.18,0.54,97.31,0.0,0.0,0.0,,
