Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,58.5,201.42,48.54,53.01,101.55,6.72,46.96,0.76,13.75,,,,,,,31.63,89.45,0.64,52.01,,0.0,,1009.95,
2024-01-01 01:00:00,52.03,150.88,34.16,37.31,71.47,4.73,32.56,0.52,16.15,,,,,,,31.63,89.45,0.64,58.25,,0.0,,1009.89,
2024-01-01 02:00:00,52.8,147.7,29.02,31.7,60.72,4.01,27.71,0.45,12.3,,,,,,,31.62,89.45,0.64,58.94,,0.0,,1009.03,
2024-01-01 03:00:00,52.5,137.87,19.22,21.0,40.21,2.66,18.32,0.3,12.9,,,,,,,31.59,89.45,0.66,57.77,,0.0,,1008.45,
2024-01-01 04:00:00,45.17,112.37,16.58,18.11,34.69,2.3,15.82,0.26,12.21,,,,,,,31.57,89.45,0.64,55.54,,0.0,,1008.12,
2024-01-01 05:00:00,35.2,89.57,17.88,19.53,37.42,2.48,17.06,0.28,10.19,,,,,,,31.57,89.45,0.64,60.0,,0.0,,1008.3,
2024-01-01 06:00:00,35.29,94.08,18.49,20.2,38.69,2.56,17.63,0.29,10.15,,,,,,,31.57,89.45,0.64,54.0,,0.0,,1008.86,
2024-01-01 07:00:00,37.17,95.81,20.01,21.86,41.86,2.77,19.09,0.31,10.36,,,,,,,31.57,89.45,0.64,54.88,,0.0,1.37,1009.36,
2024-01-01 08:00:00,36.68,99.17,21.32,23.29,44.6,2.95,20.31,0.33,11.6,,,,,,,31.58,89.45,0.65,62.9,,0.0,14.86,1010.11,
2024-01-01 09:00:00,43.22,126.27,20.63,22.54,43.17,2.86,19.69,0.32,15.56,,,,,,,31.62,89.45,0.65,60.15,,0.0,50.93,1011.74,
2024-01-01 10:00:00,43.3,127.45,18.77,20.52,39.29,2.6,17.92,0.29,19.58,,,,,,,31.63,89.45,0.68,77.79,,0.0,133.38,1012.53,
2024-01-01 11:00:00,36.2,111.02,16.23,17.73,33.96,2.25,15.5,0.25,25.0,,,,,,,31.65,89.45,0.69,85.31,,0.0,57.08,1012.42,
2024-01-01 12:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 13:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 14:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 15:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 16:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 17:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 18:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 19:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 20:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 21:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 22:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 23:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-02 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-02 01:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-02 02:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-02 03:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-02 04:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-02 05:00:00,51.67,109.2,19.24,21.02,40.25,2.66,18.34,0.3,12.7,,,,,,,31.58,89.45,0.64,69.61,,0.0,,1008.11,
2024-01-02 06:00:00,43.82,102.65,23.58,25.76,49.34,3.26,22.48,0.36,11.24,,,,,,,31.57,89.45,0.63,66.42,,0.0,,1008.44,
2024-01-02 07:00:00,49.75,114.61,33.14,36.2,69.34,4.59,31.58,0.51,9.64,,,,,,,31.57,89.45,0.64,53.83,,0.0,2.52,1008.83,
2024-01-02 08:00:00,62.22,184.3,25.44,27.78,53.22,3.52,24.26,0.39,11.7,,,,,,,31.58,89.45,0.65,69.68,,0.0,17.16,1009.61,
2024-01-02 09:00:00,57.9,145.75,25.4,27.74,53.14,3.52,24.23,0.39,13.08,,,,,,,31.61,89.45,0.64,88.05,,0.0,48.99,1010.65,
2024-01-02 10:00:00,55.27,133.0,21.93,23.96,45.89,3.04,20.9,0.34,19.28,0.1,,,,,1.07,31.63,89.45,0.66,71.58,,0.0,125.95,1011.16,
2024-01-02 11:00:00,47.35,127.2,20.55,22.45,42.99,2.84,19.51,0.32,27.74,2.01,,,,81.68,0.22,31.64,89.45,0.68,81.29,,0.0,55.03,1011.08,
2024-01-02 12:00:00,41.43,126.04,22.58,24.66,47.24,3.13,21.59,0.34,29.08,2.32,,,,63.97,3.11,31.7,89.45,0.68,86.82,,0.0,76.84,1010.77,
2024-01-02 13:00:00,37.53,127.31,17.35,18.95,36.3,2.4,16.55,0.27,35.74,2.09,,,,36.07,3.69,31.71,89.45,0.65,152.66,,0.0,55.68,1010.15,
2024-01-02 14:00:00,35.95,110.36,16.93,18.49,35.41,2.34,16.15,0.26,39.66,1.88,,,,33.32,3.36,31.73,89.45,0.63,193.42,,0.0,71.55,1009.75,
2024-01-02 15:00:00,34.75,111.82,15.66,17.1,32.76,2.16,14.92,0.24,37.03,1.73,,,,30.27,3.15,31.74,89.45,0.63,203.59,,0.0,40.76,1009.35,
2024-01-02 16:00:00,34.37,106.76,20.14,22.0,42.15,2.79,19.22,0.31,31.92,1.74,,,,27.97,3.14,31.71,89.45,0.64,149.62,,0.0,25.27,1008.81,
2024-01-02 17:00:00,52.05,142.55,22.78,24.88,47.64,3.15,21.72,0.35,27.38,2.1,,,,31.16,3.37,31.68,89.45,0.67,94.88,,0.0,5.49,1008.58,
2024-01-02 18:00:00,53.87,151.45,34.45,37.63,72.08,4.77,32.94,0.53,21.18,2.28,,,,33.33,3.29,31.64,89.45,0.66,113.84,,0.0,,1008.68,
2024-01-02 19:00:00,69.17,180.73,37.97,41.47,79.44,5.26,36.25,0.58,16.7,2.9,,,,40.38,3.8,31.63,89.45,0.65,91.42,,0.0,,1009.22,
2024-01-02 20:00:00,67.93,174.18,44.36,48.46,92.82,6.14,42.3,0.68,21.06,3.35,,,,45.32,4.3,31.63,89.45,0.68,179.28,,0.0,,1009.95,
2024-01-02 21:00:00,56.77,132.32,28.98,31.66,60.64,4.01,27.34,0.44,25.22,3.01,,,,39.76,3.9,31.63,89.45,0.65,111.1,,0.0,,1010.47,
2024-01-02 22:00:00,46.92,113.12,33.03,36.08,69.11,4.58,31.7,0.51,23.76,2.52,,,,35.07,3.64,31.63,89.45,0.64,60.37,,0.0,,1010.44,
2024-01-02 23:00:00,49.48,116.48,26.41,28.85,55.26,3.66,25.24,0.41,23.44,2.17,,,,31.58,3.35,31.63,89.45,0.64,63.55,,0.0,,1009.82,
2024-01-03 00:00:00,46.48,109.06,27.1,29.6,56.69,3.75,25.72,0.42,22.66,1.92,,,,28.61,3.03,31.62,89.45,0.64,59.63,,0.0,,1009.21,
2024-01-03 01:00:00,48.37,109.81,19.0,20.75,39.74,2.63,18.15,0.29,21.01,1.7,,,,26.76,2.81,31.62,89.45,0.64,56.35,,0.0,,1008.85,
2024-01-03 02:00:00,47.93,120.38,16.09,17.58,33.67,2.23,15.35,0.25,20.14,1.54,,,,26.28,2.64,31.61,89.45,0.64,58.0,,0.0,,1008.3,
2024-01-03 03:00:00,56.1,136.83,16.51,18.04,34.54,2.29,15.75,0.26,19.41,1.46,,,,26.77,2.55,31.61,89.45,0.64,53.33,,0.0,,1007.78,
2024-01-03 04:00:00,68.13,164.11,16.91,18.48,35.39,2.34,16.13,0.26,16.9,1.48,,,,25.9,2.4,31.6,89.45,0.64,59.13,,0.0,,1007.51,
2024-01-03 05:00:00,80.22,182.94,19.31,21.09,40.4,2.68,18.41,0.3,11.98,1.48,,,,25.14,2.31,31.58,89.45,0.64,63.83,,0.0,,1007.47,
2024-01-03 06:00:00,76.22,182.14,19.94,21.78,41.71,2.76,19.0,0.31,13.5,1.58,,,,26.78,2.4,31.58,89.45,0.64,57.04,,0.0,,1007.8,
2024-01-03 07:00:00,80.97,187.9,25.66,28.03,53.68,3.55,24.48,0.4,10.12,1.74,,,,28.5,2.56,31.58,89.45,0.64,52.14,,0.0,1.26,1008.26,
2024-01-03 08:00:00,75.35,183.7,23.9,26.11,50.02,3.31,22.8,0.37,13.33,1.96,,,,30.4,2.81,31.58,89.45,0.65,62.18,,0.0,14.59,1009.05,
2024-01-03 09:00:00,69.82,170.3,24.04,26.26,50.3,3.33,22.92,0.37,16.06,2.04,,,,30.66,2.76,31.61,89.45,0.65,67.34,,0.0,49.16,1010.11,
2024-01-03 10:00:00,74.18,170.71,24.17,26.41,50.58,3.34,23.04,0.37,18.02,2.1,,,,32.61,2.86,31.63,89.45,0.66,61.9,,0.0,95.38,1010.71,
2024-01-03 11:00:00,60.22,153.11,20.58,22.48,43.07,2.85,19.64,0.32,24.12,2.15,,,,52.68,1.43,31.63,89.45,0.69,87.28,,0.0,70.5,1010.72,
2024-01-03 12:00:00,46.62,132.9,19.47,21.27,40.74,2.7,18.58,0.3,26.38,2.06,,,,31.76,2.7,31.68,89.45,0.68,90.42,,0.0,85.85,1010.14,
2024-01-03 13:00:00,42.33,128.32,18.39,20.09,38.48,2.55,17.56,0.28,30.9,1.98,,,,30.0,2.6,31.71,89.45,0.66,93.35,,0.0,73.89,1009.42,
2024-01-03 14:00:00,40.88,121.53,18.11,19.78,37.9,2.51,17.26,0.28,35.59,1.88,,,,27.08,2.47,31.71,89.45,0.63,172.05,,0.0,77.9,1008.75,
2024-01-03 15:00:00,42.92,122.41,18.91,20.66,39.57,2.62,18.04,0.29,36.94,1.87,,,,27.28,2.43,31.71,89.45,0.65,157.3,,0.0,49.81,1008.12,
2024-01-03 16:00:00,45.45,131.04,18.68,20.4,39.09,2.59,17.83,0.29,32.27,1.94,,,,28.8,2.45,31.71,89.45,0.67,107.56,,0.0,27.86,1007.73,
2024-01-03 17:00:00,41.87,125.7,22.9,25.01,47.9,3.17,21.84,0.35,25.14,1.91,,,,28.64,2.09,31.66,89.45,0.69,130.6,,0.0,5.93,1007.53,
2024-01-03 18:00:00,39.66,118.75,43.38,47.39,90.77,6.01,41.61,0.67,19.38,2.52,,,,33.26,2.97,31.63,89.45,0.66,104.33,,0.0,,1007.53,
2024-01-03 19:00:00,61.08,162.86,37.82,41.32,79.14,5.24,36.14,0.58,18.87,2.81,,,,55.54,2.98,31.63,89.45,0.65,78.45,,0.0,,1007.9,
2024-01-03 20:00:00,67.58,177.04,62.36,68.11,130.46,8.63,59.42,0.96,20.44,3.33,,,,58.33,3.69,31.63,89.45,0.68,154.93,,0.0,,1008.63,
2024-01-03 21:00:00,66.75,168.62,47.39,51.76,99.15,6.56,45.06,0.72,24.98,3.33,,,,72.82,4.18,31.63,89.45,0.68,177.78,,0.0,,1008.8,
2024-01-03 22:00:00,55.83,141.79,38.92,42.5,81.42,5.39,37.05,0.6,24.9,3.18,,,,61.92,2.65,31.63,89.45,0.64,73.09,,0.0,,1008.82,
