Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,62.03,282.3,9.13,46.22,31.47,1.46,4.15,1.92,1.96,14.36,48.14,,,0.32,10.36,20.9,64.36,0.7,141.35,0.0,0.0,0.0,,
2024-01-01 01:00:00,62.41,270.92,10.09,44.68,31.44,1.35,4.26,1.66,1.48,13.73,45.1,,,0.3,9.63,20.19,67.49,0.64,176.1,0.0,0.0,0.0,,
2024-01-01 02:00:00,62.92,237.74,2.64,30.81,18.22,0.79,1.96,1.18,3.02,11.27,35.33,,,0.26,7.07,19.72,68.56,0.8,126.6,0.0,0.0,0.0,,
2024-01-01 03:00:00,61.5,214.79,2.4,28.52,16.82,0.23,1.8,1.16,1.23,11.25,33.83,,,0.26,6.46,19.21,71.71,0.8,140.89,0.0,0.0,0.0,,
2024-01-01 04:00:00,58.7,186.16,1.99,25.67,15.0,,2.21,1.06,0.6,11.03,32.43,,,0.26,6.04,18.7,74.46,0.72,127.16,0.0,0.0,0.0,,
2024-01-01 05:00:00,61.53,174.32,1.57,22.49,13.01,,2.11,0.92,1.67,10.2,29.2,,,0.24,5.01,18.52,74.74,0.82,127.67,0.0,0.0,0.0,,
2024-01-01 06:00:00,62.64,176.49,1.83,21.66,12.78,,1.45,0.99,1.72,12.08,27.02,,,0.23,4.42,18.25,75.64,0.76,130.96,0.0,0.0,0.0,,
2024-01-01 07:00:00,63.38,177.12,10.39,28.16,23.04,0.19,2.62,1.31,2.8,13.28,26.54,,,0.23,4.32,18.88,73.87,0.86,115.86,0.0,0.0,0.02,,
2024-01-01 08:00:00,64.98,240.75,10.63,39.82,29.33,0.49,6.78,1.42,16.86,17.99,28.32,,,0.21,8.58,21.7,62.69,1.07,71.64,0.0,0.0,99.9,,
2024-01-01 09:00:00,68.91,292.08,1.95,31.56,18.05,0.2,11.64,1.06,61.28,13.09,18.28,,,0.18,4.3,24.45,55.12,0.98,89.78,0.0,0.0,238.18,,
