Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,54.68,120.0,36.58,44.83,60.88,23.73,11.26,1.56,12.1,7.12,26.66,8.7,,7.02,9.87,26.61,77.95,2.7,172.39,0.0,0.0,147.15,988.37,
2024-01-01 01:00:00,61.73,129.29,43.88,46.75,67.52,26.58,11.53,1.61,11.87,6.99,26.53,9.71,,7.57,9.9,26.27,79.85,2.44,141.6,0.0,0.0,147.13,976.31,
2024-01-01 02:00:00,69.83,140.01,50.26,47.25,73.16,25.35,11.66,1.62,11.65,6.97,26.76,10.19,,7.83,9.98,26.11,80.39,2.39,153.64,0.0,0.0,147.0,1005.09,
2024-01-01 03:00:00,70.88,133.39,46.02,46.88,68.28,25.72,12.38,1.44,11.42,6.59,25.85,10.42,,7.62,9.79,25.94,76.18,2.42,150.26,0.0,0.0,146.48,1001.78,
2024-01-01 04:00:00,65.88,131.61,37.62,40.78,59.3,23.56,11.65,1.28,12.91,5.99,24.33,10.29,,8.2,9.03,25.86,76.15,2.28,127.88,0.0,0.0,146.56,1001.76,
2024-01-01 05:00:00,63.52,137.65,25.92,38.42,49.01,21.95,11.36,1.21,16.01,5.32,21.61,10.06,,7.63,8.55,25.78,76.3,2.39,151.97,0.0,0.0,147.2,1002.83,
2024-01-01 06:00:00,64.55,121.46,23.5,34.66,45.39,21.45,11.54,1.13,19.36,4.7,19.5,9.75,,6.98,7.61,25.68,77.14,2.46,151.42,0.0,0.0,147.09,983.23,
2024-01-01 07:00:00,62.83,120.99,25.84,41.2,51.77,22.19,11.42,1.14,15.69,4.36,18.71,9.26,,7.09,7.16,25.49,78.61,2.36,134.8,0.0,0.0,121.69,1003.01,
2024-01-01 08:00:00,64.52,127.26,26.38,40.82,51.3,22.29,11.52,1.23,15.87,4.55,19.04,8.9,,6.16,7.0,26.5,79.6,2.33,145.81,0.0,0.0,144.35,1003.43,
2024-01-01 09:00:00,66.14,136.07,21.78,38.69,45.73,22.65,11.64,1.19,23.74,4.59,19.22,8.5,,5.87,6.62,28.14,72.19,2.58,138.86,0.01,0.0,196.12,1003.94,
2024-01-01 10:00:00,61.54,126.49,17.67,37.32,41.94,20.98,13.32,1.11,35.83,4.35,18.12,8.09,,5.44,6.45,29.73,62.9,2.9,163.23,0.0,0.0,257.96,1003.71,
2024-01-01 11:00:00,58.6,120.97,15.93,30.33,36.84,21.18,13.5,1.06,47.92,3.86,16.55,7.98,,5.46,6.28,31.02,55.18,3.76,172.94,0.0,0.0,320.88,977.34,
2024-01-01 12:00:00,58.12,116.05,13.51,28.78,33.78,20.38,12.5,0.98,58.45,3.1,15.24,7.6,,5.02,5.48,32.2,51.33,3.86,204.33,0.0,0.0,332.41,983.8,
