Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,151.94,242.08,45.08,80.12,78.41,66.67,27.97,3.53,2.49,19.15,48.57,,,11.38,39.69,17.66,79.8,1.25,218.58,0.0,0.0,0.37,,
2024-01-01 01:00:00,166.03,258.71,47.08,70.81,75.15,64.3,30.36,3.49,2.65,22.79,69.51,,,13.31,42.73,17.13,80.6,1.28,231.19,0.0,0.0,0.81,,
2024-01-01 02:00:00,183.35,276.64,25.03,53.45,48.4,55.43,34.87,2.38,4.94,17.13,49.1,,,8.38,27.97,16.76,81.12,1.27,217.56,0.0,0.0,1.03,,
2024-01-01 03:00:00,164.21,252.8,15.07,37.55,32.1,49.21,34.41,1.73,9.92,11.8,29.21,,,5.14,16.79,16.54,81.45,1.32,201.51,0.0,0.0,1.27,,
2024-01-01 04:00:00,138.63,219.67,4.96,30.1,20.11,47.65,27.75,1.16,14.21,8.02,18.69,,,3.05,9.45,16.26,82.09,1.26,217.91,0.0,0.0,1.32,,
2024-01-01 05:00:00,113.51,179.14,2.92,21.18,13.7,33.99,20.76,0.77,15.8,5.44,11.47,,,1.53,5.08,15.68,85.28,1.33,245.26,0.0,0.0,0.9,,
2024-01-01 06:00:00,101.82,152.75,2.3,19.96,12.44,32.3,18.2,0.73,14.73,3.98,6.61,,,0.89,2.6,15.46,85.81,1.21,232.32,0.0,0.0,0.99,,
2024-01-01 07:00:00,95.65,147.93,4.1,23.61,15.92,30.78,16.16,0.88,14.04,4.77,8.04,,,1.07,3.82,15.75,85.14,1.24,205.44,0.0,0.0,13.82,,
2024-01-01 08:00:00,93.92,155.95,5.67,29.81,20.42,35.64,19.44,1.08,19.35,6.87,12.0,,,1.62,6.94,17.66,80.43,1.24,190.35,0.0,0.0,78.39,,
2024-01-01 09:00:00,98.18,163.52,3.45,31.62,19.58,38.29,25.92,1.18,45.72,8.7,13.45,,,1.77,7.94,20.04,73.4,1.38,133.56,0.0,0.0,184.04,,
