Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,82.74,160.74,5.23,44.82,27.19,34.4,15.4,1.12,39.04,4.35,12.54,,,1.75,6.02,29.83,61.14,0.82,143.14,0.0,0.0,0.57,,
2024-01-01 01:00:00,89.49,156.52,5.72,44.86,27.6,37.15,16.66,1.01,42.36,5.94,15.18,,,2.12,8.12,29.49,62.01,0.88,170.18,0.0,0.0,0.74,,
2024-01-01 02:00:00,91.68,150.74,3.06,37.65,21.7,34.38,19.09,1.02,42.8,4.61,12.0,,,1.43,5.72,29.64,61.33,0.92,105.34,0.0,0.0,0.62,,
2024-01-01 03:00:00,92.9,150.45,1.42,28.27,15.48,28.74,23.72,1.0,49.32,6.98,14.38,,,2.78,7.72,29.26,63.64,0.69,178.1,0.0,0.0,0.71,,
2024-01-01 04:00:00,104.51,168.52,1.36,28.8,15.72,30.26,23.81,0.99,43.86,7.74,13.88,,,1.99,4.04,28.93,67.02,0.82,248.08,0.0,0.0,0.68,,
2024-01-01 05:00:00,115.82,187.34,1.23,27.13,14.74,29.98,24.98,1.01,45.96,9.88,14.86,,,2.37,4.02,28.78,68.97,0.72,192.02,0.0,0.0,0.69,,
2024-01-01 06:00:00,119.4,192.01,1.17,21.77,11.88,28.21,23.85,1.02,52.78,8.82,13.96,,,1.98,3.42,28.74,69.69,0.8,186.37,0.0,0.0,0.69,,
2024-01-01 07:00:00,123.86,189.64,1.39,27.06,14.82,28.97,23.99,1.13,37.58,8.4,14.4,,,1.81,3.14,28.58,70.77,0.79,120.74,0.0,0.0,8.21,,
2024-01-01 08:00:00,131.12,200.44,2.65,33.9,19.4,30.18,29.5,1.25,31.04,10.68,16.04,,,2.24,4.54,29.38,67.7,0.94,64.52,0.0,0.0,60.66,,
2024-01-01 09:00:00,134.68,207.85,1.92,24.2,13.76,26.47,23.77,0.99,57.95,7.7,15.06,,,1.75,3.96,30.83,60.37,0.96,126.27,0.0,0.0,198.59,,
2024-01-01 10:00:00,126.6,226.18,1.88,25.17,14.24,25.83,27.45,1.06,70.78,5.72,13.02,,,1.18,2.31,31.84,55.82,0.93,126.92,0.0,0.0,226.79,,
2024-01-01 11:00:00,122.24,219.47,1.58,23.01,12.86,24.82,32.04,0.8,81.6,7.36,13.98,,,1.96,3.22,33.19,49.4,0.74,136.33,0.0,0.0,351.21,,
2024-01-01 12:00:00,113.01,200.99,1.34,21.64,11.96,24.8,34.83,0.72,100.65,4.27,12.74,,,1.25,2.16,34.35,45.2,0.63,177.17,0.0,0.0,471.48,,
2024-01-01 13:00:00,94.53,176.83,1.22,18.13,10.02,24.3,30.69,0.62,106.5,3.26,9.92,,,1.27,2.04,35.41,41.74,0.82,197.98,0.0,0.0,473.9,,
2024-01-01 14:00:00,88.03,155.61,1.21,17.15,9.51,23.36,26.04,0.59,109.01,2.05,7.8,,,0.8,1.25,35.59,41.56,0.94,183.52,0.0,0.0,400.2,,
2024-01-01 15:00:00,81.32,150.26,1.18,18.48,10.18,23.78,22.92,0.7,117.94,2.28,10.46,,,0.8,2.04,34.76,47.74,1.1,268.16,0.0,0.0,261.9,,
2024-01-01 16:00:00,80.04,165.21,1.2,19.77,10.86,25.2,20.84,0.74,121.5,2.82,12.4,,,1.06,1.72,33.74,51.58,1.35,266.87,0.0,0.0,111.14,,
