time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,7.0,92,0.00,850.7,3.1,5.2,225,164
2024-01-01T01:00,7.8,91,0.00,851.9,2.5,5.6,225,153
2024-01-01T02:00,10.1,90,0.00,853.6,4.9,6.6,216,158
2024-01-01T03:00,13.4,73,0.00,855.8,4.2,6.6,160,158
2024-01-01T04:00,14.7,66,0.00,856.4,4.1,5.1,135,141
2024-01-01T05:00,15.9,59,0.00,856.1,3.1,4.1,135,142
2024-01-01T06:00,16.4,54,0.00,855.0,1.8,2.3,127,141
2024-01-01T07:00,16.6,50,0.00,854.0,0.7,0.5,360,315
2024-01-01T08:00,16.7,52,0.00,853.1,3.3,4.0,6,10
2024-01-01T09:00,16.1,55,0.10,852.6,3.0,3.6,346,354
2024-01-01T10:00,14.6,64,0.00,852.2,4.2,5.2,329,326
2024-01-01T11:00,12.4,81,0.00,851.7,4.3,9.8,360,354
2024-01-01T12:00,10.1,94,0.00,851.5,7.2,10.5,360,8
2024-01-01T13:00,11.6,91,0.00,853.1,2.3,4.8,252,347
2024-01-01T14:00,11.4,90,0.00,853.5,2.0,4.7,225,351
2024-01-01T15:00,8.3,96,0.00,852.1,3.8,3.4,229,302
2024-01-01T16:00,8.3,96,0.00,852.1,2.9,4.6,240,309
2024-01-01T17:00,8.0,96,0.00,851.8,1.8,2.3,233,321
2024-01-01T18:00,7.8,98,0.00,851.5,1.0,1.1,225,72
2024-01-01T19:00,7.6,98,0.00,851.1,2.0,3.1,225,159
2024-01-01T20:00,7.1,99,0.00,850.4,2.8,3.5,220,156
2024-01-01T21:00,6.6,98,0.00,849.9,3.8,4.1,221,142
2024-01-01T22:00,6.8,98,0.00,849.9,4.3,4.1,222,165
2024-01-01T23:00,7.4,98,0.00,850.5,4.1,4.6,225,198
2024-01-02T00:00,7.7,95,0.00,851.1,4.3,2.9,228,187
2024-01-02T01:00,6.2,100,0.00,851.4,1.0,2.5,225,82
2024-01-02T02:00,9.6,97,0.00,853.7,3.5,5.7,204,125
2024-01-02T03:00,12.0,82,0.00,855.2,5.4,7.4,138,137
2024-01-02T04:00,13.7,71,0.00,855.8,6.1,7.8,118,124
2024-01-02T05:00,14.8,66,0.00,855.4,5.9,7.6,101,109
2024-01-02T06:00,15.7,59,0.10,854.6,4.6,6.1,108,118
2024-01-02T07:00,16.1,54,0.20,853.5,2.5,3.3,82,96
2024-01-02T08:00,15.8,55,0.20,852.7,3.3,3.9,49,56
2024-01-02T09:00,15.6,56,0.00,852.4,4.5,5.7,29,35
2024-01-02T10:00,14.6,62,0.00,852.0,7.4,10.0,29,30
2024-01-02T11:00,12.6,77,0.00,851.6,7.5,15.3,17,24
2024-01-02T12:00,10.0,93,0.00,851.4,8.6,12.2,2,19
2024-01-02T13:00,9.3,92,0.00,852.0,7.1,9.6,319,13
2024-01-02T14:00,9.4,91,0.00,852.4,3.3,4.7,264,23
2024-01-02T15:00,10.4,89,0.00,853.2,1.0,3.2,225,90
2024-01-02T16:00,10.3,89,0.00,853.2,2.3,4.6,219,108
2024-01-02T17:00,9.7,89,0.00,852.8,2.9,4.3,210,114
2024-01-02T18:00,9.2,89,0.00,852.5,3.7,4.3,209,138
2024-01-02T19:00,10.8,84,0.00,853.0,2.8,3.3,220,131
2024-01-02T20:00,11.1,82,0.00,852.8,2.3,1.8,231,127
2024-01-02T21:00,10.8,82,0.00,852.3,1.1,2.4,252,63
2024-01-02T22:00,10.6,84,0.00,852.2,0.0,4.0,270,80
2024-01-02T23:00,10.5,86,0.00,852.3,2.6,6.4,214,106
2024-01-03T00:00,6.5,96,0.00,850.6,3.7,6.9,209,118
2024-01-03T01:00,7.5,97,0.00,852.0,5.2,8.7,214,128
2024-01-03T02:00,8.7,93,0.00,853.1,5.5,8.7,212,135
2024-01-03T03:00,12.6,63,0.00,855.8,4.6,7.1,141,131
