Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,66.61,,21.62,13.22,43.48,10.62,19.2,1.27,48.08,0.0,,,,,,7.88,87.3,3.14,245.41,0.02,0.02,8.4,858.39,
2024-01-01 01:00:00,51.44,,26.1,11.87,48.72,10.07,18.3,1.24,50.46,0.0,,,,,,7.34,90.32,3.22,246.97,0.0,0.0,8.4,858.04,
2024-01-01 02:00:00,44.2,,25.97,10.92,32.47,9.54,18.07,0.72,51.91,0.0,,,,,,6.94,92.04,3.2,252.72,0.0,0.0,8.4,857.76,
2024-01-01 03:00:00,37.2,,0.51,4.82,2.38,4.17,14.45,0.08,53.02,0.0,,,,,,,91.12,7.0,336.2,0.0,0.0,8.4,,
2024-01-01 04:00:00,19.5,,15.9,8.03,16.33,8.41,16.84,0.34,51.92,0.0,,,,,,6.41,92.84,3.6,241.24,0.0,0.0,8.4,858.14,
2024-01-01 05:00:00,18.03,,12.76,7.32,19.41,8.43,16.78,0.43,51.97,0.0,,,,,,6.24,92.1,2.94,249.48,0.0,0.0,8.4,858.43,
2024-01-01 06:00:00,13.14,,13.26,8.03,10.35,7.93,16.22,0.16,54.37,0.0,,,,,,6.44,88.34,1.62,200.42,0.0,0.0,9.83,859.17,
2024-01-01 07:00:00,7.17,,12.05,12.3,19.94,8.84,16.24,0.3,50.77,0.0,,,,,,9.07,81.03,1.57,202.96,0.0,0.0,20.92,859.5,
2024-01-01 08:00:00,10.89,,11.62,14.48,11.62,9.56,16.42,0.2,39.72,0.0,,,,,,10.34,75.28,2.31,188.05,0.0,0.0,22.1,859.64,
2024-01-01 09:00:00,10.03,,1.16,5.8,5.36,9.8,16.6,0.16,28.2,0.0,,,,,,17.31,52.89,2.38,181.3,0.0,0.0,24.74,860.26,
2024-01-01 10:00:00,13.89,,0.57,4.58,2.31,4.05,12.76,0.06,50.0,0.0,,,,,,,42.77,4.98,231.98,0.0,0.0,8.4,,
2024-01-01 11:00:00,9.14,,0.44,4.74,2.28,4.21,12.74,0.07,50.71,0.0,,,,,,,46.32,4.11,179.84,0.0,0.0,8.4,,
2024-01-01 12:00:00,18.72,,0.94,5.18,3.32,7.74,16.98,0.14,30.46,0.0,,,,,,21.7,48.47,2.38,187.5,0.0,0.0,28.96,857.82,
2024-01-01 13:00:00,9.28,,2.84,18.39,14.84,7.38,16.57,0.24,23.49,0.0,,,,,,20.85,52.65,2.78,178.79,0.0,0.0,34.84,857.1,
2024-01-01 14:00:00,16.78,,1.23,12.8,13.53,7.76,16.6,0.32,25.51,0.0,,,,,,19.31,66.96,2.34,166.92,0.0,0.0,52.02,856.93,
2024-01-01 15:00:00,23.8,,2.48,16.6,13.38,8.06,17.0,0.33,21.92,0.0,,,,,,15.75,78.99,2.48,156.88,0.0,0.0,12.27,856.88,
2024-01-01 16:00:00,36.64,,1.78,11.11,7.54,10.37,17.88,0.4,26.45,0.0,,,,,,14.44,82.98,1.68,166.54,0.0,0.0,10.66,856.87,
2024-01-01 17:00:00,68.11,,0.44,4.94,2.34,4.16,16.06,0.19,40.88,0.0,,,,,,,87.92,3.13,106.76,0.0,0.0,8.4,,
2024-01-01 18:00:00,72.89,,1.75,17.56,7.78,10.48,19.02,0.34,28.69,0.0,,,,,,13.36,87.98,1.5,130.25,0.0,0.0,8.4,858.16,
2024-01-01 19:00:00,98.28,,2.53,16.88,19.32,11.24,19.66,0.93,28.9,0.0,,,,,,12.86,88.79,1.02,167.1,0.0,0.0,8.4,858.54,
2024-01-01 20:00:00,75.67,,1.94,16.24,17.82,9.1,19.04,0.85,27.06,0.0,,,,,,11.93,89.97,1.03,182.0,0.0,0.0,8.4,858.94,
2024-01-01 21:00:00,85.7,,4.44,17.51,15.88,9.56,18.69,0.72,43.7,0.0,,,,,,11.01,90.64,1.5,220.38,0.0,0.0,8.4,859.04,
2024-01-01 22:00:00,60.72,,7.32,17.68,27.03,9.67,18.29,0.88,49.7,0.0,,,,,,9.72,92.06,2.36,227.24,0.0,0.0,8.4,858.77,
2024-01-01 23:00:00,38.61,,6.4,14.56,22.73,9.2,17.75,0.71,52.26,0.0,,,,,,8.72,92.54,1.82,214.79,0.0,0.0,8.4,858.36,
2024-01-02 00:00:00,24.39,,6.05,11.99,19.8,8.56,17.52,0.48,57.2,0.0,,,,,,7.82,91.84,2.64,223.36,0.0,0.0,8.4,858.12,
2024-01-02 01:00:00,18.17,,2.9,9.52,12.87,8.06,17.04,0.3,61.52,0.0,,,,,,7.07,91.32,3.06,229.93,0.0,0.0,8.4,857.83,
2024-01-02 02:00:00,11.2,,2.5,7.92,10.85,7.62,16.86,0.26,59.99,0.0,,,,,,6.54,91.07,3.22,241.45,0.0,0.0,8.4,857.65,
2024-01-02 03:00:00,10.03,,1.27,5.64,6.9,7.38,16.59,0.22,61.85,0.0,,,,,,6.54,92.23,3.98,254.77,0.0,0.0,8.4,857.61,
2024-01-02 04:00:00,15.83,,2.48,6.98,7.97,7.12,16.82,0.18,61.31,0.0,,,,,,6.17,93.86,3.66,240.19,0.0,0.0,8.4,857.81,
2024-01-02 05:00:00,19.89,,1.98,7.06,9.28,7.09,16.8,0.22,51.81,0.0,,,,,,5.92,94.34,1.79,248.05,0.0,0.0,8.4,858.08,
2024-01-02 06:00:00,22.92,,7.99,9.68,20.44,7.01,16.6,0.31,46.22,0.0,,,,,,6.04,94.72,1.7,223.3,0.0,0.0,10.7,858.49,
2024-01-02 07:00:00,11.33,,16.46,11.03,34.02,7.58,16.97,0.55,38.25,0.0,,,,,,7.92,88.12,2.28,211.71,0.0,0.0,24.73,859.03,
2024-01-02 08:00:00,15.86,,6.09,14.34,22.07,10.02,17.9,0.7,18.39,0.0,,,,,,12.21,81.01,3.66,185.49,0.0,0.0,28.63,859.82,
2024-01-02 09:00:00,14.58,,1.55,9.0,10.45,8.37,17.2,0.38,25.95,0.0,,,,,,16.73,63.84,4.3,157.26,0.0,0.0,68.24,859.98,
2024-01-02 10:00:00,15.94,,2.31,17.82,14.01,7.98,16.63,0.22,26.06,0.0,,,,,,19.45,57.31,4.14,164.26,0.0,0.0,95.76,859.62,
2024-01-02 11:00:00,10.17,,0.47,4.84,2.28,4.17,13.17,0.1,41.61,0.0,,,,,,,61.81,6.92,234.56,0.0,0.0,8.4,,
2024-01-02 12:00:00,15.0,,1.78,14.82,16.27,7.7,16.9,0.3,25.38,0.0,,,,,,19.18,62.82,2.79,159.62,0.0,0.0,96.68,857.73,
2024-01-02 13:00:00,18.89,,0.48,4.99,2.3,4.17,13.36,0.12,35.9,0.0,,,,,,,67.36,4.49,188.56,0.0,0.0,8.4,,
2024-01-02 14:00:00,24.83,,6.1,18.44,18.11,7.12,17.14,0.24,19.42,0.0,,,,,,16.97,68.56,2.18,153.68,0.0,0.0,20.26,856.92,
2024-01-02 15:00:00,24.03,,0.39,4.87,2.3,4.17,13.87,0.14,34.19,0.0,,,,,,,70.81,4.26,224.63,0.0,0.0,8.4,,
2024-01-02 16:00:00,20.11,,0.62,4.62,2.36,4.22,13.89,0.16,32.17,0.0,,,,,,,78.98,3.76,249.33,0.0,0.0,8.4,,
2024-01-02 17:00:00,26.8,,0.42,4.92,2.33,4.17,14.56,0.18,32.37,0.0,,,,,,,85.96,3.52,246.6,0.0,0.0,8.4,,
2024-01-02 18:00:00,40.61,,2.16,16.9,18.8,9.85,17.94,0.53,18.7,0.0,,,,,,12.97,88.06,2.07,178.09,0.0,0.0,8.4,857.86,
2024-01-02 19:00:00,40.03,,9.36,16.69,29.0,9.8,18.14,0.74,20.36,0.0,,,,,,10.98,90.3,1.34,219.49,0.0,0.0,8.4,858.26,
2024-01-02 20:00:00,38.06,,22.4,16.01,47.3,9.5,18.27,1.02,41.32,0.0,,,,,,9.64,91.84,1.92,234.44,0.0,0.0,8.4,858.53,
2024-01-02 21:00:00,31.2,,25.06,14.76,14.18,9.25,17.92,0.36,46.26,0.0,,,,,,8.99,88.78,2.04,250.14,0.0,0.0,8.4,858.73,
2024-01-02 22:00:00,19.33,,0.4,4.89,2.3,4.19,13.63,0.1,48.91,0.0,,,,,,,87.77,4.0,269.95,0.0,0.0,8.4,,
2024-01-02 23:00:00,12.2,,8.21,12.46,12.84,8.13,17.2,0.35,55.36,0.0,,,,,,7.38,90.12,4.11,256.01,0.0,0.0,8.4,858.43,
2024-01-03 00:00:00,20.75,,0.43,4.66,4.54,4.06,13.32,0.15,60.54,0.0,,,,,,,72.19,5.89,294.3,0.0,0.0,16.81,,
2024-01-03 01:00:00,12.25,,0.47,4.58,4.51,4.08,12.7,0.12,56.46,0.0,,,,,,,77.23,3.43,257.41,0.0,0.0,16.81,,
2024-01-03 02:00:00,11.03,,0.52,4.71,4.59,4.2,12.86,0.13,46.72,0.0,,,,,,,90.87,3.43,250.3,0.0,0.0,16.81,,
2024-01-03 03:00:00,20.72,,0.45,4.86,4.66,4.17,13.12,0.13,46.57,0.0,,,,,,,90.43,4.56,275.0,0.0,0.0,16.81,,
2024-01-03 04:00:00,20.03,,0.56,4.68,4.66,4.24,13.35,0.12,52.89,0.0,,,,,,,85.79,4.26,278.78,0.0,0.0,16.81,,
2024-01-03 05:00:00,20.0,,0.52,4.62,4.56,4.11,13.13,0.12,53.67,0.0,,,,,,,84.43,5.27,276.3,0.0,0.0,16.81,,
2024-01-03 06:00:00,14.17,,0.4,4.7,4.41,4.2,12.73,0.1,56.25,0.0,,,,,,,77.76,5.77,303.03,0.0,0.0,16.81,,
2024-01-03 07:00:00,10.11,,0.41,4.65,4.43,4.08,12.7,0.15,52.34,0.0,,,,,,,73.42,6.94,279.91,0.0,0.0,16.81,,
2024-01-03 08:00:00,10.97,,0.43,4.66,4.48,4.16,12.65,0.34,44.73,0.0,,,,,,,66.25,7.32,261.33,0.0,0.0,16.81,,
2024-01-03 09:00:00,11.0,,0.57,4.72,4.73,4.18,12.49,0.28,42.54,0.0,,,,,,,58.51,6.7,233.92,0.0,0.0,16.81,,
2024-01-03 10:00:00,10.03,,0.41,4.62,4.39,4.11,12.42,0.2,42.82,0.0,,,,,,,47.48,4.65,212.81,0.0,0.0,16.81,,
2024-01-03 11:00:00,7.11,,0.49,4.64,4.54,4.16,12.58,0.24,41.23,0.0,,,,,,,51.22,5.44,210.5,0.0,0.0,16.81,,
2024-01-03 12:00:00,13.8,33.0,0.58,4.76,4.74,4.21,13.58,0.3,28.84,0.0,,,,,,,55.24,6.49,228.52,0.0,0.0,16.81,,
2024-01-03 13:00:00,18.86,34.92,0.46,4.77,4.58,4.2,14.38,0.28,23.44,0.0,,,,,,,56.78,4.64,194.31,0.0,0.0,16.81,,
2024-01-03 14:00:00,15.12,36.94,0.44,4.76,4.5,4.14,14.6,0.26,26.88,0.0,,,,,,,55.48,4.42,216.42,0.0,0.0,16.81,,
2024-01-03 15:00:00,17.92,33.72,0.44,4.89,4.66,4.2,14.51,0.29,25.63,0.0,,,,,,,66.23,2.8,199.78,0.0,0.0,16.81,,
2024-01-03 16:00:00,27.72,46.0,0.44,4.71,4.52,4.12,15.0,0.32,30.68,0.0,,,,,,,81.56,4.16,222.78,0.0,0.0,16.81,,
2024-01-03 17:00:00,44.0,,0.56,4.46,4.43,4.21,16.8,0.36,35.17,0.0,,,,,,,87.74,4.95,272.4,0.0,0.0,16.81,,
2024-01-03 18:00:00,49.62,,0.68,4.55,4.72,4.1,16.31,0.37,39.8,0.0,,,,,,,88.94,4.76,248.79,0.0,0.0,16.81,,
2024-01-03 19:00:00,38.0,,0.38,5.02,4.74,4.11,16.76,0.37,43.26,0.0,,,,,,,90.24,6.0,252.62,0.0,0.0,16.81,,
2024-01-03 20:00:00,51.12,,0.52,4.43,4.33,4.11,16.82,0.4,41.17,0.0,,,,,,,91.82,5.72,244.46,0.0,0.0,16.81,,
2024-01-03 21:00:00,48.0,,0.5,4.67,4.54,4.24,15.37,0.32,45.82,0.0,,,,,,,92.58,6.32,290.42,0.0,0.0,16.81,,
2024-01-03 22:00:00,38.62,,0.41,4.71,4.55,4.16,14.7,0.21,57.8,0.0,,,,,,,90.72,6.74,273.6,0.0,0.0,16.81,,
2024-01-03 23:00:00,27.0,,0.37,4.75,2.2,4.09,14.56,0.08,60.07,0.0,,,,,,,91.1,7.18,268.55,0.0,0.0,8.4,,
2024-01-04 00:00:00,26.06,,13.1,11.84,29.83,8.57,17.52,0.68,52.0,0.0,,,,,,8.05,93.63,1.5,218.92,0.0,0.0,8.4,857.5,
2024-01-04 01:00:00,34.0,,2.5,11.9,14.6,8.87,17.24,0.44,21.84,0.0,,,,,,9.3,94.12,2.26,253.75,0.0,0.0,8.4,857.44,
2024-01-04 02:00:00,28.38,,0.54,4.5,2.28,4.32,14.04,0.1,46.3,0.0,,,,,,,93.86,3.99,330.98,0.0,0.0,8.4,,
2024-01-04 03:00:00,39.0,,7.99,9.52,20.22,8.26,17.41,0.36,24.8,0.0,,,,,,7.93,93.33,2.01,195.04,0.0,0.0,8.4,857.03,
2024-01-04 04:00:00,26.81,,10.54,9.51,23.98,7.79,17.39,0.3,49.3,0.0,,,,,,7.05,93.86,1.92,230.98,0.01,0.01,8.41,857.11,
2024-01-04 05:00:00,21.0,,8.8,9.44,21.35,7.36,17.13,0.24,50.95,0.0,,,,,,6.15,92.15,2.6,236.62,0.03,0.02,8.44,857.4,
2024-01-04 06:00:00,15.38,,11.78,10.34,26.54,7.19,17.02,0.3,26.6,0.0,,,,,,5.68,91.57,2.28,231.29,0.02,0.02,10.25,857.99,
2024-01-04 07:00:00,20.0,,17.44,13.67,25.99,7.62,17.32,0.32,49.34,0.0,,,,,,7.74,87.21,2.01,224.86,0.0,0.0,19.38,859.08,
2024-01-04 08:00:00,30.31,,11.27,16.27,16.87,8.14,17.94,0.46,19.0,0.0,,,,,,9.96,77.53,2.38,164.48,0.0,0.0,23.4,859.62,
2024-01-04 09:00:00,25.0,,1.38,9.03,7.66,9.67,18.01,0.44,25.65,0.0,,,,,,15.3,58.87,2.59,129.94,0.0,0.0,27.32,860.18,
2024-01-04 10:00:00,16.56,,0.73,4.17,2.28,3.93,14.28,0.2,42.3,0.0,,,,,,,47.94,4.03,182.52,0.0,0.0,8.44,,
2024-01-04 11:00:00,19.0,,0.67,4.24,2.26,4.23,13.68,0.15,40.89,0.0,,,,,,,51.78,4.41,194.64,0.0,0.0,8.44,,
2024-01-04 12:00:00,22.75,,1.36,9.52,10.7,7.49,17.02,0.38,27.65,0.0,,,,,,20.13,54.76,2.49,193.27,0.0,0.0,61.46,857.43,
2024-01-04 13:00:00,28.0,,1.71,17.04,10.31,7.28,17.11,0.26,22.5,0.0,,,,,,19.19,55.22,2.09,199.88,0.0,0.0,34.4,856.99,
2024-01-04 14:00:00,22.38,,1.12,10.54,6.78,8.3,17.58,0.25,27.09,0.0,,,,,,17.47,62.17,1.62,186.76,0.0,0.0,19.57,856.18,
2024-01-04 15:00:00,38.0,,0.48,4.89,2.34,4.14,17.34,0.16,32.51,0.0,,,,,,17.18,69.83,2.04,118.54,0.0,0.0,15.72,856.12,
2024-01-04 16:00:00,38.94,,1.68,14.24,15.62,9.86,18.03,0.43,21.66,0.0,,,,,,13.62,84.1,1.48,148.16,0.0,0.0,9.4,856.37,
2024-01-04 17:00:00,59.0,,2.04,17.1,13.35,10.19,18.92,0.38,20.94,0.0,,,,,,13.26,87.24,1.0,197.44,0.0,0.0,8.44,856.61,
2024-01-04 18:00:00,59.94,,8.85,24.42,24.52,9.33,19.22,0.66,18.18,0.0,,,,,,11.66,89.76,1.6,135.26,0.0,0.0,8.44,857.12,
2024-01-04 19:00:00,65.0,,3.5,22.42,25.87,9.97,19.24,0.8,18.01,0.0,,,,,,12.06,90.0,1.34,182.9,0.0,0.0,8.44,857.74,
2024-01-04 20:00:00,65.94,,5.8,22.44,29.33,10.18,18.9,0.91,17.75,0.0,,,,,,11.81,90.04,2.51,225.91,0.0,0.0,8.44,858.11,
2024-01-04 21:00:00,57.0,,17.89,19.53,44.02,9.53,18.8,1.04,19.89,0.0,,,,,,10.09,90.66,2.82,216.26,0.01,0.01,8.44,858.36,
2024-01-04 22:00:00,46.69,,22.88,19.16,50.96,9.25,18.62,1.18,18.44,0.0,,,,,,9.74,91.51,2.27,158.82,0.0,0.0,8.44,858.34,
2024-01-04 23:00:00,38.0,,24.49,16.27,18.3,8.99,18.42,0.5,20.57,0.0,,,,,,9.65,91.72,1.68,142.74,0.0,0.0,8.44,858.34,
2024-01-05 00:00:00,47.38,,0.39,4.86,4.53,4.1,15.44,0.39,38.86,0.0,,,,,,,93.13,2.8,141.49,0.0,0.0,16.87,,
2024-01-05 01:00:00,58.31,,0.72,4.59,4.9,4.22,15.43,0.35,41.28,0.0,,,,,,,93.12,1.89,73.75,0.0,0.0,16.87,,
2024-01-05 02:00:00,52.0,,0.34,4.61,4.31,4.09,15.36,0.3,44.66,0.0,,,,,,,92.96,2.5,175.55,0.0,0.0,16.87,,
2024-01-05 03:00:00,50.12,,0.64,4.95,5.05,4.2,15.14,0.26,48.76,0.0,,,,,,,93.29,1.73,215.9,0.0,0.0,16.87,,
2024-01-05 04:00:00,41.0,,0.35,4.67,4.38,4.12,14.76,0.22,46.5,0.0,,,,,,,93.14,1.67,269.12,0.0,0.0,16.87,,
2024-01-05 05:00:00,30.69,,0.62,4.38,4.53,3.96,14.46,0.18,43.99,0.0,,,,,,,93.61,2.83,283.87,0.0,0.0,16.87,,
2024-01-05 06:00:00,29.0,,0.5,4.62,4.54,4.03,13.94,0.16,44.59,0.0,,,,,,,93.83,3.52,265.51,0.0,0.0,16.87,,
2024-01-05 07:00:00,34.62,,0.38,4.62,4.25,4.0,15.06,0.2,43.56,0.0,,,,,,,90.61,5.96,259.9,0.0,0.0,16.87,,
2024-01-05 08:00:00,36.0,,0.47,4.63,4.46,4.13,14.95,0.24,47.32,0.0,,,,,,,79.16,5.99,251.03,0.0,0.0,16.87,,
2024-01-05 09:00:00,27.56,,0.62,4.8,4.82,4.19,14.4,0.21,47.7,0.0,,,,,,,69.75,5.08,243.11,0.0,0.0,16.87,,
2024-01-05 10:00:00,22.0,,0.4,4.61,4.19,4.14,14.09,0.2,50.15,0.0,,,,,,,54.14,5.46,173.78,0.0,0.0,16.87,,
2024-01-05 11:00:00,18.25,,0.42,5.06,4.79,4.06,13.51,0.2,40.82,0.0,,,,,,,51.73,5.01,181.17,0.0,0.0,16.87,,
2024-01-05 12:00:00,19.0,,0.4,4.68,4.42,4.19,13.38,0.26,25.16,0.0,,,,,,,53.34,6.72,222.6,0.0,0.0,16.87,,
2024-01-05 13:00:00,13.38,,0.5,4.59,4.61,4.04,11.68,0.33,19.1,0.0,,,,,,,50.35,5.46,165.7,0.0,0.0,16.87,,
2024-01-05 14:00:00,21.0,,0.46,5.25,5.0,4.12,12.1,0.34,22.34,0.0,,,,,,,50.95,4.43,238.74,0.0,0.0,16.87,,
2024-01-05 15:00:00,14.44,,0.48,4.93,4.74,4.01,11.67,0.35,22.04,0.0,,,,,,,59.89,3.37,195.11,0.0,0.0,16.87,,
2024-01-05 16:00:00,25.25,,0.27,4.73,4.31,4.16,11.76,0.4,21.04,0.0,,,,,,,74.18,5.56,244.32,0.0,0.0,16.87,,
2024-01-05 17:00:00,40.0,,0.4,4.92,4.33,4.09,11.82,0.46,23.91,0.0,,,,,,,78.82,1.64,250.4,0.0,0.0,16.87,,
2024-01-05 18:00:00,41.88,,0.34,5.27,4.7,4.13,11.74,0.42,29.83,0.0,,,,,,,79.31,3.12,248.56,0.0,0.0,16.87,,
2024-01-05 19:00:00,36.0,,0.3,4.7,4.29,4.14,11.94,0.39,35.92,0.0,,,,,,,82.44,5.39,243.66,0.0,0.0,16.87,,
2024-01-05 20:00:00,41.62,,0.36,4.85,4.56,4.06,11.89,0.36,41.8,0.0,,,,,,,82.49,5.41,303.23,0.0,0.0,16.87,,
2024-01-05 21:00:00,27.0,,0.39,4.6,4.39,4.16,11.8,0.32,44.66,0.0,,,,,,,79.77,3.1,192.29,0.0,0.0,16.87,,
2024-01-05 22:00:00,24.19,,0.28,4.83,4.16,4.13,11.6,0.21,55.14,0.0,,,,,,,65.86,4.03,151.36,0.0,0.0,16.87,,
2024-01-05 23:00:00,11.0,,11.73,15.7,31.48,7.69,15.86,0.52,60.92,0.0,,,,,,6.04,77.7,3.0,238.19,0.0,0.0,8.44,859.18,
2024-01-06 00:00:00,16.62,,9.98,14.68,28.02,7.44,15.87,0.43,31.12,0.0,,,,,,5.49,77.1,2.68,229.31,0.0,0.0,8.44,858.96,
2024-01-06 01:00:00,11.0,,5.72,13.2,20.43,7.2,15.7,0.32,34.57,0.0,,,,,,5.03,77.9,3.54,265.1,0.0,0.0,8.44,858.64,
2024-01-06 02:00:00,9.12,,3.91,12.7,17.34,6.86,15.58,0.26,35.58,0.0,,,,,,4.47,77.52,3.55,270.76,0.0,0.0,8.44,858.35,
2024-01-06 03:00:00,7.0,,4.3,11.84,17.11,6.53,15.46,0.2,35.51,0.0,,,,,,3.92,75.34,4.46,231.47,0.0,0.0,8.44,858.21,
2024-01-06 04:00:00,9.81,,0.48,5.06,2.4,4.1,11.16,0.04,69.34,0.0,,,,,,,59.94,8.06,284.03,0.0,0.0,8.44,,
2024-01-06 05:00:00,5.0,,5.32,13.12,13.94,6.13,15.42,0.12,32.88,0.0,,,,,,3.44,77.47,2.78,205.8,0.0,0.0,8.44,858.56,
2024-01-06 06:00:00,5.94,,16.73,15.74,20.51,6.2,15.42,0.14,29.81,0.0,,,,,,3.63,78.26,1.76,261.82,0.0,0.0,9.8,858.96,
2024-01-06 07:00:00,8.0,,21.14,16.28,45.69,6.92,15.57,0.44,28.29,0.0,,,,,,6.22,72.54,1.9,217.38,0.0,0.0,25.26,859.51,
2024-01-06 08:00:00,11.75,,9.71,17.08,29.94,9.06,15.94,0.4,26.18,0.0,,,,,,12.8,59.36,2.59,158.28,0.02,0.02,31.75,860.51,
2024-01-06 09:00:00,13.0,,1.46,10.79,12.12,8.27,15.77,0.22,32.04,0.0,,,,,,16.88,49.49,2.96,168.63,0.01,0.01,62.09,860.34,
2024-01-06 10:00:00,11.12,,1.35,11.86,12.88,7.84,15.86,0.2,35.79,0.0,,,,,,20.63,47.38,2.92,153.86,0.06,0.05,154.34,859.62,
2024-01-06 11:00:00,16.0,,9.27,26.36,26.13,7.96,15.94,0.22,25.21,0.0,,,,,,21.48,49.24,2.58,128.1,0.05,0.04,86.0,858.92,
2024-01-06 12:00:00,12.25,,4.43,24.52,29.25,7.86,16.13,0.28,25.8,0.0,,,,,,21.25,48.39,2.02,151.57,0.02,0.02,128.6,858.26,
2024-01-06 13:00:00,27.0,,4.38,20.13,25.1,7.48,16.29,0.26,30.26,0.0,,,,,,21.6,45.55,2.76,153.06,0.0,0.0,122.62,857.69,
2024-01-06 14:00:00,20.44,,0.36,4.49,2.08,4.09,11.64,0.1,46.36,0.0,,,,,,,52.01,4.23,126.53,0.0,0.0,8.44,,
2024-01-06 15:00:00,19.0,,3.96,23.42,19.08,7.24,16.24,0.28,26.22,0.0,,,,,,17.59,63.18,1.98,162.67,0.0,0.0,34.24,857.4,
2024-01-06 16:00:00,25.56,,9.23,26.95,20.38,14.52,16.52,0.38,23.02,0.0,,,,,,13.12,79.18,1.46,213.14,0.0,0.0,8.68,857.98,
2024-01-06 17:00:00,34.0,,10.57,25.38,14.6,14.45,16.66,0.36,37.09,0.0,,,,,,12.03,84.64,2.22,224.23,0.0,0.0,8.44,858.17,
2024-01-06 18:00:00,64.94,,0.46,4.56,2.22,4.16,11.49,0.23,31.2,0.0,,,,,,,88.02,4.3,214.08,0.0,0.0,8.44,,
2024-01-06 19:00:00,80.0,,25.54,23.01,39.74,11.77,16.98,1.03,26.38,0.0,,,,,,10.72,88.64,1.74,183.68,0.01,0.01,8.44,859.12,
2024-01-06 20:00:00,84.69,,42.19,17.34,27.17,11.48,17.4,0.81,13.7,0.0,,,,,,9.71,90.23,2.84,261.08,0.0,0.0,8.44,860.04,
2024-01-06 21:00:00,59.0,,33.98,17.28,65.27,11.17,17.0,1.48,16.96,0.0,,,,,,9.82,90.98,2.44,233.88,0.0,0.0,8.44,860.04,
2024-01-06 22:00:00,39.31,,22.35,14.62,45.9,10.46,16.55,1.12,24.76,0.0,,,,,,8.28,90.34,3.81,232.76,0.0,0.0,8.44,860.1,
2024-01-06 23:00:00,25.0,,16.9,11.98,35.51,9.57,16.42,0.83,66.96,0.0,,,,,,7.32,86.82,4.42,269.76,0.0,0.0,8.44,859.75,
2024-01-07 00:00:00,18.44,,9.21,13.98,26.27,8.62,16.08,0.48,70.26,0.0,,,,,,6.56,88.4,4.26,242.62,0.0,0.0,8.44,859.45,
2024-01-07 01:00:00,19.0,,6.71,12.44,21.2,8.14,15.88,0.37,36.43,0.0,,,,,,5.82,84.33,4.61,273.26,0.0,0.0,8.44,859.15,
2024-01-07 02:00:00,11.5,,3.18,10.27,13.96,7.7,15.92,0.29,36.74,0.0,,,,,,5.1,83.36,4.7,269.76,0.0,0.0,8.44,859.0,
2024-01-07 03:00:00,11.0,,2.22,9.87,12.3,7.32,15.66,0.22,36.08,0.0,,,,,,4.69,85.02,4.55,266.62,0.0,0.0,8.44,858.92,
2024-01-07 04:00:00,11.0,,2.1,8.78,10.88,7.12,15.42,0.22,65.54,0.0,,,,,,4.25,90.08,3.93,260.32,0.0,0.0,8.44,858.97,
