latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
22.24956,86.18802,264.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,14.0,92,0.00,985.7,2.2,4.0,180,90
2024-01-01T01:00,14.6,91,0.00,987.1,2.3,4.3,162,90
2024-01-01T02:00,15.3,88,0.00,987.6,1.5,4.5,104,104
2024-01-01T03:00,18.0,77,0.00,988.4,0.8,2.2,27,90
2024-01-01T04:00,20.3,67,0.00,988.4,1.1,1.5,360,45
2024-01-01T05:00,22.3,60,0.00,988.0,2.6,3.1,326,339
2024-01-01T06:00,23.8,55,0.00,986.9,4.5,5.5,299,302
2024-01-01T07:00,24.7,51,0.00,985.6,7.3,9.0,290,293
2024-01-01T08:00,25.0,49,0.00,984.5,8.4,10.3,295,299
2024-01-01T09:00,25.0,46,0.00,983.9,7.2,9.2,307,309
2024-01-01T10:00,24.5,46,0.00,983.5,7.8,10.5,326,329
2024-01-01T11:00,22.9,56,0.00,983.8,4.0,9.5,350,349
2024-01-01T12:00,19.9,66,0.00,983.8,8.0,9.4,27,18
2024-01-01T13:00,19.0,68,0.00,984.8,7.1,10.2,60,39
2024-01-01T14:00,17.4,76,0.00,985.2,6.8,6.2,108,54
2024-01-01T15:00,16.4,81,0.00,985.6,6.9,7.9,118,120
2024-01-01T16:00,15.7,85,0.00,985.9,5.5,5.4,79,86
2024-01-01T17:00,16.8,81,0.00,986.0,2.9,4.0,90,27
2024-01-01T18:00,17.1,78,0.00,986.0,5.6,9.0,333,344
2024-01-01T19:00,15.8,84,0.00,985.7,3.8,5.6,229,310
2024-01-01T20:00,13.3,94,0.00,985.3,4.0,2.0,170,225
2024-01-01T21:00,13.4,92,0.00,984.6,1.5,1.3,135,34
2024-01-01T22:00,12.8,93,0.00,984.4,3.8,4.8,73,27
2024-01-01T23:00,12.5,95,0.00,984.3,5.2,6.5,74,34
2024-01-02T00:00,14.1,90,0.00,985.1,4.0,5.5,80,32
2024-01-02T01:00,13.8,92,0.00,986.4,5.1,8.2,356,15
2024-01-02T02:00,14.6,89,0.00,987.2,2.3,5.4,321,8
2024-01-02T03:00,17.6,75,0.00,988.1,1.5,2.9,284,360
2024-01-02T04:00,20.5,58,0.00,988.2,3.3,4.0,319,333
2024-01-02T05:00,22.8,48,0.00,987.6,6.4,8.1,333,339
2024-01-02T06:00,24.3,44,0.00,986.5,8.2,10.6,337,342
2024-01-02T07:00,25.1,43,0.00,985.3,9.2,11.7,339,342
2024-01-02T08:00,25.5,42,0.00,984.3,9.7,12.5,345,348
2024-01-02T09:00,25.4,43,0.00,983.6,9.1,11.9,342,346
2024-01-02T10:00,24.7,45,0.00,983.6,9.9,13.1,341,344
2024-01-02T11:00,23.3,51,0.00,983.5,7.1,13.2,345,349
2024-01-02T12:00,19.6,67,0.00,983.6,8.7,10.4,7,2
2024-01-02T13:00,21.4,58,0.00,985.0,2.9,3.6,60,354
2024-01-02T14:00,18.1,74,0.00,985.2,4.9,3.3,126,131
2024-01-02T15:00,17.6,74,0.00,985.6,6.4,12.2,117,124
2024-01-02T16:00,17.4,75,0.00,986.0,8.3,18.4,95,116
2024-01-02T17:00,16.9,77,0.00,986.0,6.8,17.5,90,104
2024-01-02T18:00,16.6,75,0.00,985.8,7.6,18.1,85,96
2024-01-02T19:00,14.7,83,0.00,985.5,8.2,11.7,151,124
2024-01-02T20:00,13.8,91,0.00,985.0,7.9,8.9,156,159
2024-01-02T21:00,13.4,91,0.00,984.4,4.7,4.3,99,132
2024-01-02T22:00,14.3,84,0.00,984.5,2.9,2.9,83,90
2024-01-02T23:00,14.7,81,0.00,984.7,0.8,2.9,117,60
2024-01-03T00:00,14.3,83,0.00,985.3,0.4,2.5,180,45
2024-01-03T01:00,14.0,87,0.00,986.2,2.8,5.4,40,53
2024-01-03T02:00,14.9,81,0.00,987.1,3.3,6.1,6,40
2024-01-03T03:00,18.2,65,0.00,988.3,1.8,3.7,349,29
2024-01-03T04:00,20.8,56,0.00,988.5,3.0,4.5,14,29
2024-01-03T05:00,22.8,51,0.00,987.7,4.6,6.3,18,24
2024-01-03T06:00,24.3,46,0.00,986.7,5.5,7.1,11,15
2024-01-03T07:00,25.3,43,0.00,985.3,6.5,8.3,360,2
2024-01-03T08:00,25.7,42,0.00,984.1,7.6,9.7,357,360
2024-01-03T09:00,25.7,40,0.00,983.5,9.0,11.5,355,358
2024-01-03T10:00,25.1,42,0.00,983.3,9.4,12.2,356,360
2024-01-03T11:00,23.6,49,0.00,983.5,6.6,12.3,351,357
2024-01-03T12:00,19.4,66,0.00,983.4,7.9,10.5,357,6
