Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,189.0,277.25,0.35,11.28,6.28,16.18,53.98,2.4,31.1,2.88,2.0,,,0.5,0.48,15.28,84.75,0.28,264.25,0.0,0.0,7.0,,
2024-01-01 01:00:00,181.0,239.75,0.88,91.75,49.52,37.65,39.63,5.57,10.77,2.95,2.05,,,0.45,0.43,14.95,86.25,0.52,260.0,0.0,0.0,7.0,,
2024-01-01 02:00:00,185.0,262.0,0.55,9.72,5.32,14.73,30.73,0.02,14.68,2.82,2.17,,,0.52,0.52,14.82,86.0,0.57,285.75,0.0,0.0,7.0,,
2024-01-01 03:00:00,175.0,249.25,0.45,11.22,6.35,16.4,28.0,0.02,17.45,3.25,1.6,,,0.35,0.3,14.55,86.75,0.75,270.5,0.0,0.0,7.0,,
2024-01-01 04:00:00,163.5,239.75,0.75,10.82,6.35,15.62,21.48,,10.2,5.2,1.52,,,0.3,0.22,13.92,88.0,0.88,270.25,0.0,0.0,7.0,,
2024-01-01 05:00:00,160.25,254.5,0.55,13.32,7.58,16.38,22.65,1.66,5.42,9.7,2.42,,,0.45,0.38,13.48,89.0,0.75,273.25,0.0,0.0,7.0,,
2024-01-01 06:00:00,172.75,290.75,0.55,16.32,9.12,18.15,38.42,3.97,5.68,10.45,5.98,,,1.05,1.1,13.42,89.0,0.85,257.5,0.0,0.0,13.5,,
2024-01-01 07:00:00,204.25,349.5,0.38,16.52,9.07,19.88,53.28,0.02,14.35,10.05,6.92,,,1.32,1.42,14.42,87.5,0.98,252.0,0.0,0.0,43.5,,
2024-01-01 08:00:00,227.75,359.0,0.75,15.55,8.88,21.1,99.45,0.02,41.32,10.18,7.05,,,1.4,1.5,17.18,82.25,0.68,284.25,0.0,0.0,82.25,,
2024-01-01 09:00:00,281.25,416.0,0.5,14.2,7.95,21.82,131.8,0.02,70.32,11.72,8.18,,,1.52,1.58,20.08,76.25,0.65,254.75,0.0,0.0,87.75,,
2024-01-01 10:00:00,284.0,405.75,0.75,15.95,9.1,23.02,,,99.42,9.05,6.3,,,1.15,1.15,22.15,72.5,0.88,262.0,0.0,0.0,104.75,,
2024-01-01 11:00:00,264.75,387.5,0.68,20.1,11.22,25.12,,0.44,134.65,7.0,4.47,,,0.75,0.65,24.08,68.0,0.85,255.25,0.0,0.0,117.75,,
2024-01-01 12:00:00,253.5,366.75,0.5,11.92,6.75,23.12,157.77,0.8,175.5,7.38,4.47,,,0.68,0.52,25.68,64.5,1.52,321.75,0.0,0.0,117.25,,
2024-01-01 13:00:00,239.75,331.0,0.33,8.28,4.62,18.5,123.15,0.82,177.58,4.22,2.55,,,0.4,0.32,26.95,61.25,1.42,331.0,0.0,0.0,107.5,,
2024-01-01 14:00:00,194.5,272.0,0.37,7.65,4.28,17.55,115.45,0.01,181.18,2.28,1.18,,,0.18,0.18,27.6,57.75,1.52,318.0,0.0,0.0,82.0,,
2024-01-01 15:00:00,174.25,240.75,0.3,7.7,4.28,17.58,101.25,0.01,177.88,1.62,0.88,,,0.1,0.15,27.28,58.75,1.1,172.0,0.0,0.0,40.25,,
2024-01-01 16:00:00,171.25,245.0,0.38,10.82,6.08,17.52,96.8,0.02,156.4,1.58,1.0,,,0.15,0.22,25.95,62.5,0.62,19.0,0.0,0.0,15.0,,
