Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,135.75,227.0,0.33,0.27,0.3,2.5,2.92,1.51,9.1,2.42,2.35,,,0.2,0.3,33.2,,0.15,316.75,0.0,0.0,4.0,,
2024-01-01 01:00:00,132.5,263.25,0.2,0.4,0.32,2.52,3.3,1.37,6.73,2.5,2.45,,,0.2,0.3,33.22,,0.2,310.75,0.0,0.0,4.0,,
2024-01-01 02:00:00,138.0,287.0,0.3,0.63,0.43,2.5,3.2,1.33,5.42,2.55,2.55,,,0.22,0.3,32.62,,0.12,309.0,0.0,0.0,4.0,,
2024-01-01 03:00:00,134.5,301.75,0.2,0.4,0.4,2.62,3.4,1.24,3.85,2.32,2.12,,,0.2,0.3,32.55,,0.22,287.0,0.0,0.0,4.0,,
2024-01-01 04:00:00,124.75,317.0,0.3,0.52,0.25,2.48,3.88,1.18,3.1,2.45,2.22,,,0.2,0.28,32.78,,0.25,305.5,0.0,0.0,4.0,,
2024-01-01 05:00:00,118.0,297.0,0.3,0.17,0.22,2.65,3.48,1.2,3.05,2.32,1.8,,,0.15,0.2,32.42,,0.2,299.75,0.0,0.0,3.5,,
2024-01-01 06:00:00,115.25,245.5,0.1,0.35,0.18,2.6,2.75,1.66,3.62,2.55,1.72,,,0.2,0.18,32.5,,0.12,309.5,0.0,0.0,9.75,,
2024-01-01 07:00:00,137.5,283.25,0.1,0.43,0.3,2.58,3.58,2.02,5.4,4.97,3.0,,,0.85,0.5,33.1,,0.15,173.25,0.0,0.0,41.0,,
2024-01-01 08:00:00,162.75,372.25,0.18,0.42,0.38,2.52,37.15,2.29,19.5,5.1,3.78,,,0.35,0.6,34.67,92.0,0.32,124.75,0.0,0.0,97.75,,
2024-01-01 09:00:00,154.0,383.0,,0.75,0.25,2.55,59.75,1.96,46.35,4.6,3.3,,,0.25,0.4,36.95,80.0,0.5,236.0,0.0,0.0,161.5,,
2024-01-01 10:00:00,185.0,340.0,,0.25,,2.45,44.6,1.6,100.7,3.35,2.15,,,0.15,0.15,40.25,68.5,0.85,176.5,0.0,0.0,232.0,,
2024-01-01 11:00:00,172.5,263.0,0.2,0.28,0.23,2.52,26.35,1.21,113.32,2.2,1.55,,,0.1,0.1,41.75,59.0,0.98,201.75,0.0,0.0,255.25,,
2024-01-01 12:00:00,130.25,180.25,0.25,0.48,0.35,2.58,15.52,1.04,117.18,1.32,1.25,,,,,42.42,51.0,1.15,203.5,0.0,0.0,250.25,,
2024-01-01 13:00:00,95.5,140.75,0.22,0.23,0.33,2.68,10.85,0.97,114.55,0.92,1.12,,,,,42.6,48.5,1.0,188.75,0.0,0.0,215.0,,
2024-01-01 14:00:00,80.75,123.25,0.22,0.28,0.32,2.65,7.82,0.98,111.48,0.82,1.08,,,,,42.65,47.0,0.8,179.75,0.0,0.0,155.5,,
2024-01-01 15:00:00,73.5,113.25,0.1,0.38,0.23,2.65,8.48,1.17,111.8,0.98,1.12,,,,,41.6,51.25,0.75,200.75,0.0,0.0,78.25,,
2024-01-01 16:00:00,82.25,135.5,0.4,0.52,0.27,2.5,14.9,1.25,82.68,1.32,1.38,,,0.1,0.1,39.6,62.75,0.38,274.25,0.0,0.0,20.0,,
