Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,193.75,324.75,21.17,51.72,44.76,19.85,4.46,0.88,12.6,6.35,26.76,,,3.14,4.96,20.39,84.75,0.26,262.12,0.0,0.0,5.88,,
2024-01-01 01:00:00,222.25,335.5,23.52,50.77,46.1,20.08,4.72,0.87,8.02,5.75,20.98,,,2.01,4.22,20.04,86.38,0.3,263.25,0.0,0.0,5.62,,
2024-01-01 02:00:00,217.25,330.25,7.14,44.08,29.25,20.96,3.66,1.34,17.5,5.1,17.02,,,2.28,3.39,19.7,88.25,0.3,256.12,0.0,0.0,5.62,,
2024-01-01 03:00:00,175.0,255.0,3.34,32.87,20.2,20.85,3.49,0.81,24.34,3.85,12.32,,,1.12,2.22,19.69,88.5,0.36,223.75,0.0,0.0,5.75,,
2024-01-01 04:00:00,155.0,226.25,2.69,24.71,15.35,20.21,3.34,0.8,35.78,3.65,9.74,,,1.2,1.58,19.52,88.0,0.36,180.38,0.0,0.0,6.0,,
2024-01-01 05:00:00,143.0,212.12,2.45,27.16,16.46,19.09,3.19,0.94,25.14,4.44,10.29,,,1.23,1.53,19.02,89.75,0.26,184.5,0.0,0.0,6.25,,
2024-01-01 06:00:00,144.5,237.25,3.29,35.62,21.62,19.14,3.35,0.98,27.38,7.31,12.09,,,3.32,1.98,19.09,89.0,0.32,135.25,0.0,0.0,49.75,,
2024-01-01 07:00:00,150.62,282.38,4.21,32.18,20.52,19.24,5.76,0.86,40.09,5.91,10.88,,,1.34,1.82,20.12,83.62,0.59,173.62,0.0,0.0,127.25,,
2024-01-01 08:00:00,155.5,274.0,3.9,29.08,18.66,19.46,18.84,0.84,63.42,4.06,9.63,,,0.97,1.62,21.6,73.62,0.85,170.0,0.0,0.0,182.12,,
2024-01-01 09:00:00,165.25,283.25,3.08,26.65,16.69,19.98,25.28,0.86,95.78,3.95,7.93,,,0.56,1.02,23.4,65.25,1.09,185.62,0.0,0.0,230.62,,
2024-01-01 10:00:00,155.75,244.38,2.5,18.96,12.1,20.11,22.42,0.84,119.85,3.4,7.55,,,0.54,0.86,24.45,60.88,1.4,194.88,0.0,0.0,255.5,,
2024-01-01 11:00:00,139.88,223.88,2.59,16.55,10.9,19.68,36.34,0.81,131.66,2.59,6.46,,,0.35,0.46,25.75,52.0,1.1,169.88,0.0,0.0,274.12,,
2024-01-01 12:00:00,139.75,219.38,1.88,19.42,11.88,19.74,44.76,0.82,150.78,2.28,6.69,,,0.38,0.48,26.92,49.88,1.11,119.88,0.0,0.0,271.0,,
