Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,213.75,341.75,2.35,48.38,27.65,16.42,6.95,1.46,13.47,6.08,14.52,,,2.38,0.12,19.7,82.0,0.82,108.75,0.0,0.0,9.0,,
2024-01-01 01:00:00,217.0,323.0,2.0,36.2,20.83,15.93,7.67,1.19,28.97,5.03,14.05,,,1.58,0.1,19.35,82.0,0.82,99.75,0.0,0.0,9.0,,
2024-01-01 02:00:00,173.75,280.75,1.43,19.5,11.57,15.23,7.1,0.96,36.28,4.0,5.35,,,0.8,0.8,19.0,82.0,1.23,106.0,0.0,0.0,9.0,,
2024-01-01 03:00:00,142.75,221.75,1.65,15.25,9.45,13.9,6.28,0.93,40.12,3.6,3.35,,,0.45,0.48,18.5,82.0,0.73,95.25,0.0,0.0,9.0,,
2024-01-01 04:00:00,141.75,193.75,2.52,27.18,16.48,13.0,5.18,1.05,18.9,4.15,7.93,,,0.52,0.7,18.18,82.0,0.65,92.25,0.0,0.0,9.0,,
2024-01-01 05:00:00,142.0,224.75,1.95,24.32,14.52,13.88,9.98,1.05,32.88,4.7,8.62,,,0.62,0.57,18.23,82.0,0.75,137.5,0.0,0.0,9.0,,
2024-01-01 06:00:00,156.33,224.67,2.13,30.97,18.2,13.7,13.13,1.28,27.43,5.43,5.4,,,0.7,0.5,18.0,82.0,0.6,114.33,0.0,0.0,20.0,,
2024-01-01 07:00:00,175.5,249.0,2.45,26.45,16.08,13.9,13.2,1.12,39.25,4.68,6.75,,,1.0,0.1,18.65,82.0,0.98,126.75,0.0,0.0,50.5,,
2024-01-01 08:00:00,169.75,254.75,2.85,24.78,15.48,14.05,15.92,1.14,46.25,5.25,5.1,,,0.68,,20.35,82.0,1.05,132.75,0.0,0.0,87.5,,
2024-01-01 09:00:00,179.5,271.0,2.78,21.22,13.55,14.02,21.85,1.09,63.82,5.38,3.88,,,0.55,0.42,21.95,81.5,1.27,147.25,0.0,0.0,123.0,,
2024-01-01 10:00:00,163.25,238.75,2.38,19.18,12.18,13.9,25.7,1.07,81.3,4.08,2.8,,,0.4,0.48,23.62,81.0,1.52,188.5,0.0,0.0,144.5,,
2024-01-01 11:00:00,153.75,231.75,2.15,19.2,11.92,14.0,36.3,1.04,90.48,3.58,2.55,,,0.35,0.4,25.25,81.0,1.25,160.75,0.0,0.0,155.75,,
2024-01-01 12:00:00,147.25,222.0,2.05,15.78,10.05,13.6,25.0,0.95,99.7,3.12,1.88,,,0.22,0.25,25.78,81.0,1.38,88.0,0.0,0.0,147.0,,
2024-01-01 13:00:00,139.0,194.5,2.02,15.22,9.78,13.82,25.3,0.9,101.98,2.92,1.75,,,0.2,0.2,26.82,81.0,1.27,148.5,0.0,0.0,119.75,,
2024-01-01 14:00:00,139.75,194.0,2.02,15.92,10.12,14.42,31.62,0.85,106.95,2.62,1.35,,,0.18,0.15,27.02,81.0,1.45,74.25,0.0,0.0,84.0,,
2024-01-01 15:00:00,141.5,195.0,1.88,17.27,10.7,14.35,30.4,0.79,101.08,2.62,2.08,,,0.22,0.22,26.92,81.0,1.38,73.75,0.0,0.0,45.5,,
2024-01-01 16:00:00,143.5,203.0,1.85,29.0,16.9,14.55,26.58,1.1,88.62,2.62,3.97,,,0.6,0.4,26.1,81.0,0.75,78.5,0.0,0.0,17.5,,
2024-01-01 17:00:00,170.0,271.5,5.12,61.95,37.15,19.1,23.98,1.94,46.2,4.78,13.0,,,2.82,0.2,24.12,81.0,0.32,120.75,0.0,0.0,9.0,,
2024-01-01 18:00:00,218.5,359.25,2.2,63.25,35.4,18.52,17.35,1.65,34.55,9.55,22.33,,,6.4,0.35,22.92,81.0,1.3,288.25,0.0,0.0,9.0,,
2024-01-01 19:00:00,207.0,348.5,1.75,30.68,17.73,15.42,14.9,1.02,61.95,4.08,6.88,,,1.48,0.93,21.85,82.0,1.7,277.25,0.0,0.0,9.0,,
