Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,182.08,263.94,9.17,18.73,21.66,7.86,5.9,1.44,18.72,0.17,0.03,,,0.06,0.21,19.53,85.6,0.3,209.35,,,13.81,,
2024-01-01 01:00:00,167.43,233.84,7.35,20.45,20.84,7.59,5.94,1.29,16.92,0.1,1.46,,,2.74,,19.69,85.6,0.31,195.52,,,13.98,,
2024-01-01 02:00:00,163.05,219.44,7.1,20.85,21.13,6.33,5.99,1.32,15.33,0.2,3.46,,,1.58,,19.76,85.61,0.32,214.36,,,14.01,,
2024-01-01 03:00:00,153.56,209.94,9.43,19.62,20.64,5.87,5.81,1.27,14.2,0.18,2.96,,,1.33,,19.65,85.62,0.33,226.72,,,14.12,,
2024-01-01 04:00:00,149.24,193.4,15.48,21.67,19.52,5.5,5.58,1.14,14.86,0.0,0.04,,,0.03,0.06,19.29,85.64,0.33,208.71,,,14.28,,
2024-01-01 05:00:00,142.72,184.08,13.45,29.64,26.02,4.74,5.5,1.12,13.8,0.12,3.51,,,2.59,0.05,19.11,85.64,0.25,217.37,,,14.36,,
2024-01-01 06:00:00,127.78,172.01,14.87,31.61,28.32,4.91,5.42,1.1,13.68,0.12,1.44,,,1.3,0.06,18.86,85.63,0.34,172.68,,,19.23,,
2024-01-01 07:00:00,120.03,176.76,14.3,18.3,24.91,5.41,5.31,1.1,14.59,0.12,3.82,,,0.88,,18.97,85.6,0.32,185.37,,,54.7,,
2024-01-01 08:00:00,123.65,181.26,9.88,18.84,22.47,7.53,5.98,1.13,16.5,0.22,2.88,,,2.58,,19.59,85.38,0.53,242.89,,,88.99,,
2024-01-01 09:00:00,128.52,181.6,8.87,24.43,23.61,7.54,6.26,1.12,20.82,0.0,0.0,,,,0.08,20.96,77.17,0.39,207.46,,,202.9,,
2024-01-01 10:00:00,131.25,180.1,6.26,40.33,14.29,6.14,6.29,1.01,42.52,0.28,11.22,,,2.08,,23.54,58.8,0.53,194.24,,,347.58,,
2024-01-01 11:00:00,122.43,182.65,9.83,19.31,21.54,6.38,6.79,1.12,57.25,0.25,2.65,,,1.81,0.12,25.54,51.29,0.49,159.6,,,384.91,,
2024-01-01 12:00:00,117.28,176.6,9.19,18.82,20.29,5.7,6.31,0.91,63.8,0.0,0.0,,,,0.06,26.94,40.65,0.72,233.2,,,392.65,,
2024-01-01 13:00:00,109.17,151.9,6.94,16.3,16.33,5.32,6.34,0.7,63.94,0.22,5.47,,,1.66,0.55,27.49,34.95,1.14,238.42,,,366.68,,
2024-01-01 14:00:00,91.04,133.16,7.32,16.27,16.57,6.56,6.4,0.57,60.1,0.29,9.99,,,2.26,,27.41,35.94,1.1,236.1,,,126.17,,
2024-01-01 15:00:00,74.76,122.14,6.98,16.25,16.56,7.32,6.14,0.52,60.15,0.08,2.45,,,1.05,0.05,27.32,36.29,0.76,232.05,,,86.28,,
2024-01-01 16:00:00,71.88,110.02,6.94,17.71,17.94,7.08,6.3,0.52,57.07,0.14,5.13,,,1.23,0.04,26.24,39.1,0.4,217.83,,,43.84,,
2024-01-01 17:00:00,70.72,112.84,7.4,24.09,25.22,6.21,6.36,0.68,28.82,0.26,4.34,,,1.85,0.6,23.38,54.96,0.16,74.18,,,16.46,,
2024-01-01 18:00:00,78.77,113.7,9.86,27.53,31.12,3.52,6.2,0.96,19.2,0.37,9.13,,,2.76,,21.62,65.56,0.22,132.42,,,14.27,,
2024-01-01 19:00:00,85.92,142.18,6.89,24.01,23.34,4.67,6.04,0.82,20.06,0.15,1.36,,,1.07,,20.88,70.36,0.31,112.07,,,13.93,,
2024-01-01 20:00:00,90.48,140.15,6.86,21.7,21.5,5.35,5.87,0.88,21.54,0.14,1.39,,,1.01,,20.13,75.32,0.43,96.31,,,13.73,,
2024-01-01 21:00:00,91.23,138.2,8.74,17.5,20.39,5.26,5.85,0.91,19.75,0.26,6.82,,,1.49,0.05,19.63,78.7,0.5,102.1,,,13.99,,
2024-01-01 22:00:00,81.87,130.48,11.44,18.35,24.08,3.85,5.94,0.84,14.64,0.22,3.28,,,1.47,0.54,18.82,83.4,0.29,183.43,,,14.57,,
2024-01-01 23:00:00,76.39,108.22,11.38,19.06,23.41,5.02,5.72,0.7,14.0,0.46,9.98,,,2.08,0.2,18.16,85.42,0.24,168.08,,,14.6,,
2024-01-02 00:00:00,69.9,114.01,11.74,20.35,24.68,5.23,6.08,0.8,13.7,0.2,1.22,,,2.61,0.38,17.86,85.61,0.22,198.26,,,14.21,,
2024-01-02 01:00:00,64.64,106.09,11.56,16.99,22.24,6.09,5.89,0.78,13.88,0.3,4.67,,,1.74,0.55,17.56,85.61,0.32,176.87,,,14.1,,
2024-01-02 02:00:00,62.26,99.95,9.27,16.45,19.39,6.4,5.87,0.7,14.78,0.0,0.0,,,,,17.2,85.62,0.35,178.58,,,14.14,,
2024-01-02 03:00:00,63.05,91.75,7.65,16.84,17.39,5.74,5.86,0.76,14.27,0.1,2.99,,,1.23,0.05,16.83,85.64,0.23,133.92,,,14.06,,
2024-01-02 04:00:00,50.24,81.85,15.29,12.95,15.83,5.48,5.59,0.74,16.2,0.09,2.84,,,1.15,0.03,16.44,85.64,0.33,69.04,,,13.9,,
2024-01-02 05:00:00,50.01,76.3,15.06,16.69,21.89,3.96,5.46,0.79,14.73,0.08,2.72,,,0.84,0.03,16.06,85.66,0.25,181.0,,,14.26,,
2024-01-02 06:00:00,44.86,75.16,13.09,18.47,23.72,3.57,5.57,0.79,13.38,0.12,0.9,,,2.4,0.34,16.1,85.67,0.43,168.34,,,18.78,,
2024-01-02 07:00:00,37.52,74.94,12.79,17.09,23.01,4.63,5.5,0.8,14.86,0.14,2.93,,,0.76,0.58,16.42,85.65,0.41,157.07,,,59.23,,
2024-01-02 08:00:00,38.94,75.92,14.43,16.3,21.6,6.29,5.8,0.76,18.0,0.08,3.24,,,1.17,,17.57,85.62,0.62,157.07,,,175.0,,
2024-01-02 09:00:00,52.28,80.11,13.69,22.14,19.77,6.97,5.78,0.73,26.12,0.17,6.48,,,1.56,0.05,20.46,68.1,0.62,136.92,,,213.06,,
