Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,125.13,219.62,1.83,27.3,19.91,29.43,7.62,0.14,34.97,3.89,5.79,,,0.78,1.64,12.92,94.11,0.68,309.96,0.0,0.0,6.38,,
2024-01-01 01:00:00,119.59,220.3,1.36,26.08,18.81,28.89,6.95,0.41,29.08,3.09,4.66,,,0.36,0.71,12.51,94.13,0.58,176.36,0.0,0.0,6.32,,
2024-01-01 02:00:00,122.2,217.17,1.49,27.59,19.8,28.52,5.57,0.4,25.35,4.81,6.7,,,0.54,1.05,12.07,94.13,0.68,191.42,0.0,0.0,6.36,,
2024-01-01 03:00:00,118.03,212.47,1.64,28.59,20.52,28.76,5.26,0.41,22.24,5.29,6.68,,,0.58,1.16,11.54,94.13,0.69,34.43,0.0,0.0,6.71,,
2024-01-01 04:00:00,114.86,198.33,1.4,26.54,19.11,29.02,3.37,0.42,22.58,5.0,6.21,,,0.53,1.02,11.26,94.14,0.58,344.95,0.0,0.0,6.44,,
2024-01-01 05:00:00,109.28,189.32,1.37,26.82,19.26,28.74,3.0,0.45,25.87,5.13,6.06,,,0.56,1.03,11.4,94.17,0.56,308.91,0.0,0.0,6.38,,
2024-01-01 06:00:00,108.07,195.14,2.86,28.51,21.44,27.4,2.64,0.47,11.63,6.3,6.65,,,0.71,1.49,11.32,94.17,0.32,131.59,0.0,0.0,15.05,,
2024-01-01 07:00:00,130.14,233.07,7.26,32.09,27.08,27.35,3.0,0.52,10.3,10.5,9.18,,,1.35,2.92,11.63,94.17,0.46,142.65,0.0,0.0,67.51,,
2024-01-01 08:00:00,149.32,275.56,5.7,31.54,25.5,30.32,4.05,0.47,17.34,11.03,9.88,,,1.54,3.26,13.61,94.16,0.82,131.85,0.0,0.0,172.98,,
2024-01-01 09:00:00,146.7,258.84,2.76,27.65,20.86,32.63,12.6,0.43,39.49,7.52,8.13,,,0.98,2.09,16.92,91.13,0.95,140.01,0.0,0.0,321.12,,
2024-01-01 10:00:00,137.19,234.76,1.28,25.92,18.66,31.4,62.04,0.43,97.05,6.52,8.65,,,0.87,1.79,21.18,66.12,0.92,201.16,0.0,0.0,297.91,,
