latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
31.599297,74.91018,246.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,5.9,99,0.00,989.2,4.2,10.3,340,335
2024-01-01T01:00,7.3,99,0.00,990.2,4.7,7.2,360,354
2024-01-01T02:00,7.6,100,0.00,990.7,4.4,6.1,9,357
2024-01-01T03:00,8.1,99,0.00,991.3,4.2,4.7,20,4
2024-01-01T04:00,8.6,99,0.00,991.8,3.5,3.7,24,11
2024-01-01T05:00,9.3,98,0.00,992.1,3.5,3.9,24,22
2024-01-01T06:00,10.3,95,0.00,991.7,3.9,4.0,22,10
2024-01-01T07:00,11.6,89,0.00,990.9,3.3,3.9,347,338
2024-01-01T08:00,12.7,84,0.00,990.0,4.6,5.6,315,315
2024-01-01T09:00,13.5,82,0.00,989.3,5.4,6.9,312,313
2024-01-01T10:00,14.2,79,0.00,988.6,6.1,7.9,310,309
2024-01-01T11:00,13.9,81,0.00,988.4,4.1,6.1,308,310
2024-01-01T12:00,13.3,83,0.00,988.3,3.4,5.4,302,312
2024-01-01T13:00,11.1,86,0.00,989.3,2.3,3.0,51,346
2024-01-01T14:00,10.0,91,0.00,989.8,2.5,3.1,45,339
2024-01-01T15:00,9.2,95,0.00,989.9,2.9,3.9,353,326
2024-01-01T16:00,8.3,100,0.00,989.9,2.9,4.7,277,302
2024-01-01T17:00,7.8,100,0.00,989.8,3.6,6.0,270,295
2024-01-01T18:00,7.0,100,0.00,989.4,5.1,7.2,274,297
2024-01-01T19:00,5.1,99,0.00,989.0,3.8,8.4,311,313
2024-01-01T20:00,4.9,100,0.00,988.6,3.5,9.7,336,321
2024-01-01T21:00,5.2,100,0.00,988.6,4.7,11.6,328,330
2024-01-01T22:00,4.6,100,0.00,988.3,5.0,12.7,339,331
2024-01-01T23:00,5.0,100,0.00,988.1,4.5,12.4,346,334
2024-01-02T00:00,5.1,100,0.00,988.1,4.5,11.6,14,344
2024-01-02T01:00,6.5,98,0.00,988.8,4.4,11.2,351,360
2024-01-02T02:00,7.0,99,0.00,989.5,2.9,7.4,7,23
2024-01-02T03:00,7.7,99,0.00,990.2,1.1,2.9,90,60
2024-01-02T04:00,8.7,98,0.00,991.1,2.1,1.8,211,127
2024-01-02T05:00,10.1,93,0.00,991.6,2.3,1.5,219,194
2024-01-02T06:00,11.4,88,0.00,991.2,2.9,3.2,263,270
2024-01-02T07:00,12.1,85,0.00,990.2,3.9,4.5,292,299
2024-01-02T08:00,13.0,81,0.00,989.4,4.9,5.9,306,308
2024-01-02T09:00,13.6,78,0.00,988.6,5.6,7.1,315,315
2024-01-02T10:00,13.8,77,0.00,988.2,5.7,7.3,325,327
2024-01-02T11:00,13.4,79,0.00,987.9,5.4,6.8,340,342
