latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
31.3181,75.62575,243.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,8.2,94,0.00,989.7,4.3,8.5,318,332
2024-01-01T01:00,8.4,98,0.00,990.5,3.8,5.2,311,326
2024-01-01T02:00,8.5,99,0.00,990.9,2.9,3.5,300,336
2024-01-01T03:00,8.8,99,0.00,991.5,3.3,3.1,283,315
2024-01-01T04:00,9.5,97,0.00,991.9,3.8,3.9,311,338
2024-01-01T05:00,10.2,97,0.00,992.2,4.3,4.3,312,318
2024-01-01T06:00,11.5,89,0.00,991.8,4.7,5.6,302,310
2024-01-01T07:00,12.7,85,0.00,990.9,5.3,6.3,298,301
2024-01-01T08:00,13.9,80,0.00,989.9,6.1,7.4,298,299
2024-01-01T09:00,14.6,76,0.00,989.1,7.2,9.0,297,299
2024-01-01T10:00,14.6,77,0.00,988.6,7.4,9.2,299,301
2024-01-01T11:00,14.1,79,0.00,988.5,6.3,8.8,301,305
2024-01-01T12:00,11.3,91,0.00,988.1,8.0,10.3,288,306
2024-01-01T13:00,9.8,89,0.00,989.1,6.3,7.1,294,315
2024-01-01T14:00,8.1,95,0.00,989.5,8.4,11.5,290,309
2024-01-01T15:00,7.2,98,0.00,989.8,9.0,13.8,307,321
2024-01-01T16:00,6.5,99,0.00,989.8,9.7,13.1,309,323
2024-01-01T17:00,6.1,99,0.00,989.8,9.5,12.8,307,320
2024-01-01T18:00,5.5,100,0.00,989.4,10.7,13.9,318,323
2024-01-01T19:00,5.3,100,0.00,989.2,9.7,14.2,329,336
2024-01-01T20:00,5.1,100,0.00,988.7,8.4,13.0,317,346
2024-01-01T21:00,5.3,100,0.00,988.7,5.8,13.5,300,344
2024-01-01T22:00,6.0,99,0.00,988.6,4.8,14.6,297,344
2024-01-01T23:00,6.4,98,0.00,988.6,3.8,12.8,319,344
2024-01-02T00:00,6.8,100,0.00,988.7,5.8,10.9,338,351
2024-01-02T01:00,8.7,99,0.00,989.3,4.5,10.5,331,352
2024-01-02T02:00,9.5,96,0.00,990.0,4.3,7.3,336,349
2024-01-02T03:00,9.9,93,0.00,990.5,4.7,6.0,328,335
2024-01-02T04:00,10.3,91,0.00,991.3,3.3,3.8,311,319
