latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
30.333918,76.38921,256.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,6.7,99,0.00,987.6,6.0,14.8,327,334
2024-01-01T01:00,6.4,98,0.00,989.1,3.5,8.0,336,333
2024-01-01T02:00,6.8,99,0.00,989.5,2.2,3.7,351,349
2024-01-01T03:00,7.2,98,0.00,990.0,3.0,2.9,14,7
2024-01-01T04:00,8.5,96,0.00,990.5,2.9,3.1,30,21
2024-01-01T05:00,10.1,90,0.00,990.6,1.9,2.4,22,27
2024-01-01T06:00,12.1,83,0.00,990.2,2.5,3.1,315,324
2024-01-01T07:00,13.4,79,0.00,989.2,3.9,5.1,304,309
2024-01-01T08:00,14.4,75,0.00,988.3,5.1,6.4,309,313
2024-01-01T09:00,15.2,73,0.00,987.5,6.4,7.9,308,313
2024-01-01T10:00,15.2,73,0.00,987.0,7.1,8.8,300,305
2024-01-01T11:00,14.6,76,0.00,986.7,6.8,9.5,302,307
2024-01-01T12:00,11.6,91,0.00,986.4,6.8,12.8,302,310
2024-01-01T13:00,10.6,87,0.00,987.7,6.6,10.3,279,299
2024-01-01T14:00,9.2,94,0.00,988.2,6.8,13.7,273,293
2024-01-01T15:00,8.1,95,0.00,988.4,5.9,15.5,284,301
2024-01-01T16:00,7.3,97,0.00,988.3,6.1,15.8,298,305
2024-01-01T17:00,6.9,97,0.00,988.2,5.9,16.1,308,312
2024-01-01T18:00,6.2,99,0.00,987.8,6.2,15.0,306,318
2024-01-01T19:00,5.5,100,0.00,987.6,7.4,14.0,299,318
2024-01-01T20:00,5.3,100,0.00,987.1,6.6,14.5,299,316
2024-01-01T21:00,4.9,100,0.00,987.1,7.4,14.3,309,317
2024-01-01T22:00,4.7,100,0.00,986.8,7.7,14.9,319,323
2024-01-01T23:00,4.3,100,0.00,986.6,8.2,14.6,322,327
2024-01-02T00:00,5.8,100,0.00,987.0,4.4,13.5,325,331
2024-01-02T01:00,7.4,95,0.00,988.1,4.0,6.8,270,295
2024-01-02T02:00,7.9,95,0.00,988.7,4.2,6.9,250,276
2024-01-02T03:00,8.5,93,0.00,989.3,3.7,4.8,281,283
2024-01-02T04:00,9.3,90,0.00,990.1,3.3,3.8,311,311
2024-01-02T05:00,10.7,85,0.00,990.2,3.1,3.7,324,331
2024-01-02T06:00,11.4,83,0.00,989.7,2.6,3.2,326,333
2024-01-02T07:00,12.2,80,0.00,988.6,2.8,3.3,310,319
2024-01-02T08:00,13.2,77,0.00,987.8,3.4,3.8,302,311
2024-01-02T09:00,13.4,77,0.00,986.9,4.9,5.6,306,310
2024-01-02T10:00,13.6,76,0.00,986.6,6.2,7.4,306,309
2024-01-02T11:00,13.1,78,0.00,986.4,7.1,9.2,311,315
2024-01-02T12:00,11.4,86,0.00,986.2,5.4,12.0,307,316
2024-01-02T13:00,10.1,86,0.00,987.1,6.4,10.9,286,316
2024-01-02T14:00,8.9,93,0.00,987.3,6.2,12.0,280,309
2024-01-02T15:00,7.5,96,0.00,987.1,5.5,12.5,293,314
2024-01-02T16:00,6.1,98,0.00,987.3,9.0,11.2,299,312
2024-01-02T17:00,5.8,99,0.00,987.3,7.7,10.0,298,311
2024-01-02T18:00,5.2,99,0.00,987.1,8.0,9.7,306,312
2024-01-02T19:00,4.8,100,0.00,986.8,7.8,8.9,326,320
2024-01-02T20:00,4.6,100,0.00,986.8,7.4,9.2,337,329
2024-01-02T21:00,5.1,100,0.00,986.9,4.3,10.2,355,337
2024-01-02T22:00,5.2,100,0.00,986.5,4.1,10.9,15,351
2024-01-02T23:00,5.3,100,0.00,986.4,3.8,10.5,17,354
2024-01-03T00:00,5.6,100,0.00,986.6,4.0,9.1,10,353
2024-01-03T01:00,6.4,99,0.00,987.4,3.6,6.6,37,22
2024-01-03T02:00,6.7,99,0.00,988.2,2.8,3.2,40,27
2024-01-03T03:00,7.1,99,0.00,988.9,2.6,2.6,56,56
2024-01-03T04:00,7.8,98,0.00,989.8,2.6,3.1,74,69
2024-01-03T05:00,8.9,97,0.00,990.2,2.6,3.0,74,76
2024-01-03T06:00,11.2,85,0.00,989.8,2.2,2.5,99,98
2024-01-03T07:00,12.9,78,0.00,989.2,1.5,2.0,135,135
2024-01-03T08:00,14.4,70,0.00,988.1,1.1,1.4,270,270
2024-01-03T09:00,15.1,69,0.00,987.4,3.3,3.8,311,319
2024-01-03T10:00,15.1,69,0.00,986.9,5.2,6.6,335,338
2024-01-03T11:00,14.6,72,0.00,986.4,5.5,8.1,337,347
2024-01-03T12:00,10.9,89,0.00,985.9,7.9,8.8,321,341
2024-01-03T13:00,9.0,93,0.00,986.8,5.5,9.4,302,320
