Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,53.92,100.23,10.78,18.29,29.07,31.42,8.01,0.86,20.62,1.8,2.26,,,8.37,7.7,,95.88,0.2,197.58,0.0,0.0,125.9,,
2024-01-01 01:00:00,58.01,103.62,9.26,18.83,27.8,31.35,0.8,0.88,21.27,1.78,2.36,,,8.08,7.44,,95.97,0.14,306.78,0.0,0.0,125.65,,
2024-01-01 02:00:00,58.21,87.17,12.94,21.88,34.82,30.09,0.24,0.85,20.9,1.84,2.27,,,8.36,7.2,,95.94,0.24,210.36,0.0,0.0,128.46,,
2024-01-01 03:00:00,52.79,83.8,12.19,20.05,32.24,30.78,,0.82,20.87,1.86,2.33,,,7.86,7.27,,95.94,0.21,222.76,0.0,0.0,130.58,,
2024-01-01 04:00:00,51.96,83.08,11.0,21.42,32.42,30.3,3.39,0.84,21.02,1.82,2.24,,,7.55,7.36,,95.94,0.21,108.96,0.0,0.0,128.91,,
2024-01-01 05:00:00,55.04,98.98,11.05,19.4,30.45,30.79,16.06,0.88,20.95,1.84,2.32,,,8.23,7.65,,95.88,0.2,213.68,0.0,0.0,127.89,,
2024-01-01 06:00:00,61.35,116.34,11.31,20.84,32.16,30.36,14.95,0.91,20.92,1.82,2.21,,,7.98,7.46,,95.92,0.2,226.38,0.0,0.0,128.75,,
2024-01-01 07:00:00,70.44,135.87,11.78,21.39,33.18,30.49,12.28,0.88,20.88,1.83,2.26,,,7.57,7.55,,95.91,0.2,141.12,0.0,0.0,129.87,,
2024-01-01 08:00:00,73.42,140.61,11.63,19.67,31.3,30.84,2.67,0.86,20.86,1.83,2.34,,,7.69,7.78,,95.92,0.15,201.63,0.0,0.0,133.74,,
2024-01-01 09:00:00,73.99,133.97,10.32,19.66,29.98,30.6,6.66,0.84,20.91,1.77,2.21,,,7.68,7.99,,95.89,0.16,65.26,0.0,0.0,139.23,,
2024-01-01 10:00:00,72.74,121.84,4.98,16.12,20.24,33.14,13.69,0.98,22.03,1.81,2.31,,,8.06,7.66,,95.99,0.24,140.79,0.0,0.0,141.69,,
2024-01-01 11:00:00,64.69,105.49,10.01,26.06,36.06,29.56,21.32,2.21,21.96,1.84,2.31,,,8.29,9.07,,96.06,0.29,240.48,0.0,0.0,141.67,,
2024-01-01 12:00:00,58.63,100.76,12.04,27.72,39.76,28.97,32.36,0.17,22.64,2.22,2.75,,,11.52,21.63,,96.06,0.29,218.32,0.0,0.0,154.68,,
2024-01-01 13:00:00,53.13,95.85,11.72,26.34,38.06,29.4,13.98,1.18,23.5,2.23,2.75,,,11.47,21.78,,96.06,0.34,262.6,0.0,0.0,161.65,,
2024-01-01 14:00:00,50.85,92.02,11.43,26.09,37.52,29.57,19.11,0.37,24.58,2.24,2.78,,,11.54,21.58,,96.08,0.42,282.94,0.0,0.0,159.61,,
2024-01-01 15:00:00,39.97,76.07,12.09,28.01,40.1,29.06,21.95,0.44,26.14,2.22,2.74,,,11.48,21.5,,96.1,0.39,274.23,0.0,0.0,152.08,,
2024-01-01 16:00:00,36.54,68.67,13.94,26.82,40.75,29.18,8.13,0.81,23.78,2.24,2.76,,,11.54,21.67,,96.04,0.37,323.98,0.0,0.0,143.22,,
2024-01-01 17:00:00,37.06,64.1,11.6,25.35,36.95,29.8,9.23,0.84,24.03,2.03,2.43,,,9.15,12.29,,96.06,0.32,315.26,0.0,0.0,136.18,,
2024-01-01 18:00:00,35.05,61.93,13.65,26.38,40.03,29.1,9.25,0.78,23.24,1.84,2.27,,,7.72,7.92,,96.0,0.24,311.71,0.0,0.0,134.64,,
2024-01-01 19:00:00,37.38,64.62,13.18,23.28,36.46,30.18,4.73,0.76,22.94,1.95,2.39,,,7.67,7.56,,95.97,0.35,313.13,0.0,0.0,134.22,,
2024-01-01 20:00:00,40.84,71.27,13.33,24.7,38.03,29.57,9.18,0.9,22.66,1.97,2.27,,,8.09,7.62,,95.94,0.3,287.89,0.0,0.0,133.64,,
2024-01-01 21:00:00,44.29,73.07,11.26,22.98,34.24,30.31,5.32,0.91,21.87,1.85,2.28,,,7.96,7.78,,95.92,0.33,300.72,0.0,0.0,132.96,,
2024-01-01 22:00:00,50.35,82.99,11.12,21.54,32.67,30.58,6.91,0.94,21.64,1.98,2.29,,,7.9,7.83,,95.91,0.3,275.75,0.0,0.0,132.06,,
2024-01-01 23:00:00,57.62,107.48,11.84,21.55,33.39,30.29,9.95,0.92,21.35,1.96,2.27,,,8.25,7.88,,95.89,0.26,283.17,0.0,0.0,131.81,,
2024-01-02 00:00:00,56.49,113.15,12.07,20.8,32.87,30.4,11.53,0.86,22.01,1.87,2.33,,,7.59,7.47,,95.89,0.26,315.87,0.0,0.0,130.88,,
2024-01-02 01:00:00,43.47,96.9,10.46,20.89,31.35,30.61,6.42,0.76,22.28,1.85,2.34,,,7.84,7.68,,95.89,0.27,290.96,0.0,0.0,128.98,,
2024-01-02 02:00:00,38.87,72.87,10.6,21.07,31.68,30.56,8.22,0.71,22.34,1.96,2.29,,,7.85,7.46,,95.89,0.26,267.74,0.0,0.0,128.05,,
2024-01-02 03:00:00,38.65,71.48,10.92,20.18,31.1,30.66,8.64,0.7,22.27,1.88,2.27,,,7.58,7.33,,95.89,0.34,207.46,0.0,0.0,128.46,,
2024-01-02 04:00:00,33.52,67.68,10.39,19.52,29.9,31.07,12.91,0.8,22.07,1.88,2.32,,,8.16,7.77,,95.89,0.28,316.51,0.0,0.0,128.57,,
2024-01-02 05:00:00,31.53,54.2,10.34,19.9,30.25,30.99,15.08,0.78,21.98,1.88,2.23,,,7.7,7.9,,95.89,0.21,305.16,0.0,0.0,129.03,,
2024-01-02 06:00:00,32.78,55.37,10.88,20.12,31.0,30.9,12.72,0.76,22.0,1.95,2.27,,,8.08,8.1,,95.89,0.21,212.91,0.0,0.0,128.89,,
