latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
23.514936,74.46316,226.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,16.4,97,0.00,988.1,6.0,8.4,33,70
2024-01-01T01:00,16.4,97,0.00,988.9,5.2,8.1,25,58
2024-01-01T02:00,16.3,97,0.00,989.5,4.7,8.7,23,48
2024-01-01T03:00,18.3,88,0.00,990.3,6.1,8.1,40,45
2024-01-01T04:00,20.2,79,0.00,991.0,5.2,6.6,34,45
2024-01-01T05:00,22.4,71,0.00,991.0,5.9,7.0,14,21
2024-01-01T06:00,24.4,63,0.00,990.3,6.5,7.8,6,13
2024-01-01T07:00,25.9,58,0.00,989.2,6.9,8.3,354,358
2024-01-01T08:00,26.8,55,0.00,987.9,6.0,7.1,327,330
2024-01-01T09:00,27.4,51,0.00,987.2,7.6,8.9,301,302
2024-01-01T10:00,27.3,51,0.00,986.9,9.5,11.9,299,299
2024-01-01T11:00,26.5,53,0.00,986.7,10.4,13.2,316,317
2024-01-01T12:00,25.0,58,0.00,986.8,8.2,15.5,331,332
2024-01-01T13:00,22.2,74,0.00,987.8,7.3,16.4,349,351
2024-01-01T14:00,21.2,79,0.00,988.6,6.1,15.5,360,5
2024-01-01T15:00,20.5,81,0.00,989.0,8.0,18.4,352,359
2024-01-01T16:00,19.8,82,0.00,989.3,9.5,20.4,37,46
2024-01-01T17:00,19.4,85,0.00,989.4,10.0,20.8,60,64
2024-01-01T18:00,18.7,87,0.00,989.1,8.7,19.0,66,71
2024-01-01T19:00,18.2,88,0.00,988.7,7.5,17.3,73,78
2024-01-01T20:00,17.6,91,0.00,988.5,6.0,15.6,73,82
2024-01-01T21:00,17.0,93,0.00,988.2,4.8,13.0,63,84
2024-01-01T22:00,16.6,94,0.00,987.7,4.9,11.7,54,79
2024-01-01T23:00,16.4,95,0.00,987.7,4.6,11.7,45,72
2024-01-02T00:00,16.3,95,0.00,987.9,4.8,11.4,42,66
2024-01-02T01:00,16.7,94,0.00,988.8,6.9,15.0,47,63
2024-01-02T02:00,16.6,95,0.00,989.3,7.6,16.5,59,70
2024-01-02T03:00,18.0,87,0.00,989.8,9.0,13.9,74,80
2024-01-02T04:00,20.0,79,0.00,990.2,7.6,10.0,65,69
2024-01-02T05:00,22.2,71,0.00,990.2,7.7,9.8,49,54
2024-01-02T06:00,24.1,64,0.00,989.3,6.6,8.0,49,54
2024-01-02T07:00,25.6,59,0.00,988.0,4.3,5.1,42,51
2024-01-02T08:00,26.7,56,0.00,986.8,2.6,2.5,344,352
2024-01-02T09:00,27.4,52,0.00,986.0,5.4,5.9,312,313
2024-01-02T10:00,27.3,52,0.00,985.4,8.7,10.4,315,316
2024-01-02T11:00,26.5,55,0.00,985.7,10.9,13.9,326,329
2024-01-02T12:00,25.0,61,0.00,986.0,9.9,17.1,327,330
2024-01-02T13:00,21.8,74,0.00,987.1,8.0,17.2,333,340
2024-01-02T14:00,20.8,78,0.00,988.0,9.1,19.7,326,329
2024-01-02T15:00,19.9,82,0.00,988.4,6.9,16.9,354,349
2024-01-02T16:00,19.3,85,0.00,988.7,7.8,18.0,56,57
2024-01-02T17:00,18.9,85,0.00,988.8,11.4,22.3,77,76
