latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
25.413004,75.666306,275.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,11.6,97,0.00,984.3,6.6,14.8,13,29
2024-01-01T01:00,11.7,95,0.00,985.4,7.0,14.2,12,27
2024-01-01T02:00,11.8,94,0.00,986.1,6.3,11.3,13,31
2024-01-01T03:00,12.9,88,0.00,986.7,6.5,10.5,19,31
2024-01-01T04:00,14.5,82,0.00,987.3,6.4,8.7,27,30
2024-01-01T05:00,16.3,77,0.00,987.2,6.3,8.1,31,32
2024-01-01T06:00,18.2,72,0.00,986.5,6.2,8.0,36,36
2024-01-01T07:00,19.6,69,0.00,985.2,5.9,7.4,43,43
2024-01-01T08:00,21.0,67,0.00,984.2,6.6,8.2,49,52
2024-01-01T09:00,21.6,65,0.00,983.3,5.4,6.6,42,45
2024-01-01T10:00,21.7,65,0.00,983.1,5.2,6.4,34,38
2024-01-01T11:00,21.4,66,0.00,983.0,5.2,6.3,25,31
2024-01-01T12:00,20.1,72,0.00,982.9,5.5,10.6,11,18
2024-01-01T13:00,17.8,79,0.00,984.0,7.7,14.3,49,49
2024-01-01T14:00,16.6,84,0.00,984.7,7.9,14.3,60,62
2024-01-01T15:00,16.0,86,0.00,984.9,7.7,13.4,62,66
2024-01-01T16:00,15.2,89,0.00,985.1,7.1,13.5,41,61
2024-01-01T17:00,14.1,93,0.00,985.1,8.2,16.8,29,55
2024-01-01T18:00,13.6,94,0.00,984.6,8.6,18.7,33,56
2024-01-01T19:00,13.2,95,0.00,984.3,7.7,17.6,41,64
2024-01-01T20:00,12.7,96,0.00,984.0,7.5,16.3,35,59
2024-01-01T21:00,12.2,98,0.00,983.8,7.6,16.7,31,53
2024-01-01T22:00,11.8,98,0.00,983.6,6.8,16.0,32,54
2024-01-01T23:00,11.7,98,0.00,983.7,5.6,14.4,27,53
2024-01-02T00:00,11.5,98,0.00,984.0,5.2,13.3,16,49
2024-01-02T01:00,12.6,97,0.00,985.0,4.8,12.7,42,55
2024-01-02T02:00,12.8,96,0.00,985.7,4.3,11.6,48,60
2024-01-02T03:00,14.0,89,0.00,986.0,8.2,10.9,61,63
2024-01-02T04:00,15.4,83,0.00,986.4,8.1,10.5,69,68
2024-01-02T05:00,16.9,79,0.00,986.3,7.3,9.2,79,79
2024-01-02T06:00,17.9,76,0.00,985.5,7.0,8.8,78,78
2024-01-02T07:00,18.6,74,0.00,984.4,6.3,7.6,66,71
2024-01-02T08:00,19.5,72,0.00,983.4,5.3,6.4,62,63
2024-01-02T09:00,19.7,71,0.00,982.8,5.4,6.4,48,52
2024-01-02T10:00,19.8,71,0.00,982.3,5.9,7.1,38,41
2024-01-02T11:00,19.6,72,0.00,982.4,6.3,8.0,24,27
2024-01-02T12:00,19.1,74,0.00,982.7,5.2,8.6,25,22
2024-01-02T13:00,17.1,83,0.00,983.5,6.6,11.5,41,46
2024-01-02T14:00,16.8,84,0.00,984.2,7.4,13.7,47,55
2024-01-02T15:00,16.7,85,0.00,984.3,8.0,14.8,54,61
2024-01-02T16:00,16.6,85,0.00,984.5,8.8,15.6,55,61
2024-01-02T17:00,16.3,87,0.00,984.5,9.3,16.1,54,61
2024-01-02T18:00,15.4,90,0.00,984.0,8.1,15.9,58,65
2024-01-02T19:00,14.1,95,0.00,983.7,5.7,13.7,55,67
2024-01-02T20:00,13.5,96,0.00,983.3,4.7,11.0,32,52
2024-01-02T21:00,13.3,96,0.00,983.0,6.7,12.4,16,36
2024-01-02T22:00,12.7,97,0.00,982.6,6.2,12.8,21,38
2024-01-02T23:00,11.9,98,0.00,982.6,4.7,11.8,23,38
2024-01-03T00:00,12.1,99,0.00,982.9,7.1,14.1,15,32
2024-01-03T01:00,11.6,99,0.00,984.1,6.7,14.4,16,32
2024-01-03T02:00,12.5,95,0.00,984.6,6.8,13.6,18,37
2024-01-03T03:00,13.6,89,0.00,985.5,5.8,11.8,22,38
2024-01-03T04:00,14.9,84,0.00,986.4,6.6,9.2,22,31
2024-01-03T05:00,16.2,79,0.00,986.4,8.2,11.0,38,41
2024-01-03T06:00,17.1,76,0.00,985.7,9.4,12.2,43,45
2024-01-03T07:00,17.7,73,0.00,984.6,9.4,12.2,43,45
2024-01-03T08:00,18.5,71,0.00,983.5,8.6,11.2,33,33
2024-01-03T09:00,19.0,70,0.00,982.7,7.6,9.6,31,34
2024-01-03T10:00,19.3,69,0.00,982.4,6.7,8.2,36,38
2024-01-03T11:00,19.2,69,0.00,982.4,5.6,6.9,45,43
2024-01-03T12:00,18.4,73,0.00,982.6,4.2,7.6,59,59
2024-01-03T13:00,14.9,88,0.00,982.6,6.7,12.9,54,60
2024-01-03T14:00,13.9,92,0.00,983.1,7.4,15.1,47,62
2024-01-03T15:00,13.4,93,0.00,983.6,8.4,17.9,43,60
2024-01-03T16:00,12.7,94,0.00,984.0,8.4,18.1,31,49
2024-01-03T17:00,12.1,94,0.00,984.2,8.9,18.4,21,40
2024-01-03T18:00,11.6,95,0.00,984.0,8.3,18.6,18,36
2024-01-03T19:00,11.4,96,0.00,983.7,6.8,17.1,18,35
2024-01-03T20:00,10.7,97,0.00,983.6,5.1,14.0,8,35
2024-01-03T21:00,10.2,98,0.00,983.5,5.8,11.5,353,32
2024-01-03T22:00,10.2,98,0.00,983.5,4.1,10.8,345,26
2024-01-03T23:00,10.3,99,0.00,983.4,4.7,11.0,351,23
2024-01-04T00:00,10.8,98,0.00,983.9,4.0,10.3,350,29
