latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
24.920912,74.6129,406.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,12.5,99,0.00,968.9,9.8,13.7,28,35
2024-01-01T01:00,12.5,99,0.00,969.9,9.2,13.8,21,28
2024-01-01T02:00,12.4,99,0.00,970.5,9.8,13.7,28,30
2024-01-01T03:00,12.5,98,0.00,971.1,10.0,12.8,30,32
2024-01-01T04:00,12.9,96,0.00,971.8,10.7,13.5,33,34
2024-01-01T05:00,13.9,93,0.00,971.9,11.4,14.2,35,36
2024-01-01T06:00,15.4,86,0.00,971.4,10.6,13.4,35,36
2024-01-01T07:00,17.0,80,0.00,970.3,9.2,11.8,39,40
2024-01-01T08:00,18.5,75,0.00,969.3,7.6,9.4,45,47
2024-01-01T09:00,20.3,70,0.00,968.6,5.7,7.0,55,55
2024-01-01T10:00,21.2,66,0.00,968.2,4.6,5.5,51,58
2024-01-01T11:00,21.0,66,0.00,967.9,6.6,8.0,29,36
2024-01-01T12:00,19.0,76,0.00,967.7,5.8,12.1,4,17
2024-01-01T13:00,15.9,89,0.00,968.4,6.4,13.7,16,30
2024-01-01T14:00,15.1,91,0.00,969.0,7.1,16.4,30,40
2024-01-01T15:00,14.5,93,0.00,969.3,7.4,18.3,43,47
2024-01-01T16:00,13.9,94,0.00,969.5,7.1,18.1,49,49
2024-01-01T17:00,13.3,95,0.00,969.5,7.7,18.6,41,49
2024-01-01T18:00,12.8,97,0.00,969.2,7.1,17.7,41,57
2024-01-01T19:00,12.3,98,0.00,968.9,6.4,16.3,38,62
2024-01-01T20:00,11.9,99,0.00,968.4,6.3,15.5,31,59
2024-01-01T21:00,11.5,99,0.00,968.1,6.0,15.4,33,53
2024-01-01T22:00,11.0,100,0.00,967.8,5.7,15.1,35,52
2024-01-01T23:00,11.1,100,0.00,968.1,6.1,15.0,28,48
2024-01-02T00:00,11.7,100,0.00,968.6,7.4,13.3,29,49
2024-01-02T01:00,12.7,100,0.00,969.4,7.8,12.8,56,68
2024-01-02T02:00,12.9,99,0.00,970.0,7.9,12.6,51,66
2024-01-02T03:00,13.3,98,0.00,970.4,8.7,11.7,48,56
2024-01-02T04:00,13.8,97,0.00,970.8,9.3,11.3,54,59
2024-01-02T05:00,15.5,87,0.00,971.0,8.3,10.2,56,58
2024-01-02T06:00,17.3,81,0.00,970.3,7.7,9.6,53,56
2024-01-02T07:00,18.7,76,0.00,969.2,6.4,7.7,47,53
2024-01-02T08:00,19.7,73,0.00,968.3,5.4,6.4,42,47
2024-01-02T09:00,20.1,72,0.00,967.6,4.7,5.4,32,37
2024-01-02T10:00,20.4,71,0.00,967.2,4.1,4.7,15,23
2024-01-02T11:00,20.2,72,0.00,967.3,7.6,9.1,3,7
2024-01-02T12:00,18.7,79,0.00,967.2,9.8,16.9,6,12
2024-01-02T13:00,15.6,90,0.00,967.8,8.3,16.1,18,24
2024-01-02T14:00,14.8,93,0.00,968.5,8.8,19.2,35,40
2024-01-02T15:00,14.4,94,0.00,968.6,8.7,20.1,45,47
2024-01-02T16:00,13.9,95,0.00,968.7,8.7,20.1,52,57
