latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
26.889278,70.94235,237.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,9.2,95,0.00,989.5,12.9,24.6,54,55
2024-01-01T01:00,8.4,96,0.00,990.0,12.9,24.3,63,63
2024-01-01T02:00,8.1,96,0.00,990.6,12.2,23.7,66,64
2024-01-01T03:00,8.7,94,0.00,991.2,11.1,22.5,65,63
2024-01-01T04:00,10.7,85,0.00,992.1,9.5,22.4,61,62
2024-01-01T05:00,13.1,72,0.00,992.7,12.8,19.7,52,55
2024-01-01T06:00,15.6,59,0.00,992.3,14.5,17.3,46,47
2024-01-01T07:00,17.7,47,0.00,991.1,15.6,17.8,40,42
2024-01-01T08:00,19.4,39,0.00,990.0,16.9,19.7,34,35
2024-01-01T09:00,20.5,34,0.00,989.1,18.5,21.6,29,30
2024-01-01T10:00,20.9,32,0.00,988.6,19.7,22.9,28,28
2024-01-01T11:00,20.5,33,0.00,988.3,20.0,23.7,28,28
2024-01-01T12:00,19.2,38,0.00,988.5,16.4,24.0,26,28
2024-01-01T13:00,15.8,54,0.00,989.4,15.0,24.8,21,24
2024-01-01T14:00,14.7,59,0.00,989.9,15.3,26.6,27,28
2024-01-01T15:00,13.9,63,0.00,990.2,14.9,27.0,32,34
2024-01-01T16:00,13.1,67,0.00,990.6,15.3,27.6,39,40
2024-01-01T17:00,12.3,70,0.00,990.6,16.0,28.3,46,47
2024-01-01T18:00,11.5,74,0.00,990.1,16.0,28.7,54,55
2024-01-01T19:00,10.8,78,0.00,989.7,15.6,27.9,61,61
2024-01-01T20:00,10.0,81,0.00,989.3,14.5,26.1,67,67
2024-01-01T21:00,9.3,84,0.00,989.0,13.0,23.9,71,72
2024-01-01T22:00,8.6,87,0.00,988.7,11.8,22.1,70,71
2024-01-01T23:00,8.1,89,0.00,988.5,11.6,21.3,64,68
2024-01-02T00:00,7.6,91,0.00,988.6,11.0,20.6,58,63
2024-01-02T01:00,7.2,93,0.00,988.7,10.9,20.8,63,67
2024-01-02T02:00,6.8,94,0.00,989.5,10.5,20.1,59,63
2024-01-02T03:00,7.4,93,0.00,990.0,10.0,19.6,52,58
2024-01-02T04:00,9.7,83,0.00,990.8,9.2,20.0,45,52
2024-01-02T05:00,12.1,72,0.00,991.4,11.6,18.6,54,58
2024-01-02T06:00,14.5,61,0.00,991.0,13.6,16.4,50,52
2024-01-02T07:00,16.7,49,0.00,989.8,14.8,17.1,49,49
2024-01-02T08:00,18.5,39,0.00,988.8,15.6,17.9,50,50
2024-01-02T09:00,19.7,35,0.00,988.1,15.3,17.3,49,48
2024-01-02T10:00,20.3,32,0.00,987.6,14.8,17.1,43,44
2024-01-02T11:00,20.2,32,0.00,987.5,14.3,17.1,39,39
2024-01-02T12:00,18.9,37,0.00,987.7,12.4,18.8,36,36
2024-01-02T13:00,15.8,49,0.00,988.0,12.6,21.3,31,34
2024-01-02T14:00,14.7,53,0.00,988.6,13.5,24.2,34,37
2024-01-02T15:00,13.8,58,0.00,988.8,13.5,24.2,46,47
2024-01-02T16:00,12.9,63,0.00,988.9,13.4,24.7,54,53
2024-01-02T17:00,12.1,66,0.00,989.0,13.4,25.0,59,60
2024-01-02T18:00,11.4,69,0.00,988.7,13.7,25.0,72,72
2024-01-02T19:00,10.6,73,0.00,988.4,13.1,24.5,82,80
2024-01-02T20:00,9.9,78,0.00,988.1,12.3,23.2,85,83
2024-01-02T21:00,9.2,82,0.00,987.9,11.2,21.0,86,84
2024-01-02T22:00,8.6,86,0.00,987.7,10.5,19.7,82,82
2024-01-02T23:00,8.0,89,0.00,987.5,9.3,17.1,77,75
2024-01-03T00:00,7.5,91,0.00,987.5,9.5,16.5,65,67
2024-01-03T01:00,6.8,93,0.00,988.3,10.3,19.2,65,67
2024-01-03T02:00,6.5,94,0.00,989.0,11.2,20.7,69,67
2024-01-03T03:00,7.3,92,0.00,989.6,11.9,22.7,76,72
2024-01-03T04:00,9.7,80,0.00,990.6,10.4,23.8,76,75
2024-01-03T05:00,12.4,68,0.00,991.3,12.0,23.1,74,75
2024-01-03T06:00,15.2,56,0.00,990.9,13.8,17.9,70,71
2024-01-03T07:00,17.6,45,0.00,989.8,15.4,18.3,69,70
2024-01-03T08:00,19.2,39,0.00,988.8,16.1,18.3,66,68
2024-01-03T09:00,20.2,34,0.00,988.1,16.3,18.5,62,63
2024-01-03T10:00,20.7,31,0.00,987.6,16.3,18.7,59,60
2024-01-03T11:00,20.6,29,0.00,987.5,16.1,19.0,56,57
2024-01-03T12:00,19.4,33,0.00,987.6,13.8,20.7,49,50
2024-01-03T13:00,16.0,48,0.00,987.8,14.1,23.5,38,41
2024-01-03T14:00,14.9,52,0.00,988.5,15.2,26.9,31,35
2024-01-03T15:00,13.8,58,0.00,989.1,15.7,28.1,32,36
2024-01-03T16:00,12.9,62,0.00,989.6,15.6,28.6,38,41
2024-01-03T17:00,12.0,67,0.00,989.8,15.5,28.3,42,46
2024-01-03T18:00,11.2,72,0.00,989.5,15.5,27.9,48,51
2024-01-03T19:00,10.5,76,0.00,989.1,15.3,27.9,51,54
2024-01-03T20:00,9.7,80,0.00,989.1,13.8,25.0,57,60
2024-01-03T21:00,9.1,83,0.00,989.2,12.9,23.3,60,63
2024-01-03T22:00,8.4,87,0.00,989.1,12.3,22.1,58,64
2024-01-03T23:00,7.9,90,0.00,989.1,12.2,21.6,56,62
2024-01-04T00:00,7.3,92,0.00,989.3,11.6,21.0,54,59
2024-01-04T01:00,7.0,93,0.00,990.2,11.8,21.9,59,63
2024-01-04T02:00,6.6,94,0.00,990.9,11.7,21.9,56,60
2024-01-04T03:00,7.2,93,0.00,991.4,11.8,22.7,63,63
2024-01-04T04:00,9.0,84,0.00,992.1,12.2,25.2,71,71
2024-01-04T05:00,11.6,72,0.00,992.7,13.5,21.1,74,76
2024-01-04T06:00,14.2,61,0.00,991.9,14.2,17.2,74,74
2024-01-04T07:00,16.5,49,0.00,990.7,14.2,16.5,69,70
2024-01-04T08:00,18.2,40,0.00,989.6,13.4,15.0,59,60
2024-01-04T09:00,19.3,34,0.00,988.7,13.0,14.8,48,49
