latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.154655,75.44118,344.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,6.0,100,0.00,976.9,4.8,9.4,132,113
2024-01-01T01:00,6.9,99,0.00,977.8,6.0,7.6,123,115
2024-01-01T02:00,6.9,100,0.00,978.3,5.3,7.3,118,110
2024-01-01T03:00,7.5,99,0.00,979.2,5.8,6.5,112,109
2024-01-01T04:00,8.5,98,0.00,979.9,6.6,7.4,119,119
2024-01-01T05:00,10.4,87,0.00,980.3,5.5,6.6,101,99
2024-01-01T06:00,13.3,73,0.00,979.7,5.4,6.5,53,56
2024-01-01T07:00,15.2,63,0.00,978.6,5.7,6.7,35,36
2024-01-01T08:00,16.5,56,0.00,977.6,6.3,7.6,24,25
2024-01-01T09:00,17.2,53,0.00,976.7,7.1,8.6,15,15
2024-01-01T10:00,17.2,52,0.00,976.3,8.5,10.3,12,12
2024-01-01T11:00,16.5,55,0.00,976.1,9.8,12.1,17,17
2024-01-01T12:00,14.5,64,0.00,976.2,7.6,15.0,25,24
2024-01-01T13:00,11.2,81,0.00,977.2,9.0,18.5,29,29
2024-01-01T14:00,10.0,87,0.00,977.9,8.6,18.7,33,34
2024-01-01T15:00,8.7,93,0.00,978.2,6.7,16.7,36,37
2024-01-01T16:00,7.5,95,0.00,978.1,6.2,13.5,54,48
2024-01-01T17:00,6.3,97,0.00,978.0,8.0,10.7,80,57
2024-01-01T18:00,5.6,99,0.00,977.4,7.6,9.5,98,65
2024-01-01T19:00,5.4,100,0.00,977.1,6.8,8.7,93,66
2024-01-01T20:00,5.2,100,0.00,976.7,5.9,7.8,101,68
2024-01-01T21:00,3.9,100,0.00,976.5,6.4,7.6,117,85
2024-01-01T22:00,4.4,100,0.00,976.3,4.0,8.4,100,83
2024-01-01T23:00,4.4,99,0.00,976.1,4.2,9.3,70,62
2024-01-02T00:00,4.4,100,0.00,976.1,3.2,9.5,90,61
2024-01-02T01:00,5.3,100,0.00,977.3,4.5,5.8,119,97
2024-01-02T02:00,5.6,99,0.00,978.3,5.5,6.3,113,103
2024-01-02T03:00,6.1,99,0.00,979.0,6.2,6.8,111,108
2024-01-02T04:00,7.1,97,0.00,979.6,6.3,6.8,114,108
2024-01-02T05:00,9.1,86,0.00,979.7,6.2,6.8,111,108
2024-01-02T06:00,11.3,75,0.00,978.9,4.8,5.6,103,105
2024-01-02T07:00,13.5,64,0.00,977.7,3.8,4.5,73,76
2024-01-02T08:00,15.3,55,0.00,976.7,4.1,4.6,38,45
2024-01-02T09:00,16.3,48,0.00,976.0,5.0,5.8,30,30
2024-01-02T10:00,16.5,47,0.00,975.7,6.3,7.6,24,25
2024-01-02T11:00,15.7,51,0.00,975.6,7.9,9.5,24,25
2024-01-02T12:00,13.6,61,0.00,975.5,8.2,14.9,29,32
2024-01-02T13:00,10.3,79,0.00,976.3,8.6,17.7,33,38
2024-01-02T14:00,8.9,88,0.00,976.8,9.4,19.6,40,44
2024-01-02T15:00,7.6,93,0.00,976.9,8.5,19.0,54,57
2024-01-02T16:00,6.8,94,0.00,977.1,7.3,17.9,70,68
2024-01-02T17:00,6.0,95,0.00,977.1,6.5,16.2,71,69
2024-01-02T18:00,5.2,97,0.00,976.7,5.9,14.1,76,71
2024-01-02T19:00,4.5,98,0.00,976.2,7.2,12.4,87,73
2024-01-02T20:00,3.9,98,0.00,975.9,8.2,10.5,113,84
2024-01-02T21:00,3.7,98,0.00,975.8,8.4,10.8,115,94
2024-01-02T22:00,3.4,99,0.00,975.3,8.2,12.0,113,97
2024-01-02T23:00,3.4,100,0.00,975.2,6.8,12.8,122,101
2024-01-03T00:00,3.1,100,0.00,975.4,6.5,12.6,124,103
2024-01-03T01:00,4.5,100,0.00,976.7,4.6,12.2,108,88
2024-01-03T02:00,4.5,99,0.00,977.1,6.6,12.3,112,93
2024-01-03T03:00,5.7,99,0.00,978.2,7.3,10.7,110,102
2024-01-03T04:00,7.3,96,0.00,979.3,8.2,9.1,113,108
2024-01-03T05:00,9.8,85,0.00,979.6,6.1,6.9,118,118
2024-01-03T06:00,12.6,74,0.00,979.0,3.4,4.1,122,128
2024-01-03T07:00,14.6,65,0.00,978.0,1.4,1.4,360,360
2024-01-03T08:00,16.0,56,0.00,976.7,5.4,6.1,356,357
2024-01-03T09:00,16.7,50,0.00,976.0,7.2,8.3,3,2
2024-01-03T10:00,16.8,49,0.00,975.8,8.1,9.9,13,10
2024-01-03T11:00,15.9,51,0.00,975.7,9.0,11.1,29,29
2024-01-03T12:00,13.9,59,0.00,975.7,7.5,14.9,35,37
2024-01-03T13:00,9.9,80,0.00,976.4,8.6,18.1,33,35
2024-01-03T14:00,8.7,87,0.00,976.6,7.7,17.7,28,33
2024-01-03T15:00,7.5,91,0.00,976.7,6.8,16.6,32,34
2024-01-03T16:00,6.0,95,0.00,977.0,7.6,13.8,45,39
2024-01-03T17:00,5.1,96,0.00,976.9,7.9,11.0,66,49
2024-01-03T18:00,5.9,96,0.00,977.0,5.4,8.5,82,54
2024-01-03T19:00,5.7,98,0.00,976.6,3.1,6.1,111,50
2024-01-03T20:00,5.5,100,0.00,976.3,2.3,5.1,141,39
2024-01-03T21:00,5.3,100,0.00,976.3,3.3,5.9,131,52
2024-01-03T22:00,3.5,100,0.00,976.0,3.6,6.0,143,57
2024-01-03T23:00,2.8,100,0.00,975.8,2.3,5.1,162,51
2024-01-04T00:00,3.0,99,0.00,976.2,0.7,4.1,180,45
2024-01-04T01:00,3.9,97,0.00,977.6,0.4,4.4,180,35
2024-01-04T02:00,3.7,99,0.00,978.5,1.8,6.5,281,6
2024-01-04T03:00,4.5,98,0.00,979.2,1.5,7.9,256,360
2024-01-04T04:00,5.9,99,0.00,980.1,1.1,7.2,288,6
2024-01-04T05:00,7.7,92,0.00,980.8,2.7,3.4,23,18
2024-01-04T06:00,11.1,75,0.00,979.9,4.0,4.7,27,32
2024-01-04T07:00,13.0,65,0.00,978.5,3.2,3.7,27,29
2024-01-04T08:00,14.7,57,0.00,977.3,3.1,3.5,21,24
2024-01-04T09:00,15.8,53,0.00,976.3,3.1,3.9,21,22
2024-01-04T10:00,16.4,51,0.00,976.0,4.6,5.8,18,22
2024-01-04T11:00,16.1,53,0.00,975.7,6.1,7.7,28,28
2024-01-04T12:00,14.0,61,0.00,975.6,5.1,10.5,39,38
2024-01-04T13:00,10.3,84,0.00,976.3,6.4,14.8,52,56
2024-01-04T14:00,9.4,90,0.00,976.6,6.6,15.3,41,47
2024-01-04T15:00,8.5,93,0.00,976.7,6.4,16.3,43,49
2024-01-04T16:00,7.3,95,0.00,976.8,7.4,15.3,61,60
2024-01-04T17:00,6.3,98,0.00,976.8,9.2,13.8,79,70
2024-01-04T18:00,5.6,99,0.00,976.3,8.5,11.7,102,81
2024-01-04T19:00,5.5,100,0.00,976.1,6.6,9.0,131,92
2024-01-04T20:00,5.4,100,0.00,975.9,4.7,6.2,157,97
2024-01-04T21:00,4.7,100,0.00,975.9,3.6,4.0,174,95
2024-01-04T22:00,4.2,100,0.00,975.6,1.8,2.7,180,67
2024-01-04T23:00,3.5,100,0.00,975.3,1.8,4.1,169,45
2024-01-05T00:00,4.1,100,0.00,975.6,1.5,4.8,135,48
2024-01-05T01:00,4.8,100,0.00,977.0,4.3,9.7,132,90
2024-01-05T02:00,5.0,99,0.00,977.5,5.6,11.5,140,94
2024-01-05T03:00,6.1,98,0.00,978.1,5.6,12.0,130,97
2024-01-05T04:00,8.6,98,0.00,979.5,6.8,8.8,115,109
2024-01-05T05:00,11.0,88,0.00,979.7,6.8,9.0,115,113
2024-01-05T06:00,13.7,72,0.00,978.8,6.3,7.9,114,114
2024-01-05T07:00,15.0,64,0.00,977.8,3.3,3.6,77,90
2024-01-05T08:00,16.2,58,0.00,976.8,3.4,3.9,32,34
2024-01-05T09:00,16.9,54,0.00,976.3,4.6,5.0,18,21
2024-01-05T10:00,17.0,54,0.00,976.3,6.5,7.6,6,8
2024-01-05T11:00,16.1,58,0.00,976.6,9.3,10.7,13,14
2024-01-05T12:00,14.3,65,0.00,976.7,8.9,16.0,14,14
2024-01-05T13:00,11.9,78,0.00,977.3,9.7,18.8,4,5
2024-01-05T14:00,10.1,88,0.00,977.7,6.5,15.6,6,7
2024-01-05T15:00,9.1,91,0.00,978.1,6.6,15.9,22,18
2024-01-05T16:00,8.3,93,0.00,978.2,6.6,16.7,45,33
2024-01-05T17:00,7.6,93,0.00,978.2,6.4,15.9,74,51
2024-01-05T18:00,6.6,95,0.00,977.7,7.3,13.7,101,72
2024-01-05T19:00,5.7,97,0.00,977.4,8.2,12.2,119,88
2024-01-05T20:00,5.0,97,0.00,977.1,9.6,12.0,124,97
2024-01-05T21:00,4.6,98,0.00,977.0,8.9,11.4,133,101
2024-01-05T22:00,5.4,98,0.00,976.9,5.9,8.6,137,92
2024-01-05T23:00,5.7,98,0.00,976.9,5.1,8.2,129,75
2024-01-06T00:00,3.4,100,0.00,976.9,6.6,8.8,135,81
2024-01-06T01:00,5.1,100,0.00,978.5,5.8,8.5,150,118
2024-01-06T02:00,5.2,98,0.00,979.1,3.8,7.0,131,102
2024-01-06T03:00,5.9,98,0.00,980.1,2.7,6.3,157,103
2024-01-06T04:00,8.4,92,0.00,981.3,2.6,7.3,164,110
2024-01-06T05:00,11.3,76,0.00,981.6,5.0,7.2,90,87
2024-01-06T06:00,13.2,63,0.00,980.6,6.3,7.6,59,59
2024-01-06T07:00,14.4,58,0.00,979.4,4.9,6.2,54,54
2024-01-06T08:00,15.5,54,0.00,978.4,4.9,5.7,54,55
2024-01-06T09:00,16.2,52,0.00,977.6,5.9,6.9,43,43
2024-01-06T10:00,16.3,52,0.00,977.2,7.9,9.5,30,29
2024-01-06T11:00,15.7,55,0.00,977.5,9.5,11.9,29,29
2024-01-06T12:00,14.0,62,0.00,977.6,6.9,13.9,39,37
2024-01-06T13:00,10.8,74,0.00,978.7,8.7,18.2,30,30
2024-01-06T14:00,9.2,83,0.00,979.1,6.1,14.8,50,45
2024-01-06T15:00,7.5,90,0.00,979.5,8.8,11.3,78,59
2024-01-06T16:00,7.9,88,0.00,979.9,7.3,9.4,79,67
2024-01-06T17:00,7.6,91,0.00,979.8,7.6,9.1,45,56
2024-01-06T18:00,7.0,92,0.00,979.2,7.5,9.7,35,48
2024-01-06T19:00,5.8,94,0.00,978.7,9.2,9.4,42,40
2024-01-06T20:00,5.9,94,0.00,978.2,8.2,10.3,52,36
2024-01-06T21:00,7.3,90,0.00,978.4,6.4,9.7,52,31
2024-01-06T22:00,7.3,90,0.00,978.3,3.9,8.3,124,34
2024-01-06T23:00,7.0,90,0.00,978.1,1.8,6.7,169,36
2024-01-07T00:00,6.4,93,0.00,978.1,0.7,5.4,180,42
2024-01-07T01:00,3.2,99,0.00,978.6,6.1,6.8,180,148
2024-01-07T02:00,2.5,99,0.00,979.3,7.2,6.5,183,161
2024-01-07T03:00,5.0,94,0.00,980.5,5.4,5.2,172,155
2024-01-07T04:00,9.1,79,0.00,981.7,3.4,5.6,148,135
2024-01-07T05:00,12.0,67,0.00,982.3,3.3,4.5,103,104
2024-01-07T06:00,13.7,60,0.00,981.6,4.0,5.1,85,86
2024-01-07T07:00,15.1,55,0.00,980.3,4.8,5.9,77,76
2024-01-07T08:00,16.3,51,0.00,979.1,5.8,7.0,68,69
2024-01-07T09:00,16.9,50,0.00,978.5,7.1,8.6,66,68
2024-01-07T10:00,17.0,50,0.00,978.0,8.2,9.7,67,68
2024-01-07T11:00,16.5,51,0.00,977.9,9.0,11.3,67,68
2024-01-07T12:00,14.7,59,0.00,977.8,6.5,14.0,56,61
2024-01-07T13:00,11.2,78,0.00,977.9,7.2,15.5,63,72
2024-01-07T14:00,9.9,85,0.00,978.5,7.6,16.5,59,70
2024-01-07T15:00,8.7,91,0.00,978.6,7.7,17.9,62,71
2024-01-07T16:00,8.0,93,0.00,978.5,8.0,17.7,80,84
2024-01-07T17:00,7.4,94,0.00,978.6,8.5,19.4,102,101
2024-01-07T18:00,6.3,96,0.00,978.2,7.4,16.0,104,113
2024-01-07T19:00,5.3,97,0.00,977.7,8.3,11.4,85,108
2024-01-07T20:00,4.9,98,0.00,977.4,8.0,11.5,95,104
2024-01-07T21:00,4.6,99,0.00,977.2,7.8,12.6,103,103
2024-01-07T22:00,4.0,99,0.00,977.2,8.4,12.4,100,100
2024-01-07T23:00,3.9,99,0.00,977.4,7.6,12.4,115,100
2024-01-08T00:00,3.9,99,0.00,977.4,7.0,14.0,125,102
2024-01-08T01:00,4.9,98,0.00,978.4,7.7,15.1,118,118
2024-01-08T02:00,4.7,98,0.00,979.2,6.9,15.8,118,114
2024-01-08T03:00,7.0,96,0.00,980.1,9.5,17.4,119,114
2024-01-08T04:00,9.5,89,0.00,980.9,8.4,19.1,130,122
2024-01-08T05:00,12.8,78,0.00,981.4,7.9,14.9,129,127
2024-01-08T06:00,16.2,64,0.00,980.4,10.0,12.5,128,129
2024-01-08T07:00,18.3,55,0.00,979.3,9.2,11.5,132,134
2024-01-08T08:00,19.7,50,0.00,978.3,7.7,9.7,131,132
2024-01-08T09:00,20.5,48,0.00,977.6,6.8,8.6,122,123
2024-01-08T10:00,20.7,47,0.00,977.1,6.6,8.3,103,108
2024-01-08T11:00,20.3,49,0.00,976.9,9.0,11.2,90,96
2024-01-08T12:00,18.0,59,0.00,976.6,11.0,20.3,71,78
2024-01-08T13:00,13.8,81,0.00,978.0,11.6,23.5,68,75
2024-01-08T14:00,12.5,87,0.00,978.4,11.1,23.6,77,82
2024-01-08T15:00,11.3,92,0.00,978.7,10.1,22.7,86,90
2024-01-08T16:00,10.6,94,0.00,978.9,9.4,21.3,97,102
2024-01-08T17:00,9.8,95,0.00,978.7,7.3,18.1,99,111
2024-01-08T18:00,8.5,97,0.00,978.1,7.1,15.0,105,120
2024-01-08T19:00,7.5,99,0.00,977.8,8.3,11.5,108,131
2024-01-08T20:00,7.2,100,0.00,977.4,6.5,8.2,90,131
2024-01-08T21:00,6.9,100,0.00,977.4,5.6,6.1,105,135
2024-01-08T22:00,5.6,100,0.00,977.1,6.1,5.5,118,113
2024-01-08T23:00,6.4,100,0.00,977.6,5.1,10.5,356,8
2024-01-09T00:00,6.7,100,0.00,978.0,8.5,19.8,12,19
2024-01-09T01:00,8.4,100,0.00,979.3,10.9,16.6,63,63
2024-01-09T02:00,8.6,99,0.00,979.9,9.8,15.2,82,83
2024-01-09T03:00,9.2,98,0.00,980.8,6.9,9.7,84,88
2024-01-09T04:00,10.9,89,0.00,981.9,5.3,5.8,62,68
2024-01-09T05:00,12.7,82,0.00,982.0,4.7,5.4,86,82
2024-01-09T06:00,15.1,71,0.00,981.1,2.5,2.5,90,82
2024-01-09T07:00,17.0,59,0.00,980.1,4.6,5.7,342,342
2024-01-09T08:00,18.3,52,0.00,979.0,3.4,4.2,328,329
2024-01-09T09:00,18.9,50,0.00,978.6,9.5,11.6,331,330
2024-01-09T10:00,18.8,47,0.00,978.2,10.3,12.6,335,336
2024-01-09T11:00,18.1,49,0.00,978.2,11.5,14.6,340,340
2024-01-09T12:00,16.5,53,0.00,978.2,7.8,15.4,347,344
2024-01-09T13:00,12.3,75,0.00,979.4,9.9,20.3,19,17
2024-01-09T14:00,10.9,81,0.00,980.1,9.3,20.3,13,12
2024-01-09T15:00,9.6,87,0.00,980.5,7.9,18.8,3,3
2024-01-09T16:00,8.1,92,0.00,980.6,6.1,15.8,357,360
2024-01-09T17:00,6.8,95,0.00,980.6,7.2,13.4,3,6
2024-01-09T18:00,5.5,97,0.00,980.1,8.3,11.7,2,9
2024-01-09T19:00,4.7,98,0.00,979.6,8.4,10.3,10,12
2024-01-09T20:00,4.3,99,0.00,979.1,8.1,10.1,13,6
2024-01-09T21:00,4.5,100,0.00,978.9,7.2,9.8,3,354
2024-01-09T22:00,5.1,100,0.00,978.7,6.2,9.6,339,340
2024-01-09T23:00,4.8,100,0.00,978.2,4.7,9.4,261,328
2024-01-10T00:00,3.0,100,0.00,978.0,5.1,9.7,231,315
2024-01-10T01:00,4.3,99,0.00,979.6,2.1,7.5,211,325
2024-01-10T02:00,4.6,100,0.00,980.0,2.7,8.1,293,339
2024-01-10T03:00,5.3,99,0.00,980.5,3.6,5.7,307,342
2024-01-10T04:00,6.3,97,0.00,981.0,3.3,3.3,311,319
2024-01-10T05:00,9.1,82,0.00,981.3,4.2,4.8,301,297
2024-01-10T06:00,11.5,69,0.00,980.4,6.6,7.9,292,294
2024-01-10T07:00,13.6,59,0.00,978.9,8.7,10.5,287,286
2024-01-10T08:00,15.2,51,0.00,977.7,10.5,12.7,297,295
2024-01-10T09:00,16.2,47,0.00,976.8,11.1,13.9,306,307
2024-01-10T10:00,16.6,43,0.00,976.2,11.2,14.0,312,312
2024-01-10T11:00,16.3,43,0.00,976.1,10.9,13.7,316,315
2024-01-10T12:00,14.4,49,0.00,976.3,6.9,14.8,317,317
2024-01-10T13:00,10.8,68,0.00,977.0,6.8,15.9,335,332
2024-01-10T14:00,9.8,73,0.00,977.6,7.2,18.5,333,336
