latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
25.202108,75.80994,263.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,12.2,97,0.00,985.7,6.5,10.2,357,10
2024-01-01T01:00,12.6,95,0.00,986.8,6.8,9.5,360,9
2024-01-01T02:00,13.0,92,0.00,987.4,6.6,8.5,9,12
2024-01-01T03:00,13.8,88,0.00,987.9,6.9,8.5,6,12
2024-01-01T04:00,15.2,83,0.00,988.5,7.2,8.7,18,17
2024-01-01T05:00,16.9,77,0.00,988.5,7.0,8.6,21,22
2024-01-01T06:00,19.1,71,0.00,987.7,7.6,8.9,31,32
2024-01-01T07:00,20.8,67,0.00,986.4,7.9,9.2,39,42
2024-01-01T08:00,22.1,63,0.00,985.2,6.4,7.6,43,45
2024-01-01T09:00,22.8,62,0.00,984.4,4.3,5.4,42,42
2024-01-01T10:00,23.0,61,0.00,984.2,5.0,6.0,21,25
2024-01-01T11:00,22.6,62,0.00,984.0,7.4,9.0,14,16
2024-01-01T12:00,20.8,70,0.00,984.0,7.4,15.0,14,17
2024-01-01T13:00,18.8,77,0.00,985.4,6.5,11.6,19,22
2024-01-01T14:00,18.6,79,0.00,986.2,5.9,11.8,43,40
2024-01-01T15:00,18.4,79,0.00,986.4,7.4,14.3,47,49
2024-01-01T16:00,17.4,83,0.00,986.6,7.4,16.3,47,49
2024-01-01T17:00,16.4,88,0.00,986.4,7.9,18.0,60,57
2024-01-01T18:00,15.6,92,0.00,986.0,7.1,17.3,75,67
2024-01-01T19:00,13.9,96,0.00,985.6,6.9,14.7,84,73
2024-01-01T20:00,13.3,96,0.00,985.3,7.6,11.8,85,70
2024-01-01T21:00,13.7,96,0.00,985.2,5.9,9.4,43,58
2024-01-01T22:00,12.5,99,0.00,984.9,5.4,8.1,4,45
2024-01-01T23:00,11.9,100,0.00,985.0,5.0,7.1,339,41
2024-01-02T00:00,12.5,99,0.00,985.3,2.9,6.8,330,32
2024-01-02T01:00,12.1,99,0.00,986.2,5.8,8.7,7,48
2024-01-02T02:00,13.1,96,0.00,986.9,4.3,9.2,5,42
2024-01-02T03:00,14.4,88,0.00,987.3,6.1,8.2,40,49
2024-01-02T04:00,15.6,83,0.00,987.6,7.1,9.0,66,67
2024-01-02T05:00,17.0,78,0.00,987.5,6.3,8.0,77,80
2024-01-02T06:00,18.8,73,0.00,986.7,6.2,7.6,69,71
2024-01-02T07:00,19.9,71,0.00,985.5,6.0,7.2,65,63
2024-01-02T08:00,20.7,68,0.00,984.6,5.2,6.3,56,59
2024-01-02T09:00,20.9,68,0.00,983.9,5.7,7.0,55,55
2024-01-02T10:00,21.1,68,0.00,983.4,6.6,7.9,41,43
2024-01-02T11:00,20.8,68,0.00,983.5,7.9,9.5,30,29
2024-01-02T12:00,20.0,71,0.00,983.9,7.6,12.0,19,21
2024-01-02T13:00,17.9,79,0.00,984.8,7.4,12.3,39,40
2024-01-02T14:00,17.4,81,0.00,985.5,7.4,13.1,51,53
2024-01-02T15:00,17.3,82,0.00,985.6,7.0,12.5,55,57
2024-01-02T16:00,17.0,84,0.00,985.7,7.4,13.9,51,53
2024-01-02T17:00,15.8,90,0.00,985.8,6.9,15.4,51,53
2024-01-02T18:00,14.5,95,0.00,985.3,6.2,15.0,83,73
2024-01-02T19:00,13.5,97,0.00,984.8,6.8,10.5,90,74
2024-01-02T20:00,13.0,98,0.00,984.5,5.3,7.1,332,24
2024-01-02T21:00,12.5,99,0.00,984.2,4.7,8.4,328,7
2024-01-02T22:00,12.2,99,0.00,984.0,5.2,7.5,326,17
2024-01-02T23:00,12.6,99,0.00,984.0,3.6,7.2,307,360
2024-01-03T00:00,12.7,99,0.00,984.3,3.7,7.2,299,357
2024-01-03T01:00,12.0,100,0.00,985.5,4.3,7.9,318,3
2024-01-03T02:00,12.6,97,0.00,986.0,4.6,7.6,309,8
2024-01-03T03:00,13.8,91,0.00,986.8,3.1,6.4,324,27
2024-01-03T04:00,15.0,84,0.00,987.5,5.2,7.1,16,24
2024-01-03T05:00,16.6,78,0.00,987.7,8.9,11.2,43,42
2024-01-03T06:00,17.6,74,0.00,986.8,10.3,12.6,36,37
2024-01-03T07:00,18.4,72,0.00,985.8,10.1,12.6,35,37
2024-01-03T08:00,19.4,69,0.00,984.7,9.2,11.3,31,31
2024-01-03T09:00,19.8,68,0.00,983.8,9.4,11.7,32,34
2024-01-03T10:00,19.8,68,0.00,983.7,8.9,10.7,43,42
2024-01-03T11:00,19.6,69,0.00,983.6,8.2,10.2,41,42
2024-01-03T12:00,18.9,72,0.00,984.0,8.1,12.0,45,46
2024-01-03T13:00,17.0,80,0.00,984.1,5.4,12.0,53,51
2024-01-03T14:00,15.0,91,0.00,984.5,6.6,16.2,77,73
2024-01-03T15:00,13.6,94,0.00,984.8,6.7,15.0,74,66
2024-01-03T16:00,12.5,96,0.00,985.3,8.9,13.8,76,62
2024-01-03T17:00,13.1,95,0.00,985.6,7.1,11.2,60,57
2024-01-03T18:00,11.9,98,0.00,985.3,6.6,10.8,347,26
2024-01-03T19:00,12.4,98,0.00,985.2,3.8,9.1,311,9
2024-01-03T20:00,12.5,99,0.00,985.1,4.7,6.3,279,347
2024-01-03T21:00,12.6,97,0.00,985.0,5.4,4.8,274,333
2024-01-03T22:00,12.9,94,0.00,985.0,6.4,7.1,297,336
2024-01-03T23:00,12.6,94,0.00,984.9,6.8,7.9,295,336
2024-01-04T00:00,12.6,93,0.00,985.3,6.4,7.1,297,336
2024-01-04T01:00,12.5,94,0.00,986.8,5.5,5.8,281,330
2024-01-04T02:00,12.6,94,0.00,987.4,5.0,5.2,291,344
2024-01-04T03:00,13.4,89,0.00,988.1,5.6,7.0,310,339
2024-01-04T04:00,14.6,85,0.00,988.7,6.3,7.7,347,349
2024-01-04T05:00,16.3,80,0.00,988.7,4.9,5.8,17,22
2024-01-04T06:00,17.6,74,0.00,987.6,2.4,2.9,27,30
2024-01-04T07:00,18.4,69,0.00,986.4,1.0,1.3,45,56
2024-01-04T08:00,19.6,61,0.00,985.3,1.8,1.8,360,11
2024-01-04T09:00,20.1,58,0.00,984.5,2.5,2.9,8,7
2024-01-04T10:00,20.2,57,0.00,984.1,3.4,4.2,18,20
2024-01-04T11:00,19.9,57,0.00,983.9,3.3,4.2,13,20
2024-01-04T12:00,18.0,70,0.00,983.9,4.5,4.7,331,4
2024-01-04T13:00,17.1,69,0.00,984.4,2.6,3.6,286,354
2024-01-04T14:00,14.4,81,0.00,984.6,7.2,9.0,323,360
2024-01-04T15:00,13.0,88,0.00,985.3,7.0,15.5,339,3
2024-01-04T16:00,11.9,92,0.00,985.9,6.4,15.9,333,6
2024-01-04T17:00,10.7,94,0.00,985.9,8.7,13.1,336,16
2024-01-04T18:00,10.8,94,0.00,985.5,5.9,8.9,322,21
2024-01-04T19:00,10.2,95,0.00,985.3,4.8,6.3,297,13
