Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,74.6,146.02,29.72,32.67,62.38,130.58,6.09,0.55,9.92,0.0,0.02,,,0.62,,,98.35,1.23,136.94,0.0,0.0,,735.83,
2024-01-01 01:00:00,75.7,138.6,27.23,23.91,51.14,147.32,6.05,0.51,37.22,0.01,0.01,,,0.43,,,98.4,0.95,229.02,0.0,0.0,,735.7,
2024-01-01 02:00:00,63.0,123.3,24.5,24.18,48.68,128.54,9.86,0.49,44.16,0.0,0.02,,,0.3,,,98.4,1.6,235.02,0.0,0.0,,735.74,
2024-01-01 03:00:00,73.05,127.4,20.94,21.65,42.59,152.11,8.62,0.38,53.69,0.01,0.03,,,0.4,,,98.43,1.5,192.08,0.0,0.0,,735.7,
2024-01-01 04:00:00,59.02,106.2,16.29,19.57,35.86,127.64,9.46,0.5,55.6,0.01,0.03,,,0.13,,,98.5,1.76,208.14,0.0,0.0,,735.64,
2024-01-01 05:00:00,63.3,110.35,16.01,17.82,33.84,131.87,4.78,0.44,75.36,0.01,0.02,,,0.08,,,98.55,1.56,224.22,0.0,0.0,,735.62,
2024-01-01 06:00:00,54.6,125.82,15.75,18.86,34.61,121.96,7.86,0.49,92.52,0.02,0.03,,,0.13,,,98.6,1.18,154.19,0.0,0.0,,736.05,
2024-01-01 07:00:00,78.7,124.6,11.96,20.09,32.06,99.26,10.9,0.64,58.02,0.01,0.02,,,0.12,,,98.62,1.45,182.26,0.0,0.0,,733.12,
2024-01-01 08:00:00,73.3,133.6,10.77,23.28,34.06,107.43,8.77,0.73,4.75,0.01,0.01,,,0.21,,,98.62,1.39,246.3,0.0,0.0,,728.6,
2024-01-01 09:00:00,76.47,145.62,8.46,25.02,33.44,148.64,7.82,0.56,6.04,0.01,0.02,,,0.07,,,83.95,0.92,217.52,0.0,0.0,,728.97,
2024-01-01 10:00:00,67.9,138.5,6.41,48.92,55.32,158.55,4.6,0.6,11.49,0.02,0.01,,,0.07,,,56.32,0.9,211.68,0.0,0.0,,729.97,
2024-01-01 11:00:00,66.82,117.62,6.65,33.98,40.5,142.05,1.42,0.46,21.35,0.04,0.01,,,0.03,,,48.7,0.68,163.99,0.0,0.0,,730.81,
2024-01-01 12:00:00,61.95,109.08,6.42,27.6,33.88,125.02,11.72,0.48,29.68,0.08,0.01,,,0.1,,,43.88,1.18,193.44,0.0,0.0,,729.7,
2024-01-01 13:00:00,68.3,129.9,6.35,23.67,30.01,134.56,9.08,0.42,46.48,0.1,0.02,,,0.01,,,40.72,0.4,216.63,0.0,0.0,,728.92,
2024-01-01 14:00:00,56.6,132.07,7.78,21.19,28.88,154.22,10.42,0.27,44.38,0.04,0.02,,,,,,36.38,1.38,274.45,0.0,0.0,,728.3,
