Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,42.75,71.5,0.72,11.45,6.65,26.48,7.7,0.58,59.92,3.02,14.7,,,1.38,1.25,16.25,58.25,1.42,71.25,0.0,0.0,8.0,,
2024-01-01 01:00:00,49.5,79.5,1.1,10.65,6.52,25.65,6.95,0.58,57.3,3.4,13.55,,,1.27,1.0,15.3,63.25,1.35,75.25,0.0,0.0,8.0,,
2024-01-01 02:00:00,46.25,67.75,0.8,10.18,6.07,25.5,6.38,0.56,54.38,3.58,12.52,,,1.27,0.78,14.62,67.25,1.3,74.75,0.0,0.0,8.0,,
2024-01-01 03:00:00,50.0,68.5,0.85,9.9,5.98,25.6,5.65,0.59,52.35,3.72,11.85,,,1.25,0.75,14.15,70.5,1.3,72.75,0.0,0.0,8.0,,
2024-01-01 04:00:00,55.5,77.5,0.35,10.28,5.75,25.85,5.45,0.61,50.88,3.88,11.75,,,1.3,0.7,13.72,73.25,1.42,69.25,0.0,0.0,7.75,,
2024-01-01 05:00:00,54.75,81.25,0.55,10.1,5.8,28.55,5.58,0.62,52.4,3.82,12.0,,,1.32,0.7,13.6,72.75,1.2,69.25,0.0,0.0,7.75,,
2024-01-01 06:00:00,62.25,87.5,0.72,11.38,6.65,29.5,6.6,0.71,49.22,3.92,12.2,,,1.38,0.7,13.28,74.5,1.38,68.75,0.0,0.0,7.75,,
2024-01-01 07:00:00,66.25,94.0,0.4,14.2,7.88,30.18,6.52,0.76,43.22,4.18,12.32,,,1.45,0.7,12.95,76.75,1.3,68.75,0.0,0.0,15.5,,
2024-01-01 08:00:00,71.25,109.25,1.25,15.6,9.3,30.28,6.78,0.8,42.85,4.47,12.68,,,1.5,0.82,13.98,72.25,1.35,70.75,0.0,0.0,63.5,,
2024-01-01 09:00:00,79.25,123.75,2.0,16.42,10.38,28.88,7.75,0.78,53.58,4.53,12.98,,,1.55,0.9,16.3,61.25,1.48,78.75,0.0,0.0,142.75,,
2024-01-01 10:00:00,77.75,133.5,1.6,15.38,9.5,27.1,8.1,0.61,71.28,4.3,13.52,,,1.65,1.05,19.52,46.75,1.6,74.75,0.0,0.0,223.75,,
2024-01-01 11:00:00,58.0,111.0,1.55,15.35,9.4,24.45,8.9,0.52,89.32,4.4,14.05,,,1.82,1.5,22.28,37.0,1.52,82.5,0.0,0.0,284.5,,
2024-01-01 12:00:00,40.75,80.25,1.18,13.05,7.9,22.58,7.22,0.45,102.15,4.32,13.38,,,2.02,1.92,24.42,30.25,1.35,97.75,0.0,0.0,313.0,,
2024-01-01 13:00:00,23.75,56.5,0.85,10.8,6.42,22.05,5.68,0.41,103.98,3.35,10.72,,,1.78,1.7,25.78,26.5,1.3,105.5,0.0,0.0,302.0,,
2024-01-01 14:00:00,13.5,53.0,1.23,10.4,6.5,21.55,5.58,0.18,104.98,2.95,12.82,,,1.6,1.65,26.82,23.5,1.25,106.25,0.0,0.0,257.5,,
2024-01-01 15:00:00,13.75,55.25,0.72,10.48,6.18,21.28,5.9,0.16,103.2,2.42,14.12,,,1.52,1.55,27.02,23.5,1.25,97.0,0.0,0.0,184.25,,
2024-01-01 16:00:00,16.75,56.25,0.73,11.9,6.9,21.1,5.7,0.18,98.52,2.12,14.28,,,1.35,1.42,26.62,24.5,1.08,106.75,0.0,0.0,96.25,,
2024-01-01 17:00:00,16.25,50.25,0.9,14.5,8.48,18.92,5.75,0.31,88.2,1.98,13.35,,,1.55,1.88,25.05,26.5,0.78,89.25,0.0,0.0,22.25,,
2024-01-01 18:00:00,24.0,72.75,0.88,21.75,12.3,19.12,5.8,0.68,70.58,2.35,14.68,,,1.85,2.33,22.85,31.75,0.85,82.5,0.0,0.0,9.0,,
2024-01-01 19:00:00,32.25,93.25,0.55,20.18,11.15,21.38,5.62,0.7,71.0,2.58,16.5,,,2.2,2.75,21.1,40.0,1.3,76.25,0.0,0.0,8.75,,
2024-01-01 20:00:00,34.25,79.0,0.65,18.2,10.22,23.05,5.4,0.7,66.15,2.88,16.38,,,2.1,2.55,19.05,47.25,1.1,69.25,0.0,0.0,8.0,,
2024-01-01 21:00:00,36.5,73.25,0.6,15.68,8.8,24.42,5.2,0.69,65.03,3.08,15.6,,,1.92,2.12,17.6,53.5,1.18,73.5,0.0,0.0,8.0,,
2024-01-01 22:00:00,46.75,75.75,0.75,12.12,7.02,25.25,4.8,0.68,63.0,3.3,14.98,,,1.65,1.68,16.3,60.25,1.32,73.75,0.0,0.0,8.0,,
2024-01-01 23:00:00,51.75,76.0,1.0,11.72,7.02,25.65,4.78,0.71,54.58,3.42,14.32,,,1.58,1.32,15.05,68.25,1.32,73.5,0.0,0.0,8.0,,
2024-01-02 00:00:00,57.0,82.0,0.85,11.58,6.85,27.35,5.95,0.73,47.45,3.6,14.32,,,1.55,1.05,14.22,74.75,1.27,73.25,0.0,0.0,8.0,,
2024-01-02 01:00:00,67.75,98.0,0.88,11.78,6.98,28.3,6.1,0.75,45.8,4.08,14.62,,,1.75,0.98,13.8,77.5,1.1,74.25,0.0,0.0,8.0,,
2024-01-02 02:00:00,77.5,116.0,0.98,12.12,7.22,26.95,5.95,0.72,45.8,4.12,14.72,,,1.82,0.92,13.45,78.75,1.1,71.5,0.0,0.0,8.0,,
2024-01-02 03:00:00,80.5,121.25,0.75,11.82,6.92,27.08,6.15,0.71,47.05,4.25,14.75,,,1.95,0.85,12.98,81.0,1.2,72.5,0.0,0.0,8.0,,
2024-01-02 04:00:00,82.5,126.75,1.05,12.08,7.28,27.92,5.82,0.71,44.92,4.25,14.9,,,1.95,0.82,12.35,83.75,1.3,69.0,0.0,0.0,7.5,,
2024-01-02 05:00:00,81.75,140.5,0.9,12.22,7.22,30.0,6.3,0.72,40.72,4.45,14.8,,,2.0,0.8,11.6,86.75,1.4,68.0,0.0,0.0,7.75,,
2024-01-02 06:00:00,89.0,147.25,0.9,12.1,7.18,30.82,6.28,0.74,40.45,4.38,14.95,,,2.02,0.8,11.4,87.5,1.3,73.5,0.0,0.0,7.25,,
