Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,99.68,212.08,5.15,7.48,11.57,50.39,2.1,1.43,12.55,5.88,0.0,,,,,,79.99,0.54,116.44,0.0,0.0,8.37,753.27,
2024-01-01 01:00:00,106.25,226.15,4.16,9.99,13.8,49.18,0.05,0.88,12.8,6.49,0.0,,,,,,78.55,0.54,124.31,0.0,0.0,8.47,753.36,
2024-01-01 02:00:00,114.95,244.58,10.12,13.49,23.6,73.02,1.08,0.1,12.4,11.44,0.0,,,,,,78.59,0.47,146.91,0.0,0.0,7.97,753.52,
2024-01-01 03:00:00,113.02,240.46,14.42,13.64,28.06,89.0,4.34,0.35,11.76,8.26,0.12,,,23.18,0.82,,79.16,0.92,305.36,0.0,0.0,8.8,753.38,
2024-01-01 04:00:00,111.46,237.16,15.12,10.73,25.82,68.2,3.53,1.37,11.6,8.76,0.07,,,23.82,0.51,,79.28,0.5,250.36,0.0,0.0,9.04,753.17,
2024-01-01 05:00:00,117.97,251.07,11.84,11.63,23.47,51.72,0.42,1.25,12.62,8.55,0.07,,,17.54,0.16,,79.33,0.85,165.76,0.0,0.0,9.43,753.3,
2024-01-01 06:00:00,116.06,246.94,10.46,13.64,24.14,56.74,,0.32,12.74,6.26,0.06,,,12.9,0.19,,79.75,0.38,166.3,0.0,0.0,9.44,753.66,
2024-01-01 07:00:00,114.48,243.59,10.59,14.0,24.51,73.48,2.44,0.39,11.76,8.13,0.19,,,19.39,,,78.66,0.74,37.85,0.0,0.0,11.02,754.25,
2024-01-01 08:00:00,119.99,255.33,5.55,18.75,23.1,44.0,3.38,1.52,10.4,9.08,0.17,,,4.85,,,76.36,0.76,43.48,0.0,0.0,21.37,754.7,
2024-01-01 09:00:00,138.77,295.42,3.44,15.3,18.06,26.32,0.92,1.66,12.96,9.72,0.18,,,,,,73.54,0.64,101.35,0.0,0.0,34.46,755.11,
2024-01-01 10:00:00,150.35,319.9,1.86,19.24,19.8,25.75,,0.98,12.58,9.6,0.27,,,,0.01,,70.74,0.51,88.21,0.0,0.0,46.83,755.34,
2024-01-01 11:00:00,143.78,305.92,3.16,19.81,21.67,33.99,2.18,0.85,12.85,9.51,0.26,,,,0.03,,66.96,0.52,234.74,0.0,0.0,54.15,754.93,
2024-01-01 12:00:00,141.33,300.71,3.84,17.38,19.27,35.65,5.45,1.6,13.4,9.81,0.28,,,23.11,0.1,,62.89,0.65,239.25,0.0,0.0,93.48,753.84,
2024-01-01 13:00:00,144.71,307.9,4.88,13.83,17.62,26.13,3.39,2.02,12.41,9.46,0.22,,,17.27,0.07,,59.03,1.25,266.28,0.0,0.0,146.02,752.82,
2024-01-01 14:00:00,151.92,323.3,11.67,19.66,31.33,37.94,0.15,1.51,13.17,15.24,0.24,,,48.8,0.36,,59.25,1.59,291.35,0.0,0.0,126.9,752.12,
2024-01-01 15:00:00,153.09,325.73,9.38,23.28,32.59,47.26,2.25,0.86,13.84,12.37,0.38,,,79.97,0.59,,61.75,1.58,296.02,0.0,0.0,80.32,751.8,
2024-01-01 16:00:00,141.86,301.85,8.1,22.74,30.45,46.64,5.07,1.64,12.62,10.74,0.46,,,92.32,0.7,,66.07,1.42,307.77,0.0,0.0,37.03,751.86,
2024-01-01 17:00:00,136.57,290.58,5.89,19.52,25.02,35.27,4.21,2.2,12.51,9.68,0.43,,,98.97,0.71,,72.34,1.18,327.44,0.0,0.0,11.82,752.1,
2024-01-01 18:00:00,146.21,311.09,13.62,21.36,34.99,40.13,1.32,1.94,13.32,9.46,0.34,,,58.77,0.19,,76.12,1.16,322.29,0.0,0.0,10.16,752.67,
2024-01-01 19:00:00,143.32,304.93,6.02,19.78,25.58,34.83,0.4,1.15,12.99,8.29,0.21,,,74.41,0.39,,78.34,1.2,240.01,0.0,0.0,10.18,753.13,
2024-01-01 20:00:00,127.41,271.09,5.61,17.98,22.83,39.41,4.21,1.57,12.94,7.19,0.16,,,46.86,0.22,,78.84,0.94,314.41,0.0,0.0,10.07,753.47,
2024-01-01 21:00:00,118.26,251.61,2.51,14.85,14.48,28.56,3.22,2.19,12.22,6.36,0.15,,,31.48,0.1,,79.03,0.94,340.38,0.0,0.0,10.46,753.63,
2024-01-01 22:00:00,124.57,265.04,1.42,14.88,14.83,22.64,1.11,2.12,12.98,7.18,0.08,,,44.8,0.22,,78.61,0.98,322.47,0.0,0.0,9.95,753.81,
2024-01-01 23:00:00,135.5,288.28,1.27,15.73,15.53,23.31,,1.45,13.03,6.73,0.08,,,28.0,0.15,,77.77,1.06,305.19,0.0,0.0,9.44,753.64,
2024-01-02 00:00:00,139.85,297.54,2.67,16.51,17.7,36.66,5.49,1.19,12.49,5.04,0.05,,,43.05,0.26,,78.71,1.06,317.05,0.0,0.0,6.77,753.28,
2024-01-02 01:00:00,137.64,292.84,2.76,13.63,14.05,32.58,6.42,1.77,12.09,2.97,0.05,,,22.26,0.11,,78.17,0.95,305.77,0.0,0.0,7.08,753.13,
2024-01-02 02:00:00,144.45,307.26,1.12,12.7,11.36,20.14,4.2,2.02,12.31,4.45,0.04,,,49.93,0.5,,78.34,0.71,242.32,0.0,0.0,9.22,752.92,
2024-01-02 03:00:00,153.6,326.81,2.28,14.03,15.74,24.97,0.84,1.31,12.13,5.54,0.15,,,28.15,0.19,,78.52,0.89,323.15,0.0,0.0,7.31,752.67,
2024-01-02 04:00:00,155.34,330.52,4.24,15.0,18.72,36.28,7.71,0.76,13.39,5.43,0.08,,,15.23,0.08,,79.45,1.09,321.6,0.0,0.0,6.68,752.41,
2024-01-02 05:00:00,145.95,310.44,5.87,13.8,18.88,37.76,10.64,1.41,12.36,2.88,0.05,,,22.15,0.15,,80.69,0.86,322.52,0.0,0.0,6.65,752.61,
2024-01-02 06:00:00,132.1,281.07,4.29,11.6,15.22,25.88,8.76,1.96,11.77,0.0,0.02,,,6.34,0.05,,80.04,0.74,299.39,0.0,0.0,8.44,753.06,
2024-01-02 07:00:00,127.76,271.82,5.09,13.13,18.04,25.77,5.26,1.55,12.26,1.49,0.0,,,,,,79.84,0.72,326.84,0.0,0.0,10.54,753.8,
2024-01-02 08:00:00,124.08,264.0,7.49,14.24,21.7,34.28,7.11,0.48,12.92,3.74,0.0,,,,,,77.8,0.81,97.1,0.0,0.0,17.39,754.63,
2024-01-02 09:00:00,113.96,242.48,7.4,12.78,19.9,38.08,11.01,0.82,12.08,4.65,0.01,,,15.03,,,74.54,0.4,175.6,0.0,0.0,31.55,755.29,
2024-01-02 10:00:00,87.64,186.46,8.56,12.57,20.98,34.18,11.08,1.49,12.64,5.32,0.16,,,9.16,0.06,,70.2,0.52,144.66,0.0,0.0,47.13,755.27,
2024-01-02 11:00:00,0.9,170.46,12.03,14.48,26.49,35.31,7.28,1.49,12.34,7.34,0.13,,,,,,66.08,0.6,236.87,0.0,0.0,73.85,754.62,
2024-01-02 12:00:00,20.09,68.6,9.38,18.84,28.22,36.71,7.58,0.51,12.87,8.32,0.28,,,34.36,0.33,,60.1,1.19,301.13,0.0,0.0,152.89,753.54,
2024-01-02 13:00:00,36.75,91.3,8.3,19.41,26.58,38.91,12.01,0.69,11.64,6.79,0.09,,,20.23,0.07,,55.98,0.85,310.48,0.0,0.0,191.94,752.48,
2024-01-02 14:00:00,48.5,118.73,10.81,24.23,33.39,43.22,9.54,0.56,12.42,5.59,0.11,,,46.96,0.16,,52.29,1.11,288.28,0.0,0.0,143.69,751.42,
2024-01-02 15:00:00,52.2,145.77,13.12,27.67,40.7,45.29,5.98,1.18,10.94,6.25,0.12,,,48.06,0.08,,53.35,1.46,286.82,0.0,0.0,86.36,751.24,
2024-01-02 16:00:00,73.11,175.49,23.07,32.34,55.36,58.2,7.44,1.1,6.39,8.01,0.4,,,98.54,0.7,,57.54,1.25,284.26,0.0,0.0,38.47,750.84,
2024-01-02 17:00:00,142.56,155.97,46.08,35.43,81.51,89.3,10.15,1.59,7.13,6.86,0.06,,,96.51,0.29,,62.68,1.14,274.56,0.0,0.0,12.09,751.15,
2024-01-02 18:00:00,104.56,154.96,75.78,36.99,112.77,121.23,10.7,1.4,5.62,7.88,0.08,,,114.72,0.56,,68.02,0.67,270.18,0.0,0.0,7.74,751.57,
2024-01-02 19:00:00,108.92,180.71,83.77,33.44,117.21,120.85,9.43,1.41,7.89,11.84,0.36,,,54.74,0.16,,73.85,0.61,263.41,0.0,0.0,7.24,751.67,
2024-01-02 20:00:00,122.04,235.22,70.07,29.11,99.18,113.3,5.54,1.18,7.37,14.5,0.38,,,49.54,0.09,,73.66,0.8,268.9,0.0,0.0,7.68,752.02,
2024-01-02 21:00:00,78.85,210.33,44.11,28.16,72.28,90.64,6.71,1.08,6.67,10.3,0.2,,,63.37,0.18,,74.78,0.88,282.71,0.0,0.0,7.48,752.42,
2024-01-02 22:00:00,74.01,186.06,35.02,23.36,58.38,81.24,6.87,0.82,5.76,8.48,0.11,,,66.0,0.56,,79.84,0.85,288.48,0.0,0.0,7.13,752.47,
2024-01-02 23:00:00,75.84,191.14,37.29,21.13,58.42,83.03,6.55,0.74,6.23,14.18,0.3,,,73.33,1.16,,84.77,0.83,304.44,0.0,0.0,6.68,752.52,
2024-01-03 00:00:00,96.22,223.74,40.07,20.77,60.84,85.35,4.34,1.36,5.84,13.0,0.64,,,77.48,1.36,,85.79,0.85,89.35,0.0,0.0,6.74,752.03,
2024-01-03 01:00:00,103.39,249.58,33.25,21.09,54.34,84.86,3.98,1.39,6.52,12.98,0.71,,,36.54,0.06,,85.78,0.91,9.11,0.0,0.0,6.65,751.86,
2024-01-03 02:00:00,108.63,240.07,29.02,18.69,47.72,86.34,7.04,1.43,6.12,12.28,0.68,,,29.8,0.02,,85.74,0.94,103.29,0.0,0.0,6.65,752.23,
2024-01-03 03:00:00,95.5,240.42,23.96,18.31,42.26,74.07,5.9,1.16,6.56,11.62,0.51,,,16.03,0.02,,85.8,0.87,252.5,0.0,0.0,6.65,751.93,
2024-01-03 04:00:00,97.74,239.15,29.44,20.16,49.6,71.43,3.46,1.27,3.77,10.11,0.42,,,43.52,0.16,,85.89,1.14,244.12,0.0,0.0,6.66,751.79,
2024-01-03 05:00:00,79.53,230.26,21.71,20.34,42.05,66.04,1.98,1.29,6.17,8.7,0.24,,,35.06,0.43,,85.89,0.88,30.14,0.0,0.0,6.65,752.0,
2024-01-03 06:00:00,70.6,211.45,16.69,19.2,35.89,69.92,3.58,1.07,6.24,8.52,0.2,,,,,,85.81,0.73,28.06,0.0,0.0,6.65,752.58,
2024-01-03 07:00:00,74.29,187.06,9.83,18.51,28.19,58.23,2.69,0.86,5.44,8.52,0.38,,,,,,85.8,0.68,67.13,0.0,0.0,9.1,753.0,
2024-01-03 08:00:00,72.89,183.54,5.81,17.55,22.6,44.75,4.91,1.09,6.6,9.4,0.25,,,,,,85.92,0.34,118.8,0.0,0.0,14.55,753.45,
2024-01-03 09:00:00,81.16,221.35,8.86,19.03,27.86,51.84,3.53,1.43,6.56,11.09,0.38,,,,,,85.91,0.44,126.69,0.0,0.0,23.38,754.46,
2024-01-03 10:00:00,107.77,236.74,12.97,19.63,32.56,68.88,5.58,1.48,6.39,13.12,0.5,,,24.95,,,85.8,0.73,128.85,0.0,0.0,55.06,754.79,
