Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,173.75,320.75,1.65,14.05,9.82,52.5,3.18,0.94,13.28,7.28,20.98,,,3.9,5.72,8.52,85.25,0.6,178.5,0.0,0.0,22.25,,
2024-01-01 01:00:00,166.5,301.0,1.58,12.0,8.65,50.92,2.42,0.96,12.15,7.05,18.15,,,3.18,4.42,7.78,88.25,0.57,23.0,0.0,0.0,20.5,,
2024-01-01 02:00:00,138.75,270.5,1.08,12.62,8.62,50.38,2.1,0.92,10.1,6.98,16.38,,,2.8,3.62,7.48,91.0,0.52,62.25,0.0,0.0,17.5,,
2024-01-01 03:00:00,119.0,218.5,0.73,10.68,7.1,49.02,1.98,0.87,12.85,6.52,16.1,,,2.62,3.1,7.32,92.25,0.55,63.5,0.0,0.0,21.75,,
2024-01-01 04:00:00,87.5,127.75,0.43,10.68,6.9,47.9,2.0,0.88,15.32,6.3,16.35,,,2.68,2.7,7.88,93.0,0.45,70.25,0.0,0.0,25.0,,
2024-01-01 05:00:00,77.0,103.0,2.3,11.98,9.22,47.85,1.78,0.98,15.08,6.12,16.95,,,2.8,2.55,8.18,93.75,0.5,43.75,0.0,0.0,25.0,,
2024-01-01 06:00:00,77.5,108.5,3.0,12.22,9.93,48.32,1.95,1.08,14.95,6.52,18.27,,,3.12,2.7,8.4,94.0,0.52,48.5,0.0,0.0,25.0,,
2024-01-01 07:00:00,92.0,128.0,2.7,14.15,10.72,48.72,2.05,1.11,15.62,6.92,20.27,,,3.42,2.9,8.52,94.0,0.48,58.75,0.0,0.0,26.25,,
2024-01-01 08:00:00,90.75,133.25,5.72,18.6,15.52,49.4,2.15,1.28,12.85,7.5,24.82,,,4.12,3.75,8.88,94.0,0.55,41.75,0.0,0.0,21.5,,
2024-01-01 09:00:00,98.0,149.5,9.45,23.08,20.95,49.22,2.78,1.32,19.15,7.68,28.85,,,4.82,4.3,9.28,94.0,0.7,193.5,0.0,0.0,31.5,,
2024-01-01 10:00:00,127.75,201.5,13.98,28.18,27.33,50.15,3.5,1.56,14.52,8.35,32.8,,,5.58,5.9,9.8,94.0,0.55,127.0,0.0,0.0,24.25,,
2024-01-01 11:00:00,150.0,249.5,19.5,38.75,37.5,55.45,3.27,1.92,15.4,9.1,35.1,,,6.22,6.42,10.48,92.5,0.48,58.25,0.0,0.0,25.5,,
2024-01-01 12:00:00,165.25,275.75,9.37,27.57,23.27,53.02,3.72,1.86,22.0,9.25,36.95,,,6.7,7.0,11.4,87.75,0.62,25.75,0.0,0.0,35.5,,
2024-01-01 13:00:00,164.75,272.0,5.92,23.08,18.08,49.98,3.52,1.42,31.52,8.45,36.9,,,6.65,7.1,12.78,80.5,0.85,250.25,0.0,0.0,50.0,,
2024-01-01 14:00:00,161.75,269.0,6.15,25.35,19.48,49.38,3.97,1.46,40.75,8.28,36.42,,,6.45,6.9,14.45,73.5,0.65,103.5,0.0,0.0,64.5,,
2024-01-01 15:00:00,164.75,284.0,6.38,26.88,20.48,51.82,4.0,1.35,44.42,8.43,36.22,,,6.55,7.25,15.88,66.75,0.65,139.33,0.0,0.0,69.75,,
2024-01-01 16:00:00,150.75,305.0,6.98,35.67,25.65,53.12,3.65,1.66,38.02,8.22,36.4,,,6.68,7.2,16.0,65.25,0.55,24.25,0.0,0.0,60.25,,
2024-01-01 17:00:00,166.0,357.75,38.92,63.42,66.38,55.78,4.4,3.19,7.05,8.75,43.55,,,8.55,10.32,14.82,69.5,0.22,102.75,0.0,0.0,12.75,,
2024-01-01 18:00:00,232.0,472.5,122.85,66.58,136.32,64.4,6.18,6.93,0.3,12.0,69.47,,,15.95,24.95,13.2,77.75,0.15,111.75,0.0,0.0,2.5,,
