Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,175.75,237.0,8.52,19.9,15.58,19.1,20.4,0.92,24.08,3.35,0.45,,,1.2,0.28,13.32,,0.45,342.5,0.0,0.0,22.25,,
2024-01-01 01:00:00,159.0,208.5,7.62,23.15,16.5,18.12,12.1,1.08,20.15,3.9,0.28,,,1.03,0.18,12.8,,0.32,330.5,0.0,0.0,21.75,,
2024-01-01 02:00:00,152.25,219.75,6.9,26.98,17.95,18.85,71.6,1.83,17.52,6.65,1.55,,,0.88,0.95,12.52,,0.38,337.5,0.0,0.0,22.25,,
2024-01-01 03:00:00,154.0,247.75,7.02,19.85,14.27,20.52,51.38,1.95,19.18,7.05,1.1,,,0.9,0.7,12.42,,0.38,350.25,0.0,0.0,21.75,,
2024-01-01 04:00:00,148.5,235.75,10.48,23.35,18.98,19.27,27.78,1.34,15.88,4.82,0.57,,,1.58,0.35,12.2,,0.38,340.5,0.0,0.0,21.75,,
2024-01-01 05:00:00,131.75,197.75,9.07,28.05,20.3,20.27,63.5,1.7,11.48,6.15,1.38,,,1.3,0.82,11.88,,0.43,345.25,0.0,0.0,22.0,,
2024-01-01 06:00:00,131.0,194.25,15.68,28.78,26.05,21.2,55.45,1.32,10.6,4.78,1.2,,,2.6,0.75,11.8,,0.43,346.75,0.0,0.0,21.75,,
2024-01-01 07:00:00,124.75,178.5,19.25,32.17,30.78,22.65,81.82,1.18,8.62,4.28,1.72,,,3.32,1.08,11.68,,0.45,350.25,0.0,0.0,23.75,,
2024-01-01 08:00:00,101.0,147.25,9.18,27.18,19.9,24.8,42.88,0.93,11.1,3.38,0.95,,,1.32,0.57,11.8,,0.4,347.25,0.0,0.0,32.0,,
2024-01-01 09:00:00,89.0,136.25,16.38,27.7,26.0,22.08,29.68,1.06,13.5,3.8,0.62,,,2.75,0.38,12.32,,0.32,345.5,0.0,0.0,41.75,,
2024-01-01 10:00:00,122.75,178.75,30.7,33.45,40.75,22.92,43.25,1.11,10.02,4.0,0.95,,,5.6,0.55,12.8,,0.35,334.5,0.0,0.0,48.0,,
