Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,99.75,161.25,2.6,22.58,14.12,15.38,3.95,1.25,23.58,0.35,4.55,,,0.92,1.3,9.12,94.5,2.33,235.25,0.0,0.0,126.0,,
2024-01-01 01:00:00,87.75,149.0,2.68,19.0,12.28,15.2,4.28,1.24,21.1,0.38,3.8,,,0.98,1.3,8.7,97.5,2.12,237.0,0.0,0.0,126.0,,
2024-01-01 02:00:00,83.75,157.25,2.75,16.18,10.85,15.18,4.72,1.08,23.4,0.3,3.25,,,0.98,1.2,8.98,97.0,2.25,237.0,0.0,0.0,126.0,,
2024-01-01 03:00:00,88.0,177.25,2.58,12.45,8.72,15.25,4.25,0.98,34.05,0.3,2.48,,,0.92,1.2,9.33,91.0,2.38,237.5,0.0,0.0,126.0,,
2024-01-01 04:00:00,95.0,163.0,2.72,10.95,8.05,14.98,4.68,0.94,35.83,0.3,2.17,,,0.98,1.15,9.25,86.75,2.12,241.25,0.0,0.0,126.0,,
2024-01-01 05:00:00,99.5,162.75,2.68,11.25,8.17,15.05,5.0,0.98,35.4,0.3,2.25,,,0.95,1.1,8.9,87.0,1.92,243.75,0.0,0.0,126.0,,
2024-01-01 06:00:00,96.25,162.25,2.52,12.18,8.55,14.98,4.38,1.08,35.35,0.3,2.45,,,0.88,1.1,8.67,87.0,1.82,239.0,0.0,0.0,126.25,,
2024-01-01 07:00:00,90.75,151.75,2.4,13.02,8.9,15.08,4.6,1.15,33.92,0.3,2.62,,,0.85,1.18,8.5,87.25,2.02,241.75,0.0,0.0,132.25,,
2024-01-01 08:00:00,90.75,159.0,3.22,14.9,10.6,14.95,4.72,1.24,30.8,0.38,2.98,,,1.15,1.12,8.62,85.5,1.2,253.75,0.0,0.0,156.0,,
2024-01-01 09:00:00,96.75,167.0,3.95,15.75,11.58,14.9,5.12,1.28,31.32,0.38,3.15,,,1.35,1.08,9.0,81.75,1.23,249.75,0.0,0.0,192.75,,
