Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,203.5,366.75,1.92,42.0,23.9,84.42,6.38,0.74,12.2,5.68,4.92,,,0.43,0.32,9.1,90.5,0.7,128.5,0.0,0.0,21.0,,
2024-01-01 01:00:00,207.25,375.75,0.77,39.83,21.82,81.3,6.45,0.69,12.18,5.0,3.78,,,0.38,0.2,8.98,91.0,0.7,128.5,0.0,0.0,21.0,,
2024-01-01 02:00:00,197.75,370.25,0.68,36.4,19.92,77.32,6.22,0.69,13.0,4.7,3.72,,,0.35,0.2,8.7,92.25,0.57,128.5,0.0,0.0,21.0,,
2024-01-01 03:00:00,179.25,350.5,0.5,38.95,21.12,75.7,5.85,0.68,12.48,4.88,3.88,,,0.32,0.2,8.68,92.0,0.6,128.5,0.0,0.0,21.0,,
2024-01-01 04:00:00,187.5,372.5,0.88,39.25,21.58,66.55,5.95,0.65,13.08,4.57,3.52,,,0.3,0.1,8.45,92.5,0.7,128.5,0.0,0.0,21.0,,
2024-01-01 05:00:00,181.75,373.75,1.62,36.9,20.95,62.7,6.28,0.67,13.48,4.2,3.52,,,0.3,0.15,8.65,91.5,0.52,128.5,0.0,0.0,20.75,,
2024-01-01 06:00:00,174.75,365.5,1.48,33.12,18.82,60.48,6.1,0.67,14.88,4.18,3.45,,,0.3,0.2,8.72,91.0,0.57,128.5,0.0,0.0,20.5,,
2024-01-01 07:00:00,168.75,348.75,3.18,34.1,20.72,61.32,6.32,0.71,14.98,4.9,4.25,,,0.43,0.3,8.82,91.25,0.65,128.5,0.0,0.0,22.25,,
2024-01-01 08:00:00,170.5,371.0,7.15,37.22,25.6,69.47,5.88,0.66,14.65,4.75,4.4,,,0.43,0.32,8.65,91.5,0.55,128.5,0.0,0.0,29.0,,
2024-01-01 09:00:00,167.75,392.75,15.18,36.65,31.85,74.42,6.18,0.78,10.0,5.7,6.7,,,0.7,0.78,9.07,91.25,0.38,128.5,0.0,0.0,39.25,,
2024-01-01 10:00:00,163.5,384.75,16.25,35.5,32.1,64.88,6.3,0.8,7.95,5.88,9.4,,,1.23,1.6,9.28,90.0,0.48,128.5,0.0,0.0,50.25,,
2024-01-01 11:00:00,158.75,362.25,9.9,29.2,23.6,62.68,6.53,0.73,7.98,5.55,7.5,,,0.78,1.0,9.6,89.25,0.45,128.5,0.0,0.0,60.0,,
2024-01-01 12:00:00,152.75,334.0,12.77,35.5,29.27,71.08,6.22,0.76,7.22,6.6,8.15,,,0.88,1.12,10.1,88.0,0.68,128.75,0.0,0.0,65.5,,
2024-01-01 13:00:00,167.0,355.5,8.72,28.88,22.48,69.6,6.05,0.72,10.1,6.12,6.78,,,0.68,0.75,10.55,86.75,0.7,128.75,0.0,0.0,73.25,,
2024-01-01 14:00:00,157.0,303.0,8.62,25.78,20.72,66.92,6.18,0.66,10.4,4.85,6.8,,,0.62,0.82,10.95,85.5,0.82,128.5,0.0,0.0,65.0,,
2024-01-01 15:00:00,138.0,260.0,8.1,26.5,20.72,72.72,6.1,0.55,10.35,4.58,7.35,,,0.78,0.78,11.35,84.0,0.8,128.25,0.0,0.0,52.0,,
2024-01-01 16:00:00,154.75,286.0,8.93,29.85,23.1,82.92,6.0,0.61,10.3,4.58,7.08,,,0.7,0.78,11.18,85.0,0.92,128.5,0.0,0.0,33.5,,
2024-01-01 17:00:00,165.75,291.5,9.38,31.6,24.48,91.0,6.05,0.76,9.5,6.0,8.7,,,1.0,1.27,10.92,86.0,1.02,128.5,0.0,0.0,22.5,,
2024-01-01 18:00:00,160.25,269.5,10.48,31.48,25.25,95.02,6.22,0.72,7.98,6.58,9.93,,,1.15,1.72,10.78,86.75,1.05,128.5,0.0,0.0,21.0,,
2024-01-01 19:00:00,150.5,243.75,4.25,26.08,17.3,87.55,6.2,0.54,9.8,5.95,8.7,,,0.95,1.38,10.55,87.25,1.1,128.5,0.0,0.0,21.0,,
2024-01-01 20:00:00,138.0,225.0,3.45,23.98,15.52,83.55,5.9,0.47,12.48,5.9,7.9,,,0.78,0.98,10.28,88.25,0.82,128.5,0.0,0.0,21.0,,
2024-01-01 21:00:00,140.0,205.25,2.38,21.12,13.15,92.75,5.7,0.4,14.18,4.42,4.55,,,0.4,0.4,9.9,89.5,0.72,128.5,0.0,0.0,21.0,,
2024-01-01 22:00:00,135.75,197.25,1.88,21.22,12.82,88.2,5.7,0.38,14.23,4.7,6.08,,,0.57,0.62,9.8,90.0,0.75,128.5,0.0,0.0,21.0,,
