Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,119.84,196.21,18.78,28.8,36.22,35.92,7.95,0.89,26.07,1.4,2.19,,,0.84,0.74,12.27,86.23,0.64,103.21,0.0,0.0,49.08,736.44,-0.57
2024-01-01 01:00:00,125.88,201.71,18.28,22.48,30.36,33.33,6.23,0.82,23.18,2.28,2.24,,,0.92,0.94,11.75,88.16,0.56,114.71,0.0,0.0,48.0,736.63,-0.64
2024-01-01 02:00:00,114.58,187.98,14.02,23.82,28.72,33.69,10.01,0.82,26.17,2.31,2.86,,,1.69,0.79,11.4,90.12,0.76,83.29,0.0,0.0,48.84,736.41,-0.63
2024-01-01 03:00:00,102.84,174.02,15.62,24.22,29.82,32.31,10.35,0.86,27.14,2.18,2.71,,,0.86,1.01,11.23,91.61,0.9,111.95,0.0,0.0,48.35,736.35,-0.58
2024-01-01 04:00:00,102.43,168.15,13.47,20.61,25.7,31.24,8.83,0.74,27.54,1.42,3.19,,,1.96,0.84,10.8,93.01,0.86,112.97,0.0,0.0,47.76,736.3,-0.61
2024-01-01 05:00:00,101.2,170.66,12.32,15.87,22.01,32.3,8.03,0.79,25.28,1.84,2.24,,,0.94,0.88,9.98,94.79,0.96,101.4,0.0,0.0,49.08,736.49,-0.58
2024-01-01 06:00:00,100.97,162.5,9.8,15.22,19.38,30.95,9.27,0.85,24.71,1.79,2.69,,,2.54,0.84,9.45,95.7,0.91,112.3,0.0,0.0,49.35,736.88,-0.67
2024-01-01 07:00:00,99.73,151.05,8.82,20.72,22.56,31.34,8.33,1.01,20.34,1.63,2.61,,,0.83,0.97,9.23,96.04,0.9,113.92,0.0,0.0,57.92,737.29,-0.65
2024-01-01 08:00:00,96.07,149.11,10.36,19.02,23.21,30.27,9.51,0.99,21.04,2.81,3.09,,,2.88,1.27,9.48,95.84,0.81,111.8,0.0,0.0,84.71,737.82,-0.57
2024-01-01 09:00:00,96.12,149.17,9.76,22.51,24.88,29.73,9.01,1.16,21.26,3.22,3.72,,,3.8,1.79,10.36,93.29,0.84,132.35,0.0,0.0,149.47,738.49,-0.52
2024-01-01 10:00:00,117.59,203.08,11.53,25.62,30.26,36.52,9.17,1.23,28.65,2.9,4.1,,,2.9,1.7,12.19,84.22,0.83,111.94,0.0,0.0,220.26,738.52,-0.38
2024-01-01 11:00:00,123.06,199.17,10.02,27.74,30.45,38.64,11.27,1.25,48.34,4.12,3.14,,,5.27,1.72,14.99,71.05,0.79,128.97,0.0,0.0,258.39,737.82,-0.29
2024-01-01 12:00:00,125.98,211.79,7.3,36.9,37.01,43.93,12.75,1.39,73.0,4.3,2.85,,,4.0,2.14,18.1,58.46,0.68,183.68,0.0,0.0,252.92,736.68,-0.17
2024-01-01 13:00:00,134.17,239.02,6.16,39.96,37.79,40.68,13.19,1.45,93.3,4.36,3.19,,,2.72,1.38,20.33,52.29,0.68,208.17,0.0,0.0,217.14,735.7,-0.17
2024-01-01 14:00:00,146.8,267.99,6.47,37.35,33.34,42.22,11.62,1.06,105.44,4.49,5.06,,,3.82,2.2,21.48,48.23,0.63,200.59,0.0,0.0,163.47,735.04,-0.19
2024-01-01 15:00:00,125.41,256.72,5.67,34.38,29.35,39.13,11.99,0.92,92.71,4.18,4.67,,,2.76,1.41,21.3,46.72,0.83,216.82,0.0,0.0,111.77,734.71,-0.3
2024-01-01 16:00:00,104.78,224.42,9.32,53.02,42.29,41.17,9.9,1.04,78.68,3.98,4.98,,,2.89,1.48,20.45,49.29,0.73,193.11,0.0,0.0,76.18,734.79,-0.32
2024-01-01 17:00:00,109.85,226.24,19.2,64.36,60.43,48.81,7.83,1.68,51.54,3.94,9.91,,,4.58,2.98,18.72,59.06,0.68,162.88,0.0,0.0,55.56,735.25,-0.47
2024-01-01 18:00:00,136.08,280.44,31.26,94.82,93.04,59.29,10.28,2.52,16.51,6.35,30.51,,,10.6,10.53,16.94,67.25,0.55,153.19,0.0,0.0,52.84,735.69,-0.57
2024-01-01 19:00:00,170.88,334.25,18.97,76.98,72.08,64.35,9.8,2.26,14.47,6.81,19.85,,,7.91,5.7,15.74,71.91,0.55,133.93,0.0,0.0,54.35,736.17,-0.6
2024-01-01 20:00:00,166.86,306.05,8.42,51.04,43.38,52.32,9.9,1.61,22.57,3.53,16.73,,,5.03,3.32,14.87,73.92,0.56,126.06,0.0,0.0,51.59,736.68,-0.6
2024-01-01 21:00:00,145.94,256.04,6.6,40.28,35.24,44.76,8.32,1.21,27.04,3.48,5.87,,,1.94,1.06,13.68,76.58,0.55,103.0,0.0,0.0,47.16,736.95,-0.6
2024-01-01 22:00:00,130.22,225.34,6.04,28.98,25.34,38.31,8.99,0.98,31.94,2.8,2.93,,,1.29,0.73,12.9,79.69,0.63,89.43,0.0,0.0,46.99,736.97,-0.61
2024-01-01 23:00:00,117.52,199.8,7.46,26.06,25.44,35.14,8.61,0.85,28.08,2.23,2.53,,,1.04,0.7,12.33,83.68,0.63,110.8,0.0,0.0,46.58,736.75,-0.64
2024-01-02 00:00:00,110.64,181.5,5.32,25.67,23.96,33.2,9.22,0.71,26.07,1.95,1.85,,,1.32,0.9,11.52,87.28,0.58,110.96,0.0,0.0,46.18,736.34,-0.64
2024-01-02 01:00:00,107.43,176.27,5.39,21.37,20.1,31.51,8.33,0.66,25.63,2.59,2.62,,,1.41,1.19,10.86,90.08,0.6,123.21,0.0,0.0,46.96,736.1,-0.64
2024-01-02 02:00:00,103.75,167.48,5.3,21.04,19.98,31.33,8.62,0.71,21.08,2.45,2.63,,,2.14,1.01,10.52,91.72,0.49,115.99,0.0,0.0,46.9,736.14,-0.67
2024-01-02 03:00:00,101.24,169.68,5.37,19.18,17.48,28.1,9.32,0.74,18.88,2.06,2.41,,,1.06,0.97,10.28,92.53,0.51,118.28,0.0,0.0,47.97,735.97,-0.69
2024-01-02 04:00:00,97.7,174.05,7.26,21.45,21.15,29.18,8.27,0.73,18.15,2.34,3.12,,,1.98,1.32,10.0,93.49,0.61,119.34,0.0,0.0,48.99,735.83,-0.7
2024-01-02 05:00:00,95.5,166.97,5.74,19.14,18.17,27.41,6.62,0.73,18.31,2.13,2.13,,,1.43,1.12,9.23,94.48,0.59,107.32,0.0,0.0,47.35,736.04,-0.68
2024-01-02 06:00:00,101.32,172.38,5.9,17.99,18.13,28.05,7.67,1.09,17.47,3.18,2.34,,,3.03,1.08,8.59,96.09,0.65,124.36,0.0,0.0,48.92,736.32,-0.69
2024-01-02 07:00:00,97.8,148.01,7.78,19.3,20.9,29.45,10.0,1.29,16.68,2.95,2.51,,,1.37,0.95,8.34,95.51,0.81,101.46,0.0,0.0,58.75,736.8,-0.62
2024-01-02 08:00:00,100.88,151.96,11.39,22.36,25.55,30.75,10.73,1.28,16.06,3.77,3.47,,,1.21,1.03,8.68,95.25,0.76,110.97,0.0,0.0,84.32,737.4,-0.59
2024-01-02 09:00:00,110.43,164.6,11.17,25.0,27.65,33.25,7.04,1.33,16.73,3.45,4.04,,,2.74,1.55,9.17,96.04,0.67,143.82,0.0,0.0,122.49,738.05,-0.6
2024-01-02 10:00:00,107.05,159.79,11.85,31.04,33.16,35.41,10.14,1.46,19.12,3.66,4.01,,,1.96,1.49,10.1,94.34,0.73,118.91,0.0,0.0,188.64,737.86,-0.46
2024-01-02 11:00:00,130.14,198.9,12.82,36.89,37.41,41.46,17.78,1.48,27.11,4.64,3.26,,,3.22,1.65,11.73,85.95,0.95,135.75,0.0,0.0,227.54,737.04,-0.35
2024-01-02 12:00:00,150.98,241.15,11.36,35.29,34.84,42.55,18.98,1.26,35.63,4.01,3.12,,,4.06,1.48,13.72,78.81,1.18,133.92,0.0,0.0,241.71,736.13,-0.25
2024-01-02 13:00:00,136.33,224.43,9.07,34.41,32.62,42.98,18.01,1.3,43.3,3.54,2.89,,,0.89,0.74,14.71,73.78,1.2,121.56,0.0,0.0,211.65,735.45,-0.2
2024-01-02 14:00:00,129.13,214.23,7.95,32.29,30.55,41.78,11.84,1.09,45.86,3.24,4.9,,,1.93,1.56,15.23,73.42,0.97,146.26,0.0,0.0,166.24,735.01,-0.25
2024-01-02 15:00:00,126.0,210.24,8.07,34.51,32.94,42.26,12.83,1.1,50.91,3.34,5.49,,,1.23,0.91,16.0,71.53,0.76,167.36,0.0,0.0,126.33,734.67,-0.31
2024-01-02 16:00:00,128.42,217.7,6.54,43.58,38.48,43.89,10.77,1.18,45.86,4.19,4.27,,,0.94,0.7,15.87,71.75,0.58,189.83,0.0,0.0,79.58,734.44,-0.45
2024-01-02 17:00:00,136.08,238.28,12.25,51.81,47.5,50.67,9.46,1.63,25.9,4.98,7.59,,,1.69,1.43,14.36,77.7,0.58,160.67,0.0,0.0,48.48,734.75,-0.54
2024-01-02 18:00:00,146.59,278.38,42.96,64.83,82.17,74.59,8.21,2.35,11.09,7.08,20.33,,,4.92,5.91,13.08,84.38,0.55,170.52,0.0,0.0,44.45,735.25,-0.61
2024-01-02 19:00:00,168.17,309.24,52.33,64.33,91.76,75.13,7.93,2.48,8.16,7.76,27.98,,,9.48,9.92,12.18,88.34,0.44,140.0,0.0,0.0,44.31,735.56,-0.64
2024-01-02 20:00:00,178.82,324.71,45.12,54.96,77.62,68.38,9.94,2.26,9.93,6.02,13.47,,,3.78,5.13,11.66,91.34,0.52,126.57,0.0,0.0,45.48,736.02,-0.66
2024-01-02 21:00:00,181.46,313.94,41.07,50.5,69.91,59.67,7.32,2.11,10.96,6.53,12.96,,,3.12,4.37,10.96,92.53,0.38,121.42,0.0,0.0,45.31,736.03,-0.66
2024-01-02 22:00:00,179.74,289.42,19.98,42.12,45.76,47.07,7.64,1.58,15.28,6.48,15.62,,,4.27,4.17,10.48,92.79,0.42,141.96,0.0,0.0,45.85,736.08,-0.66
2024-01-02 23:00:00,150.92,254.11,8.94,37.48,33.67,38.5,7.44,1.25,16.43,5.44,8.81,,,2.07,1.74,10.12,93.94,0.38,126.2,0.0,0.0,45.43,735.88,-0.66
2024-01-03 00:00:00,128.68,231.67,6.0,29.37,24.89,34.39,8.53,1.13,20.42,3.16,4.12,,,1.2,0.9,9.68,94.1,0.48,142.65,0.0,0.0,45.73,735.52,-0.7
2024-01-03 01:00:00,115.08,210.78,5.7,25.74,22.58,33.64,7.05,1.05,20.11,4.11,4.1,,,1.2,1.12,9.4,95.44,0.47,146.87,0.0,0.0,46.57,735.53,-0.68
2024-01-03 02:00:00,114.36,205.21,10.48,25.03,25.94,33.49,8.53,1.21,16.0,3.31,4.13,,,1.95,1.49,8.98,95.93,0.44,125.98,0.0,0.0,47.27,735.55,-0.71
