Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,67.5,78.5,0.75,13.45,7.5,38.62,4.6,0.88,50.12,4.45,3.15,,,0.38,0.35,11.85,70.5,1.05,128.5,0.0,0.0,10.0,,
2024-01-01 01:00:00,72.0,83.5,0.7,13.15,7.3,42.5,4.02,0.86,52.42,4.2,3.0,,,0.4,0.35,11.12,72.0,1.08,128.5,0.0,0.0,10.0,,
2024-01-01 02:00:00,65.0,74.25,0.85,11.95,6.78,43.02,3.97,0.86,56.85,4.03,2.5,,,0.32,0.3,10.7,74.0,0.8,128.5,0.0,0.0,10.0,,
2024-01-01 03:00:00,78.5,91.75,0.65,11.5,6.35,42.6,3.8,0.91,56.6,4.9,2.75,,,0.32,0.2,10.32,77.25,0.6,128.5,0.0,0.0,10.0,,
2024-01-01 04:00:00,99.25,117.5,0.3,11.55,6.08,41.88,3.8,0.91,47.42,5.42,2.98,,,0.4,0.22,9.55,80.25,0.82,128.5,0.0,0.0,10.0,,
2024-01-01 05:00:00,96.0,117.0,0.55,10.9,6.0,38.0,3.58,0.9,39.48,5.1,2.68,,,0.38,0.2,8.48,84.0,0.82,128.5,0.0,0.0,10.0,,
2024-01-01 06:00:00,85.75,107.75,0.75,11.75,6.62,36.42,3.55,0.95,35.3,5.58,2.82,,,0.43,0.28,7.85,87.5,1.05,128.5,0.0,0.0,10.0,,
2024-01-01 07:00:00,97.5,125.75,0.9,13.42,7.65,36.28,3.75,1.03,31.6,6.2,3.25,,,0.52,0.32,7.72,89.25,0.57,128.5,0.0,0.0,15.25,,
2024-01-01 08:00:00,116.5,160.0,2.7,20.02,12.6,36.92,3.9,1.24,27.05,7.42,4.55,,,0.68,0.48,8.85,87.0,0.6,128.5,0.0,0.0,51.5,,
2024-01-01 09:00:00,146.25,207.0,3.22,19.38,12.65,39.83,4.18,1.14,29.35,7.7,5.3,,,0.78,0.68,9.28,82.5,0.92,128.5,0.0,0.0,108.0,,
2024-01-01 10:00:00,145.25,198.75,3.68,16.42,11.45,43.22,4.35,1.09,33.8,6.32,5.58,,,0.88,0.92,10.2,79.5,0.92,128.25,0.0,0.0,170.5,,
2024-01-01 11:00:00,115.0,155.0,3.5,16.95,11.6,42.08,4.12,1.03,48.88,5.75,4.78,,,0.65,0.57,12.85,70.0,1.05,128.5,0.0,0.0,228.25,,
2024-01-01 12:00:00,115.5,163.75,2.12,16.75,10.38,44.25,4.12,1.0,65.68,5.12,4.82,,,0.7,0.7,15.78,58.25,0.98,128.5,0.0,0.0,250.0,,
2024-01-01 13:00:00,103.0,160.5,3.38,16.32,11.15,44.7,4.12,1.01,63.1,5.18,4.65,,,0.7,0.7,16.48,54.0,0.98,128.5,0.0,0.0,239.5,,
2024-01-01 14:00:00,90.0,146.5,2.55,16.65,10.68,48.18,4.12,0.96,70.45,5.28,4.32,,,0.62,0.62,16.45,52.5,1.03,128.5,0.0,0.0,199.75,,
2024-01-01 15:00:00,78.5,122.75,2.9,19.08,12.25,59.6,4.05,0.99,72.42,5.3,5.42,,,0.78,0.92,16.8,52.25,0.92,128.5,0.0,0.0,135.25,,
2024-01-01 16:00:00,76.5,118.25,2.58,18.35,11.58,54.0,4.03,0.97,70.8,5.28,5.38,,,0.78,0.85,16.2,54.5,0.92,128.5,0.0,0.0,53.0,,
2024-01-01 17:00:00,88.25,134.0,3.05,23.38,14.68,50.52,3.62,1.07,56.62,5.3,5.15,,,0.75,0.82,14.9,60.5,0.6,128.5,0.0,0.0,17.0,,
2024-01-01 18:00:00,104.5,149.25,2.72,27.92,16.85,48.48,3.5,1.2,42.92,6.18,7.4,,,1.12,1.48,13.65,65.25,0.5,128.5,0.0,0.0,10.25,,
2024-01-01 19:00:00,117.0,164.25,2.2,27.18,16.0,45.38,3.35,1.24,40.58,6.72,7.38,,,1.15,1.38,13.02,66.75,0.7,128.5,0.0,0.0,10.0,,
2024-01-01 20:00:00,107.25,145.0,1.1,22.25,12.5,43.2,3.3,1.11,42.25,6.2,6.95,,,1.08,1.27,12.18,69.75,0.95,128.5,0.0,0.0,10.0,,
2024-01-01 21:00:00,100.75,124.75,1.1,21.45,12.02,41.75,3.4,1.16,37.58,6.38,7.6,,,1.15,1.08,11.48,72.0,0.7,128.25,0.0,0.0,10.0,,
2024-01-01 22:00:00,98.0,115.5,0.8,17.62,9.8,37.3,3.2,1.02,43.12,6.45,7.75,,,1.1,0.8,11.22,74.25,0.95,128.5,0.0,0.0,10.0,,
2024-01-01 23:00:00,93.0,101.75,0.35,14.18,7.58,37.12,2.98,0.87,45.5,5.18,7.25,,,1.08,0.57,11.02,75.75,0.57,128.5,0.0,0.0,10.0,,
2024-01-02 00:00:00,92.75,95.25,0.32,12.6,6.72,37.42,3.45,0.72,47.7,4.9,7.0,,,1.3,0.5,10.85,77.25,0.57,128.5,0.0,0.0,10.0,,
2024-01-02 01:00:00,98.5,101.75,0.7,11.65,6.2,37.65,3.35,0.67,51.18,4.7,6.52,,,1.0,0.35,10.45,78.5,0.88,128.5,0.0,0.0,10.0,,
2024-01-02 02:00:00,101.25,109.0,0.35,11.08,5.92,42.02,3.32,0.69,48.45,4.6,6.18,,,0.85,0.3,9.52,83.0,1.1,128.5,0.0,0.0,10.0,,
2024-01-02 03:00:00,96.25,105.5,0.17,10.35,5.35,41.3,3.4,0.68,48.28,4.62,6.02,,,0.75,0.3,9.02,85.0,0.68,128.5,0.0,0.0,10.0,,
2024-01-02 04:00:00,90.25,110.25,0.52,10.58,5.82,41.18,3.2,0.69,46.7,4.6,6.08,,,0.7,0.3,8.85,84.5,0.82,128.5,0.0,0.0,10.25,,
2024-01-02 05:00:00,91.75,112.25,0.35,11.75,6.08,40.12,3.08,0.71,40.3,4.6,5.8,,,0.7,0.2,8.0,87.0,1.0,128.5,0.0,0.0,10.0,,
2024-01-02 06:00:00,94.0,109.75,0.78,11.98,6.75,35.08,3.45,0.7,34.6,4.7,5.6,,,0.7,0.22,7.28,89.75,1.23,128.5,0.0,0.0,10.0,,
2024-01-02 07:00:00,92.5,107.0,0.98,12.55,7.22,33.55,3.55,0.71,30.42,4.78,5.15,,,0.57,0.22,6.3,92.0,1.32,128.5,0.0,0.0,15.25,,
2024-01-02 08:00:00,88.75,106.25,2.3,16.77,10.58,34.28,3.52,0.8,28.05,5.25,5.4,,,0.62,0.3,6.8,92.5,1.12,128.5,0.0,0.0,59.25,,
2024-01-02 09:00:00,,,,13.2,5.95,30.55,,0.11,9.9,,,,,,,9.5,83.0,1.0,128.0,0.0,0.0,118.0,,
2024-01-02 10:00:00,,,1.83,19.73,11.73,39.43,2.1,0.49,40.85,1.4,1.8,,,0.3,0.2,11.9,75.0,0.8,128.33,0.0,0.0,167.33,,
2024-01-02 11:00:00,123.0,193.0,2.9,19.8,12.6,42.95,5.02,0.94,75.1,4.88,6.88,,,0.92,0.78,15.35,61.0,1.15,128.5,0.0,0.0,227.5,,
2024-01-02 12:00:00,119.75,187.25,2.8,17.42,11.28,45.52,5.43,0.94,86.55,4.62,7.05,,,1.0,0.65,17.65,51.0,1.0,128.5,0.0,0.0,246.0,,
2024-01-02 13:00:00,101.75,159.75,2.08,15.65,9.78,46.68,5.7,0.86,87.32,4.15,6.2,,,0.9,0.68,18.65,46.0,0.98,128.5,0.0,0.0,237.5,,
2024-01-02 14:00:00,78.0,127.75,2.17,17.75,10.95,45.28,5.7,0.85,85.98,4.07,5.62,,,0.72,0.65,19.58,45.0,0.88,128.5,0.0,0.0,195.75,,
2024-01-02 15:00:00,75.75,143.75,2.25,19.98,12.2,43.42,6.3,0.82,88.02,4.12,6.0,,,0.8,0.85,19.82,44.5,0.65,128.5,0.0,0.0,133.5,,
2024-01-02 16:00:00,74.75,186.0,2.55,20.88,12.95,43.72,6.3,0.94,86.92,4.28,6.75,,,0.95,1.2,18.88,47.75,0.62,128.5,0.0,0.0,54.25,,
2024-01-02 17:00:00,81.25,188.25,1.92,23.22,13.7,43.62,5.95,0.94,73.58,4.42,6.45,,,0.9,1.2,17.12,53.0,0.57,128.5,0.0,0.0,17.0,,
2024-01-02 18:00:00,82.75,149.0,3.65,33.75,20.65,45.03,5.98,1.17,48.85,5.62,10.4,,,1.68,2.55,15.25,58.5,0.62,128.5,0.0,0.0,10.0,,
2024-01-02 19:00:00,93.0,156.75,2.82,28.35,17.12,52.32,5.98,1.11,48.28,6.28,10.38,,,1.82,3.0,14.15,61.5,0.55,128.25,0.0,0.0,10.0,,
2024-01-02 20:00:00,81.5,119.0,2.62,27.68,16.6,68.12,5.7,1.12,48.82,5.58,6.45,,,0.95,1.35,13.62,62.5,0.52,128.5,0.0,0.0,10.0,,
2024-01-02 21:00:00,67.25,96.25,1.35,19.15,11.05,55.02,5.4,0.9,54.6,4.8,4.7,,,0.62,0.82,13.22,63.75,0.78,128.5,0.0,0.0,10.0,,
2024-01-02 22:00:00,57.75,77.0,0.9,14.85,8.4,48.05,5.3,0.8,54.08,3.85,2.9,,,0.35,0.4,12.25,67.0,1.0,128.5,0.0,0.0,10.0,,
2024-01-02 23:00:00,54.0,62.25,0.4,12.08,6.5,40.08,5.4,0.73,53.2,3.52,2.0,,,0.25,0.22,11.4,70.75,1.25,128.5,0.0,0.0,10.0,,
2024-01-03 00:00:00,51.0,58.5,0.6,10.75,6.0,38.25,5.15,0.69,53.48,3.22,1.85,,,0.25,0.18,10.72,73.75,1.15,128.5,0.0,0.0,9.75,,
2024-01-03 01:00:00,49.0,62.5,0.68,11.05,6.18,37.62,5.3,0.67,50.68,3.02,1.48,,,0.25,0.1,10.02,76.75,1.35,128.5,0.0,0.0,10.0,,
2024-01-03 02:00:00,51.33,78.0,0.38,10.18,5.5,38.17,5.4,0.66,45.88,2.85,1.35,,,0.2,0.1,9.28,80.75,1.12,128.5,0.0,0.0,10.0,,
2024-01-03 03:00:00,56.0,63.0,0.75,9.98,5.68,44.48,5.2,0.68,39.65,2.78,1.35,,,0.2,0.1,8.8,84.25,0.7,128.5,0.0,0.0,10.0,,
2024-01-03 04:00:00,63.75,79.75,0.5,10.22,5.62,43.98,5.1,0.7,32.08,2.85,1.4,,,0.18,0.1,8.18,86.25,0.9,128.5,0.0,0.0,10.0,,
2024-01-03 05:00:00,75.25,101.5,0.52,10.75,5.9,42.82,5.12,0.72,24.45,3.3,1.48,,,0.22,0.1,7.0,89.5,1.18,128.5,0.0,0.0,10.0,,
2024-01-03 06:00:00,71.25,96.75,0.88,10.98,6.3,40.9,4.9,0.73,23.05,3.42,1.62,,,0.22,0.12,5.88,92.5,1.08,128.5,0.0,0.0,10.0,,
2024-01-03 07:00:00,60.0,76.33,1.33,11.03,6.7,35.87,5.3,0.77,20.03,3.83,1.7,,,0.2,0.1,5.57,94.0,0.97,128.33,0.0,0.0,12.0,,
2024-01-03 08:00:00,,,1.3,12.5,6.65,23.55,,0.11,17.6,,,,,,,6.1,95.0,0.9,128.5,0.0,0.0,49.0,,
2024-01-03 09:00:00,68.0,83.0,2.55,14.95,9.75,35.0,3.82,0.62,22.05,3.55,2.08,,,0.25,0.25,6.48,95.0,1.08,128.5,0.0,0.0,80.75,,
2024-01-03 10:00:00,71.5,90.5,3.68,15.8,11.12,37.12,4.4,0.78,29.75,4.25,2.8,,,0.38,0.35,8.82,87.75,1.08,128.5,0.0,0.0,172.0,,
