Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,110.0,136.25,1.08,17.6,10.22,27.5,4.85,1.1,32.35,1.2,0.7,,,2.48,2.2,13.78,84.0,1.25,14.0,0.0,0.0,17.75,,
2024-01-01 01:00:00,111.75,131.75,1.08,17.35,10.1,27.92,3.92,1.1,28.05,1.2,0.68,,,2.0,2.18,13.18,86.25,1.12,23.0,0.0,0.0,18.0,,
2024-01-01 02:00:00,106.25,125.25,1.2,16.95,10.02,28.25,4.53,1.11,24.18,1.2,0.8,,,2.35,2.1,13.65,88.5,1.0,28.5,0.0,0.0,17.5,,
2024-01-01 03:00:00,106.0,127.75,1.12,16.95,9.93,28.22,5.18,1.14,20.15,1.25,0.72,,,2.65,2.1,12.72,90.25,1.1,26.0,0.0,0.0,18.0,,
2024-01-01 04:00:00,110.25,133.5,1.27,17.0,10.07,28.12,5.7,1.12,18.77,1.2,0.8,,,2.95,2.12,12.02,91.75,1.15,38.0,0.0,0.0,18.0,,
2024-01-01 05:00:00,113.5,137.0,1.15,16.85,9.9,27.02,5.4,1.12,17.42,1.23,0.72,,,2.8,2.08,11.82,93.25,1.05,42.5,0.0,0.0,18.0,,
2024-01-01 06:00:00,109.5,138.75,1.25,16.95,10.05,26.32,4.92,1.11,17.75,1.2,0.82,,,2.53,2.12,11.72,94.5,0.95,43.0,0.0,0.0,18.0,,
2024-01-01 07:00:00,109.25,153.75,1.2,16.7,9.85,27.55,5.08,1.16,19.52,1.3,0.78,,,2.62,2.08,11.58,96.25,1.2,36.0,0.0,0.0,21.5,,
2024-01-01 08:00:00,107.0,168.0,1.55,16.32,9.95,27.52,5.25,1.19,21.9,1.3,0.95,,,2.68,2.0,11.82,97.0,1.15,38.0,0.0,0.0,32.0,,
2024-01-01 09:00:00,100.0,161.0,1.58,16.0,9.8,28.3,4.85,1.18,24.12,1.3,1.03,,,2.48,2.0,12.3,97.25,1.05,37.75,0.0,0.0,51.5,,
2024-01-01 10:00:00,110.5,147.75,1.92,15.8,9.95,27.58,4.25,1.14,26.38,1.3,1.25,,,2.2,1.98,12.82,96.25,1.23,36.75,0.0,0.0,55.5,,
2024-01-01 11:00:00,115.0,143.75,1.9,16.3,10.25,26.32,3.72,1.12,28.85,1.25,1.25,,,1.9,2.0,13.2,94.5,1.08,49.75,0.0,0.0,70.0,,
2024-01-01 12:00:00,114.75,144.5,1.6,18.2,11.0,24.95,4.32,1.09,35.35,1.2,1.03,,,2.22,2.2,14.92,91.25,1.23,34.0,0.0,0.0,77.75,,
2024-01-01 13:00:00,108.75,134.25,1.72,16.6,10.25,23.38,4.3,1.07,38.25,1.2,1.12,,,2.22,2.02,14.58,88.5,1.12,30.25,0.0,0.0,72.25,,
2024-01-01 14:00:00,103.75,130.25,1.45,16.27,9.83,21.7,3.82,1.06,37.92,1.2,0.92,,,1.95,2.0,15.45,88.75,1.2,42.0,0.0,0.0,53.0,,
