Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,141.75,299.5,2.45,32.28,19.18,42.48,3.42,1.0,35.1,5.85,79.0,,,2.58,1.35,11.22,86.0,0.65,32.5,0.0,0.0,2.75,,
2024-01-01 01:00:00,168.75,284.5,0.95,27.05,15.18,44.05,2.9,0.93,37.1,5.32,78.38,,,2.3,1.18,10.52,86.0,0.68,56.0,0.0,0.0,3.0,,
2024-01-01 02:00:00,164.75,250.5,0.2,24.28,13.08,49.3,2.05,0.92,38.25,5.0,79.58,,,2.1,1.05,10.15,87.75,0.9,67.67,0.0,0.0,2.5,,
2024-01-01 03:00:00,153.0,232.75,1.1,24.88,14.1,50.7,1.75,0.89,40.22,4.82,82.08,,,2.0,1.0,9.82,88.0,0.78,182.5,0.0,0.0,2.25,,
2024-01-01 04:00:00,142.5,228.25,0.7,26.18,14.5,50.58,1.55,0.91,37.42,4.53,83.3,,,1.88,1.0,9.52,87.25,0.55,46.25,0.0,0.0,2.75,,
2024-01-01 05:00:00,140.5,215.5,1.0,26.75,15.05,43.35,1.35,0.86,38.4,4.6,85.95,,,1.7,0.85,8.9,87.0,0.85,345.5,0.0,0.0,2.5,,
2024-01-01 06:00:00,137.0,208.5,0.95,23.8,13.45,38.48,1.6,0.83,39.58,4.32,85.95,,,1.55,0.72,8.78,87.75,0.7,125.0,0.0,0.0,2.25,,
2024-01-01 07:00:00,131.0,205.75,1.25,24.42,13.98,37.4,1.18,0.83,37.97,4.58,83.02,,,1.58,0.7,8.98,87.75,0.85,193.5,0.0,0.0,6.75,,
2024-01-01 08:00:00,135.25,222.0,4.88,33.3,21.68,38.33,1.62,1.0,28.6,4.85,62.58,,,1.6,0.75,9.62,87.25,0.68,55.0,0.0,0.0,24.25,,
2024-01-01 09:00:00,141.75,230.25,4.3,32.58,20.82,40.52,1.45,0.94,29.87,6.4,39.95,,,1.6,0.92,9.82,86.25,0.85,197.0,0.0,0.0,48.0,,
2024-01-01 10:00:00,153.75,235.0,5.48,33.95,22.52,47.18,1.35,1.07,29.6,5.82,55.55,,,1.68,1.0,10.85,81.0,0.82,68.0,0.0,0.0,88.5,,
2024-01-01 11:00:00,157.5,233.0,2.95,28.9,17.75,49.02,1.5,1.02,38.85,5.45,64.32,,,1.65,0.98,12.3,74.5,0.78,109.25,0.0,0.0,135.0,,
2024-01-01 12:00:00,154.5,222.25,2.7,35.0,20.85,51.65,1.62,0.88,49.45,5.43,70.07,,,1.7,0.98,13.92,67.0,0.75,348.5,0.0,0.0,210.75,,
2024-01-01 13:00:00,157.75,227.0,2.55,32.45,19.35,45.2,1.65,0.8,67.42,5.28,71.15,,,1.62,0.88,15.6,59.25,0.88,273.5,0.0,0.0,199.25,,
2024-01-01 14:00:00,150.0,218.75,1.62,28.2,16.35,40.95,1.9,0.72,74.3,4.88,69.0,,,1.42,0.8,16.35,55.75,1.35,334.75,0.0,0.0,145.75,,
2024-01-01 15:00:00,139.75,214.5,1.25,28.3,16.05,39.98,1.9,0.72,76.1,4.45,75.53,,,1.35,0.72,16.58,54.0,1.6,328.5,0.0,0.0,87.75,,
2024-01-01 16:00:00,113.0,218.5,1.27,33.08,18.62,40.1,2.3,0.8,77.12,4.53,64.58,,,1.3,0.7,16.35,56.5,1.2,332.75,0.0,0.0,35.75,,
2024-01-01 17:00:00,128.5,256.5,1.23,42.35,23.55,45.25,2.02,0.97,63.68,4.85,41.78,,,1.38,0.82,15.05,65.25,1.32,344.0,0.0,0.0,6.75,,
