Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,49.75,100.88,3.79,20.42,16.54,22.36,4.19,0.77,54.15,1.73,7.01,,,1.2,1.15,14.42,62.95,0.76,93.09,0.0,0.0,18.34,,0.62
2024-01-01 01:00:00,60.12,107.79,3.86,18.78,15.32,23.16,4.04,0.83,56.43,1.85,7.16,,,1.14,1.04,13.98,65.71,0.75,95.09,0.0,0.0,19.02,,1.01
2024-01-01 02:00:00,72.12,114.63,4.06,18.55,15.59,24.26,3.94,0.89,57.6,1.92,7.39,,,1.0,0.95,13.51,67.46,0.69,96.5,0.0,0.0,18.66,,0.98
2024-01-01 03:00:00,82.44,127.6,4.11,18.9,15.42,23.89,4.01,1.25,54.88,1.9,7.67,,,1.2,0.94,12.99,69.34,0.68,94.5,0.0,0.0,19.06,,1.02
2024-01-01 04:00:00,88.12,133.17,3.92,18.53,15.47,24.0,7.02,1.29,50.98,2.14,8.0,,,1.56,1.12,12.21,72.15,0.64,100.64,0.0,0.0,19.39,,1.0
2024-01-01 05:00:00,91.56,142.13,3.8,20.27,16.17,24.28,6.96,1.39,43.42,2.1,7.89,,,1.22,1.08,11.54,74.48,0.61,100.92,0.0,0.0,18.52,,1.0
2024-01-01 06:00:00,96.25,151.57,3.92,22.07,17.25,24.91,7.01,1.4,36.34,2.15,7.81,,,1.32,1.05,10.8,77.28,0.46,101.19,0.0,0.0,19.14,,1.0
2024-01-01 07:00:00,101.38,166.86,4.33,25.51,19.13,26.21,6.98,1.38,31.56,2.41,7.99,,,1.44,1.14,10.73,78.62,0.54,97.93,0.0,0.0,32.61,,1.0
2024-01-01 08:00:00,110.31,175.62,5.52,28.08,21.8,27.57,8.19,1.21,34.24,2.62,8.08,,,1.5,1.28,12.62,74.38,0.66,104.82,0.0,0.0,95.69,,1.0
2024-01-01 09:00:00,123.25,182.56,8.31,33.19,26.91,30.65,10.28,1.23,39.97,2.08,6.61,,,0.99,0.8,15.7,66.94,0.68,110.27,0.0,0.0,150.96,,1.01
2024-01-01 10:00:00,124.69,173.98,10.26,38.54,31.08,33.85,12.61,1.14,48.82,2.03,6.18,,,1.07,0.88,18.92,57.21,0.72,114.46,0.0,0.0,235.32,,1.02
