latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
8.752197,78.12931,1.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_100m (°),wind_direction_10m (°)
2024-01-01T00:00,23.9,89,0.00,1012.4,13.1,21.6,358,351
2024-01-01T01:00,23.5,89,0.00,1013.5,12.2,20.2,5,358
2024-01-01T02:00,24.2,87,0.00,1014.5,13.7,20.3,7,3
2024-01-01T03:00,25.2,83,0.00,1015.3,15.9,21.4,7,5
2024-01-01T04:00,26.4,78,0.00,1015.6,15.5,20.3,13,13
2024-01-01T05:00,27.6,73,0.00,1015.1,14.9,19.4,18,20
2024-01-01T06:00,28.6,66,0.00,1014.1,15.1,19.2,30,33
2024-01-01T07:00,29.0,66,0.00,1013.0,15.0,19.1,54,60
2024-01-01T08:00,28.7,68,0.00,1011.9,16.1,20.4,76,80
2024-01-01T09:00,28.4,70,0.00,1011.0,17.1,21.9,81,82
2024-01-01T10:00,27.8,74,0.00,1010.8,19.0,24.8,81,80
2024-01-01T11:00,27.6,74,0.00,1010.8,19.4,26.6,74,75
2024-01-01T12:00,27.1,78,0.00,1011.0,19.0,27.6,75,75
2024-01-01T13:00,26.7,80,0.00,1012.2,16.4,26.3,73,75
2024-01-01T14:00,26.9,78,0.00,1013.0,17.4,27.4,65,66
2024-01-01T15:00,26.6,80,0.00,1013.7,18.8,29.5,62,61
2024-01-01T16:00,26.5,81,0.00,1013.9,18.9,29.7,59,59
2024-01-01T17:00,26.4,81,0.00,1013.8,17.1,26.8,57,55
2024-01-01T18:00,26.3,81,0.10,1013.5,15.8,25.0,49,47
2024-01-01T19:00,26.1,82,0.00,1012.8,15.5,25.0,44,42
2024-01-01T20:00,25.7,84,0.40,1012.4,14.0,22.5,32,29
2024-01-01T21:00,25.2,86,0.00,1011.7,13.3,21.2,21,19
2024-01-01T22:00,24.7,87,0.10,1011.4,13.4,22.0,18,14
2024-01-01T23:00,24.6,88,0.00,1011.7,13.3,21.5,23,19
2024-01-02T00:00,24.4,88,0.00,1012.0,12.3,20.5,10,5
2024-01-02T01:00,24.8,85,0.00,1012.0,15.5,24.5,4,360
2024-01-02T02:00,25.1,83,0.00,1012.9,16.9,23.8,4,1
2024-01-02T03:00,25.8,81,0.00,1013.5,16.2,22.4,5,3
2024-01-02T04:00,26.7,78,0.00,1014.0,14.7,19.5,12,11
2024-01-02T05:00,28.2,71,0.00,1013.5,19.2,25.0,30,30
2024-01-02T06:00,28.9,69,0.00,1012.8,18.7,24.6,38,40
2024-01-02T07:00,29.0,69,0.10,1011.8,16.0,20.6,46,46
2024-01-02T08:00,29.0,71,0.20,1010.8,16.2,20.5,56,58
2024-01-02T09:00,28.6,73,0.10,1009.8,18.1,23.2,54,55
2024-01-02T10:00,28.2,76,0.10,1009.5,20.2,26.2,58,59
2024-01-02T11:00,27.9,76,0.00,1009.6,18.2,24.4,59,60
2024-01-02T12:00,27.5,77,0.00,1010.1,19.0,26.9,62,63
2024-01-02T13:00,26.9,80,0.00,1011.4,13.5,21.9,48,46
2024-01-02T14:00,26.7,80,0.00,1012.4,15.1,24.3,40,38
2024-01-02T15:00,26.4,82,0.00,1013.1,15.3,24.8,36,34
2024-01-02T16:00,26.1,83,0.00,1013.4,15.6,25.3,41,40
2024-01-02T17:00,26.1,83,0.00,1013.4,17.3,27.5,45,43
2024-01-02T18:00,25.9,82,0.00,1013.0,15.8,25.5,43,41
2024-01-02T19:00,25.3,86,0.00,1012.6,13.2,22.4,33,29
2024-01-02T20:00,24.8,88,0.00,1011.9,12.1,20.8,23,17
2024-01-02T21:00,24.5,88,0.00,1011.1,11.2,19.6,13,4
2024-01-02T22:00,24.0,89,0.00,1010.9,9.7,17.4,6,358
2024-01-02T23:00,23.8,90,0.00,1011.0,10.8,18.8,7,360
2024-01-03T00:00,23.9,90,0.00,1011.5,11.9,20.2,4,357
2024-01-03T01:00,23.9,90,0.00,1011.9,11.7,19.4,359,349
2024-01-03T02:00,24.7,86,0.00,1012.8,14.8,20.6,4,360
2024-01-03T03:00,25.9,82,0.00,1013.6,17.4,23.3,13,13
2024-01-03T04:00,27.1,76,0.00,1013.9,18.5,24.7,21,21
2024-01-03T05:00,28.2,70,0.00,1013.7,18.1,23.5,29,31
2024-01-03T06:00,28.8,68,0.00,1013.0,17.3,22.7,43,45
2024-01-03T07:00,29.0,68,0.00,1011.7,16.6,21.1,53,56
2024-01-03T08:00,28.7,71,0.00,1010.6,17.3,21.9,65,67
2024-01-03T09:00,28.1,75,0.10,1009.7,18.1,23.3,70,69
2024-01-03T10:00,28.0,75,0.10,1009.4,17.1,22.2,61,60
2024-01-03T11:00,27.7,77,0.10,1009.5,17.3,22.8,69,69
2024-01-03T12:00,27.3,79,0.00,1009.9,18.3,26.1,70,70
2024-01-03T13:00,27.1,80,0.00,1010.4,19.5,30.1,56,56
2024-01-03T14:00,27.0,78,0.00,1011.3,19.1,30.1,48,47
2024-01-03T15:00,26.7,78,0.00,1012.1,18.8,29.3,45,43
2024-01-03T16:00,26.4,79,0.00,1012.3,17.6,27.8,43,41
2024-01-03T17:00,26.2,80,0.00,1012.4,16.1,25.8,41,39
2024-01-03T18:00,25.9,81,0.00,1012.0,14.9,24.2,41,37
2024-01-03T19:00,25.6,83,0.00,1011.9,12.9,21.8,38,36
2024-01-03T20:00,25.2,84,0.00,1011.3,11.9,20.4,32,29
2024-01-03T21:00,25.0,85,0.00,1010.7,12.0,20.5,24,21
2024-01-03T22:00,24.6,86,0.00,1010.7,11.5,19.9,17,14
2024-01-03T23:00,24.4,86,0.00,1010.7,12.0,20.2,19,16
2024-01-04T00:00,24.3,87,0.00,1011.2,11.6,19.8,19,16
2024-01-04T01:00,24.6,88,0.00,1012.1,10.5,17.5,8,4
2024-01-04T02:00,25.2,84,0.10,1013.1,12.6,17.3,4,2
2024-01-04T03:00,26.3,81,0.00,1013.7,12.6,16.7,14,13
2024-01-04T04:00,27.4,76,0.10,1013.9,15.7,20.6,36,37
2024-01-04T05:00,27.9,74,0.10,1013.5,17.1,21.9,49,49
2024-01-04T06:00,28.4,72,0.10,1012.9,15.2,19.5,52,54
2024-01-04T07:00,28.5,71,0.10,1011.5,15.5,19.7,62,62
2024-01-04T08:00,28.6,71,0.00,1010.3,16.6,21.3,68,68
2024-01-04T09:00,28.6,71,0.00,1009.8,16.4,20.9,71,71
2024-01-04T10:00,28.4,71,0.00,1009.3,15.3,19.7,72,71
2024-01-04T11:00,27.8,73,0.00,1009.4,12.2,15.5,72,71
2024-01-04T12:00,27.4,76,0.00,1009.8,9.9,13.2,73,71
2024-01-04T13:00,26.7,78,0.00,1010.5,8.5,15.6,64,62
2024-01-04T14:00,26.4,81,0.00,1011.3,8.0,15.5,68,63
2024-01-04T15:00,26.5,80,0.00,1012.3,9.5,17.9,56,53
2024-01-04T16:00,26.5,79,0.00,1012.9,13.0,22.1,46,44
2024-01-04T17:00,26.1,83,0.00,1012.8,13.2,22.3,39,35
2024-01-04T18:00,25.8,85,0.00,1012.5,12.2,21.1,33,28
2024-01-04T19:00,25.4,86,0.00,1012.2,12.6,21.0,35,31
