Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,,,80.63,17.54,74.87,0.35,1.2,,,,,,,,,22.44,,2.52,308.89,,0.0,0.0,1005.98,
2024-01-01 01:00:00,,,82.22,13.23,73.89,0.24,1.54,,,,,,,,,21.74,,2.86,305.9,,0.0,0.0,1005.44,
2024-01-01 02:00:00,,,81.37,13.68,73.43,,1.53,,,,,,,,,21.49,,2.78,312.14,,0.0,0.0,1004.74,
2024-01-01 03:00:00,,,79.68,14.74,72.62,,1.46,,,,,,,,,21.46,,3.06,322.28,,0.0,0.0,1004.41,
2024-01-01 04:00:00,,,77.93,16.38,72.07,0.06,1.34,,,,,,,,,21.41,,2.72,319.14,,0.0,0.0,1004.84,
2024-01-01 05:00:00,,,77.37,16.88,71.89,,1.4,,,,,,,,,21.22,,2.8,318.73,,0.0,0.0,1005.32,
2024-01-01 06:00:00,,,77.38,15.74,71.28,0.2,1.32,,,,,,,,,21.12,,2.82,322.96,,0.0,2.35,1006.06,
2024-01-01 07:00:00,,,76.24,20.3,72.78,0.27,1.19,,,,,,,,,22.22,,2.75,323.67,,0.0,25.35,1007.03,
2024-01-01 08:00:00,,,76.5,29.87,78.08,0.02,1.0,,,,,,,,,24.37,,3.08,290.99,,0.0,25.23,1007.8,
2024-01-01 09:00:00,,,73.82,32.54,77.32,0.3,1.06,,,,,,,,,25.87,,3.9,228.73,,0.0,25.2,1008.0,
2024-01-01 10:00:00,,,72.41,33.36,76.61,0.16,1.14,,,,,,,,,27.27,,4.18,262.25,,0.0,25.1,1007.85,
2024-01-01 11:00:00,,,70.58,31.81,74.31,0.5,1.26,,,,,,,,,29.06,,2.35,208.75,,0.0,25.07,1006.94,
2024-01-01 12:00:00,,,69.77,32.31,73.9,0.27,1.31,,,,,,,,,29.82,,2.36,252.98,,0.0,25.06,1005.84,
2024-01-01 13:00:00,,,68.35,32.56,72.88,0.29,1.38,,,,,,,,,30.25,,1.87,231.41,,0.0,25.02,1004.67,
2024-01-01 14:00:00,,,66.72,32.78,71.68,0.26,1.45,,,,,,,,,30.17,,1.66,223.74,,0.0,25.06,1003.76,
2024-01-01 15:00:00,,,65.46,37.42,73.12,0.37,1.39,,,,,,,,,30.08,,1.2,186.61,,0.0,25.08,1003.3,
2024-01-01 16:00:00,,,67.82,31.48,71.88,0.39,1.5,,,,,,,,,29.35,,1.14,196.08,,0.0,16.83,1003.26,
2024-01-01 17:00:00,,,69.83,32.07,73.84,0.26,1.35,,,,,,,,,27.54,,0.77,202.07,,0.0,0.02,1004.02,
2024-01-01 18:00:00,,,72.99,31.16,75.92,0.22,1.52,,,,,,,,,25.9,,0.74,214.12,,0.0,0.0,1004.88,
2024-01-01 19:00:00,,,74.8,29.63,76.57,0.13,1.24,,,,,,,,,24.68,,0.82,264.4,,0.0,0.0,1005.76,
2024-01-01 20:00:00,,,76.19,29.76,77.79,,1.38,,,,,,,,,24.1,,1.04,293.04,,0.0,0.0,1006.52,
2024-01-01 21:00:00,,,77.05,28.01,77.54,0.08,1.38,,,,,,,,,23.82,,1.04,308.45,,0.0,0.0,1006.87,
2024-01-01 22:00:00,,,78.19,26.58,77.71,,1.58,,,,,,,,,23.55,,1.52,297.41,,0.0,0.0,1006.77,
2024-01-01 23:00:00,,,80.12,25.17,78.52,0.33,1.51,,,,,,,,,23.6,,2.21,314.04,,0.0,0.0,1006.33,
2024-01-02 00:00:00,,,81.69,22.23,78.24,0.25,1.62,,,,,,,,,22.94,,2.54,305.06,,0.0,0.0,1005.77,
2024-01-02 01:00:00,,,83.21,16.06,76.19,0.22,1.64,,,,,,,,,22.48,,2.7,306.02,,0.0,0.0,1005.21,
