Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,52.0,104.25,16.11,6.59,27.14,16.02,13.49,,,,,,,,,27.14,,0.88,123.44,,0.0,0.0,1015.34,
2024-01-01 01:00:00,,,15.01,6.18,25.28,15.74,12.88,,,,,,,,,24.38,,0.58,246.54,,0.0,0.0,1014.67,
2024-01-01 02:00:00,,,13.89,5.36,22.68,15.72,12.86,,,,,,,,,23.86,,0.93,290.07,,0.0,0.0,1013.99,
2024-01-01 03:00:00,,,13.91,5.34,22.69,15.58,12.8,,,,,,,,,23.48,,0.61,254.63,,0.0,0.0,1013.67,
2024-01-01 04:00:00,,,13.75,5.13,22.16,15.46,12.81,,,,,,,,,23.02,,0.7,256.65,,0.0,0.0,1014.07,
2024-01-01 05:00:00,,,13.56,4.95,21.64,15.29,12.62,,,,,,,,,22.66,,0.76,269.83,,0.0,0.0,1014.6,
2024-01-01 06:00:00,,,13.86,4.81,21.72,15.36,12.62,,,,,,,,,22.55,,0.75,264.24,,0.0,0.0,1015.46,
2024-01-01 07:00:00,,,13.58,4.57,21.01,15.31,12.48,,,,,,,,,22.99,,0.78,256.51,,0.0,0.0,1016.45,
2024-01-01 08:00:00,,,13.12,4.13,19.76,15.3,12.57,,,,,,,,,25.23,,1.18,263.54,,0.0,0.01,1017.2,
2024-01-01 09:00:00,,,13.24,4.01,19.68,15.35,12.44,,,,,,,,,27.66,,1.34,254.74,,0.0,5.15,1017.31,
2024-01-01 10:00:00,,,12.58,3.43,17.99,15.34,12.38,,,,,,,,,29.62,,1.34,233.36,,0.0,13.44,1017.1,
2024-01-01 11:00:00,,,12.62,3.41,18.0,15.24,12.36,,,,,,,,,31.25,,1.25,179.14,,0.0,18.83,1016.24,
2024-01-01 12:00:00,,,12.81,3.4,18.18,15.16,12.47,,,,,,,,,31.38,,1.7,108.72,,0.0,20.17,1015.41,
2024-01-01 13:00:00,,,12.68,3.34,17.94,15.02,12.52,,,,,,,,,30.5,,2.02,88.76,,0.0,15.24,1014.52,
2024-01-01 14:00:00,,,13.17,3.43,18.61,14.82,12.72,,,,,,,,,30.42,,2.14,85.65,,0.0,8.04,1013.74,
2024-01-01 15:00:00,,,12.9,3.44,18.33,15.02,12.55,,,,,,,,,30.34,,1.8,84.36,,0.0,0.82,1013.08,
2024-01-01 16:00:00,,,12.24,3.44,17.66,15.12,12.45,,,,,,,,,29.62,,1.56,93.36,,0.0,0.0,1013.14,
2024-01-01 17:00:00,,,12.86,3.47,18.35,15.18,12.68,,,,,,,,,28.41,,1.6,89.91,,0.0,0.0,1013.64,
