Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,,30.0,4.9,8.75,7.38,,8.15,,,,,,,,,,81.75,2.4,284.5,,0.0,1.0,807.25,
2024-01-01 01:00:00,,30.75,5.55,5.45,7.38,,8.52,,,,,,,,,,83.0,1.15,278.0,,0.0,1.0,808.75,
2024-01-01 02:00:00,,33.0,3.37,5.13,5.5,,8.73,0.12,,0.7,,,,,,,84.0,1.03,284.33,,0.0,1.0,810.67,
2024-01-01 03:00:00,,36.0,5.7,5.7,7.62,,8.47,0.29,,1.63,,,,,,,84.5,0.85,259.25,,0.0,1.0,821.75,
2024-01-01 04:00:00,,44.5,4.35,7.1,7.32,,6.75,0.22,,1.2,,,,,,,85.25,0.72,267.25,,0.0,1.0,824.0,
2024-01-01 05:00:00,,44.25,7.1,7.85,9.93,,3.85,0.19,,1.1,,,,,,,86.0,0.3,249.5,,0.0,1.0,825.75,
2024-01-01 06:00:00,,48.25,5.5,8.9,9.22,,6.02,,,,,,,,,,86.25,0.6,241.75,,0.0,3.25,823.5,
2024-01-01 07:00:00,,52.5,4.92,7.3,7.88,,4.7,,,,,,,,,,84.5,1.5,251.0,,0.0,62.25,807.75,
2024-01-01 08:00:00,,62.0,3.75,7.78,7.15,,10.15,,,,,,,,,,75.75,4.78,278.0,,0.0,177.75,804.5,
2024-01-01 09:00:00,,61.0,3.65,8.9,7.68,,11.05,,,,,,,,,,67.5,5.1,282.25,,0.0,289.5,804.0,
2024-01-01 10:00:00,,67.5,5.28,10.38,9.82,,13.4,,,,,,,,,,60.75,4.55,272.5,,0.0,368.5,809.75,
2024-01-01 11:00:00,,68.5,3.97,9.23,8.13,,100.1,,,,,,,,,,57.0,3.45,269.25,,0.0,301.5,813.5,
2024-01-01 12:00:00,,64.0,5.9,8.55,9.35,,7.92,,,,,,,,,,55.25,3.62,285.75,,0.0,270.5,813.75,
2024-01-01 13:00:00,,55.5,4.62,8.2,8.12,,2.9,0.16,1.37,0.85,,,,,,,59.25,4.6,276.0,,0.0,293.75,812.0,
2024-01-01 14:00:00,,57.0,2.98,6.95,6.12,,3.72,0.12,0.2,0.65,,,,,,,57.75,4.47,262.75,,0.0,256.25,809.75,
2024-01-01 15:00:00,,57.25,3.28,7.85,6.88,,2.27,0.02,0.2,0.13,,,,,,,64.0,4.5,264.5,,0.0,104.5,802.0,
2024-01-01 16:00:00,,58.5,4.12,7.98,7.57,,7.85,0.12,,0.7,,,,,,,65.75,4.3,275.0,,0.0,66.25,800.5,
2024-01-01 17:00:00,,60.0,3.15,6.62,6.05,,7.6,0.12,1.57,0.68,,,,,,,68.5,4.6,286.25,,0.0,12.0,800.75,
2024-01-01 18:00:00,,64.25,5.55,6.8,8.12,,9.25,0.26,1.18,1.45,,,,,,,69.75,4.82,299.75,,0.0,1.0,811.0,
2024-01-01 19:00:00,,70.0,2.93,7.87,6.57,,8.0,,1.31,,,,,,,,71.0,4.23,303.67,,0.0,1.0,818.33,
2024-01-01 20:00:00,,56.75,5.5,6.9,8.15,,12.32,,0.78,,,,,,,,73.75,4.28,304.25,,0.0,1.0,821.0,
2024-01-01 21:00:00,,62.75,3.0,8.6,6.2,,13.82,,1.57,,,,,,,,74.5,4.88,298.0,,0.0,1.0,822.0,
2024-01-01 22:00:00,,71.5,2.58,6.25,5.38,,12.45,,,,,,,,,,74.5,4.95,299.5,,0.0,1.0,809.25,
2024-01-01 23:00:00,,62.0,6.2,6.85,7.4,,12.5,,,,,,,,,,74.75,5.38,298.5,,0.0,1.0,807.0,
2024-01-02 00:00:00,,58.75,3.98,5.15,5.98,,11.08,,0.78,,,,,,,,75.25,4.97,295.75,,0.0,1.0,805.0,
2024-01-02 01:00:00,,66.5,3.38,8.52,7.3,,11.55,0.25,1.67,1.4,,,,,,,78.25,2.38,280.75,,0.0,1.0,808.75,
2024-01-02 02:00:00,,63.75,4.7,7.57,7.82,,11.35,0.36,1.11,2.0,,,,,,,81.25,1.3,252.0,,0.0,1.0,819.25,
2024-01-02 03:00:00,,66.0,3.1,8.35,6.95,,9.8,0.4,4.9,2.2,,,,,,,82.0,1.42,271.25,,0.0,1.0,822.75,
2024-01-02 04:00:00,,77.75,4.18,9.78,8.65,,10.88,0.22,2.01,1.25,,,,,,,81.75,2.25,276.25,,0.0,1.0,822.5,
2024-01-02 05:00:00,,61.0,3.95,6.68,6.75,,8.18,0.18,1.91,0.98,,,,,,,80.0,2.75,270.75,,0.0,1.0,819.5,
2024-01-02 06:00:00,,66.25,5.28,6.8,7.88,,8.3,0.06,1.37,0.35,,,,,,,80.0,2.42,260.0,,0.0,1.0,810.5,
