Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,45.91,88.96,7.76,16.29,15.34,12.21,7.9,0.66,26.67,1.42,3.38,1.11,,0.9,0.88,22.44,65.51,0.71,153.73,0.0,0.0,94.66,714.34,-0.8
2024-01-02,45.56,95.51,21.46,31.0,19.2,13.03,7.77,0.62,34.32,1.49,3.23,1.14,,1.25,0.9,22.24,68.94,0.8,145.26,0.0,0.0,98.79,714.05,-0.76
2024-01-03,53.89,93.15,6.61,15.95,14.57,13.04,8.66,0.67,31.08,1.5,2.76,1.02,,1.41,0.76,22.76,65.69,0.86,150.44,0.0,0.0,103.12,713.91,-0.74
2024-01-04,80.67,87.19,5.94,14.76,14.98,12.45,7.85,0.76,28.07,1.64,3.12,1.15,,1.27,0.76,23.32,64.9,0.89,152.14,0.0,0.0,118.89,714.03,-0.98
2024-01-05,38.43,79.43,5.33,15.16,14.53,12.42,7.64,0.67,28.65,1.53,3.18,1.26,,1.16,0.95,23.03,61.14,0.95,157.67,0.0,0.0,98.53,714.0,-0.64
2024-01-06,32.22,70.35,5.78,15.29,14.88,12.63,8.51,0.54,26.33,1.34,3.12,1.14,,1.06,1.12,22.82,64.13,0.99,151.96,0.0,0.0,105.4,714.23,-0.63
2024-01-07,38.57,67.98,7.52,16.56,16.39,10.52,7.24,1.74,26.0,1.37,3.07,0.94,,1.1,1.05,22.73,69.54,1.02,156.47,0.0,0.0,71.65,714.61,-0.57
2024-01-08,37.52,77.42,9.17,19.23,16.64,10.54,7.32,0.69,29.67,1.27,3.05,0.89,,1.11,0.87,23.96,63.04,0.98,157.29,0.0,0.0,135.78,715.06,-0.67
2024-01-09,45.43,86.74,6.12,15.74,15.74,12.93,8.25,0.65,26.86,1.46,3.21,1.21,,1.2,0.82,23.43,63.68,0.88,139.93,0.0,0.0,58.18,715.02,-0.67
2024-01-10,46.69,92.1,8.68,19.26,17.27,12.74,8.86,0.76,25.04,1.67,4.18,1.59,,1.24,0.86,23.3,64.41,0.62,148.88,0.0,0.0,54.06,714.73,-1.04
2024-01-11,44.36,93.81,8.73,18.67,18.16,13.28,10.25,0.81,27.0,1.92,4.75,1.93,,1.12,0.89,24.73,55.99,0.65,157.37,0.0,0.0,101.0,714.75,-1.16
2024-01-12,44.79,92.75,9.19,19.21,17.32,13.29,9.25,0.81,28.73,1.81,4.87,1.52,,1.4,1.01,25.26,59.51,0.78,150.1,0.0,0.0,104.73,714.34,-1.12
2024-01-13,42.79,89.8,6.67,17.2,15.23,11.47,8.51,0.8,24.42,1.17,3.58,0.9,,1.47,1.24,24.72,62.57,0.55,178.84,0.0,0.0,113.16,714.68,-0.75
2024-01-14,45.89,99.13,11.48,23.07,16.32,12.8,9.86,0.79,31.14,1.27,6.03,1.28,,1.46,1.57,25.4,56.47,0.58,198.75,0.0,0.0,141.0,714.3,-0.8
2024-01-15,42.75,83.98,14.18,24.83,15.58,15.33,9.26,0.72,30.5,1.12,4.82,1.07,,1.03,0.94,24.87,58.76,0.61,171.12,0.0,0.0,95.55,713.84,-0.76
2024-01-16,42.0,83.35,23.3,31.06,16.25,14.17,7.13,0.62,30.13,1.13,2.61,1.25,,0.86,1.01,24.92,63.51,0.76,152.19,0.0,0.0,93.3,713.01,-0.82
2024-01-17,38.9,79.02,10.29,19.69,17.49,14.24,7.09,0.55,28.33,0.93,2.06,1.06,,1.08,0.91,24.18,61.25,0.89,158.36,0.0,0.0,83.54,712.8,-1.0
2024-01-18,33.65,76.61,6.21,13.16,13.95,12.35,7.06,0.47,25.61,0.86,2.12,1.06,,1.16,0.66,24.3,55.7,0.86,186.1,0.0,0.0,117.98,713.58,-0.65
2024-01-19,34.56,73.1,16.38,29.59,16.76,13.19,8.13,0.6,34.03,0.95,2.39,1.13,,1.05,1.21,25.18,58.03,0.78,155.53,0.0,0.0,98.33,713.44,-0.76
2024-01-20,29.32,68.17,10.42,19.23,15.65,13.7,7.25,0.54,25.3,0.88,2.16,1.05,,0.76,1.23,24.39,61.49,0.94,150.35,0.0,0.0,95.79,714.02,-0.76
2024-01-21,26.41,63.35,20.45,31.66,18.39,14.64,8.39,0.58,27.65,0.78,2.01,0.99,,0.68,1.19,24.54,62.27,0.78,168.39,0.0,0.0,100.84,713.99,-0.78
2024-01-22,31.25,70.88,10.06,18.52,16.36,12.48,7.8,0.56,25.55,0.82,2.27,0.96,,0.64,1.26,25.76,62.08,0.88,164.03,0.0,0.0,109.95,714.3,-0.96
2024-01-23,29.38,72.13,6.27,13.83,14.62,12.91,8.56,0.59,22.7,0.92,2.38,0.99,,0.63,1.21,25.32,63.67,0.89,177.32,0.0,0.0,96.79,713.98,-0.68
2024-01-24,33.57,75.94,8.38,17.32,15.63,14.29,9.66,0.61,25.41,0.94,2.27,1.02,,0.66,1.26,24.59,65.22,0.8,166.53,0.0,0.0,86.82,713.99,-0.94
2024-01-25,47.3,94.38,11.7,21.62,18.95,14.54,16.79,0.68,29.48,0.98,2.46,1.14,,0.96,0.97,23.95,62.06,0.85,120.73,0.0,0.0,97.56,715.08,-0.9
2024-01-26,38.0,81.13,6.92,17.04,15.6,13.21,12.57,0.6,27.98,0.87,2.67,1.2,,1.06,0.78,24.18,59.01,0.77,131.24,0.0,0.0,104.82,715.94,-0.58
2024-01-27,37.66,83.04,8.33,16.02,16.88,12.23,8.41,0.64,25.04,0.93,3.69,1.24,,0.94,0.87,23.99,66.17,0.75,126.84,0.0,0.0,97.55,716.13,-0.64
2024-01-28,43.16,92.39,8.79,18.37,16.13,13.65,9.58,0.7,29.47,1.1,2.68,1.46,,0.84,0.98,23.62,59.21,0.6,160.63,0.0,0.0,114.45,715.98,-0.59
2024-01-29,44.53,92.23,7.74,17.86,14.89,13.07,9.28,0.63,30.03,0.89,2.36,1.19,,0.88,1.26,24.54,59.87,0.73,153.27,0.0,0.0,113.93,715.41,-0.68
2024-01-30,37.46,84.27,6.6,17.21,15.93,13.64,9.58,0.61,28.82,0.9,2.51,1.29,,1.0,1.28,23.75,56.19,0.71,155.68,0.0,0.0,103.67,714.68,-0.7
2024-01-31,28.57,75.34,7.94,18.93,16.81,13.66,9.91,0.54,24.37,1.04,2.91,1.31,,0.85,1.38,23.8,55.14,0.77,163.94,0.0,0.0,97.76,714.39,-0.62
2024-02-01,30.09,77.62,7.88,17.41,17.05,13.42,12.34,0.6,27.16,0.93,3.02,1.08,,1.14,1.13,25.79,51.52,0.95,186.64,0.0,0.0,149.51,714.23,-0.64
2024-02-02,32.58,79.82,14.37,23.56,20.63,13.55,10.03,0.61,27.12,0.93,2.99,1.31,,0.81,1.04,26.15,60.58,0.62,163.26,0.0,0.0,140.72,714.33,-1.08
2024-02-03,31.97,73.96,7.44,16.65,15.52,13.11,8.83,0.53,23.2,0.91,4.3,1.24,,0.77,1.07,25.29,66.08,0.86,129.21,0.0,0.0,109.91,715.08,-1.05
2024-02-04,33.11,80.5,10.46,19.99,16.36,12.37,10.96,0.59,29.25,0.96,3.0,1.23,,0.9,1.04,25.57,60.26,0.73,146.56,0.0,0.0,91.43,715.63,-0.59
2024-02-05,31.14,76.36,8.62,17.92,15.66,12.57,9.73,0.56,25.13,0.94,2.67,1.15,,1.22,1.03,26.5,57.96,0.73,158.17,0.0,0.0,114.89,715.47,-0.91
2024-02-06,33.24,79.29,7.53,16.02,16.06,12.95,9.08,0.6,24.61,1.02,2.68,1.21,,1.01,1.08,27.5,55.62,0.65,162.22,0.0,0.0,105.18,715.26,-0.78
2024-02-07,32.8,79.47,13.04,22.68,20.29,13.19,10.62,0.63,26.05,1.11,3.1,1.26,,1.47,1.19,26.91,55.57,0.61,179.41,0.0,0.0,107.61,715.61,-1.0
2024-02-08,41.38,92.39,7.89,17.62,15.75,13.46,10.71,0.64,30.19,1.14,3.99,1.09,,1.24,1.03,27.21,56.23,0.76,145.06,0.0,0.0,115.72,714.82,-1.24
2024-02-09,33.92,87.01,6.17,15.89,15.28,14.88,12.76,0.49,28.56,1.03,4.44,1.07,,0.72,0.87,26.1,54.74,0.94,132.31,0.0,0.0,108.98,714.95,-1.51
2024-02-10,31.86,79.07,8.65,16.12,14.97,12.88,8.47,0.5,24.58,0.82,2.29,1.06,,0.84,0.9,25.66,67.69,1.09,151.57,0.0,0.0,98.62,715.48,-2.45
2024-02-11,31.13,74.31,14.79,22.41,19.01,12.48,7.58,0.48,31.2,0.81,2.0,1.02,,1.03,0.9,24.71,67.97,1.01,152.03,0.0,0.0,96.85,715.74,-0.6
2024-02-12,31.22,74.93,7.09,16.57,13.81,13.05,6.65,0.52,29.8,0.9,1.86,1.03,,1.24,0.75,24.7,64.8,0.95,156.21,0.0,0.0,95.28,715.53,-1.08
2024-02-13,21.68,70.95,5.38,13.85,14.23,13.61,7.91,0.47,27.21,0.79,2.15,1.27,,1.04,1.15,26.27,52.5,1.03,157.74,0.0,0.0,135.38,715.42,-1.01
2024-02-14,24.57,72.21,8.09,15.44,15.41,13.2,8.7,0.51,26.87,0.9,2.17,1.18,,0.91,1.14,25.68,58.79,0.97,148.98,0.0,0.0,110.88,714.98,-1.05
2024-02-15,24.24,72.29,8.05,15.1,16.15,13.51,7.9,0.48,30.13,0.92,3.66,1.08,,1.0,1.03,25.54,53.41,0.98,150.31,0.0,0.0,126.57,715.11,-0.91
2024-02-16,23.77,70.94,8.97,17.54,16.89,13.65,8.13,0.47,28.02,0.97,2.35,1.07,,0.81,1.32,25.98,40.2,0.96,154.67,0.0,0.0,144.77,715.92,-0.66
2024-02-17,26.35,72.6,8.98,19.54,18.51,14.35,9.56,0.55,30.31,1.11,3.43,1.35,,0.92,1.13,26.64,37.7,0.75,173.37,0.0,0.0,162.05,714.9,-0.6
2024-02-18,25.47,69.78,17.73,30.88,19.77,12.38,9.4,0.58,37.12,0.95,2.83,1.39,,1.09,0.75,26.42,39.95,0.7,180.11,0.0,0.0,137.2,713.94,-0.56
2024-02-19,28.17,75.12,8.39,18.92,17.39,13.65,11.12,0.52,28.19,0.97,4.09,1.36,,1.17,0.77,26.87,44.75,0.78,167.49,0.0,0.0,122.65,714.2,-0.73
2024-02-20,32.84,77.99,6.97,15.18,15.37,13.1,11.15,0.55,26.19,0.85,2.27,1.12,,1.32,0.91,26.81,47.89,0.71,183.56,0.0,0.0,104.42,713.74,-0.75
2024-02-21,33.45,80.45,7.24,15.99,16.24,13.47,11.52,0.61,24.4,1.01,4.58,1.31,,1.41,0.9,26.94,47.75,0.63,201.93,0.0,0.0,129.99,713.21,-1.07
2024-02-22,35.51,82.23,7.03,14.96,15.98,13.72,10.7,0.63,26.62,0.93,3.67,1.43,,1.08,0.93,26.69,44.77,0.65,170.34,0.0,0.0,118.8,713.35,-0.89
2024-02-23,35.22,85.41,8.85,17.15,17.62,15.37,13.21,0.61,28.33,0.93,2.56,1.8,,0.86,1.09,25.86,48.27,0.73,145.87,0.0,0.0,116.38,713.54,-0.88
2024-02-24,36.56,83.37,11.69,15.45,17.76,13.76,9.03,0.58,23.88,1.0,3.43,1.43,,1.02,0.91,26.38,64.39,0.8,151.43,0.0,0.0,95.58,713.16,-1.38
2024-02-25,28.85,69.85,11.6,16.67,15.72,12.02,7.18,0.48,21.96,0.84,1.87,1.21,,0.97,0.85,26.31,66.18,1.02,156.37,0.0,0.0,90.86,713.08,-0.95
2024-02-26,27.46,70.75,8.02,13.97,14.79,12.13,10.32,0.48,23.62,0.91,2.42,1.18,,0.97,1.15,25.99,61.54,1.31,149.38,0.0,0.0,130.47,713.94,-1.58
2024-02-27,25.22,69.24,7.26,14.91,14.38,13.46,7.93,0.51,21.82,0.84,2.41,1.15,,1.15,1.12,26.07,58.16,1.08,147.71,0.0,0.0,127.55,714.22,-1.6
2024-02-28,26.12,72.35,9.99,17.07,16.23,13.09,7.67,0.56,25.03,1.03,3.37,1.27,,0.98,1.2,26.93,49.58,0.74,144.83,0.0,0.0,132.55,713.84,-1.25
2024-02-29,30.14,79.32,8.16,16.22,15.53,12.23,9.61,0.6,26.78,1.16,2.6,1.28,,0.99,1.13,27.26,48.6,0.78,158.25,0.0,0.0,118.64,714.04,-1.32
2024-03-01,33.82,84.0,11.34,22.82,17.31,12.84,8.75,0.63,29.26,1.09,3.14,1.2,,1.12,1.22,27.59,45.64,0.77,180.33,0.0,0.0,130.61,714.19,-1.26
2024-03-02,27.28,76.77,6.51,15.96,14.2,12.31,8.91,0.49,28.11,0.98,2.62,1.09,,1.05,1.21,28.33,39.9,0.91,201.98,0.0,0.0,133.61,713.6,-0.85
2024-03-03,29.04,75.93,8.69,18.33,15.88,12.81,11.41,0.58,28.29,0.87,2.04,1.1,,0.91,1.3,27.51,49.04,0.79,169.48,0.0,0.0,111.23,713.15,-0.88
2024-03-04,32.39,85.24,6.28,15.45,14.16,12.19,10.27,0.58,27.62,0.83,2.2,1.11,,1.09,1.47,27.32,51.36,0.77,162.71,0.0,0.0,88.65,713.3,-1.05
2024-03-05,36.57,87.84,7.06,16.17,15.76,13.06,10.09,0.54,26.3,0.91,2.75,1.18,,1.11,1.22,27.73,50.47,0.82,152.39,0.0,0.0,116.41,713.58,-1.24
2024-03-06,29.82,77.53,7.79,16.24,15.71,14.56,9.54,0.49,26.64,0.86,2.66,1.19,,1.07,1.12,28.1,46.25,0.84,170.86,0.0,0.0,125.8,713.12,-1.14
2024-03-07,33.71,84.39,8.28,19.31,17.68,15.8,12.04,0.62,30.62,1.03,2.85,1.4,,1.22,1.1,29.04,47.66,0.72,160.46,0.0,0.0,133.04,712.88,-1.5
2024-03-08,35.12,80.68,5.86,15.54,15.45,13.33,11.02,0.66,26.25,1.03,3.68,1.1,,1.25,0.94,27.57,51.82,0.59,144.52,0.0,0.0,106.17,713.72,-1.26
2024-03-09,35.0,82.53,5.55,16.09,15.5,14.29,11.55,0.65,28.09,0.93,3.12,1.25,,1.04,1.05,28.61,51.3,0.82,147.94,0.0,0.0,94.78,713.54,-1.06
2024-03-10,31.0,74.69,5.95,13.38,13.81,13.9,8.71,0.5,21.36,0.89,2.23,1.08,,0.95,1.38,27.86,58.28,0.9,146.47,0.0,0.0,99.21,714.16,-1.18
2024-03-11,28.84,72.38,5.84,14.32,14.02,14.97,7.97,0.49,26.14,0.96,2.44,1.15,,1.0,1.14,27.71,50.3,0.72,161.08,0.0,0.0,97.05,714.74,-2.03
2024-03-12,36.8,84.47,6.51,14.75,14.45,12.97,9.58,0.62,29.57,0.99,2.93,1.31,,1.21,1.17,29.93,49.41,0.64,187.6,0.0,0.0,132.38,714.19,-1.82
2024-03-13,38.39,90.07,7.96,15.94,16.41,14.14,10.43,0.57,32.63,1.01,2.41,1.16,,1.65,1.56,30.09,45.55,0.79,182.6,0.0,0.0,105.2,713.33,-1.03
2024-03-14,43.6,96.44,8.9,18.45,17.82,16.91,10.68,0.62,30.06,1.08,2.95,1.41,,1.38,1.86,28.54,52.28,0.74,151.37,0.0,0.0,117.96,713.51,-1.04
2024-03-15,43.27,98.46,6.19,16.16,14.57,15.19,10.26,0.59,31.19,1.01,2.45,1.51,,1.14,1.49,27.94,53.42,0.73,157.3,0.0,0.0,106.55,713.01,-1.05
2024-03-16,32.65,84.55,5.57,13.3,12.9,12.7,9.39,0.52,26.86,1.08,3.06,1.5,,1.24,1.01,27.97,60.48,0.99,149.73,0.04,0.02,114.16,713.27,-1.03
2024-03-17,28.21,71.69,5.96,13.32,13.09,14.03,9.42,0.53,24.34,0.98,2.25,1.28,,1.24,1.35,27.41,63.0,1.09,132.12,0.0,0.0,100.32,713.66,-0.6
2024-03-18,26.15,70.14,6.21,13.31,14.18,13.36,10.29,0.53,20.91,0.96,2.2,1.39,,0.9,1.4,27.92,58.36,0.83,150.9,0.0,0.0,112.92,713.22,-0.91
2024-03-19,30.74,74.74,6.82,15.33,15.91,13.52,9.81,0.6,22.76,1.17,3.2,1.53,,0.84,1.34,27.91,54.67,0.85,158.74,0.0,0.0,88.16,712.94,-0.96
2024-03-20,33.48,79.33,6.49,13.9,14.94,13.03,9.38,0.54,22.96,1.08,2.71,1.41,,0.91,1.18,26.86,58.01,0.93,127.71,0.0,0.0,118.02,713.57,-0.93
2024-03-21,31.48,75.59,6.57,15.05,16.02,13.54,9.47,0.54,26.47,1.08,2.8,1.33,,0.95,1.22,27.26,51.92,0.98,157.21,0.0,0.0,189.47,713.49,-0.95
2024-03-22,29.16,80.2,6.4,15.63,15.94,12.69,11.17,0.62,31.73,1.08,2.86,1.32,,0.96,1.11,28.08,48.54,0.68,163.5,0.0,0.0,151.78,712.38,-0.93
2024-03-23,30.71,80.61,5.72,15.38,15.05,12.29,10.12,0.55,32.79,0.97,2.7,1.18,,0.97,1.31,29.4,43.87,0.72,170.81,0.0,0.0,138.4,712.18,-0.88
2024-03-24,31.31,84.0,8.32,18.28,16.96,13.64,10.82,0.61,36.15,1.04,2.88,1.35,,1.08,1.08,29.44,43.53,0.91,168.44,0.0,0.0,138.99,713.19,-0.59
2024-03-25,31.21,80.11,15.21,25.7,17.57,12.08,9.92,0.68,36.86,0.95,2.44,1.29,,0.89,1.13,29.28,42.11,0.74,164.81,0.0,0.0,126.02,713.48,-0.59
2024-03-26,30.24,78.23,5.83,15.14,13.97,12.71,10.67,0.64,37.26,0.94,2.32,1.23,,1.0,1.1,29.43,40.76,0.77,179.39,0.0,0.0,148.82,713.48,-0.85
2024-03-27,30.06,79.33,7.97,18.46,14.69,13.78,9.56,0.61,32.77,1.08,2.72,1.24,,1.37,0.9,29.55,43.01,0.78,169.58,0.0,0.0,148.86,714.23,-0.84
2024-03-28,32.59,81.77,9.25,16.98,17.35,13.32,9.85,0.65,28.11,1.04,2.99,1.13,,0.91,1.04,30.23,42.03,0.63,158.48,0.0,0.0,134.74,713.45,-0.83
2024-03-29,35.66,87.21,6.43,15.37,15.66,14.41,12.01,0.63,38.96,1.15,4.34,1.17,,0.78,0.88,31.58,40.93,0.88,172.59,0.0,0.0,141.95,712.8,-0.76
2024-03-30,31.67,82.99,6.21,15.22,15.4,14.87,9.29,0.59,33.91,1.18,2.39,1.21,,0.89,1.16,31.38,38.37,0.76,179.58,0.0,0.0,173.16,713.36,-1.02
2024-03-31,31.74,83.78,5.61,15.27,14.5,14.57,10.49,0.71,36.89,1.13,2.5,1.11,,1.22,1.15,30.48,38.37,0.66,171.78,0.0,0.0,149.22,713.89,-0.78
2024-04-01,31.99,80.37,6.19,15.8,16.13,16.53,8.95,0.65,33.91,1.09,2.28,1.3,,1.06,1.12,31.78,36.26,0.61,188.26,0.0,0.0,169.84,712.58,-0.71
