latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.927942,77.21649,228.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_100m (°),wind_direction_10m (°)
2024-01-01T00:00,5.7,100,0.00,990.6,5.4,9.8,332,340
2024-01-01T01:00,9.0,93,0.00,992.1,4.7,7.0,348,360
2024-01-01T02:00,9.5,91,0.00,992.6,4.7,7.7,349,4
2024-01-01T03:00,10.1,90,0.00,993.2,4.7,7.8,347,356
2024-01-01T04:00,11.2,83,0.00,993.9,4.7,6.6,351,351
2024-01-01T05:00,12.2,78,0.00,994.0,3.8,4.5,346,343
2024-01-01T06:00,13.4,73,0.00,993.2,2.9,3.5,336,330
2024-01-01T07:00,14.6,70,0.00,992.1,3.3,4.3,312,311
2024-01-01T08:00,15.4,68,0.00,991.1,4.4,5.4,307,305
2024-01-01T09:00,15.8,66,0.00,990.2,5.5,6.8,302,302
2024-01-01T10:00,15.8,66,0.00,989.7,7.5,9.5,307,305
2024-01-01T11:00,15.0,69,0.00,989.6,8.4,11.5,314,313
2024-01-01T12:00,12.0,85,0.00,989.4,7.4,14.3,319,317
2024-01-01T13:00,9.6,90,0.00,990.7,6.7,16.2,328,324
2024-01-01T14:00,8.6,93,0.00,991.2,6.6,15.8,325,315
2024-01-01T15:00,7.6,95,0.00,991.4,7.0,14.5,318,305
2024-01-01T16:00,6.6,97,0.00,991.5,8.0,13.8,317,306
2024-01-01T17:00,5.8,98,0.00,991.5,9.3,12.0,319,306
2024-01-01T18:00,5.3,99,0.00,991.2,8.9,12.0,319,310
2024-01-01T19:00,4.9,99,0.00,990.8,8.7,11.9,325,318
2024-01-01T20:00,4.7,100,0.00,990.3,7.7,12.8,328,323
2024-01-01T21:00,4.4,100,0.00,990.1,7.3,13.2,331,327
2024-01-01T22:00,3.8,100,0.00,989.8,9.4,12.3,328,320
2024-01-01T23:00,3.7,100,0.00,989.7,7.9,12.0,327,321
