latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
27.170473,78.37416,171.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_100m (°),wind_direction_10m (°)
2024-01-01T00:00,9.5,94,0.00,997.5,4.5,5.1,4,346
2024-01-01T01:00,8.3,97,0.00,998.5,4.0,6.9,9,355
2024-01-01T02:00,8.4,97,0.00,999.0,5.5,9.4,358,349
2024-01-01T03:00,10.3,91,0.00,999.7,6.2,10.8,2,353
2024-01-01T04:00,12.6,84,0.00,1000.5,4.8,6.6,13,13
2024-01-01T05:00,14.4,77,0.00,1000.3,4.1,4.9,17,15
2024-01-01T06:00,15.8,71,0.00,999.4,3.3,4.0,5,6
2024-01-01T07:00,16.7,68,0.00,998.1,3.7,4.4,351,349
2024-01-01T08:00,17.4,65,0.00,997.0,4.5,5.6,345,346
2024-01-01T09:00,18.0,64,0.00,996.1,4.4,5.5,349,351
2024-01-01T10:00,18.1,64,0.00,995.8,3.7,4.5,346,349
2024-01-01T11:00,17.7,68,0.00,995.7,3.1,4.2,340,339
2024-01-01T12:00,14.9,80,0.00,995.7,6.2,6.6,338,324
2024-01-01T13:00,14.9,81,0.00,997.4,4.2,7.4,309,290
2024-01-01T14:00,14.6,82,0.00,997.9,4.4,9.0,323,305
2024-01-01T15:00,14.3,82,0.00,998.2,4.6,9.2,334,321
2024-01-01T16:00,13.5,86,0.00,998.4,4.4,7.7,332,325
2024-01-01T17:00,11.8,93,0.00,998.4,5.5,9.4,328,328
2024-01-01T18:00,10.9,96,0.00,998.1,6.3,13.0,336,336
2024-01-01T19:00,10.0,97,0.00,997.7,5.0,12.6,336,339
2024-01-01T20:00,8.4,98,0.00,997.3,7.6,10.5,338,341
2024-01-01T21:00,7.6,99,0.00,996.8,7.6,9.6,347,357
2024-01-01T22:00,7.1,99,0.00,996.5,7.6,9.1,353,357
2024-01-01T23:00,6.3,100,0.00,996.4,7.1,8.0,352,345
2024-01-02T00:00,5.8,100,0.00,996.8,4.6,5.9,346,321
2024-01-02T01:00,6.8,99,0.00,998.2,4.3,5.2,282,294
2024-01-02T02:00,7.1,97,0.00,998.9,4.3,4.7,293,318
2024-01-02T03:00,8.0,96,0.00,999.3,5.5,6.5,341,337
2024-01-02T04:00,9.2,98,0.00,1000.0,5.9,6.5,354,349
2024-01-02T05:00,11.1,89,0.00,1000.1,6.9,8.3,355,351
2024-01-02T06:00,13.5,78,0.00,999.2,8.4,10.5,352,353
2024-01-02T07:00,14.9,73,0.00,998.0,6.3,8.1,347,347
2024-01-02T08:00,15.7,70,0.00,996.9,5.8,7.2,354,353
2024-01-02T09:00,16.2,68,0.00,996.0,7.2,8.7,5,6
2024-01-02T10:00,16.3,68,0.00,995.5,6.2,7.7,11,10
2024-01-02T11:00,15.8,70,0.00,995.5,4.0,5.0,360,355
2024-01-02T12:00,13.2,84,0.00,995.6,6.1,6.0,335,320
2024-01-02T13:00,11.4,86,0.00,996.7,5.8,5.5,32,360
2024-01-02T14:00,10.6,88,0.00,997.1,4.1,4.1,15,345
2024-01-02T15:00,9.5,92,0.00,997.0,4.1,4.7,356,345
2024-01-02T16:00,8.6,94,0.00,997.2,4.8,5.6,333,347
2024-01-02T17:00,7.6,95,0.00,997.3,7.0,5.1,315,348
2024-01-02T18:00,8.0,95,0.00,997.0,4.3,5.7,325,355
2024-01-02T19:00,8.1,95,0.00,996.6,7.2,10.3,348,3
2024-01-02T20:00,9.4,89,0.00,996.5,8.2,15.0,10,23
2024-01-02T21:00,10.0,86,0.00,996.5,6.5,14.2,24,34
2024-01-02T22:00,10.3,85,0.00,996.2,9.7,19.5,25,22
2024-01-02T23:00,10.5,86,0.00,996.1,7.3,21.7,27,9
2024-01-03T00:00,10.6,85,0.00,996.6,2.6,14.6,33,344
2024-01-03T01:00,11.2,82,0.00,997.7,2.2,5.2,74,81
2024-01-03T02:00,11.5,82,0.00,998.3,2.5,4.4,99,98
2024-01-03T03:00,11.9,82,0.00,999.2,3.6,5.1,45,37
2024-01-03T04:00,12.4,82,0.00,999.8,4.3,5.9,52,42
2024-01-03T05:00,13.5,80,0.00,999.9,3.1,4.1,75,69
2024-01-03T06:00,14.3,79,0.00,998.7,2.8,3.6,45,40
2024-01-03T07:00,15.1,78,0.00,997.6,1.3,1.5,45,34
2024-01-03T08:00,16.5,76,0.00,996.4,0.5,0.8,27,45
2024-01-03T09:00,17.4,74,0.00,995.6,2.3,2.6,344,342
2024-01-03T10:00,17.6,73,0.00,995.4,3.5,4.6,342,336
2024-01-03T11:00,17.3,74,0.00,995.2,5.2,6.6,351,348
2024-01-03T12:00,15.1,85,0.00,995.4,5.9,7.2,354,349
2024-01-03T13:00,14.9,85,0.00,996.2,4.3,9.6,20,5
2024-01-03T14:00,14.5,88,0.00,996.5,3.6,9.2,11,360
2024-01-03T15:00,14.1,91,0.00,996.9,3.6,8.5,348,323
2024-01-03T16:00,14.0,91,0.00,997.1,6.7,11.5,340,324
2024-01-03T17:00,13.3,93,0.00,997.0,6.0,12.8,350,327
2024-01-03T18:00,13.6,91,0.00,996.6,6.5,13.0,358,341
2024-01-03T19:00,12.6,95,0.00,996.2,5.4,13.0,14,8
2024-01-03T20:00,12.0,96,0.00,996.0,5.6,8.0,8,333
2024-01-03T21:00,12.2,96,0.00,996.2,5.0,9.8,352,330
2024-01-03T22:00,11.7,97,0.00,996.1,7.4,14.0,342,331
2024-01-03T23:00,10.9,98,0.00,996.2,6.4,14.0,334,322
2024-01-04T00:00,11.0,98,0.00,996.7,6.5,13.4,336,326
2024-01-04T01:00,10.7,96,0.00,997.9,6.4,14.9,328,322
2024-01-04T02:00,11.0,94,0.00,998.6,6.8,12.8,338,335
2024-01-04T03:00,12.1,91,0.00,999.5,4.7,12.0,353,351
2024-01-04T04:00,13.9,85,0.00,1000.2,4.3,7.2,6,5
2024-01-04T05:00,15.7,78,0.00,1000.1,3.8,4.9,17,17
2024-01-04T06:00,16.9,75,0.00,998.9,2.5,2.9,360,352
2024-01-04T07:00,18.0,68,0.00,997.6,2.9,3.6,264,263
2024-01-04T08:00,18.6,63,0.00,996.7,4.0,4.7,261,265
