latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.646748,77.48004,215.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_100m (°),wind_direction_10m (°)
2024-01-01T00:00,6.6,100,0.00,992.3,4.7,10.1,333,328
2024-01-01T01:00,8.3,97,0.00,993.6,6.0,12.5,342,343
2024-01-01T02:00,8.4,98,0.00,994.0,5.8,11.5,346,353
2024-01-01T03:00,9.3,95,0.00,994.7,5.0,10.7,346,360
2024-01-01T04:00,11.2,87,0.00,995.4,5.4,7.3,349,352
2024-01-01T05:00,13.0,73,0.00,995.5,4.5,5.2,344,346
2024-01-01T06:00,14.2,68,0.00,994.7,2.4,3.1,339,333
2024-01-01T07:00,15.3,63,0.00,993.5,1.8,2.3,309,307
2024-01-01T08:00,16.4,61,0.00,992.5,3.2,3.7,299,297
2024-01-01T09:00,17.0,58,0.00,991.5,4.9,6.2,306,306
2024-01-01T10:00,17.0,59,0.00,991.1,7.1,8.9,310,311
2024-01-01T11:00,16.2,63,0.00,990.9,8.4,10.7,318,317
2024-01-01T12:00,13.3,77,0.00,990.8,6.1,13.8,319,315
2024-01-01T13:00,10.9,87,0.00,992.3,7.1,16.1,326,319
2024-01-01T14:00,10.0,90,0.00,992.8,7.4,16.9,322,317
2024-01-01T15:00,9.0,93,0.00,993.0,6.6,16.1,321,315
2024-01-01T16:00,8.2,95,0.00,993.1,6.4,14.6,320,313
2024-01-01T17:00,7.5,96,0.00,993.1,6.1,13.4,324,315
2024-01-01T18:00,7.0,97,0.00,992.8,6.4,13.8,327,322
2024-01-01T19:00,6.4,97,0.00,992.4,6.2,13.1,328,324
2024-01-01T20:00,5.8,98,0.00,991.9,7.3,12.4,330,327
2024-01-01T21:00,5.3,98,0.00,991.7,7.9,11.8,329,321
2024-01-01T22:00,4.9,99,0.00,991.5,7.9,11.3,323,313
2024-01-01T23:00,4.7,99,0.00,991.3,7.4,11.8,322,321
2024-01-02T00:00,4.6,99,0.00,991.4,6.6,12.6,329,331
2024-01-02T01:00,7.8,94,0.00,992.8,7.0,9.4,337,339
2024-01-02T02:00,8.7,90,0.00,993.7,6.0,9.2,339,343
2024-01-02T03:00,9.6,86,0.00,994.4,5.9,7.9,344,346
2024-01-02T04:00,10.2,82,0.00,995.2,3.6,4.3,360,360
2024-01-02T05:00,11.1,76,0.00,995.3,1.1,1.1,360,360
2024-01-02T06:00,12.1,71,0.00,994.4,0.7,0.7,360,360
2024-01-02T07:00,13.3,68,0.00,993.2,1.5,1.5,14,14
2024-01-02T08:00,14.4,65,0.00,992.1,1.8,2.2,360,360
2024-01-02T09:00,15.1,62,0.00,991.2,2.3,2.6,326,321
2024-01-02T10:00,15.4,62,0.00,990.7,3.8,4.8,318,319
2024-01-02T11:00,14.8,63,0.00,990.5,6.2,7.5,325,324
2024-01-02T12:00,11.9,78,0.00,990.4,5.7,11.7,326,325
2024-01-02T13:00,10.0,85,0.00,991.5,8.7,14.2,333,318
2024-01-02T14:00,8.7,92,0.00,991.9,6.1,11.6,334,320
2024-01-02T15:00,8.0,93,0.00,991.8,6.0,10.5,333,327
2024-01-02T16:00,7.3,94,0.00,992.0,5.8,10.4,340,330
2024-01-02T17:00,6.7,95,0.00,992.1,5.8,10.2,342,330
2024-01-02T18:00,6.4,96,0.00,991.9,6.6,12.3,339,331
2024-01-02T19:00,6.1,97,0.00,991.6,6.3,14.2,339,336
2024-01-02T20:00,5.5,99,0.00,991.6,5.9,14.2,351,346
2024-01-02T21:00,4.8,100,0.00,991.4,7.7,13.0,6,349
2024-01-02T22:00,4.6,100,0.00,991.1,8.3,11.4,18,358
2024-01-02T23:00,4.5,100,0.00,991.0,7.9,10.7,33,16
2024-01-03T00:00,4.4,100,0.00,991.2,7.3,10.5,41,20
